Totales Territoriales,Comunidades y Ciudades Autónomas,Provincias,Fecha,Año,Mes,Mes_nombre,media_pernoctaciones
Total Nacional,Cataluï¿½a,Tarragona,2021-06-01,2021,6,Junio,2.14
Total Nacional,Cataluï¿½a,Tarragona,2021-05-01,2021,5,Mayo,1.55
Total Nacional,Cataluï¿½a,Tarragona,2021-04-01,2021,4,Abril,1.87
Total Nacional,Cataluï¿½a,Tarragona,2021-03-01,2021,3,Marzo,1.74
Total Nacional,Cataluï¿½a,Tarragona,2021-02-01,2021,2,Febrero,1.62
Total Nacional,Cataluï¿½a,Tarragona,2021-01-01,2021,1,Enero,1.77
Total Nacional,Comunitat Valenciana,,2022-12-01,2022,12,Diciembre,2.8
Total Nacional,Comunitat Valenciana,,2022-11-01,2022,11,Noviembre,2.98
Total Nacional,Comunitat Valenciana,,2022-10-01,2022,10,Octubre,3.1
Total Nacional,Comunitat Valenciana,,2022-09-01,2022,9,Septiembre,3.37
Total Nacional,Comunitat Valenciana,,2022-08-01,2022,8,Agosto,3.64
Total Nacional,Comunitat Valenciana,,2022-07-01,2022,7,Julio,3.35
Total Nacional,Comunitat Valenciana,,2022-06-01,2022,6,Junio,3.08
Total Nacional,Comunitat Valenciana,,2022-05-01,2022,5,Mayo,3.05
Total Nacional,Comunitat Valenciana,,2022-04-01,2022,4,Abril,2.98
Total Nacional,Comunitat Valenciana,,2022-03-01,2022,3,Marzo,2.88
Total Nacional,Comunitat Valenciana,,2022-02-01,2022,2,Febrero,2.34
Total Nacional,Comunitat Valenciana,,2022-01-01,2022,1,Enero,2.38
Total Nacional,Comunitat Valenciana,,2021-12-01,2021,12,Diciembre,2.36
Total Nacional,Comunitat Valenciana,,2021-11-01,2021,11,Noviembre,2.56
Total Nacional,Comunitat Valenciana,,2021-10-01,2021,10,Octubre,2.85
Total Nacional,Comunitat Valenciana,,2021-09-01,2021,9,Septiembre,3.07
Total Nacional,Comunitat Valenciana,,2021-08-01,2021,8,Agosto,3.28
Total Nacional,Comunitat Valenciana,,2021-07-01,2021,7,Julio,2.98
Total Nacional,Comunitat Valenciana,,2021-06-01,2021,6,Junio,2.53
Total Nacional,Comunitat Valenciana,,2021-05-01,2021,5,Mayo,1.93
Total Nacional,Comunitat Valenciana,,2021-04-01,2021,4,Abril,1.82
Total Nacional,Comunitat Valenciana,,2021-03-01,2021,3,Marzo,1.77
Total Nacional,Comunitat Valenciana,,2021-02-01,2021,2,Febrero,1.84
Total Nacional,Comunitat Valenciana,,2021-01-01,2021,1,Enero,1.99
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2022-12-01,2022,12,Diciembre,3.52
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2022-11-01,2022,11,Noviembre,3.9
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2022-10-01,2022,10,Octubre,3.96
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2022-09-01,2022,9,Septiembre,4.0
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2022-08-01,2022,8,Agosto,4.17
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2022-07-01,2022,7,Julio,3.86
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2022-06-01,2022,6,Junio,3.67
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2022-05-01,2022,5,Mayo,3.69
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2022-04-01,2022,4,Abril,3.55
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2022-03-01,2022,3,Marzo,3.66
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2022-02-01,2022,2,Febrero,2.81
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2022-01-01,2022,1,Enero,2.95
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2021-12-01,2021,12,Diciembre,2.71
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2021-11-01,2021,11,Noviembre,3.11
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2021-10-01,2021,10,Octubre,3.43
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2021-09-01,2021,9,Septiembre,3.48
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2021-08-01,2021,8,Agosto,3.55
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2021-07-01,2021,7,Julio,3.21
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2021-06-01,2021,6,Junio,2.68
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2021-05-01,2021,5,Mayo,2.04
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2021-04-01,2021,4,Abril,1.85
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2021-03-01,2021,3,Marzo,1.84
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2021-02-01,2021,2,Febrero,2.0
Total Nacional,Comunitat Valenciana,Alicante/Alacant,2021-01-01,2021,1,Enero,2.19
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2022-12-01,2022,12,Diciembre,1.99
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2022-11-01,2022,11,Noviembre,2.15
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2022-10-01,2022,10,Octubre,2.58
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2022-09-01,2022,9,Septiembre,3.37
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2022-08-01,2022,8,Agosto,3.72
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2022-07-01,2022,7,Julio,3.47
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2022-06-01,2022,6,Junio,2.91
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2022-05-01,2022,5,Mayo,2.65
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2022-04-01,2022,4,Abril,2.67
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2022-03-01,2022,3,Marzo,2.54
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2022-02-01,2022,2,Febrero,1.9
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2022-01-01,2022,1,Enero,1.87
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2021-12-01,2021,12,Diciembre,2.1
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2021-11-01,2021,11,Noviembre,1.83
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2021-10-01,2021,10,Octubre,2.44
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2021-09-01,2021,9,Septiembre,3.26
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2021-08-01,2021,8,Agosto,3.59
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2021-07-01,2021,7,Julio,3.31
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2021-06-01,2021,6,Junio,2.74
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2021-05-01,2021,5,Mayo,1.89
Total Nacional,Comunitat Valenciana,Castellï¿½n/Castellï¿½,2021-04-01,2021,4,Abril,1.86
