,periodo,provincia,viajeros_total,viajeros_esp,viajeros_ext,pernoc_total,pernoc_esp,pernoc_ext,provincia_simp,id,estancia_media_total,estancia_media_esp,estancia_media_ext,year,month,iso_date
201,2022M08,46 Valencia/València,367124,199207,167917,1028520,559409,469110,46 Valencia/València,2022M08_46 Valencia/València,2.801560235778647,2.8081794314456823,2.7937016502200493,2022,8,2022-08-01
202,2022M08,28 Madrid,855535,448780,406755,1701671,786584,915087,Madrid,2022M08_Madrid,1.989013891892208,1.752716252952449,2.249725264594166,2022,8,2022-08-01
203,2022M07,29 Málaga,686330,334995,351335,2529662,954203,1575458,Málaga,2022M07_Málaga,3.685780892573544,2.8484096777563845,4.484204534134088,2022,7,2022-07-01
204,2022M07,41 Sevilla,262989,138999,123990,502287,225997,276290,Sevilla,2022M07_Sevilla,1.9099163843354665,1.625889394887733,2.22832486490846,2022,7,2022-07-01
205,2022M07,"07 Balears, Illes",1904858,242215,1662644,10386341,936133,9450208,Illes Balears,2022M07_Illes Balears,5.452553943653543,3.864884503437029,5.683843324247404,2022,7,2022-07-01
206,2022M07,08 Barcelona,1261966,335624,926342,3679867,724881,2954985,Barcelona,2022M07_Barcelona,2.915979511333903,2.1598008485686364,3.189950363904476,2022,7,2022-07-01
207,2022M07,17 Girona,588305,244445,343860,2068066,619760,1448306,Girona,2022M07_Girona,3.51529563746696,2.535376055963509,4.211906008259176,2022,7,2022-07-01
208,2022M07,46 Valencia/València,371848,216352,155496,948459,543356,405103,46 Valencia/València,2022M07_46 Valencia/València,2.550663174200211,2.511444312971454,2.6052310027267582,2022,7,2022-07-01
209,2022M07,28 Madrid,961454,480539,480915,1922656,830820,1091837,Madrid,2022M07_Madrid,1.9997378969768704,1.7289335516992377,2.270332595157148,2022,7,2022-07-01
210,2022M06,29 Málaga,611199,258698,352500,2161308,623015,1538293,Málaga,2022M06_Málaga,3.5361772515989065,2.408271420729963,4.363951773049646,2022,6,2022-06-01
211,2022M06,41 Sevilla,313214,175085,138129,611078,296052,315026,Sevilla,2022M06_Sevilla,1.9509919735388583,1.6909044178541852,2.2806651753071403,2022,6,2022-06-01
212,2022M06,"07 Balears, Illes",1742424,238985,1503440,8956158,826105,8130054,Illes Balears,2022M06_Illes Balears,5.140056610790485,3.4567232253070275,5.407634491566009,2022,6,2022-06-01
213,2022M06,08 Barcelona,1140167,303980,836187,3209021,659593,2549429,Barcelona,2022M06_Barcelona,2.8145183994976173,2.169856569511152,3.0488742350694285,2022,6,2022-06-01
214,2022M06,17 Girona,509322,255088,254234,1385761,525728,860032,Girona,2022M06_Girona,2.720795488904858,2.0609671956344475,3.3828362846826154,2022,6,2022-06-01
215,2022M06,46 Valencia/València,335018,208777,126241,794544,459584,334960,46 Valencia/València,2022M06_46 Valencia/València,2.371645702618964,2.2013152789818804,2.653337663675034,2022,6,2022-06-01
216,2022M06,28 Madrid,1016352,554884,461468,2029532,940874,1088657,Madrid,2022M06_Madrid,1.9968790340354523,1.6956228689239552,2.3591169918607573,2022,6,2022-06-01
