ENCUESTA ANUAL LABORAL,,,,,EAL
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,66.489,24.293,7.455,1.763
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,26.005,42.541,28.201,3.253
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,12.45,31.105,39.802,16.642
Dificultad para acceder a ayudas o subvenciones públicas,100,19.751,37.472,28.866,13.911
Otras razones,100,60.797,29.088,7.502,2.614
"EAL-24b. EMPRESAS DE 50 A 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",,,,,
Año 2023. Porcentaje sobre el total de empresas de 50 a 499 trabajadores que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,8.112,24.769,57.497,9.622
"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",100,16.123,35.1,40.149,8.628
Dificultad para evaluar la necesidades de formación de la empresa,100,24.539,57.774,15.709,1.978
La falta de cursos de formación adecuados en el mercado,100,22.42,53.429,19.755,4.396
El alto coste de los cursos de formación,100,17.583,43.345,31.099,7.973
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,65.063,28.025,6.325,0.587
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,27.528,48.102,22.138,2.232
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,10.193,34.298,42.478,13.031
Dificultad para acceder a ayudas o subvenciones públicas,100,24.637,46.774,22.303,6.286
Otras razones,100,61.329,30.16,6.511,1.999
"EAL-24c. EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",,,,,
Año 2023. Porcentaje sobre el total de empresas de más de 499 trabajadores que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,11.454,34.286,47.241,7.019
"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",100,15.981,46.399,31.607,6.013
Dificultad para evaluar la necesidades de formación de la empresa,100,30.083,56.321,12.241,1.355
La falta de cursos de formación adecuados en el mercado,100,25.551,57.794,14.966,1.689
El alto coste de los cursos de formación,100,15.639,47.126,32.007,5.228
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,62.147,32.974,4.216,0.664
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,26.04,48.544,23.18,2.236
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,10.175,39.526,38.271,12.027
Dificultad para acceder a ayudas o subvenciones públicas,100,28.352,49.642,18.032,3.975
Otras razones,100,62.225,30.997,4.925,1.853
"EAL-24d. EMPRESAS DE LA INDUSTRIA QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",,,,,
Año 2023. Porcentaje sobre el total de empresas en la industria que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,5.963,20.875,59.811,13.351
"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",100,21.322,33.58,35.877,9.222
Dificultad para evaluar la necesidades de formación de la empresa,100,26.752,57.101,14.584,1.563
La falta de cursos de formación adecuados en el mercado,100,20.394,48.566,25.335,5.706
El alto coste de los cursos de formación,100,17.128,38.696,32.311,11.864
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,66.862,25.302,6.869,0.966
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,24.643,43.198,29.22,2.939
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,12.631,30.542,40.776,16.05
Dificultad para acceder a ayudas o subvenciones públicas,100,21.662,41.791,25.954,10.593
Otras razones,100,62.053,29.28,6.686,1.981
"EAL-24e. EMPRESAS DE LA CONSTRUCCIÓN QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ",,,,,
Año 2021. Porcentaje sobre el total de empresas en la construcción que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,4.42,19.026,58.556,17.998
"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",100,15.987,25.916,45.872,12.225
Dificultad para evaluar la necesidades de formación de la empresa,100,25.395,55.874,16.185,2.546
La falta de cursos de formación adecuados en el mercado,100,21.133,47.166,25.373,6.328
El alto coste de los cursos de formación,100,14.086,35.854,34.425,15.636
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,65.948,23.213,8.527,2.312
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,22.867,42.403,29.339,5.39
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,10.781,31.39,41.489,16.34
Dificultad para acceder a ayudas o subvenciones públicas,100,17.815,34.379,30.316,17.489
Otras razones,100,59.933,29.083,8.103,2.881
"EAL-24f. EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS",,,,,
Año 2023. Porcentaje sobre el total de empresas en el sector servicios que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,8.198,17.574,56.83,17.398
"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",100,20.622,25.614,41.983,11.781
Dificultad para evaluar la necesidades de formación de la empresa,100,28.524,54.054,15.397,2.025
La falta de cursos de formación adecuados en el mercado,100,25.199,46.846,21.676,6.28
El alto coste de los cursos de formación,100,19.205,39.063,30.317,11.415
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,66.277,24.852,7.195,1.677
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,27.157,43.202,26.888,2.753
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,12.425,31.689,39.563,16.323
Dificultad para acceder a ayudas o subvenciones públicas,100,20.418,38.416,28.291,12.876
Otras razones,100,60.758,29.204,7.416,2.621
