anio,tabla,pregunta,dimension,ambito,total_empresas,empresas_formacion_total,formacion_cursos_y_otros,solo_cursos,solo_otros_tipos_formacion,empresas_no_formacion
2022,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Industria,100.0,72.992,66.717,20.965,12.319,27.008
2022,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Construcción,100.0,75.764,58.659,26.951,14.39,24.236
2022,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Comercio y reparación de vehículos,100.0,68.012,65.772,21.459,12.769,31.988
2022,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Transporte y almacenamiento,100.0,76.619,58.77,30.769,10.46,23.381
2022,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Hostelería,100.0,57.999,51.827,27.71,20.463,42.001
2022,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Actividades administrativas y servicios auxiliares,100.0,75.577,68.99,19.55,11.459,24.423
2022,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",100.0,70.645,63.373,21.112,15.515,29.355
2022,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Andalucía,100.0,68.85,61.262,26.707,12.031,31.15
2022,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Cataluña,100.0,74.792,66.798,16.877,16.325,25.208
2022,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Comunitat Valenciana,100.0,65.925,62.009,23.575,14.415,34.075
2022,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Madrid (Comunidad de),100.0,75.843,67.651,19.31,13.039,24.157
2022,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,País Vasco,100.0,69.663,67.106,21.361,11.533,30.337
2023,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TOTAL,TOTAL,100.0,72.947,58.571,24.357,17.072,27.053
2023,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,Más de 499 trabajadores,100.0,99.284,90.515,8.876,0.608,0.716
2023,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Industria,100.0,78.356,60.451,24.289,15.26,21.644
2023,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Construcción,100.0,79.396,61.345,26.216,12.439,20.604
2023,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Comercio y reparación de vehículos,100.0,70.702,60.194,22.87,16.936,29.298
2023,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Transporte y almacenamiento,100.0,79.607,49.784,36.123,14.093,20.393
2023,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Hostelería,100.0,58.388,46.873,27.323,25.804,41.612
2023,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Actividades administrativas y servicios auxiliares,100.0,72.704,60.599,26.672,12.729,27.296
2023,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",100.0,71.844,57.268,20.703,22.029,28.156
2023,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Andalucía,100.0,73.308,54.173,30.521,15.307,26.692
2023,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Cataluña,100.0,74.482,61.035,19.602,19.363,25.518
2023,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Comunitat Valenciana,100.0,72.761,59.305,20.987,19.708,27.239
2023,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Madrid (Comunidad de),100.0,72.909,64.412,18.568,17.02,27.091
2023,EAL-17,"EMPRESAS, SEGÚN SI IMPARTIERON FORMACIÓN, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,País Vasco,100.0,73.801,57.427,31.464,11.109,26.199
2024,EAL-17,"EMPRESAS SEGÚN SI IMPARTIERON FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TOTAL,TOTAL,100.0,73.468,60.22,25.366,14.415,26.532
2024,EAL-17,"EMPRESAS SEGÚN SI IMPARTIERON FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,Más de 499 trabajadores,100.0,99.298,88.305,9.742,1.953,0.702
2024,EAL-17,"EMPRESAS SEGÚN SI IMPARTIERON FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Industria,100.0,76.222,64.223,20.911,14.866,23.778
2024,EAL-17,"EMPRESAS SEGÚN SI IMPARTIERON FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Construcción,100.0,77.713,61.593,29.467,8.94,22.287
2024,EAL-17,"EMPRESAS SEGÚN SI IMPARTIERON FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Comercio y reparación de vehículos,100.0,73.959,62.349,23.788,13.863,26.041
2024,EAL-17,"EMPRESAS SEGÚN SI IMPARTIERON FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Transporte y almacenamiento,100.0,77.405,55.376,34.796,9.828,22.595
2024,EAL-17,"EMPRESAS SEGÚN SI IMPARTIERON FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Hostelería,100.0,60.735,42.63,36.362,21.008,39.265
2024,EAL-17,"EMPRESAS SEGÚN SI IMPARTIERON FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Actividades administrativas y servicios auxiliares,100.0,74.261,64.392,22.657,12.951,25.739
2024,EAL-17,"EMPRESAS SEGÚN SI IMPARTIERON FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,"Actividades artísticas, recreativas y de entretenimiento y otros servicios",100.0,73.509,62.515,20.437,17.047,26.491
2024,EAL-17,"EMPRESAS SEGÚN SI IMPARTIERON FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Andalucía,100.0,73.324,53.315,31.577,15.109,26.676
2024,EAL-17,"EMPRESAS SEGÚN SI IMPARTIERON FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Cataluña,100.0,76.296,65.436,20.504,14.06,23.704
2024,EAL-17,"EMPRESAS SEGÚN SI IMPARTIERON FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Comunitat Valenciana,100.0,74.32,58.492,27.612,13.896,25.68
2024,EAL-17,"EMPRESAS SEGÚN SI IMPARTIERON FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Madrid (Comunidad de),100.0,72.991,62.348,22.853,14.799,27.009
2024,EAL-17,"EMPRESAS SEGÚN SI IMPARTIERON FORMACIÓN POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,País Vasco,100.0,71.171,64.009,24.95,11.042,28.829
