Totales Territoriales,Comunidades y Ciudades Autónomas,Provincias,Viajeros y pernoctaciones,Residencia: Nivel 2,Periodo,Total,cod_comunidad,nombre_comunidad,cod_provincia,nombre_provincia,año,mes
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,,2021M12,1271540,09,Cataluña,08,Barcelona,2021,12
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,,2021M11,1434167,09,Cataluña,08,Barcelona,2021,11
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,,2021M10,1856628,09,Cataluña,08,Barcelona,2021,10
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,,2021M09,1647371,09,Cataluña,08,Barcelona,2021,9
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,,2021M08,2285746,09,Cataluña,08,Barcelona,2021,8
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,,2021M07,1584510,09,Cataluña,08,Barcelona,2021,7
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,,2021M06,937701,09,Cataluña,08,Barcelona,2021,6
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,,2021M05,617998,09,Cataluña,08,Barcelona,2021,5
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,,2021M04,404763,09,Cataluña,08,Barcelona,2021,4
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,,2021M03,343994,09,Cataluña,08,Barcelona,2021,3
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,,2021M02,269680,09,Cataluña,08,Barcelona,2021,2
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,,2021M01,251913,09,Cataluña,08,Barcelona,2021,1
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2025M12,496206,09,Cataluña,08,Barcelona,2025,12
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2025M11,495002,09,Cataluña,08,Barcelona,2025,11
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2025M10,595244,09,Cataluña,08,Barcelona,2025,10
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2025M09,521436,09,Cataluña,08,Barcelona,2025,9
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2025M08,623449,09,Cataluña,08,Barcelona,2025,8
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2025M07,645421,09,Cataluña,08,Barcelona,2025,7
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2025M06,597453,09,Cataluña,08,Barcelona,2025,6
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2025M05,614952,09,Cataluña,08,Barcelona,2025,5
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2025M04,519768,09,Cataluña,08,Barcelona,2025,4
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2025M03,515426,09,Cataluña,08,Barcelona,2025,3
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2025M02,435265,09,Cataluña,08,Barcelona,2025,2
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2025M01,426465,09,Cataluña,08,Barcelona,2025,1
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2024M12,485475,09,Cataluña,08,Barcelona,2024,12
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2024M11,509485,09,Cataluña,08,Barcelona,2024,11
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2024M10,571488,09,Cataluña,08,Barcelona,2024,10
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2024M09,543250,09,Cataluña,08,Barcelona,2024,9
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2024M08,589496,09,Cataluña,08,Barcelona,2024,8
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2024M07,619025,09,Cataluña,08,Barcelona,2024,7
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2024M06,610476,09,Cataluña,08,Barcelona,2024,6
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2024M05,587277,09,Cataluña,08,Barcelona,2024,5
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2024M04,543198,09,Cataluña,08,Barcelona,2024,4
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2024M03,564127,09,Cataluña,08,Barcelona,2024,3
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2024M02,484989,09,Cataluña,08,Barcelona,2024,2
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2024M01,435764,09,Cataluña,08,Barcelona,2024,1
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2023M12,472811,09,Cataluña,08,Barcelona,2023,12
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2023M11,492263,09,Cataluña,08,Barcelona,2023,11
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2023M10,589710,09,Cataluña,08,Barcelona,2023,10
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2023M09,555333,09,Cataluña,08,Barcelona,2023,9
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2023M08,649993,09,Cataluña,08,Barcelona,2023,8
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2023M07,694572,09,Cataluña,08,Barcelona,2023,7
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2023M06,632369,09,Cataluña,08,Barcelona,2023,6
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2023M05,649336,09,Cataluña,08,Barcelona,2023,5
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2023M04,616293,09,Cataluña,08,Barcelona,2023,4
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2023M03,603748,09,Cataluña,08,Barcelona,2023,3
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2023M02,487297,09,Cataluña,08,Barcelona,2023,2
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2023M01,462121,09,Cataluña,08,Barcelona,2023,1
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2022M12,498284,09,Cataluña,08,Barcelona,2022,12
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2022M11,508819,09,Cataluña,08,Barcelona,2022,11
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2022M10,607951,09,Cataluña,08,Barcelona,2022,10
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2022M09,596473,09,Cataluña,08,Barcelona,2022,9
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2022M08,692499,09,Cataluña,08,Barcelona,2022,8
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2022M07,724881,09,Cataluña,08,Barcelona,2022,7
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2022M06,659593,09,Cataluña,08,Barcelona,2022,6
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2022M05,614237,09,Cataluña,08,Barcelona,2022,5
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2022M04,605783,09,Cataluña,08,Barcelona,2022,4
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2022M03,516812,09,Cataluña,08,Barcelona,2022,3
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2022M02,419550,09,Cataluña,08,Barcelona,2022,2
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2022M01,354869,09,Cataluña,08,Barcelona,2022,1
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2021M12,454372,09,Cataluña,08,Barcelona,2021,12
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2021M11,409903,09,Cataluña,08,Barcelona,2021,11
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2021M10,535372,09,Cataluña,08,Barcelona,2021,10
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2021M09,473376,09,Cataluña,08,Barcelona,2021,9
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2021M08,645294,09,Cataluña,08,Barcelona,2021,8
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2021M07,548455,09,Cataluña,08,Barcelona,2021,7
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2021M06,441866,09,Cataluña,08,Barcelona,2021,6
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2021M05,322225,09,Cataluña,08,Barcelona,2021,5
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2021M04,246519,09,Cataluña,08,Barcelona,2021,4
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2021M03,231548,09,Cataluña,08,Barcelona,2021,3
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2021M02,188427,09,Cataluña,08,Barcelona,2021,2
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en España,2021M01,174695,09,Cataluña,08,Barcelona,2021,1
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2025M12,1523919,09,Cataluña,08,Barcelona,2025,12
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2025M11,1718801,09,Cataluña,08,Barcelona,2025,11
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2025M10,2678700,09,Cataluña,08,Barcelona,2025,10
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2025M09,2823429,09,Cataluña,08,Barcelona,2025,9
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2025M08,3449333,09,Cataluña,08,Barcelona,2025,8
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2025M07,3257203,09,Cataluña,08,Barcelona,2025,7
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2025M06,2885333,09,Cataluña,08,Barcelona,2025,6
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2025M05,2703744,09,Cataluña,08,Barcelona,2025,5
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2025M04,2339434,09,Cataluña,08,Barcelona,2025,4
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2025M03,1845790,09,Cataluña,08,Barcelona,2025,3
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2025M02,1528882,09,Cataluña,08,Barcelona,2025,2
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2025M01,1409017,09,Cataluña,08,Barcelona,2025,1
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2024M12,1414766,09,Cataluña,08,Barcelona,2024,12
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2024M11,1654694,09,Cataluña,08,Barcelona,2024,11
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2024M10,2559442,09,Cataluña,08,Barcelona,2024,10
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2024M09,2798425,09,Cataluña,08,Barcelona,2024,9
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2024M08,3471711,09,Cataluña,08,Barcelona,2024,8
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2024M07,3262897,09,Cataluña,08,Barcelona,2024,7
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2024M06,2895390,09,Cataluña,08,Barcelona,2024,6
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2024M05,2846860,09,Cataluña,08,Barcelona,2024,5
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2024M04,2266344,09,Cataluña,08,Barcelona,2024,4
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2024M03,1974434,09,Cataluña,08,Barcelona,2024,3
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2024M02,1600121,09,Cataluña,08,Barcelona,2024,2
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2024M01,1340817,09,Cataluña,08,Barcelona,2024,1
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2023M12,1384603,09,Cataluña,08,Barcelona,2023,12
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2023M11,1647469,09,Cataluña,08,Barcelona,2023,11
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2023M10,2581304,09,Cataluña,08,Barcelona,2023,10
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2023M09,2793696,09,Cataluña,08,Barcelona,2023,9
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2023M08,3376797,09,Cataluña,08,Barcelona,2023,8
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2023M07,3140450,09,Cataluña,08,Barcelona,2023,7
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2023M06,2667663,09,Cataluña,08,Barcelona,2023,6
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2023M05,2538461,09,Cataluña,08,Barcelona,2023,5
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2023M04,2266476,09,Cataluña,08,Barcelona,2023,4
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2023M03,1744055,09,Cataluña,08,Barcelona,2023,3
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2023M02,1464273,09,Cataluña,08,Barcelona,2023,2
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2023M01,1241533,09,Cataluña,08,Barcelona,2023,1
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2022M12,1262761,09,Cataluña,08,Barcelona,2022,12
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2022M11,1484186,09,Cataluña,08,Barcelona,2022,11
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2022M10,2314570,09,Cataluña,08,Barcelona,2022,10
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2022M09,2482226,09,Cataluña,08,Barcelona,2022,9
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2022M08,3182414,09,Cataluña,08,Barcelona,2022,8
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2022M07,2954985,09,Cataluña,08,Barcelona,2022,7
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2022M06,2549429,09,Cataluña,08,Barcelona,2022,6
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2022M05,2303551,09,Cataluña,08,Barcelona,2022,5
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2022M04,1927190,09,Cataluña,08,Barcelona,2022,4
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2022M03,1372491,09,Cataluña,08,Barcelona,2022,3
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2022M02,975350,09,Cataluña,08,Barcelona,2022,2
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2022M01,641291,09,Cataluña,08,Barcelona,2022,1
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2021M12,817169,09,Cataluña,08,Barcelona,2021,12
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2021M11,1024264,09,Cataluña,08,Barcelona,2021,11
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2021M10,1321256,09,Cataluña,08,Barcelona,2021,10
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2021M09,1173995,09,Cataluña,08,Barcelona,2021,9
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2021M08,1640452,09,Cataluña,08,Barcelona,2021,8
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2021M07,1036055,09,Cataluña,08,Barcelona,2021,7
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2021M06,495835,09,Cataluña,08,Barcelona,2021,6
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2021M05,295773,09,Cataluña,08,Barcelona,2021,5
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2021M04,158244,09,Cataluña,08,Barcelona,2021,4
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2021M03,112446,09,Cataluña,08,Barcelona,2021,3
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2021M02,81253,09,Cataluña,08,Barcelona,2021,2
Total Nacional,09 Cataluña,08 Barcelona,Pernoctaciones,Residentes en el Extranjero,2021M01,77219,09,Cataluña,08,Barcelona,2021,1
Total Nacional,09 Cataluña,17 Girona,Viajero,,2025M12,159681,09,Cataluña,17,Girona,2025,12
Total Nacional,09 Cataluña,17 Girona,Viajero,,2025M11,162854,09,Cataluña,17,Girona,2025,11
Total Nacional,09 Cataluña,17 Girona,Viajero,,2025M10,386164,09,Cataluña,17,Girona,2025,10
Total Nacional,09 Cataluña,17 Girona,Viajero,,2025M09,518825,09,Cataluña,17,Girona,2025,9
Total Nacional,09 Cataluña,17 Girona,Viajero,,2025M08,672163,09,Cataluña,17,Girona,2025,8
Total Nacional,09 Cataluña,17 Girona,Viajero,,2025M07,616349,09,Cataluña,17,Girona,2025,7
Total Nacional,09 Cataluña,17 Girona,Viajero,,2025M06,557845,09,Cataluña,17,Girona,2025,6
Total Nacional,09 Cataluña,17 Girona,Viajero,,2025M05,476262,09,Cataluña,17,Girona,2025,5
Total Nacional,09 Cataluña,17 Girona,Viajero,,2025M04,396998,09,Cataluña,17,Girona,2025,4
Total Nacional,09 Cataluña,17 Girona,Viajero,,2025M03,220328,09,Cataluña,17,Girona,2025,3
Total Nacional,09 Cataluña,17 Girona,Viajero,,2025M02,163511,09,Cataluña,17,Girona,2025,2
Total Nacional,09 Cataluña,17 Girona,Viajero,,2025M01,133988,09,Cataluña,17,Girona,2025,1
Total Nacional,09 Cataluña,17 Girona,Viajero,,2024M12,152175,09,Cataluña,17,Girona,2024,12
Total Nacional,09 Cataluña,17 Girona,Viajero,,2024M11,159482,09,Cataluña,17,Girona,2024,11
Total Nacional,09 Cataluña,17 Girona,Viajero,,2024M10,379239,09,Cataluña,17,Girona,2024,10
Total Nacional,09 Cataluña,17 Girona,Viajero,,2024M09,489776,09,Cataluña,17,Girona,2024,9
Total Nacional,09 Cataluña,17 Girona,Viajero,,2024M08,658624,09,Cataluña,17,Girona,2024,8
Total Nacional,09 Cataluña,17 Girona,Viajero,,2024M07,593977,09,Cataluña,17,Girona,2024,7
Total Nacional,09 Cataluña,17 Girona,Viajero,,2024M06,526211,09,Cataluña,17,Girona,2024,6
Total Nacional,09 Cataluña,17 Girona,Viajero,,2024M05,490049,09,Cataluña,17,Girona,2024,5
Total Nacional,09 Cataluña,17 Girona,Viajero,,2024M04,325500,09,Cataluña,17,Girona,2024,4
Total Nacional,09 Cataluña,17 Girona,Viajero,,2024M03,242817,09,Cataluña,17,Girona,2024,3
Total Nacional,09 Cataluña,17 Girona,Viajero,,2024M02,146071,09,Cataluña,17,Girona,2024,2
Total Nacional,09 Cataluña,17 Girona,Viajero,,2024M01,125212,09,Cataluña,17,Girona,2024,1
Total Nacional,09 Cataluña,17 Girona,Viajero,,2023M12,160939,09,Cataluña,17,Girona,2023,12
Total Nacional,09 Cataluña,17 Girona,Viajero,,2023M11,150172,09,Cataluña,17,Girona,2023,11
Total Nacional,09 Cataluña,17 Girona,Viajero,,2023M10,385596,09,Cataluña,17,Girona,2023,10
Total Nacional,09 Cataluña,17 Girona,Viajero,,2023M09,496403,09,Cataluña,17,Girona,2023,9
Total Nacional,09 Cataluña,17 Girona,Viajero,,2023M08,636179,09,Cataluña,17,Girona,2023,8
Total Nacional,09 Cataluña,17 Girona,Viajero,,2023M07,590663,09,Cataluña,17,Girona,2023,7
Total Nacional,09 Cataluña,17 Girona,Viajero,,2023M06,514135,09,Cataluña,17,Girona,2023,6
Total Nacional,09 Cataluña,17 Girona,Viajero,,2023M05,443609,09,Cataluña,17,Girona,2023,5
Total Nacional,09 Cataluña,17 Girona,Viajero,,2023M04,414955,09,Cataluña,17,Girona,2023,4
Total Nacional,09 Cataluña,17 Girona,Viajero,,2023M03,187875,09,Cataluña,17,Girona,2023,3
Total Nacional,09 Cataluña,17 Girona,Viajero,,2023M02,145938,09,Cataluña,17,Girona,2023,2
Total Nacional,09 Cataluña,17 Girona,Viajero,,2023M01,122352,09,Cataluña,17,Girona,2023,1
Total Nacional,09 Cataluña,17 Girona,Viajero,,2022M12,155444,09,Cataluña,17,Girona,2022,12
Total Nacional,09 Cataluña,17 Girona,Viajero,,2022M11,139248,09,Cataluña,17,Girona,2022,11
Total Nacional,09 Cataluña,17 Girona,Viajero,,2022M10,351089,09,Cataluña,17,Girona,2022,10
Total Nacional,09 Cataluña,17 Girona,Viajero,,2022M09,453933,09,Cataluña,17,Girona,2022,9
Total Nacional,09 Cataluña,17 Girona,Viajero,,2022M08,628238,09,Cataluña,17,Girona,2022,8
Total Nacional,09 Cataluña,17 Girona,Viajero,,2022M07,588305,09,Cataluña,17,Girona,2022,7
Total Nacional,09 Cataluña,17 Girona,Viajero,,2022M06,509322,09,Cataluña,17,Girona,2022,6
Total Nacional,09 Cataluña,17 Girona,Viajero,,2022M05,379462,09,Cataluña,17,Girona,2022,5
Total Nacional,09 Cataluña,17 Girona,Viajero,,2022M04,329552,09,Cataluña,17,Girona,2022,4
Total Nacional,09 Cataluña,17 Girona,Viajero,,2022M03,148484,09,Cataluña,17,Girona,2022,3
Total Nacional,09 Cataluña,17 Girona,Viajero,,2022M02,148373,09,Cataluña,17,Girona,2022,2
Total Nacional,09 Cataluña,17 Girona,Viajero,,2022M01,111627,09,Cataluña,17,Girona,2022,1
Total Nacional,09 Cataluña,17 Girona,Viajero,,2021M12,145152,09,Cataluña,17,Girona,2021,12
Total Nacional,09 Cataluña,17 Girona,Viajero,,2021M11,134474,09,Cataluña,17,Girona,2021,11
Total Nacional,09 Cataluña,17 Girona,Viajero,,2021M10,293218,09,Cataluña,17,Girona,2021,10
Total Nacional,09 Cataluña,17 Girona,Viajero,,2021M09,338181,09,Cataluña,17,Girona,2021,9
Total Nacional,09 Cataluña,17 Girona,Viajero,,2021M08,577762,09,Cataluña,17,Girona,2021,8
Total Nacional,09 Cataluña,17 Girona,Viajero,,2021M07,430850,09,Cataluña,17,Girona,2021,7
Total Nacional,09 Cataluña,17 Girona,Viajero,,2021M06,294814,09,Cataluña,17,Girona,2021,6
Total Nacional,09 Cataluña,17 Girona,Viajero,,2021M05,169103,09,Cataluña,17,Girona,2021,5
Total Nacional,09 Cataluña,17 Girona,Viajero,,2021M04,67238,09,Cataluña,17,Girona,2021,4
Total Nacional,09 Cataluña,17 Girona,Viajero,,2021M03,67372,09,Cataluña,17,Girona,2021,3
Total Nacional,09 Cataluña,17 Girona,Viajero,,2021M02,28130,09,Cataluña,17,Girona,2021,2
Total Nacional,09 Cataluña,17 Girona,Viajero,,2021M01,29191,09,Cataluña,17,Girona,2021,1
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2025M12,96521,09,Cataluña,17,Girona,2025,12
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2025M11,86673,09,Cataluña,17,Girona,2025,11
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2025M10,136929,09,Cataluña,17,Girona,2025,10
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2025M09,185813,09,Cataluña,17,Girona,2025,9
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2025M08,265488,09,Cataluña,17,Girona,2025,8
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2025M07,227998,09,Cataluña,17,Girona,2025,7
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2025M06,237743,09,Cataluña,17,Girona,2025,6
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2025M05,180981,09,Cataluña,17,Girona,2025,5
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2025M04,169742,09,Cataluña,17,Girona,2025,4
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2025M03,122144,09,Cataluña,17,Girona,2025,3
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2025M02,90859,09,Cataluña,17,Girona,2025,2
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2025M01,77340,09,Cataluña,17,Girona,2025,1
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2024M12,91881,09,Cataluña,17,Girona,2024,12
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2024M11,86908,09,Cataluña,17,Girona,2024,11
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2024M10,123611,09,Cataluña,17,Girona,2024,10
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2024M09,153745,09,Cataluña,17,Girona,2024,9
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2024M08,256450,09,Cataluña,17,Girona,2024,8
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2024M07,202418,09,Cataluña,17,Girona,2024,7
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2024M06,222070,09,Cataluña,17,Girona,2024,6
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2024M05,168230,09,Cataluña,17,Girona,2024,5
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2024M04,112923,09,Cataluña,17,Girona,2024,4
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2024M03,132842,09,Cataluña,17,Girona,2024,3
Total Nacional,09 Cataluña,17 Girona,Viajero,Residentes en España,2024M02,77554,09,Cataluña,17,Girona,2024,2
