Totales Territoriales,Comunidades y Ciudades Autónomas,Provincias,Viajeros y pernoctaciones,Residencia: Nivel 2,Periodo,Total,cod_comunidad,nombre_comunidad,cod_provincia,nombre_provincia,año,mes
Total Nacional,,,Viajero,Residentes en España,2022M02,3164177,,,,,2022,2
Total Nacional,,,Viajero,Residentes en España,2022M01,2342492,,,,,2022,1
Total Nacional,,,Viajero,Residentes en España,2021M12,3164988,,,,,2021,12
Total Nacional,,,Viajero,Residentes en España,2021M11,3218059,,,,,2021,11
Total Nacional,,,Viajero,Residentes en España,2021M10,4590112,,,,,2021,10
Total Nacional,,,Viajero,Residentes en España,2021M09,4952050,,,,,2021,9
Total Nacional,,,Viajero,Residentes en España,2021M08,6935006,,,,,2021,8
Total Nacional,,,Viajero,Residentes en España,2021M07,5772248,,,,,2021,7
Total Nacional,,,Viajero,Residentes en España,2021M06,4179628,,,,,2021,6
Total Nacional,,,Viajero,Residentes en España,2021M05,2580060,,,,,2021,5
Total Nacional,,,Viajero,Residentes en España,2021M04,1559023,,,,,2021,4
Total Nacional,,,Viajero,Residentes en España,2021M03,1456708,,,,,2021,3
Total Nacional,,,Viajero,Residentes en España,2021M02,975226,,,,,2021,2
Total Nacional,,,Viajero,Residentes en España,2021M01,889575,,,,,2021,1
Total Nacional,,,Viajero,Residentes en el Extranjero,2025M12,3159943,,,,,2025,12
Total Nacional,,,Viajero,Residentes en el Extranjero,2025M11,3593686,,,,,2025,11
Total Nacional,,,Viajero,Residentes en el Extranjero,2025M10,6396404,,,,,2025,10
Total Nacional,,,Viajero,Residentes en el Extranjero,2025M09,6965279,,,,,2025,9
Total Nacional,,,Viajero,Residentes en el Extranjero,2025M08,7419417,,,,,2025,8
Total Nacional,,,Viajero,Residentes en el Extranjero,2025M07,7202305,,,,,2025,7
Total Nacional,,,Viajero,Residentes en el Extranjero,2025M06,6816343,,,,,2025,6
Total Nacional,,,Viajero,Residentes en el Extranjero,2025M05,6870352,,,,,2025,5
Total Nacional,,,Viajero,Residentes en el Extranjero,2025M04,5456618,,,,,2025,4
Total Nacional,,,Viajero,Residentes en el Extranjero,2025M03,3913221,,,,,2025,3
Total Nacional,,,Viajero,Residentes en el Extranjero,2025M02,3118786,,,,,2025,2
Total Nacional,,,Viajero,Residentes en el Extranjero,2025M01,2857866,,,,,2025,1
Total Nacional,,,Viajero,Residentes en el Extranjero,2024M12,2916057,,,,,2024,12
Total Nacional,,,Viajero,Residentes en el Extranjero,2024M11,3397063,,,,,2024,11
Total Nacional,,,Viajero,Residentes en el Extranjero,2024M10,6233770,,,,,2024,10
Total Nacional,,,Viajero,Residentes en el Extranjero,2024M09,6762248,,,,,2024,9
Total Nacional,,,Viajero,Residentes en el Extranjero,2024M08,7259558,,,,,2024,8
Total Nacional,,,Viajero,Residentes en el Extranjero,2024M07,6935810,,,,,2024,7
Total Nacional,,,Viajero,Residentes en el Extranjero,2024M06,6445432,,,,,2024,6
Total Nacional,,,Viajero,Residentes en el Extranjero,2024M05,6839894,,,,,2024,5
Total Nacional,,,Viajero,Residentes en el Extranjero,2024M04,5205019,,,,,2024,4
Total Nacional,,,Viajero,Residentes en el Extranjero,2024M03,4020556,,,,,2024,3
Total Nacional,,,Viajero,Residentes en el Extranjero,2024M02,3089851,,,,,2024,2
Total Nacional,,,Viajero,Residentes en el Extranjero,2024M01,2741530,,,,,2024,1
Total Nacional,,,Viajero,Residentes en el Extranjero,2023M12,2850010,,,,,2023,12
Total Nacional,,,Viajero,Residentes en el Extranjero,2023M11,3212056,,,,,2023,11
Total Nacional,,,Viajero,Residentes en el Extranjero,2023M10,5801286,,,,,2023,10
Total Nacional,,,Viajero,Residentes en el Extranjero,2023M09,6505010,,,,,2023,9
Total Nacional,,,Viajero,Residentes en el Extranjero,2023M08,6884708,,,,,2023,8
Total Nacional,,,Viajero,Residentes en el Extranjero,2023M07,6668004,,,,,2023,7
Total Nacional,,,Viajero,Residentes en el Extranjero,2023M06,6080059,,,,,2023,6
Total Nacional,,,Viajero,Residentes en el Extranjero,2023M05,6026821,,,,,2023,5
Total Nacional,,,Viajero,Residentes en el Extranjero,2023M04,4845523,,,,,2023,4
Total Nacional,,,Viajero,Residentes en el Extranjero,2023M03,3378146,,,,,2023,3
Total Nacional,,,Viajero,Residentes en el Extranjero,2023M02,2629069,,,,,2023,2
