RESIDENCIA/ORIGEN,Países,Viajeros y pernoctaciones,Periodo,Total,año,mes
Total,República Checa,Viajero,2022M06,35584,2022,6
Total,República Checa,Viajero,2022M05,30983,2022,5
Total,República Checa,Viajero,2022M04,24940,2022,4
Total,República Checa,Viajero,2022M03,18604,2022,3
Total,República Checa,Viajero,2022M02,12772,2022,2
Total,República Checa,Viajero,2022M01,8943,2022,1
Total,República Checa,Viajero,2021M12,8551,2021,12
Total,República Checa,Viajero,2021M11,13370,2021,11
Total,República Checa,Viajero,2021M10,22263,2021,10
Total,República Checa,Viajero,2021M09,24693,2021,9
Total,República Checa,Viajero,2021M08,21839,2021,8
Total,República Checa,Viajero,2021M07,32331,2021,7
Total,República Checa,Viajero,2021M06,15051,2021,6
Total,República Checa,Viajero,2021M05,8405,2021,5
Total,República Checa,Viajero,2021M04,5686,2021,4
Total,República Checa,Viajero,2021M03,4125,2021,3
Total,República Checa,Viajero,2021M02,2191,2021,2
Total,República Checa,Viajero,2021M01,2330,2021,1
Total,República Checa,Pernoctaciones,2025M12,69383,2025,12
Total,República Checa,Pernoctaciones,2025M11,77449,2025,11
Total,República Checa,Pernoctaciones,2025M10,185232,2025,10
Total,República Checa,Pernoctaciones,2025M09,276967,2025,9
Total,República Checa,Pernoctaciones,2025M08,261735,2025,8
Total,República Checa,Pernoctaciones,2025M07,293166,2025,7
Total,República Checa,Pernoctaciones,2025M06,258325,2025,6
Total,República Checa,Pernoctaciones,2025M05,161933,2025,5
Total,República Checa,Pernoctaciones,2025M04,94022,2025,4
Total,República Checa,Pernoctaciones,2025M03,102096,2025,3
Total,República Checa,Pernoctaciones,2025M02,74283,2025,2
Total,República Checa,Pernoctaciones,2025M01,49467,2025,1
Total,República Checa,Pernoctaciones,2024M12,53328,2024,12
Total,República Checa,Pernoctaciones,2024M11,67874,2024,11
Total,República Checa,Pernoctaciones,2024M10,169577,2024,10
Total,República Checa,Pernoctaciones,2024M09,249027,2024,9
Total,República Checa,Pernoctaciones,2024M08,226512,2024,8
Total,República Checa,Pernoctaciones,2024M07,284236,2024,7
Total,República Checa,Pernoctaciones,2024M06,246586,2024,6
Total,República Checa,Pernoctaciones,2024M05,143096,2024,5
Total,República Checa,Pernoctaciones,2024M04,103079,2024,4
Total,República Checa,Pernoctaciones,2024M03,91955,2024,3
Total,República Checa,Pernoctaciones,2024M02,80508,2024,2
Total,República Checa,Pernoctaciones,2024M01,45007,2024,1
Total,República Checa,Pernoctaciones,2023M12,49777,2023,12
Total,República Checa,Pernoctaciones,2023M11,75003,2023,11
Total,República Checa,Pernoctaciones,2023M10,148694,2023,10
Total,República Checa,Pernoctaciones,2023M09,234488,2023,9
Total,República Checa,Pernoctaciones,2023M08,233771,2023,8
Total,República Checa,Pernoctaciones,2023M07,285777,2023,7
Total,República Checa,Pernoctaciones,2023M06,210186,2023,6
Total,República Checa,Pernoctaciones,2023M05,155442,2023,5
Total,República Checa,Pernoctaciones,2023M04,115556,2023,4
Total,República Checa,Pernoctaciones,2023M03,78385,2023,3
Total,República Checa,Pernoctaciones,2023M02,60120,2023,2
Total,República Checa,Pernoctaciones,2023M01,41228,2023,1
Total,República Checa,Pernoctaciones,2022M12,44645,2022,12
Total,República Checa,Pernoctaciones,2022M11,59534,2022,11
Total,República Checa,Pernoctaciones,2022M10,173943,2022,10
Total,República Checa,Pernoctaciones,2022M09,200996,2022,9
Total,República Checa,Pernoctaciones,2022M08,191819,2022,8
Total,República Checa,Pernoctaciones,2022M07,246901,2022,7
Total,República Checa,Pernoctaciones,2022M06,163427,2022,6
Total,República Checa,Pernoctaciones,2022M05,115116,2022,5
Total,República Checa,Pernoctaciones,2022M04,88635,2022,4
Total,República Checa,Pernoctaciones,2022M03,70345,2022,3
Total,República Checa,Pernoctaciones,2022M02,48031,2022,2
Total,República Checa,Pernoctaciones,2022M01,35681,2022,1
Total,República Checa,Pernoctaciones,2021M12,35354,2021,12
Total,República Checa,Pernoctaciones,2021M11,46298,2021,11
Total,República Checa,Pernoctaciones,2021M10,97503,2021,10
Total,República Checa,Pernoctaciones,2021M09,112473,2021,9
Total,República Checa,Pernoctaciones,2021M08,107961,2021,8
Total,República Checa,Pernoctaciones,2021M07,164114,2021,7
Total,República Checa,Pernoctaciones,2021M06,59339,2021,6
Total,República Checa,Pernoctaciones,2021M05,36587,2021,5
Total,República Checa,Pernoctaciones,2021M04,29853,2021,4
Total,República Checa,Pernoctaciones,2021M03,24736,2021,3
Total,República Checa,Pernoctaciones,2021M02,12923,2021,2
Total,República Checa,Pernoctaciones,2021M01,10468,2021,1
Total,Suecia,Viajero,2025M12,51899,2025,12
Total,Suecia,Viajero,2025M11,67788,2025,11
Total,Suecia,Viajero,2025M10,98711,2025,10
Total,Suecia,Viajero,2025M09,83737,2025,9
Total,Suecia,Viajero,2025M08,63894,2025,8
Total,Suecia,Viajero,2025M07,94437,2025,7
Total,Suecia,Viajero,2025M06,82559,2025,6
Total,Suecia,Viajero,2025M05,78538,2025,5
Total,Suecia,Viajero,2025M04,72039,2025,4
Total,Suecia,Viajero,2025M03,64351,2025,3
Total,Suecia,Viajero,2025M02,57136,2025,2
Total,Suecia,Viajero,2025M01,53885,2025,1
Total,Suecia,Viajero,2024M12,54564,2024,12
Total,Suecia,Viajero,2024M11,70750,2024,11
Total,Suecia,Viajero,2024M10,94802,2024,10
Total,Suecia,Viajero,2024M09,70856,2024,9
Total,Suecia,Viajero,2024M08,63077,2024,8
Total,Suecia,Viajero,2024M07,89840,2024,7
Total,Suecia,Viajero,2024M06,77030,2024,6
Total,Suecia,Viajero,2024M05,76343,2024,5
Total,Suecia,Viajero,2024M04,71704,2024,4
Total,Suecia,Viajero,2024M03,73995,2024,3
Total,Suecia,Viajero,2024M02,60098,2024,2
Total,Suecia,Viajero,2024M01,61269,2024,1
Total,Suecia,Viajero,2023M12,55338,2023,12
Total,Suecia,Viajero,2023M11,74144,2023,11
Total,Suecia,Viajero,2023M10,91634,2023,10
Total,Suecia,Viajero,2023M09,77154,2023,9
Total,Suecia,Viajero,2023M08,62714,2023,8
Total,Suecia,Viajero,2023M07,85223,2023,7
Total,Suecia,Viajero,2023M06,71439,2023,6
Total,Suecia,Viajero,2023M05,70640,2023,5
Total,Suecia,Viajero,2023M04,71199,2023,4
Total,Suecia,Viajero,2023M03,71971,2023,3
Total,Suecia,Viajero,2023M02,56607,2023,2
Total,Suecia,Viajero,2023M01,61837,2023,1
Total,Suecia,Viajero,2022M12,56090,2022,12
Total,Suecia,Viajero,2022M11,71640,2022,11
Total,Suecia,Viajero,2022M10,82346,2022,10
Total,Suecia,Viajero,2022M09,76613,2022,9
Total,Suecia,Viajero,2022M08,62114,2022,8
Total,Suecia,Viajero,2022M07,86411,2022,7
Total,Suecia,Viajero,2022M06,71124,2022,6
Total,Suecia,Viajero,2022M05,74242,2022,5
Total,Suecia,Viajero,2022M04,63726,2022,4
Total,Suecia,Viajero,2022M03,52984,2022,3
Total,Suecia,Viajero,2022M02,39450,2022,2
Total,Suecia,Viajero,2022M01,37152,2022,1
Total,Suecia,Viajero,2021M12,44599,2021,12
Total,Suecia,Viajero,2021M11,57625,2021,11
Total,Suecia,Viajero,2021M10,64614,2021,10
Total,Suecia,Viajero,2021M09,52275,2021,9
Total,Suecia,Viajero,2021M08,42652,2021,8
Total,Suecia,Viajero,2021M07,53545,2021,7
Total,Suecia,Viajero,2021M06,27169,2021,6
Total,Suecia,Viajero,2021M05,10823,2021,5
Total,Suecia,Viajero,2021M04,6758,2021,4
Total,Suecia,Viajero,2021M03,6442,2021,3
Total,Suecia,Viajero,2021M02,4167,2021,2
Total,Suecia,Viajero,2021M01,6316,2021,1
Total,Suecia,Pernoctaciones,2025M12,294940,2025,12
Total,Suecia,Pernoctaciones,2025M11,362786,2025,11
Total,Suecia,Pernoctaciones,2025M10,433716,2025,10
Total,Suecia,Pernoctaciones,2025M09,350188,2025,9
Total,Suecia,Pernoctaciones,2025M08,289267,2025,8
Total,Suecia,Pernoctaciones,2025M07,411101,2025,7
Total,Suecia,Pernoctaciones,2025M06,379838,2025,6
Total,Suecia,Pernoctaciones,2025M05,320375,2025,5
Total,Suecia,Pernoctaciones,2025M04,321560,2025,4
Total,Suecia,Pernoctaciones,2025M03,335669,2025,3
Total,Suecia,Pernoctaciones,2025M02,312934,2025,2
Total,Suecia,Pernoctaciones,2025M01,293487,2025,1
Total,Suecia,Pernoctaciones,2024M12,318886,2024,12
Total,Suecia,Pernoctaciones,2024M11,389653,2024,11
Total,Suecia,Pernoctaciones,2024M10,429052,2024,10
Total,Suecia,Pernoctaciones,2024M09,289411,2024,9
Total,Suecia,Pernoctaciones,2024M08,292734,2024,8
Total,Suecia,Pernoctaciones,2024M07,388025,2024,7
Total,Suecia,Pernoctaciones,2024M06,336816,2024,6
Total,Suecia,Pernoctaciones,2024M05,313346,2024,5
Total,Suecia,Pernoctaciones,2024M04,319171,2024,4
Total,Suecia,Pernoctaciones,2024M03,386929,2024,3
Total,Suecia,Pernoctaciones,2024M02,331212,2024,2
Total,Suecia,Pernoctaciones,2024M01,348892,2024,1
Total,Suecia,Pernoctaciones,2023M12,323683,2023,12
Total,Suecia,Pernoctaciones,2023M11,426545,2023,11
Total,Suecia,Pernoctaciones,2023M10,378622,2023,10
Total,Suecia,Pernoctaciones,2023M09,315575,2023,9
Total,Suecia,Pernoctaciones,2023M08,289605,2023,8
Total,Suecia,Pernoctaciones,2023M07,366800,2023,7
Total,Suecia,Pernoctaciones,2023M06,299690,2023,6
Total,Suecia,Pernoctaciones,2023M05,300940,2023,5
Total,Suecia,Pernoctaciones,2023M04,323088,2023,4
Total,Suecia,Pernoctaciones,2023M03,371908,2023,3
Total,Suecia,Pernoctaciones,2023M02,311636,2023,2
Total,Suecia,Pernoctaciones,2023M01,356138,2023,1
Total,Suecia,Pernoctaciones,2022M12,324140,2022,12
Total,Suecia,Pernoctaciones,2022M11,419091,2022,11
Total,Suecia,Pernoctaciones,2022M10,331756,2022,10
Total,Suecia,Pernoctaciones,2022M09,306360,2022,9
Total,Suecia,Pernoctaciones,2022M08,275004,2022,8
Total,Suecia,Pernoctaciones,2022M07,363110,2022,7
Total,Suecia,Pernoctaciones,2022M06,293062,2022,6
Total,Suecia,Pernoctaciones,2022M05,286849,2022,5
Total,Suecia,Pernoctaciones,2022M04,289229,2022,4
Total,Suecia,Pernoctaciones,2022M03,273550,2022,3
Total,Suecia,Pernoctaciones,2022M02,199711,2022,2
Total,Suecia,Pernoctaciones,2022M01,240746,2022,1
Total,Suecia,Pernoctaciones,2021M12,257202,2021,12
Total,Suecia,Pernoctaciones,2021M11,327297,2021,11
Total,Suecia,Pernoctaciones,2021M10,247214,2021,10
Total,Suecia,Pernoctaciones,2021M09,196438,2021,9
Total,Suecia,Pernoctaciones,2021M08,189034,2021,8
Total,Suecia,Pernoctaciones,2021M07,222236,2021,7
Total,Suecia,Pernoctaciones,2021M06,95140,2021,6
Total,Suecia,Pernoctaciones,2021M05,36652,2021,5
Total,Suecia,Pernoctaciones,2021M04,24367,2021,4
Total,Suecia,Pernoctaciones,2021M03,30298,2021,3
Total,Suecia,Pernoctaciones,2021M02,25678,2021,2
Total,Suecia,Pernoctaciones,2021M01,33309,2021,1
Total,Resto de la U.E.,Viajero,2025M12,101432,2025,12
Total,Resto de la U.E.,Viajero,2025M11,126018,2025,11
Total,Resto de la U.E.,Viajero,2025M10,185494,2025,10
Total,Resto de la U.E.,Viajero,2025M09,193112,2025,9
Total,Resto de la U.E.,Viajero,2025M08,228899,2025,8
Total,Resto de la U.E.,Viajero,2025M07,206273,2025,7
Total,Resto de la U.E.,Viajero,2025M06,185938,2025,6
Total,Resto de la U.E.,Viajero,2025M05,175840,2025,5
Total,Resto de la U.E.,Viajero,2025M04,161756,2025,4
Total,Resto de la U.E.,Viajero,2025M03,132044,2025,3
Total,Resto de la U.E.,Viajero,2025M02,108315,2025,2
Total,Resto de la U.E.,Viajero,2025M01,89494,2025,1
Total,Resto de la U.E.,Viajero,2024M12,89661,2024,12
Total,Resto de la U.E.,Viajero,2024M11,105311,2024,11
Total,Resto de la U.E.,Viajero,2024M10,175192,2024,10
Total,Resto de la U.E.,Viajero,2024M09,185119,2024,9
Total,Resto de la U.E.,Viajero,2024M08,210139,2024,8
Total,Resto de la U.E.,Viajero,2024M07,196822,2024,7
Total,Resto de la U.E.,Viajero,2024M06,186974,2024,6
Total,Resto de la U.E.,Viajero,2024M05,181732,2024,5
Total,Resto de la U.E.,Viajero,2024M04,160365,2024,4
Total,Resto de la U.E.,Viajero,2024M03,132228,2024,3
Total,Resto de la U.E.,Viajero,2024M02,100351,2024,2
Total,Resto de la U.E.,Viajero,2024M01,88373,2024,1
Total,Resto de la U.E.,Viajero,2023M12,90674,2023,12
Total,Resto de la U.E.,Viajero,2023M11,107369,2023,11
Total,Resto de la U.E.,Viajero,2023M10,158421,2023,10
Total,Resto de la U.E.,Viajero,2023M09,170612,2023,9
Total,Resto de la U.E.,Viajero,2023M08,187364,2023,8
Total,Resto de la U.E.,Viajero,2023M07,188440,2023,7
Total,Resto de la U.E.,Viajero,2023M06,168686,2023,6
Total,Resto de la U.E.,Viajero,2023M05,153557,2023,5
Total,Resto de la U.E.,Viajero,2023M04,152254,2023,4
Total,Resto de la U.E.,Viajero,2023M03,111632,2023,3
Total,Resto de la U.E.,Viajero,2023M02,90488,2023,2
Total,Resto de la U.E.,Viajero,2023M01,83204,2023,1
Total,Resto de la U.E.,Viajero,2022M12,78208,2022,12
Total,Resto de la U.E.,Viajero,2022M11,89332,2022,11
Total,Resto de la U.E.,Viajero,2022M10,135432,2022,10
Total,Resto de la U.E.,Viajero,2022M09,146222,2022,9
Total,Resto de la U.E.,Viajero,2022M08,159498,2022,8
Total,Resto de la U.E.,Viajero,2022M07,165921,2022,7
Total,Resto de la U.E.,Viajero,2022M06,153453,2022,6
Total,Resto de la U.E.,Viajero,2022M05,128803,2022,5
Total,Resto de la U.E.,Viajero,2022M04,130262,2022,4
Total,Resto de la U.E.,Viajero,2022M03,87395,2022,3
Total,Resto de la U.E.,Viajero,2022M02,71293,2022,2
Total,Resto de la U.E.,Viajero,2022M01,54314,2022,1
Total,Resto de la U.E.,Viajero,2021M12,59075,2021,12
Total,Resto de la U.E.,Viajero,2021M11,66503,2021,11
Total,Resto de la U.E.,Viajero,2021M10,90261,2021,10
Total,Resto de la U.E.,Viajero,2021M09,86148,2021,9
Total,Resto de la U.E.,Viajero,2021M08,111564,2021,8
Total,Resto de la U.E.,Viajero,2021M07,105096,2021,7
Total,Resto de la U.E.,Viajero,2021M06,69417,2021,6
Total,Resto de la U.E.,Viajero,2021M05,37032,2021,5
Total,Resto de la U.E.,Viajero,2021M04,24232,2021,4
Total,Resto de la U.E.,Viajero,2021M03,18832,2021,3
Total,Resto de la U.E.,Viajero,2021M02,14618,2021,2
Total,Resto de la U.E.,Viajero,2021M01,14820,2021,1
Total,Resto de la U.E.,Pernoctaciones,2025M12,297561,2025,12
Total,Resto de la U.E.,Pernoctaciones,2025M11,372308,2025,11
Total,Resto de la U.E.,Pernoctaciones,2025M10,596798,2025,10
Total,Resto de la U.E.,Pernoctaciones,2025M09,756716,2025,9
Total,Resto de la U.E.,Pernoctaciones,2025M08,926698,2025,8
Total,Resto de la U.E.,Pernoctaciones,2025M07,857969,2025,7
Total,Resto de la U.E.,Pernoctaciones,2025M06,711821,2025,6
Total,Resto de la U.E.,Pernoctaciones,2025M05,557219,2025,5
Total,Resto de la U.E.,Pernoctaciones,2025M04,496467,2025,4
Total,Resto de la U.E.,Pernoctaciones,2025M03,380826,2025,3
Total,Resto de la U.E.,Pernoctaciones,2025M02,319243,2025,2
Total,Resto de la U.E.,Pernoctaciones,2025M01,294245,2025,1
Total,Resto de la U.E.,Pernoctaciones,2024M12,272833,2024,12
Total,Resto de la U.E.,Pernoctaciones,2024M11,314682,2024,11
Total,Resto de la U.E.,Pernoctaciones,2024M10,589881,2024,10
Total,Resto de la U.E.,Pernoctaciones,2024M09,728955,2024,9
Total,Resto de la U.E.,Pernoctaciones,2024M08,841897,2024,8
Total,Resto de la U.E.,Pernoctaciones,2024M07,813305,2024,7
Total,Resto de la U.E.,Pernoctaciones,2024M06,694329,2024,6
Total,Resto de la U.E.,Pernoctaciones,2024M05,604591,2024,5
Total,Resto de la U.E.,Pernoctaciones,2024M04,497421,2024,4
Total,Resto de la U.E.,Pernoctaciones,2024M03,411370,2024,3
Total,Resto de la U.E.,Pernoctaciones,2024M02,312767,2024,2
Total,Resto de la U.E.,Pernoctaciones,2024M01,285628,2024,1
Total,Resto de la U.E.,Pernoctaciones,2023M12,283932,2023,12
Total,Resto de la U.E.,Pernoctaciones,2023M11,334242,2023,11
Total,Resto de la U.E.,Pernoctaciones,2023M10,535331,2023,10
Total,Resto de la U.E.,Pernoctaciones,2023M09,654456,2023,9
Total,Resto de la U.E.,Pernoctaciones,2023M08,755455,2023,8
Total,Resto de la U.E.,Pernoctaciones,2023M07,761736,2023,7
Total,Resto de la U.E.,Pernoctaciones,2023M06,621157,2023,6
Total,Resto de la U.E.,Pernoctaciones,2023M05,498610,2023,5
Total,Resto de la U.E.,Pernoctaciones,2023M04,478929,2023,4
Total,Resto de la U.E.,Pernoctaciones,2023M03,338639,2023,3
Total,Resto de la U.E.,Pernoctaciones,2023M02,287692,2023,2
Total,Resto de la U.E.,Pernoctaciones,2023M01,271388,2023,1
Total,Resto de la U.E.,Pernoctaciones,2022M12,245194,2022,12
Total,Resto de la U.E.,Pernoctaciones,2022M11,273385,2022,11
Total,Resto de la U.E.,Pernoctaciones,2022M10,431750,2022,10
Total,Resto de la U.E.,Pernoctaciones,2022M09,527439,2022,9
Total,Resto de la U.E.,Pernoctaciones,2022M08,638444,2022,8
Total,Resto de la U.E.,Pernoctaciones,2022M07,657433,2022,7
Total,Resto de la U.E.,Pernoctaciones,2022M06,533849,2022,6
Total,Resto de la U.E.,Pernoctaciones,2022M05,403854,2022,5
Total,Resto de la U.E.,Pernoctaciones,2022M04,397777,2022,4
Total,Resto de la U.E.,Pernoctaciones,2022M03,275552,2022,3
Total,Resto de la U.E.,Pernoctaciones,2022M02,226440,2022,2
Total,Resto de la U.E.,Pernoctaciones,2022M01,175868,2022,1
Total,Resto de la U.E.,Pernoctaciones,2021M12,188675,2021,12
Total,Resto de la U.E.,Pernoctaciones,2021M11,207215,2021,11
Total,Resto de la U.E.,Pernoctaciones,2021M10,279178,2021,10
Total,Resto de la U.E.,Pernoctaciones,2021M09,290672,2021,9
Total,Resto de la U.E.,Pernoctaciones,2021M08,419145,2021,8
Total,Resto de la U.E.,Pernoctaciones,2021M07,383165,2021,7
Total,Resto de la U.E.,Pernoctaciones,2021M06,202529,2021,6
Total,Resto de la U.E.,Pernoctaciones,2021M05,100144,2021,5
Total,Resto de la U.E.,Pernoctaciones,2021M04,68615,2021,4
Total,Resto de la U.E.,Pernoctaciones,2021M03,54338,2021,3
Total,Resto de la U.E.,Pernoctaciones,2021M02,40894,2021,2
Total,Resto de la U.E.,Pernoctaciones,2021M01,39181,2021,1
Total,Noruega,Viajero,2025M12,30870,2025,12
Total,Noruega,Viajero,2025M11,42289,2025,11
Total,Noruega,Viajero,2025M10,63831,2025,10
Total,Noruega,Viajero,2025M09,55523,2025,9
Total,Noruega,Viajero,2025M08,38804,2025,8
Total,Noruega,Viajero,2025M07,77444,2025,7
Total,Noruega,Viajero,2025M06,55529,2025,6
Total,Noruega,Viajero,2025M05,47388,2025,5
Total,Noruega,Viajero,2025M04,47451,2025,4
Total,Noruega,Viajero,2025M03,43951,2025,3
Total,Noruega,Viajero,2025M02,43380,2025,2
Total,Noruega,Viajero,2025M01,36306,2025,1
Total,Noruega,Viajero,2024M12,31965,2024,12
Total,Noruega,Viajero,2024M11,43217,2024,11
Total,Noruega,Viajero,2024M10,66360,2024,10
Total,Noruega,Viajero,2024M09,52748,2024,9
Total,Noruega,Viajero,2024M08,33623,2024,8
Total,Noruega,Viajero,2024M07,71165,2024,7
Total,Noruega,Viajero,2024M06,48793,2024,6
Total,Noruega,Viajero,2024M05,46066,2024,5
Total,Noruega,Viajero,2024M04,44259,2024,4
Total,Noruega,Viajero,2024M03,53490,2024,3
Total,Noruega,Viajero,2024M02,44226,2024,2
Total,Noruega,Viajero,2024M01,39149,2024,1
Total,Noruega,Viajero,2023M12,30854,2023,12
Total,Noruega,Viajero,2023M11,42618,2023,11
Total,Noruega,Viajero,2023M10,62029,2023,10
Total,Noruega,Viajero,2023M09,55502,2023,9
Total,Noruega,Viajero,2023M08,37768,2023,8
Total,Noruega,Viajero,2023M07,72823,2023,7
Total,Noruega,Viajero,2023M06,49107,2023,6
Total,Noruega,Viajero,2023M05,46367,2023,5
Total,Noruega,Viajero,2023M04,49732,2023,4
Total,Noruega,Viajero,2023M03,48443,2023,3
Total,Noruega,Viajero,2023M02,40567,2023,2
Total,Noruega,Viajero,2023M01,35622,2023,1
Total,Noruega,Viajero,2022M12,31771,2022,12
Total,Noruega,Viajero,2022M11,46624,2022,11
Total,Noruega,Viajero,2022M10,67438,2022,10
Total,Noruega,Viajero,2022M09,56915,2022,9
Total,Noruega,Viajero,2022M08,42360,2022,8
Total,Noruega,Viajero,2022M07,88758,2022,7
Total,Noruega,Viajero,2022M06,54021,2022,6
Total,Noruega,Viajero,2022M05,48649,2022,5
Total,Noruega,Viajero,2022M04,44998,2022,4
Total,Noruega,Viajero,2022M03,35781,2022,3
Total,Noruega,Viajero,2022M02,25846,2022,2
Total,Noruega,Viajero,2022M01,18392,2022,1
Total,Noruega,Viajero,2021M12,21101,2021,12
Total,Noruega,Viajero,2021M11,29339,2021,11
Total,Noruega,Viajero,2021M10,33599,2021,10
Total,Noruega,Viajero,2021M09,14649,2021,9
Total,Noruega,Viajero,2021M08,6945,2021,8
Total,Noruega,Viajero,2021M07,9977,2021,7
Total,Noruega,Viajero,2021M06,3673,2021,6
Total,Noruega,Viajero,2021M05,1725,2021,5
Total,Noruega,Viajero,2021M04,1094,2021,4
Total,Noruega,Viajero,2021M03,1114,2021,3
Total,Noruega,Viajero,2021M02,706,2021,2
Total,Noruega,Viajero,2021M01,1120,2021,1
Total,Noruega,Pernoctaciones,2025M12,193058,2025,12
Total,Noruega,Pernoctaciones,2025M11,270262,2025,11
Total,Noruega,Pernoctaciones,2025M10,333632,2025,10
Total,Noruega,Pernoctaciones,2025M09,230037,2025,9
Total,Noruega,Pernoctaciones,2025M08,197140,2025,8
Total,Noruega,Pernoctaciones,2025M07,403841,2025,7
Total,Noruega,Pernoctaciones,2025M06,251968,2025,6
Total,Noruega,Pernoctaciones,2025M05,203327,2025,5
Total,Noruega,Pernoctaciones,2025M04,223281,2025,4
Total,Noruega,Pernoctaciones,2025M03,277072,2025,3
Total,Noruega,Pernoctaciones,2025M02,298450,2025,2
Total,Noruega,Pernoctaciones,2025M01,235891,2025,1
Total,Noruega,Pernoctaciones,2024M12,192640,2024,12
Total,Noruega,Pernoctaciones,2024M11,273069,2024,11
Total,Noruega,Pernoctaciones,2024M10,334131,2024,10
Total,Noruega,Pernoctaciones,2024M09,225980,2024,9
Total,Noruega,Pernoctaciones,2024M08,169840,2024,8
Total,Noruega,Pernoctaciones,2024M07,371003,2024,7
Total,Noruega,Pernoctaciones,2024M06,224055,2024,6
Total,Noruega,Pernoctaciones,2024M05,195409,2024,5
Total,Noruega,Pernoctaciones,2024M04,206647,2024,4
Total,Noruega,Pernoctaciones,2024M03,321027,2024,3
Total,Noruega,Pernoctaciones,2024M02,295299,2024,2
Total,Noruega,Pernoctaciones,2024M01,233547,2024,1
Total,Noruega,Pernoctaciones,2023M12,193009,2023,12
Total,Noruega,Pernoctaciones,2023M11,278288,2023,11
Total,Noruega,Pernoctaciones,2023M10,323588,2023,10
Total,Noruega,Pernoctaciones,2023M09,219403,2023,9
Total,Noruega,Pernoctaciones,2023M08,196179,2023,8
Total,Noruega,Pernoctaciones,2023M07,389425,2023,7
Total,Noruega,Pernoctaciones,2023M06,237382,2023,6
Total,Noruega,Pernoctaciones,2023M05,197613,2023,5
Total,Noruega,Pernoctaciones,2023M04,237343,2023,4
Total,Noruega,Pernoctaciones,2023M03,296387,2023,3
Total,Noruega,Pernoctaciones,2023M02,257487,2023,2
Total,Noruega,Pernoctaciones,2023M01,216925,2023,1
Total,Noruega,Pernoctaciones,2022M12,205590,2022,12
Total,Noruega,Pernoctaciones,2022M11,281236,2022,11
Total,Noruega,Pernoctaciones,2022M10,320957,2022,10
Total,Noruega,Pernoctaciones,2022M09,228604,2022,9
Total,Noruega,Pernoctaciones,2022M08,209848,2022,8
Total,Noruega,Pernoctaciones,2022M07,408179,2022,7
Total,Noruega,Pernoctaciones,2022M06,236042,2022,6
Total,Noruega,Pernoctaciones,2022M05,198231,2022,5
Total,Noruega,Pernoctaciones,2022M04,211008,2022,4
Total,Noruega,Pernoctaciones,2022M03,214894,2022,3
Total,Noruega,Pernoctaciones,2022M02,156082,2022,2
Total,Noruega,Pernoctaciones,2022M01,112573,2022,1
Total,Noruega,Pernoctaciones,2021M12,132752,2021,12
Total,Noruega,Pernoctaciones,2021M11,161651,2021,11
Total,Noruega,Pernoctaciones,2021M10,154291,2021,10
Total,Noruega,Pernoctaciones,2021M09,54140,2021,9
Total,Noruega,Pernoctaciones,2021M08,25399,2021,8
Total,Noruega,Pernoctaciones,2021M07,38091,2021,7
Total,Noruega,Pernoctaciones,2021M06,9825,2021,6
Total,Noruega,Pernoctaciones,2021M05,4498,2021,5
Total,Noruega,Pernoctaciones,2021M04,3675,2021,4
Total,Noruega,Pernoctaciones,2021M03,4727,2021,3
Total,Noruega,Pernoctaciones,2021M02,2755,2021,2
Total,Noruega,Pernoctaciones,2021M01,3367,2021,1
Total,Reino Unido,Viajero,2025M12,483421,2025,12
Total,Reino Unido,Viajero,2025M11,582481,2025,11
Total,Reino Unido,Viajero,2025M10,1178468,2025,10
Total,Reino Unido,Viajero,2025M09,1395653,2025,9
Total,Reino Unido,Viajero,2025M08,1356369,2025,8
Total,Reino Unido,Viajero,2025M07,1386105,2025,7
Total,Reino Unido,Viajero,2025M06,1426952,2025,6
Total,Reino Unido,Viajero,2025M05,1431540,2025,5
Total,Reino Unido,Viajero,2025M04,920597,2025,4
Total,Reino Unido,Viajero,2025M03,695543,2025,3
Total,Reino Unido,Viajero,2025M02,543099,2025,2
Total,Reino Unido,Viajero,2025M01,450569,2025,1
Total,Reino Unido,Viajero,2024M12,452151,2024,12
Total,Reino Unido,Viajero,2024M11,544599,2024,11
Total,Reino Unido,Viajero,2024M10,1112550,2024,10
Total,Reino Unido,Viajero,2024M09,1345502,2024,9
Total,Reino Unido,Viajero,2024M08,1333270,2024,8
Total,Reino Unido,Viajero,2024M07,1311285,2024,7
Total,Reino Unido,Viajero,2024M06,1365862,2024,6
Total,Reino Unido,Viajero,2024M05,1362521,2024,5
Total,Reino Unido,Viajero,2024M04,861943,2024,4
Total,Reino Unido,Viajero,2024M03,689776,2024,3
Total,Reino Unido,Viajero,2024M02,519513,2024,2
Total,Reino Unido,Viajero,2024M01,428802,2024,1
Total,Reino Unido,Viajero,2023M12,448005,2023,12
Total,Reino Unido,Viajero,2023M11,520064,2023,11
Total,Reino Unido,Viajero,2023M10,1077224,2023,10
Total,Reino Unido,Viajero,2023M09,1315229,2023,9
Total,Reino Unido,Viajero,2023M08,1285936,2023,8
Total,Reino Unido,Viajero,2023M07,1297386,2023,7
Total,Reino Unido,Viajero,2023M06,1313714,2023,6
Total,Reino Unido,Viajero,2023M05,1214064,2023,5
Total,Reino Unido,Viajero,2023M04,786934,2023,4
Total,Reino Unido,Viajero,2023M03,592671,2023,3
Total,Reino Unido,Viajero,2023M02,450143,2023,2
