Puntos turísticos,Viajeros y pernoctaciones,Residencia,Periodo,Total,año,mes,cod_postal_ciudad,nombre_ciudad
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2024M11,6239,2024,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2024M10,9694,2024,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2024M09,10798,2024,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2024M08,18007,2024,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2024M07,17281,2024,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2024M06,9814,2024,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2024M05,9666,2024,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2024M04,7974,2024,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2024M03,6518,2024,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2024M02,4765,2024,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2024M01,5742,2024,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2023M12,5323,2023,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2023M11,6137,2023,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2023M10,7925,2023,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2023M09,10902,2023,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2023M08,17336,2023,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2023M07,15657,2023,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2023M06,8920,2023,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2023M05,8779,2023,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2023M04,7431,2023,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2023M03,5504,2023,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2023M02,4608,2023,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2023M01,4782,2023,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2022M12,4327,2022,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2022M11,4882,2022,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2022M10,6936,2022,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2022M09,8842,2022,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2022M08,15783,2022,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2022M07,15824,2022,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2022M06,8703,2022,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2022M05,6885,2022,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2022M04,6155,2022,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2022M03,4612,2022,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2022M02,3715,2022,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2022M01,3288,2022,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2021M12,3543,2021,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2021M11,4578,2021,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2021M10,5317,2021,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2021M09,6021,2021,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2021M08,8589,2021,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2021M07,7152,2021,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2021M06,3092,2021,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2021M05,2003,2021,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2021M04,1344,2021,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2021M03,1400,2021,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2021M02,865,2021,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Viajero,Residentes en el Extranjero,2021M01,1823,2021,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2025M12,47086,2025,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2025M11,44983,2025,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2025M10,51210,2025,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2025M09,53374,2025,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2025M08,65238,2025,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2025M07,52388,2025,7,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2025M06,55059,2025,6,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2025M05,54363,2025,5,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2025M04,53611,2025,4,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2025M03,49752,2025,3,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2025M02,39798,2025,2,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2025M01,43172,2025,1,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2024M12,50113,2024,12,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2024M11,49399,2024,11,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2024M10,49323,2024,10,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2024M09,55729,2024,9,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2024M08,61675,2024,8,01059,Vitoria-Gasteiz
01059 Vitoria-Gasteiz,Pernoctaciones,Residentes en España,2024M07,49661,2024,7,01059,Vitoria-Gasteiz
