educacion_cat,labor_status,household_type,residence_type,ahorro,deuda,adq_ahorro2,adq_deuda2,adq_otro,ahorra_12m,consumo_ahorros,cred_inf,cred_line,cred_add,impago,ayudas,rechazo,semirechazo,nopiden,age,ID,year,inflacion_ok,interes_comp_ok,diversificacion_ok
Educación Secundaria,Otros inactivos,Otros adultos,No posee residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,20,25,2022,1.0,1.0,1.0
Educación Primaria,Autónomo,Vive con pareja,No posee residencia principal,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,44,26,2021,1.0,1.0,0.0
Universidad,Asalariado,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,30,27,2021,0.0,0.0,1.0
Educación Secundaria,Otros inactivos,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,21,28,2022,0.0,0.0,0.0
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,47,29,2022,,0.0,
Educación Primaria,Autónomo,Vive solo,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,54,30,2022,1.0,1.0,
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,29,31,2021,1.0,0.0,1.0
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,66,32,2022,1.0,0.0,1.0
Universidad,Autónomo,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,39,33,2021,0.0,0.0,0.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,48,34,2022,1.0,1.0,1.0
Educación Primaria,Otros inactivos,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,73,35,2022,1.0,1.0,1.0
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,44,36,2022,1.0,1.0,0.0
Universidad,Asalariado,Otros adultos,Solo residencia principal,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,61,37,2022,1.0,0.0,1.0
Universidad,Asalariado,Otros adultos,Residencia principal y otras,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,46,38,2022,1.0,1.0,1.0
Educación Secundaria,Otros inactivos,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,20,39,2022,0.0,1.0,1.0
Universidad,Otros inactivos,Otros adultos,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,23,40,2022,1.0,1.0,1.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,29,41,2022,0.0,1.0,1.0
Educación Primaria,Autónomo,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,60,42,2021,1.0,0.0,0.0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,48,43,2022,1.0,0.0,
Educación Primaria,Autónomo,Otros adultos,Solo residencia principal,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,53,44,2021,1.0,1.0,
Educación Primaria,Jubilado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65,45,2022,1.0,0.0,1.0
Educación Primaria,Jubilado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,66,46,2022,1.0,,
Educación Secundaria,Otros inactivos,Otros adultos,Residencia principal y otras,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,19,47,2022,0.0,1.0,0.0
Educación Secundaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,29,48,2021,0.0,0.0,0.0
Educación Secundaria,Desempleado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,35,49,2022,1.0,0.0,1.0
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,47,50,2021,1.0,0.0,0.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,64,51,2022,1.0,1.0,1.0
Universidad,Otros inactivos,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,56,52,2022,1.0,1.0,1.0
Universidad,Asalariado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,24,53,2021,1.0,0.0,0.0
Educación Primaria,Jubilado,Vive solo,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,75,54,2022,,,
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,0,0,1,1,1,0,0,0,0,0,42,55,2021,1.0,,1.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,39,56,2022,1.0,1.0,1.0
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,49,57,2022,1.0,,1.0
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,53,58,2021,1.0,0.0,1.0
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,54,59,2022,1.0,1.0,0.0
Educación Secundaria,Asalariado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,22,60,2022,1.0,1.0,0.0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,53,61,2022,1.0,1.0,0.0
Educación Primaria,Jubilado,Vive solo,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,77,62,2022,1.0,1.0,1.0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,45,63,2021,1.0,1.0,0.0
Educación Secundaria,Otros inactivos,Vive con pareja,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,57,64,2022,1.0,1.0,
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,49,65,2022,1.0,0.0,1.0
Educación Secundaria,Jubilado,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,68,66,2021,0.0,1.0,1.0
Educación Primaria,Autónomo,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,44,67,2021,,1.0,0.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,37,68,2021,1.0,1.0,0.0
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,28,69,2022,0.0,0.0,1.0
Educación Primaria,Jubilado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,72,70,2022,1.0,1.0,0.0
Universidad,Asalariado,Vive con pareja,No posee residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,27,71,2021,1.0,0.0,1.0
Educación Primaria,Desempleado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,22,72,2022,0.0,0.0,1.0
Universidad,Autónomo,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,50,73,2022,1.0,1.0,1.0
Universidad,Asalariado,Vive con pareja,No posee residencia principal,1.0,1.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0,1,0,33,74,2022,1.0,1.0,
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,40,75,2022,0.0,,
Educación Primaria,Otros inactivos,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,66,76,2022,0.0,0.0,
Universidad,Jubilado,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,77,77,2021,1.0,1.0,1.0
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,25,78,2022,1.0,,1.0
Educación Primaria,Desempleado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,25,79,2022,0.0,,
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,47,80,2022,1.0,1.0,
Educación Primaria,Asalariado,Vive solo,No posee residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,41,81,2022,1.0,0.0,0.0
Universidad,Otros inactivos,Vive con pareja,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,28,82,2021,1.0,0.0,1.0
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,26,83,2022,0.0,0.0,
Educación Secundaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,60,84,2022,1.0,0.0,
Educación Primaria,Autónomo,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,50,85,2022,1.0,1.0,
Educación Primaria,Asalariado,Otros adultos,No posee residencia principal,1.0,0.0,1.0,0.0,1.0,0,0,0,0,1,0,0,0,0,1,23,86,2021,0.0,0.0,0.0
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,51,87,2022,1.0,,
Universidad,Jubilado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,67,88,2022,1.0,0.0,1.0
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,1.0,1.0,1,1,0,0,0,0,1,0,0,0,29,89,2022,1.0,0.0,0.0
Universidad,Asalariado,Otros adultos,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,31,90,2021,1.0,1.0,1.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,54,91,2021,1.0,0.0,1.0
Educación Secundaria,Jubilado,Vive solo,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,69,92,2022,1.0,0.0,
Educación Primaria,Jubilado,Vive con pareja,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,73,93,2022,1.0,0.0,0.0
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,57,94,2021,1.0,0.0,1.0
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,1,0,47,95,2022,1.0,0.0,1.0
Universidad,Autónomo,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,49,96,2022,0.0,1.0,
Universidad,Desempleado,Vive solo,No posee residencia principal,0.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,31,97,2022,1.0,1.0,0.0
Universidad,Autónomo,Otros adultos,Residencia principal y otras,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,50,98,2022,1.0,1.0,1.0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,,1.0,,1.0,1,0,0,0,0,0,0,0,0,0,48,99,2021,1.0,0.0,0.0
Educación Primaria,Jubilado,Vive con pareja,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,76,100,2022,1.0,1.0,1.0
Universidad,Desempleado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,1.0,1,1,0,0,1,0,0,0,0,0,22,101,2022,1.0,0.0,1.0
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,30,102,2022,1.0,0.0,1.0
Universidad,Asalariado,Vive solo,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,30,103,2022,1.0,1.0,1.0
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,62,104,2022,1.0,0.0,0.0
Universidad,Asalariado,Vive solo,No posee residencia principal,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0,1,0,0,0,0,39,105,2021,1.0,0.0,1.0
Educación Primaria,Otros inactivos,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,47,106,2022,0.0,0.0,1.0
Educación Primaria,Otros inactivos,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,30,107,2022,1.0,,
Educación Secundaria,Desempleado,Otros adultos,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,22,108,2021,0.0,1.0,1.0
Educación Secundaria,Otros inactivos,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,57,109,2022,,1.0,
Universidad,Asalariado,Vive solo,Residencia principal y otras,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,33,110,2022,1.0,1.0,1.0
Universidad,Desempleado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,36,111,2021,1.0,,1.0
Universidad,Asalariado,Vive solo,Solo residencia principal,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,40,112,2022,1.0,1.0,0.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,56,113,2022,1.0,,1.0
Educación Primaria,Otros inactivos,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64,114,2022,0.0,,
Universidad,Asalariado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,24,115,2022,1.0,1.0,1.0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,44,116,2022,0.0,0.0,1.0
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,1.0,1.0,1,1,0,1,0,0,0,0,0,0,61,117,2022,1.0,1.0,0.0
Educación Primaria,Desempleado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,31,118,2022,1.0,1.0,0.0
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,66,119,2022,1.0,0.0,
Educación Secundaria,Asalariado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,24,120,2022,,,
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,76,121,2022,1.0,,
Educación Secundaria,Autónomo,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,45,122,2022,0.0,0.0,1.0
Educación Primaria,Jubilado,Vive solo,Residencia principal y otras,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,68,123,2022,1.0,0.0,
Educación Secundaria,Otros inactivos,Otros adultos,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,19,124,2022,1.0,0.0,0.0
Universidad,Autónomo,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,51,125,2022,1.0,0.0,1.0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,1,1,0,0,0,0,0,0,0,44,126,2021,1.0,1.0,1.0
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,61,127,2022,,0.0,
Universidad,Asalariado,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,35,128,2021,1.0,1.0,
Universidad,Asalariado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,44,129,2022,1.0,0.0,0.0
Universidad,Asalariado,,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,54,130,2022,1.0,1.0,1.0
Universidad,Asalariado,Otros adultos,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,35,131,2022,1.0,0.0,0.0
Educación Primaria,Autónomo,Otros adultos,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,51,132,2022,0.0,0.0,1.0
Educación Primaria,Asalariado,Vive solo,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,53,133,2022,1.0,0.0,
Educación Secundaria,Autónomo,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,46,134,2022,1.0,,
Educación Primaria,Desempleado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,63,135,2022,1.0,,0.0
Educación Primaria,Desempleado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,1,32,136,2021,0.0,0.0,
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,1.0,1,1,0,1,0,0,0,0,0,0,37,137,2022,1.0,0.0,1.0
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,30,138,2022,1.0,0.0,
Educación Primaria,Autónomo,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,68,139,2022,0.0,0.0,1.0
Educación Primaria,Otros inactivos,Otros adultos,,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,18,140,2021,0.0,0.0,1.0
Educación Primaria,Otros inactivos,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0,0,0,0,0,0,46,141,2022,0.0,0.0,0.0
Universidad,Desempleado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,30,142,2022,1.0,0.0,0.0
Universidad,Asalariado,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,30,143,2022,0.0,1.0,0.0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,31,144,2022,1.0,1.0,1.0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,44,145,2022,1.0,1.0,1.0
Educación Secundaria,Asalariado,Otros adultos,Residencia principal y otras,1.0,1.0,0.0,1.0,1.0,1,0,1,0,0,0,0,0,0,0,30,146,2022,0.0,1.0,0.0
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,44,147,2021,0.0,,
Educación Secundaria,Asalariado,Vive solo,Solo residencia principal,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,49,148,2022,0.0,0.0,0.0
Educación Primaria,Otros inactivos,Vive con pareja,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,53,149,2021,1.0,,
Educación Secundaria,Asalariado,,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,42,150,2022,1.0,1.0,
Educación Secundaria,Jubilado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,75,151,2021,,,
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,35,152,2022,1.0,1.0,1.0
Universidad,Desempleado,Otros adultos,No posee residencia principal,1.0,0.0,1.0,0.0,1.0,1,1,1,1,0,1,0,0,0,0,21,153,2022,0.0,1.0,1.0
Educación Secundaria,Desempleado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,29,154,2022,0.0,0.0,0.0
Educación Secundaria,Desempleado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,41,155,2022,0.0,0.0,0.0
Educación Primaria,Desempleado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,58,156,2022,1.0,0.0,
