apartment_id,grupo_valoracion
1398273,Insuficiente Bajo (0-3)
1402772,Notables (7-9)
1404935,Excelentes (9-10)
1406158,Insuficiente Bajo (0-3)
1410802,Notables (7-9)
1413577,Excelentes (9-10)
1417890,Excelentes (9-10)
1418423,Excelentes (9-10)
1420428,Excelentes (9-10)
1426125,Notables (7-9)
1426674,Excelentes (9-10)
1431437,Excelentes (9-10)
1437974,Notables (7-9)
1440247,Excelentes (9-10)
1444019,Excelentes (9-10)
1457218,Excelentes (9-10)
1463763,Excelentes (9-10)
1467406,Excelentes (9-10)
1473278,Excelentes (9-10)
1473598,Suficientes (5-7)
1480728,Excelentes (9-10)
1482060,Excelentes (9-10)
1492419,Notables (7-9)
1496065,Excelentes (9-10)
1498723,Excelentes (9-10)
1501980,Excelentes (9-10)
1503616,Notables (7-9)
1507069,Notables (7-9)
1510808,Notables (7-9)
1514062,Excelentes (9-10)
1523802,Notables (7-9)
1527831,Excelentes (9-10)
1529472,Insuficiente Bajo (0-3)
1530586,Excelentes (9-10)
1534545,Excelentes (9-10)
1540924,Excelentes (9-10)
1545642,Notables (7-9)
1546734,Notables (7-9)
1565292,Excelentes (9-10)
1574730,Excelentes (9-10)
1577728,Excelentes (9-10)
1580437,Excelentes (9-10)
1584877,Notables (7-9)
1586889,Notables (7-9)
1603887,Notables (7-9)
1613328,Notables (7-9)
1614109,Excelentes (9-10)
1615517,Excelentes (9-10)
1616281,Excelentes (9-10)
1617393,Suficientes (5-7)
1622564,Excelentes (9-10)
1624014,Excelentes (9-10)
1636054,Excelentes (9-10)
1639471,Notables (7-9)
1639547,Excelentes (9-10)
1645680,Excelentes (9-10)
1660109,Excelentes (9-10)
1670427,Excelentes (9-10)
1672204,Notables (7-9)
1678293,Notables (7-9)
1691141,Notables (7-9)
1692008,Excelentes (9-10)
1699028,Excelentes (9-10)
1706758,Excelentes (9-10)
1718630,Insuficiente Bajo (0-3)
1718650,Notables (7-9)
1719170,Notables (7-9)
1728329,Excelentes (9-10)
1750838,Excelentes (9-10)
1753979,Excelentes (9-10)
1755419,Insuficiente Bajo (0-3)
1756975,Excelentes (9-10)
1768203,Excelentes (9-10)
1783966,Insuficiente Bajo (0-3)
1799258,Excelentes (9-10)
1803679,Excelentes (9-10)
1808014,Excelentes (9-10)
1820061,Notables (7-9)
1821582,Excelentes (9-10)
1825432,Notables (7-9)
1825621,Excelentes (9-10)
1826031,Excelentes (9-10)
1830917,Excelentes (9-10)
1846844,Excelentes (9-10)
1859046,Excelentes (9-10)
1860688,Excelentes (9-10)
1866813,Notables (7-9)
1870994,Excelentes (9-10)
1871218,Notables (7-9)
1880328,Insuficiente Bajo (0-3)
1882695,Excelentes (9-10)
1891083,Excelentes (9-10)
1895368,Excelentes (9-10)
1908257,Excelentes (9-10)
1916455,Excelentes (9-10)
1916806,Notables (7-9)
1921506,Notables (7-9)
1928731,Excelentes (9-10)
1929405,Excelentes (9-10)
1934314,Excelentes (9-10)
1935527,Excelentes (9-10)
1942585,Excelentes (9-10)
1957157,Excelentes (9-10)
1957286,Excelentes (9-10)
1957841,Notables (7-9)
1958839,Insuficiente Bajo (0-3)
1959017,Excelentes (9-10)
1967758,Notables (7-9)
1967889,Excelentes (9-10)
1972420,Excelentes (9-10)
1982900,Excelentes (9-10)
1990801,Excelentes (9-10)
1996279,Excelentes (9-10)
1997113,Excelentes (9-10)
2005987,Notables (7-9)
2011730,Excelentes (9-10)
2016382,Excelentes (9-10)
2020743,Excelentes (9-10)
2024297,Excelentes (9-10)
2024643,Notables (7-9)
2045092,Excelentes (9-10)
2046026,Excelentes (9-10)
2048862,Notables (7-9)
2050662,Notables (7-9)
2061434,Insuficiente Bajo (0-3)
2065666,Excelentes (9-10)
2078332,Excelentes (9-10)
2085786,Notables (7-9)
2091802,Excelentes (9-10)
2104807,Notables (7-9)
2107982,Excelentes (9-10)
2111519,Notables (7-9)
2114493,Excelentes (9-10)
2131496,Excelentes (9-10)
2134241,Notables (7-9)
2136172,Notables (7-9)
2137019,Notables (7-9)
2138071,Excelentes (9-10)
2138517,Insuficiente Bajo (0-3)
2141878,Excelentes (9-10)
2146533,Notables (7-9)
2152440,Excelentes (9-10)
2167544,Excelentes (9-10)
2170203,Excelentes (9-10)
2171702,Notables (7-9)
2177176,Excelentes (9-10)
2179527,Excelentes (9-10)
2202510,Excelentes (9-10)
2204820,Insuficiente Bajo (0-3)
2207960,Excelentes (9-10)
2222131,Notables (7-9)
2248442,Excelentes (9-10)
2248576,Excelentes (9-10)
2252574,Excelentes (9-10)
2258125,Excelentes (9-10)
2258509,Excelentes (9-10)
2300229,Excelentes (9-10)
2306988,Excelentes (9-10)
2307843,Excelentes (9-10)
2325719,Insuficiente Bajo (0-3)
2328455,Excelentes (9-10)
2329373,Insuficiente Bajo (0-3)
2329405,Excelentes (9-10)
2331285,Excelentes (9-10)
2341293,Notables (7-9)
2343701,Excelentes (9-10)
2344485,Excelentes (9-10)
2349535,Notables (7-9)
2360266,Notables (7-9)
2364653,Excelentes (9-10)
2376077,Notables (7-9)
2391248,Notables (7-9)
2391858,Notables (7-9)
2392355,Notables (7-9)
2393145,Excelentes (9-10)
2401712,Notables (7-9)
2408869,Notables (7-9)
2411106,Excelentes (9-10)
2411322,Excelentes (9-10)
2424236,Excelentes (9-10)
2428246,Excelentes (9-10)
2435008,Excelentes (9-10)
2436237,Notables (7-9)
2438814,Excelentes (9-10)
2439919,Excelentes (9-10)
2447128,Excelentes (9-10)
2450287,Excelentes (9-10)
2451747,Excelentes (9-10)
2454465,Excelentes (9-10)
2472349,Notables (7-9)
2476666,Notables (7-9)
2482182,Excelentes (9-10)
2484622,Excelentes (9-10)
2495345,Notables (7-9)
2495446,Excelentes (9-10)
2500683,Insuficiente Bajo (0-3)
2500759,Notables (7-9)
2506463,Excelentes (9-10)
2507802,Excelentes (9-10)
2510624,Excelentes (9-10)
2511423,Excelentes (9-10)
2514285,Excelentes (9-10)
2517647,Notables (7-9)
2534835,Excelentes (9-10)
2535466,Excelentes (9-10)
2536121,Excelentes (9-10)
2536957,Notables (7-9)
2542510,Excelentes (9-10)
2544674,Excelentes (9-10)
2544934,Notables (7-9)
2569061,Excelentes (9-10)
2569716,Excelentes (9-10)
2581295,Excelentes (9-10)
2593291,Excelentes (9-10)
2593504,Notables (7-9)
2597901,Suficientes (5-7)
2603748,Notables (7-9)
2616644,Excelentes (9-10)
2624310,Excelentes (9-10)
2632012,Notables (7-9)
2658193,Excelentes (9-10)
2669792,Excelentes (9-10)
2673648,Excelentes (9-10)
2685835,Excelentes (9-10)
2687897,Excelentes (9-10)
2690646,Notables (7-9)
2706984,Excelentes (9-10)
2707482,Excelentes (9-10)
2711470,Notables (7-9)
2724292,Insuficiente Bajo (0-3)
2729680,Excelentes (9-10)
2732268,Excelentes (9-10)
2743351,Excelentes (9-10)
2743922,Notables (7-9)
2744936,Excelentes (9-10)
2745344,Excelentes (9-10)
2745968,Excelentes (9-10)
2753314,Excelentes (9-10)
2758891,Excelentes (9-10)
2760739,Excelentes (9-10)
2761639,Excelentes (9-10)
2762205,Excelentes (9-10)
2767047,Insuficiente Bajo (0-3)
2767121,Insuficiente Bajo (0-3)
2776403,Excelentes (9-10)
2776901,Excelentes (9-10)
2779847,Notables (7-9)
2782292,Excelentes (9-10)
2784566,Excelentes (9-10)
2790757,Excelentes (9-10)
2797209,Excelentes (9-10)
2806795,Excelentes (9-10)
2806885,Excelentes (9-10)
2819800,Insuficiente Bajo (0-3)
2824586,Excelentes (9-10)
2826116,Excelentes (9-10)
2827817,Notables (7-9)
2836294,Notables (7-9)
2836811,Excelentes (9-10)
2840800,Suficientes (5-7)
2841708,Excelentes (9-10)
2849153,Excelentes (9-10)
2855311,Excelentes (9-10)
2870693,Excelentes (9-10)
2872568,Excelentes (9-10)
2873100,Notables (7-9)
2885115,Notables (7-9)
2906165,Excelentes (9-10)
2926875,Excelentes (9-10)
2930904,Excelentes (9-10)
2934212,Notables (7-9)
2945083,Excelentes (9-10)
2965156,Excelentes (9-10)
2967668,Excelentes (9-10)
2974139,Excelentes (9-10)
2980991,Excelentes (9-10)
2981928,Notables (7-9)
2982263,Notables (7-9)
2992207,Insuficiente Bajo (0-3)
2994325,Excelentes (9-10)
3003926,Excelentes (9-10)
3005705,Excelentes (9-10)
3007161,Excelentes (9-10)
3008207,Excelentes (9-10)
3012071,Excelentes (9-10)
3012570,Notables (7-9)
3016138,Excelentes (9-10)
3020779,Excelentes (9-10)
3023748,Excelentes (9-10)
3044112,Suficientes (5-7)
3047685,Excelentes (9-10)
3056878,Excelentes (9-10)
3058631,Excelentes (9-10)
