Competencias,Año,Total empresas (sin filtrar),Empresa de entre 250 y 499 trabajadores,Empresa de servicios,Andalucía,Cataluña,Comunitat Valenciana,Comunidad de Madrid,País Vasco
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",2021,11.202204683965665,13.02475780409042,11.06058560638895,8.442776735459661,10.094093047569263,12.380952380952381,14.301548785237111,9.101744501029364
De trabajo en equipo,2021,25.83836268631654,29.44025834230355,26.98322474297123,28.708732431453868,26.879247255619447,25.333333333333332,26.39825050178245,25.59323870408495
En lenguas extranjeras,2021,7.862088720749909,30.893433799784713,8.701676104673057,3.3804022250748824,11.231050705697857,7.64625850340136,12.513106258050987,10.315310434499946
Generales de tecnologías de la información,2021,13.936822765930126,22.604951560818083,15.801141086945709,14.311576314143709,16.194458964976477,11.596371882086167,16.60825020221084,15.949723697041932
Otras,2021,13.93139007694663,15.823466092572659,13.353417221460392,14.890885750962774,12.467328802927339,14.1859410430839,13.891135675983344,11.637230469173259
Profesionales de tecnologías de la información,2021,5.719139857169668,11.410118406889127,6.528921509417875,4.785885915539318,6.949817041296393,4.671201814058957,7.63608040502082,6.0461588471123635
Técnicas específicas del puesto de trabajo,2021,46.67716986536809,52.529601722282024,39.18276575033927,40.13034462328429,47.004704652378464,49.183673469387756,39.660285791318415,47.39408386607433
Administrativas de oficina,2022,15.630854203238993,11.715089034676664,17.280769920497338,17.418992846121476,14.425581981679132,14.82477620328369,19.06815996673856,13.446952797358794
Básicas de cálculo y/o comunicación oral o escrita,2022,1.6013942738788345,4.404873477038426,1.9977284954271026,1.9750315612287839,1.9455416421548029,0.5901007587009754,2.2009718577034016,1.4901400910145446
De atención al público/ trato a clientes,2022,23.473644771683443,18.134957825679475,31.00962400621675,29.271987656052744,23.972602739726028,21.135241459596163,25.195540888184393,17.453377353439816
De dirección,2022,13.528077021844465,24.22680412371134,14.900472233845418,13.791555617898723,13.059921001764854,13.724860503392076,17.272561910453966,11.135897207102703
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",2022,11.690935956858338,15.55763823805061,12.085599856536554,9.833076167765466,11.68165392049752,12.484444622857373,14.06075409921264,10.377442669759972
De trabajo en equipo,2022,24.281498507638617,29.053420805998126,27.229362185426506,25.911067470893535,26.491721993444827,22.580386174782223,27.22500844528753,17.04291960381904
En lenguas extranjeras,2022,8.89438964734806,28.8659793814433,10.159603084464104,10.71398513115444,9.969325153374234,8.819397053510498,13.473481797157186,7.584545373427322
Generales de tecnologías de la información,2022,12.004142407900884,20.89971883786317,13.186681810030485,10.542853135082058,14.13564165055887,10.208341696439325,16.282514356988802,12.349424466851076
Otras,2022,19.5981359164446,13.87066541705717,18.458365712236237,20.165521110955254,17.318682242205227,19.20436754847256,19.3046280175662,26.242526992058536
Profesionales de tecnologías de la información,2022,5.492479256387265,8.200562324273664,6.321358120628848,6.0569504839388415,6.4228086393814605,3.2676327726707077,8.019125328066938,6.3977870973498705
Técnicas específicas del puesto de trabajo,2022,41.63877697932585,53.608247422680414,33.12570984517903,38.01374666853696,42.13799478947811,47.58941832925214,31.608762310630667,41.46515570625502
Administrativas de oficina,2023,15.40415312116101,14.250714577378522,16.43423353851046,15.41615621171588,17.460612059721193,17.0249204851281,14.620863007959782,11.141237367512941
