"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",100,6.415,15.689,45.708,32.188
En lenguas extranjeras,100,19.26,40.599,29.476,10.665
Básicas de cálculo y/o comunicación oral o escrita,100,15.918,41.195,34.958,7.929
Generales de tecnologías de la información ,100,10.142,27.925,47.259,14.674
Profesionales de tecnologías de la información ,100,18.174,43.847,28.769,9.21
"EAL-16e. EMPRESAS DE LA CONSTRUCCIÓN, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",,,,,
Año 2021. Porcentaje respecto al total de empresas en la construcción.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
De dirección,100,11.291,22.576,40.465,25.668
De trabajo en equipo,100,3.056,10.602,52.847,33.495
De atención al público/ trato a clientes,100,10.241,30.807,38.976,19.977
Administrativas en oficina,100,9.333,24.181,45.299,21.187
Técnicas específicas del puesto de trabajo,100,8.432,19.942,42.667,28.96
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",100,6.539,16.993,48.355,28.113
En lenguas extranjeras,100,32.581,49.357,13.333,4.728
Básicas de cálculo y/o comunicación oral o escrita,100,22.934,41.523,28.916,6.627
Generales de tecnologías de la información ,100,15.134,33.389,40.032,11.444
Profesionales de tecnologías de la información ,100,26.078,45.617,22.635,5.669
"EAL-16f. EMPRESAS DEL SECTOR SERVICIOS, SEGÚN GRADO DE IMPORTANCIA  PARA EL DESARROLLO DE LA EMPRESA EN LOS PRÓXIMOS AÑOS DE DIVERSAS COMPETENCIAS ",,,,,
Año 2021. Porcentaje respecto al total de empresas en el sector servicios.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
De dirección,100,11.649,23.523,40.161,24.667
De trabajo en equipo,100,3.143,10.337,47.167,39.354
De atención al público/ trato a clientes,100,4.383,14.912,38.505,42.2
Administrativas en oficina,100,10.899,27.254,39.517,22.329
Técnicas específicas del puesto de trabajo,100,19.004,30.992,33.899,16.106
"De resolución de problemas (localización de problemas o fallos, análisis de sus causas y búsqueda de soluciones)",100,5.781,18.093,46.718,29.408
En lenguas extranjeras,100,18.104,39.509,29.97,12.417
Básicas de cálculo y/o comunicación oral o escrita,100,17.97,39.017,31.259,11.754
Generales de tecnologías de la información ,100,10.174,31.236,40.866,17.724
Profesionales de tecnologías de la información ,100,22.925,40.999,24.956,11.12
