ENCUESTA ANUAL LABORAL,,,,,EAL
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,9.496,10.606,57.511,22.386
"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",100,28.559,18.829,39.241,13.371
Dificultad para evaluar la necesidades de formación de la empresa,100,34.575,45.834,15.84,3.751
La falta de cursos de formación adecuados en el mercado,100,30.07,36.61,27.839,5.482
El alto coste de los cursos de formación,100,31.25,35.813,22.797,10.14
La empresa prefirió tener personal con contrato de formación y aprendizaje o formación por convenio de formación profesional dual,100,68.691,22,8.791,0.517
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,37.018,35.37,24.068,3.544
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,25.347,27.489,35.746,11.417
Dificultad para acceder a ayudas o subvenciones públicas,100,30.547,31.63,30.733,7.09
Cancelación o aplazamiento de las actividades de formación debido a las restricciones por COVID,100,43.098,31.355,19.275,6.272
Otras razones,100,61.338,24.158,12.218,2.286
"EAL-25d. EMPRESAS DE LA CONSTRUCCIÓN QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN ",,,,,
Año 2021. Porcentaje sobre el total de empresas en la construcción que no proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,7.647,12.283,48.075,31.994
"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",100,19.921,17.1,46.151,16.828
Dificultad para evaluar la necesidades de formación de la empresa,100,29.677,52.486,16.18,1.656
La falta de cursos de formación adecuados en el mercado,100,30.953,44.233,21.728,3.086
El alto coste de los cursos de formación,100,28.929,38.127,24.992,7.952
La empresa prefirió tener personal con contrato de formación y aprendizaje o formación por convenio de formación profesional dual,100,68.362,20.598,9.876,1.164
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,35.318,31.802,26.753,6.126
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,24.725,26.675,38.187,10.414
Dificultad para acceder a ayudas o subvenciones públicas,100,25.858,40.424,27.447,6.271
Cancelación o aplazamiento de las actividades de formación debido a las restricciones por COVID,100,47.74,35.897,12.854,3.509
Otras razones,100,58.904,31.182,5.903,4.01
"EAL-25e. EMPRESAS DEL SECTOR SERVICIOS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN ",,,,,
Año 2021. Porcentaje sobre el total de empresas en el sector servicios que no proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,9.322,19.972,44.085,26.621
"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",100,19.895,23.023,40.511,16.571
Dificultad para evaluar la necesidades de formación de la empresa,100,27.234,49.65,19.234,3.882
La falta de cursos de formación adecuados en el mercado,100,28.606,43.371,22.323,5.7
El alto coste de los cursos de formación,100,27.252,40.625,22.849,9.274
La empresa prefirió tener personal con contrato de formación y aprendizaje o formación por convenio de formación profesional dual,100,60.607,27.765,9.025,2.603
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,36.482,39.792,20.221,3.505
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,24.137,31.667,33.178,11.018
Dificultad para acceder a ayudas o subvenciones públicas,100,28.324,38.705,24.35,8.621
Cancelación o aplazamiento de las actividades de formación debido a las restricciones por COVID,100,37.071,35.169,19.129,8.632
Otras razones,100,52.707,32.784,11.022,3.487
