ENCUESTA ANUAL LABORAL,,,,,EAL
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,32.944,41.694,20.467,4.896
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,15.666,28.09,38.944,17.3
Dificultad para acceder a ayudas o subvenciones públicas,100,25.77,35.894,23.517,14.819
Otras razones,100,68.526,22.514,5.841,3.119
EAL-24b. EMPRESAS DE 50 A 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS,,,,,
Año 2024. Porcentaje sobre el total de empresas de 50 a 499 trabajadores que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,9.09,29.87,51.986,9.054
"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",100,15.032,36.035,40.629,8.305
Dificultad para evaluar la necesidades de formación de la empresa,100,23.616,59.054,15.211,2.119
La falta de cursos de formación adecuados en el mercado,100,21.956,52.719,20.1,5.225
El alto coste de los cursos de formación,100,19.154,44.547,27.457,8.842
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,66.481,27.949,4.771,0.798
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,29.271,47.689,20.087,2.953
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,11.216,30.865,39.707,18.212
Dificultad para acceder a ayudas o subvenciones públicas,100,25.905,46.328,20.108,7.659
Otras razones,100,66.154,24.6,7.273,1.973
EAL-24c. EMPRESAS DE MÁS DE 499 TRABAJADORES QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS,,,,,
Año 2024. Porcentaje sobre el total de empresas de más de 499 trabajadores que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,12.96,33.75,47.697,5.594
"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",100,16.438,45.815,31.742,6.005
Dificultad para evaluar la necesidades de formación de la empresa,100,31.285,55.211,12.062,1.442
La falta de cursos de formación adecuados en el mercado,100,26.306,53.799,17.182,2.713
El alto coste de los cursos de formación,100,17.847,44.584,30.667,6.903
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,67.016,27.424,5.012,0.548
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,30.689,47.535,19.701,2.075
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,10.645,34.299,41.209,13.847
Dificultad para acceder a ayudas o subvenciones públicas,100,32.125,44.83,17.307,5.739
Otras razones,100,66.751,25.775,5.614,1.86
EAL-24d. EMPRESAS DE LA INDUSTRIA QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS,,,,,
Año 2024. Porcentaje sobre el total de empresas en la industria que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,7.427,22.738,55.817,14.018
"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",100,23.398,31.339,37.134,8.129
Dificultad para evaluar la necesidades de formación de la empresa,100,29.447,53.422,14.566,2.565
La falta de cursos de formación adecuados en el mercado,100,23.941,43.86,23.618,8.582
El alto coste de los cursos de formación,100,23.078,39.429,26.142,11.352
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,64.862,27.797,6.346,0.995
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,29.076,43.895,22.235,4.794
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,13.384,29.695,37.834,19.087
Dificultad para acceder a ayudas o subvenciones públicas,100,25.801,39.832,22.698,11.668
Otras razones,100,64.54,26.815,6.085,2.561
EAL-24e. EMPRESAS DE LA CONSTRUCCIÓN QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS ,,,,,
Año 2024. Porcentaje sobre el total de empresas en la construcción que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,6.313,18.653,55.296,19.738
"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",100,19.377,26.751,41.86,12.012
Dificultad para evaluar la necesidades de formación de la empresa,100,31.413,53.137,13.433,2.017
La falta de cursos de formación adecuados en el mercado,100,27.597,46.191,20.29,5.921
El alto coste de los cursos de formación,100,21.104,34.909,29.73,14.256
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,65.729,24.191,7.776,2.304
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,27.005,41.458,25.335,6.202
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,15.371,27.642,41.677,15.31
Dificultad para acceder a ayudas o subvenciones públicas,100,24.283,35.898,27.11,12.709
Otras razones,100,68.877,22.513,6.36,2.25
EAL-24f. EMPRESAS DEL SECTOR SERVICIOS QUE PROPORCIONARON FORMACIÓN A SUS TRABAJADORES SEGÚN GRADO DE LIMITACIÓN A LA FORMACIÓN  QUE SUPUSIERON CIERTOS MOTIVOS,,,,,
Año 2024. Porcentaje sobre el total de empresas en el sector servicios que proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,9.804,19.018,52.966,18.212
"La empresa prefirió contratar a personal con la cualificación, habilidades y competencias necesarias ",100,22.127,24.242,40.054,13.577
Dificultad para evaluar la necesidades de formación de la empresa,100,31.896,51.337,14.996,1.771
La falta de cursos de formación adecuados en el mercado,100,27.241,45.197,20.15,7.413
El alto coste de los cursos de formación,100,21.275,36.415,28.771,13.539
La empresa prefirió tener personal con contratos formativos o personal en formación por convenio de Formación profesional dual a proporcionar más formación a sus trabajadores ,100,69.942,22.01,6.172,1.876
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,34.423,42.09,19.098,4.389
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,15.595,28.249,38.791,17.365
Dificultad para acceder a ayudas o subvenciones públicas,100,26.134,36.469,22.508,14.89
Otras razones,100,69.01,21.876,5.87,3.245
