Zonas Turísticas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Andalucía: Costa De Almería;Viajero;Residentes en España;2014M05;60.907
Andalucía: Costa De Almería;Viajero;Residentes en España;2014M04;66.400
Andalucía: Costa De Almería;Viajero;Residentes en España;2014M03;49.929
Andalucía: Costa De Almería;Viajero;Residentes en España;2014M02;40.434
Andalucía: Costa De Almería;Viajero;Residentes en España;2014M01;24.618
Andalucía: Costa De Almería;Viajero;Residentes en España;2013M12;25.617
Andalucía: Costa De Almería;Viajero;Residentes en España;2013M11;31.386
Andalucía: Costa De Almería;Viajero;Residentes en España;2013M10;47.342
Andalucía: Costa De Almería;Viajero;Residentes en España;2013M09;96.990
Andalucía: Costa De Almería;Viajero;Residentes en España;2013M08;159.448
Andalucía: Costa De Almería;Viajero;Residentes en España;2013M07;132.975
Andalucía: Costa De Almería;Viajero;Residentes en España;2013M06;93.913
Andalucía: Costa De Almería;Viajero;Residentes en España;2013M05;60.146
Andalucía: Costa De Almería;Viajero;Residentes en España;2013M04;50.717
Andalucía: Costa De Almería;Viajero;Residentes en España;2013M03;56.057
Andalucía: Costa De Almería;Viajero;Residentes en España;2013M02;35.550
Andalucía: Costa De Almería;Viajero;Residentes en España;2013M01;23.342
Andalucía: Costa De Almería;Viajero;Residentes en España;2012M12;25.548
Andalucía: Costa De Almería;Viajero;Residentes en España;2012M11;24.967
Andalucía: Costa De Almería;Viajero;Residentes en España;2012M10;42.690
Andalucía: Costa De Almería;Viajero;Residentes en España;2012M09;95.907
Andalucía: Costa De Almería;Viajero;Residentes en España;2012M08;146.686
Andalucía: Costa De Almería;Viajero;Residentes en España;2012M07;125.800
Andalucía: Costa De Almería;Viajero;Residentes en España;2012M06;104.564
Andalucía: Costa De Almería;Viajero;Residentes en España;2012M05;49.937
Andalucía: Costa De Almería;Viajero;Residentes en España;2012M04;64.277
Andalucía: Costa De Almería;Viajero;Residentes en España;2012M03;53.693
Andalucía: Costa De Almería;Viajero;Residentes en España;2012M02;49.668
Andalucía: Costa De Almería;Viajero;Residentes en España;2012M01;31.885
Andalucía: Costa De Almería;Viajero;Residentes en España;2011M12;33.773
Andalucía: Costa De Almería;Viajero;Residentes en España;2011M11;37.309
Andalucía: Costa De Almería;Viajero;Residentes en España;2011M10;49.102
Andalucía: Costa De Almería;Viajero;Residentes en España;2011M09;95.894
Andalucía: Costa De Almería;Viajero;Residentes en España;2011M08;146.106
Andalucía: Costa De Almería;Viajero;Residentes en España;2011M07;140.597
Andalucía: Costa De Almería;Viajero;Residentes en España;2011M06;118.955
Andalucía: Costa De Almería;Viajero;Residentes en España;2011M05;62.703
Andalucía: Costa De Almería;Viajero;Residentes en España;2011M04;77.459
Andalucía: Costa De Almería;Viajero;Residentes en España;2011M03;58.781
Andalucía: Costa De Almería;Viajero;Residentes en España;2011M02;57.798
Andalucía: Costa De Almería;Viajero;Residentes en España;2011M01;33.446
Andalucía: Costa De Almería;Viajero;Residentes en España;2010M12;41.449
Andalucía: Costa De Almería;Viajero;Residentes en España;2010M11;45.210
Andalucía: Costa De Almería;Viajero;Residentes en España;2010M10;65.846
Andalucía: Costa De Almería;Viajero;Residentes en España;2010M09;105.601
Andalucía: Costa De Almería;Viajero;Residentes en España;2010M08;161.954
Andalucía: Costa De Almería;Viajero;Residentes en España;2010M07;147.899
Andalucía: Costa De Almería;Viajero;Residentes en España;2010M06;110.646
Andalucía: Costa De Almería;Viajero;Residentes en España;2010M05;77.706
Andalucía: Costa De Almería;Viajero;Residentes en España;2010M04;69.755
Andalucía: Costa De Almería;Viajero;Residentes en España;2010M03;57.765
Andalucía: Costa De Almería;Viajero;Residentes en España;2010M02;50.936
Andalucía: Costa De Almería;Viajero;Residentes en España;2010M01;32.772
Andalucía: Costa De Almería;Viajero;Residentes en España;2009M12;37.953
Andalucía: Costa De Almería;Viajero;Residentes en España;2009M11;46.988
Andalucía: Costa De Almería;Viajero;Residentes en España;2009M10;64.321
Andalucía: Costa De Almería;Viajero;Residentes en España;2009M09;101.376
Andalucía: Costa De Almería;Viajero;Residentes en España;2009M08;156.484
Andalucía: Costa De Almería;Viajero;Residentes en España;2009M07;141.383
Andalucía: Costa De Almería;Viajero;Residentes en España;2009M06;107.839
Andalucía: Costa De Almería;Viajero;Residentes en España;2009M05;69.421
Andalucía: Costa De Almería;Viajero;Residentes en España;2009M04;69.696
Andalucía: Costa De Almería;Viajero;Residentes en España;2009M03;54.505
Andalucía: Costa De Almería;Viajero;Residentes en España;2009M02;51.346
Andalucía: Costa De Almería;Viajero;Residentes en España;2009M01;37.457
Andalucía: Costa De Almería;Viajero;Residentes en España;2008M12;41.325
Andalucía: Costa De Almería;Viajero;Residentes en España;2008M11;48.796
Andalucía: Costa De Almería;Viajero;Residentes en España;2008M10;66.753
Andalucía: Costa De Almería;Viajero;Residentes en España;2008M09;112.490
Andalucía: Costa De Almería;Viajero;Residentes en España;2008M08;159.941
Andalucía: Costa De Almería;Viajero;Residentes en España;2008M07;146.729
Andalucía: Costa De Almería;Viajero;Residentes en España;2008M06;102.324
Andalucía: Costa De Almería;Viajero;Residentes en España;2008M05;84.667
Andalucía: Costa De Almería;Viajero;Residentes en España;2008M04;66.784
Andalucía: Costa De Almería;Viajero;Residentes en España;2008M03;74.865
Andalucía: Costa De Almería;Viajero;Residentes en España;2008M02;57.662
Andalucía: Costa De Almería;Viajero;Residentes en España;2008M01;43.440
Andalucía: Costa De Almería;Viajero;Residentes en España;2007M12;49.404
Andalucía: Costa De Almería;Viajero;Residentes en España;2007M11;56.736
Andalucía: Costa De Almería;Viajero;Residentes en España;2007M10;71.952
Andalucía: Costa De Almería;Viajero;Residentes en España;2007M09;104.664
Andalucía: Costa De Almería;Viajero;Residentes en España;2007M08;144.240
Andalucía: Costa De Almería;Viajero;Residentes en España;2007M07;129.255
Andalucía: Costa De Almería;Viajero;Residentes en España;2007M06;99.931
Andalucía: Costa De Almería;Viajero;Residentes en España;2007M05;71.845
Andalucía: Costa De Almería;Viajero;Residentes en España;2007M04;88.449
Andalucía: Costa De Almería;Viajero;Residentes en España;2007M03;67.965
Andalucía: Costa De Almería;Viajero;Residentes en España;2007M02;51.895
Andalucía: Costa De Almería;Viajero;Residentes en España;2007M01;40.794
Andalucía: Costa De Almería;Viajero;Residentes en España;2006M12;44.844
Andalucía: Costa De Almería;Viajero;Residentes en España;2006M11;49.196
Andalucía: Costa De Almería;Viajero;Residentes en España;2006M10;63.341
Andalucía: Costa De Almería;Viajero;Residentes en España;2006M09;85.001
Andalucía: Costa De Almería;Viajero;Residentes en España;2006M08;154.614
Andalucía: Costa De Almería;Viajero;Residentes en España;2006M07;120.722
Andalucía: Costa De Almería;Viajero;Residentes en España;2006M06;95.690
Andalucía: Costa De Almería;Viajero;Residentes en España;2006M05;72.792
Andalucía: Costa De Almería;Viajero;Residentes en España;2006M04;91.777
Andalucía: Costa De Almería;Viajero;Residentes en España;2006M03;57.737
Andalucía: Costa De Almería;Viajero;Residentes en España;2006M02;51.512
Andalucía: Costa De Almería;Viajero;Residentes en España;2006M01;45.200
Andalucía: Costa De Almería;Viajero;Residentes en España;2005M12;37.259
Andalucía: Costa De Almería;Viajero;Residentes en España;2005M11;47.806
Andalucía: Costa De Almería;Viajero;Residentes en España;2005M10;52.960
Andalucía: Costa De Almería;Viajero;Residentes en España;2005M09;85.469
Andalucía: Costa De Almería;Viajero;Residentes en España;2005M08;121.304
Andalucía: Costa De Almería;Viajero;Residentes en España;2005M07;102.990
Andalucía: Costa De Almería;Viajero;Residentes en España;2005M06;84.604
Andalucía: Costa De Almería;Viajero;Residentes en España;2005M05;71.049
Andalucía: Costa De Almería;Viajero;Residentes en España;2005M04;64.883
Andalucía: Costa De Almería;Viajero;Residentes en España;2005M03;66.855
Andalucía: Costa De Almería;Viajero;Residentes en España;2005M02;46.259
Andalucía: Costa De Almería;Viajero;Residentes en España;2005M01;34.109
Andalucía: Costa De Almería;Viajero;Residentes en España;2004M12;43.054
Andalucía: Costa De Almería;Viajero;Residentes en España;2004M11;44.480
Andalucía: Costa De Almería;Viajero;Residentes en España;2004M10;57.144
Andalucía: Costa De Almería;Viajero;Residentes en España;2004M09;77.643
Andalucía: Costa De Almería;Viajero;Residentes en España;2004M08;129.346
Andalucía: Costa De Almería;Viajero;Residentes en España;2004M07;120.759
Andalucía: Costa De Almería;Viajero;Residentes en España;2004M06;91.983
Andalucía: Costa De Almería;Viajero;Residentes en España;2004M05;62.751
Andalucía: Costa De Almería;Viajero;Residentes en España;2004M04;74.613
Andalucía: Costa De Almería;Viajero;Residentes en España;2004M03;52.696
Andalucía: Costa De Almería;Viajero;Residentes en España;2004M02;50.163
Andalucía: Costa De Almería;Viajero;Residentes en España;2004M01;36.211
Andalucía: Costa De Almería;Viajero;Residentes en España;2003M12;40.185
Andalucía: Costa De Almería;Viajero;Residentes en España;2003M11;34.590
Andalucía: Costa De Almería;Viajero;Residentes en España;2003M10;45.389
Andalucía: Costa De Almería;Viajero;Residentes en España;2003M09;76.672
Andalucía: Costa De Almería;Viajero;Residentes en España;2003M08;111.081
Andalucía: Costa De Almería;Viajero;Residentes en España;2003M07;87.043
Andalucía: Costa De Almería;Viajero;Residentes en España;2003M06;70.039
Andalucía: Costa De Almería;Viajero;Residentes en España;2003M05;63.253
Andalucía: Costa De Almería;Viajero;Residentes en España;2003M04;57.437
Andalucía: Costa De Almería;Viajero;Residentes en España;2003M03;39.654
Andalucía: Costa De Almería;Viajero;Residentes en España;2003M02;38.672
Andalucía: Costa De Almería;Viajero;Residentes en España;2003M01;25.659
