apartment_id,city,room_type,price_€,availability_30,availability_60,availability_90,availability_365,has_availability_numeric,occupancy_30,occupancy_rate_30,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,rating_above_80
14136180,madrid,Entire home/apt,500.0,15,39,64,208,,15,50.0,91.0,9.0,9.0,10.0,10.0,10.0,True
14869404,barcelona,Private room,290.0,1,5,11,50,,29,96.67,97.0,10.0,10.0,10.0,10.0,9.0,True
17750775,barcelona,Private room,590.0,24,45,75,350,,6,20.0,,,,,,,
14080358,madrid,Entire home/apt,700.0,23,53,83,358,,7,23.33,100.0,10.0,10.0,10.0,10.0,10.0,True
4862193,barcelona,Private room,450.0,0,0,0,0,,30,100.0,100.0,8.0,8.0,10.0,10.0,9.0,True
12588488,madrid,Private room,320.0,22,52,82,357,,8,26.67,93.0,10.0,9.0,10.0,10.0,9.0,True
776174,barcelona,Entire home/apt,650.0,6,17,43,165,,24,80.0,94.0,9.0,10.0,10.0,10.0,10.0,True
15483686,madrid,Entire home/apt,520.0,30,60,90,180,,0,0.0,,,,,,,
13720635,barcelona,Entire home/apt,600.0,3,5,9,9,,27,90.0,88.0,9.0,8.0,10.0,10.0,9.0,True
15376167,barcelona,Entire home/apt,1000.0,0,0,3,212,,30,100.0,96.0,10.0,9.0,10.0,10.0,10.0,True
13510273,madrid,Entire home/apt,800.0,0,0,0,0,,30,100.0,,,,,,,
15489253,barcelona,Private room,370.0,1,1,1,270,,29,96.67,96.0,10.0,10.0,10.0,10.0,10.0,True
12339653,madrid,Private room,180.0,0,0,0,0,,30,100.0,100.0,10.0,10.0,10.0,10.0,10.0,True
767631,barcelona,Entire home/apt,500.0,0,0,0,0,,30,100.0,83.0,9.0,8.0,10.0,10.0,10.0,True
15654963,madrid,Entire home/apt,790.0,29,59,89,364,,1,3.33,,,,,,,
13717362,madrid,Private room,250.0,30,60,90,365,,0,0.0,100.0,10.0,10.0,10.0,10.0,10.0,True
12744761,barcelona,Entire home/apt,5000.0,6,21,44,205,,24,80.0,,,,,,,
2729680,barcelona,Entire home/apt,1100.0,8,18,28,273,,22,73.33,92.0,10.0,10.0,10.0,10.0,9.0,True
12806328,barcelona,Private room,400.0,8,38,68,343,,22,73.33,95.0,10.0,9.0,10.0,10.0,9.0,True
7633010,barcelona,Private room,390.0,28,58,88,179,,2,6.67,100.0,10.0,10.0,10.0,10.0,10.0,True
16986755,barcelona,Private room,350.0,24,54,81,172,,6,20.0,,,,,,,
5645802,barcelona,Entire home/apt,1250.0,10,27,27,159,,20,66.67,,,,,,,
18325119,barcelona,Private room,750.0,0,16,24,94,,30,100.0,,,,,,,
