Zonas Turísticas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2025M01;31.304
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2024M12;30.899
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2024M11;43.216
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2024M10;135.003
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2024M09;194.216
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2024M08;212.303
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2024M07;181.474
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2024M06;173.051
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2024M05;134.931
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2024M04;65.839
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2024M03;59.408
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2024M02;47.197
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2024M01;30.946
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2023M12;29.760
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2023M11;39.108
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2023M10;139.808
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2023M09;195.141
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2023M08;199.468
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2023M07;182.943
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2023M06;159.466
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2023M05;130.584
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2023M04;67.597
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2023M03;51.204
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2023M02;39.141
Andalucía: Costa De Almería;Pernoctaciones;Residentes en el Extranjero;2023M01;30.994
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2025M12;64.936
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2025M11;73.238
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2025M10;129.875
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2025M09;169.813
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2025M08;245.966
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2025M07;235.722
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2025M06;210.747
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2025M05;166.697
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2025M04;137.373
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2025M03;72.579
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2025M02;64.854
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2025M01;53.571
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2024M12;55.345
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2024M11;66.216
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2024M10;111.466
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2024M09;167.949
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2024M08;225.170
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2024M07;212.494
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2024M06;193.723
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2024M05;181.071
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2024M04;127.372
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2024M03;93.063
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2024M02;70.256
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2024M01;45.965
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2023M12;60.535
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2023M11;60.402
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2023M10;125.461
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2023M09;166.562
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2023M08;254.918
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2023M07;247.788
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2023M06;202.411
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2023M05;148.013
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2023M04;155.825
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2023M03;72.480
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2023M02;67.044
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en España;2023M01;45.279
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2025M12;30.797
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2025M11;41.284
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2025M10;94.413
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2025M09;86.400
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2025M08;68.723
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2025M07;73.105
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2025M06;86.797
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2025M05;84.776
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2025M04;73.994
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2025M03;44.578
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2025M02;30.802
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2025M01;27.185
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2024M12;24.831
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2024M11;38.144
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2024M10;82.875
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2024M09;88.553
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2024M08;70.720
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2024M07;69.918
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2024M06;81.657
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2024M05;94.024
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2024M04;75.758
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2024M03;45.754
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2024M02;34.450
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2024M01;25.105
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2023M12;23.665
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2023M11;34.965
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2023M10;85.504
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2023M09;89.709
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2023M08;76.927
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2023M07;73.391
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2023M06;74.474
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2023M05;80.815
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2023M04;76.914
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2023M03;41.367
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2023M02;27.842
Andalucía: Costa De La Luz De Cádiz;Viajero;Residentes en el Extranjero;2023M01;19.601
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2025M12;136.371
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2025M11;156.754
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2025M10;310.060
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2025M09;540.594
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2025M08;959.515
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2025M07;848.441
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2025M06;572.934
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2025M05;421.403
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2025M04;336.088
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2025M03;154.448
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2025M02;124.093
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2025M01;113.039
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2024M12;113.997
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2024M11;146.258
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2024M10;287.792
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2024M09;512.431
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2024M08;876.197
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2024M07;800.182
Andalucía: Costa De La Luz De Cádiz;Pernoctaciones;Residentes en España;2024M06;550.422
