Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2025M05;53.043
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2025M04;48.031
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2025M03;43.680
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2025M02;41.315
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2025M01;34.875
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2024M12;41.530
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2024M11;51.039
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2024M10;51.435
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2024M09;50.046
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2024M08;47.576
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2024M07;44.064
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2024M06;46.832
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2024M05;50.212
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2024M04;43.061
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2024M03;47.836
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2024M02;40.743
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2024M01;35.400
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2023M12;41.556
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2023M11;45.101
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2023M10;47.646
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2023M09;51.585
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2023M08;47.329
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2023M07;48.057
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2023M06;51.723
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2023M05;47.262
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2023M04;49.745
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2023M03;47.416
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2023M02;38.027
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en España;2023M01;34.786
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2025M12;6.815
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2025M11;7.451
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2025M10;12.741
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2025M09;15.505
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2025M08;23.564
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2025M07;19.965
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2025M06;12.114
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2025M05;12.721
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2025M04;11.944
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2025M03;8.814
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2025M02;5.816
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2025M01;6.486
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2024M12;6.939
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2024M11;8.023
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2024M10;11.445
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2024M09;13.768
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2024M08;22.032
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2024M07;18.170
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2024M06;12.617
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2024M05;12.114
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2024M04;10.617
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2024M03;8.234
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2024M02;5.073
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2024M01;6.043
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2023M12;7.044
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2023M11;8.276
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2023M10;12.015
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2023M09;14.451
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2023M08;23.365
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2023M07;18.480
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2023M06;11.876
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2023M05;12.803
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2023M04;11.122
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2023M03;7.090
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2023M02;5.179
Total Nacional;07 Castilla y León;47 Valladolid;Viajero;Total;Residentes en el Extranjero;2023M01;5.683
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2025M12;90.775
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2025M11;99.104
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2025M10;115.543
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2025M09;117.528
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2025M08;120.913
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2025M07;113.313
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2025M06;106.483
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2025M05;115.889
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2025M04;108.639
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2025M03;95.623
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2025M02;83.710
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2025M01;73.996
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2024M12;89.663
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2024M11;105.567
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2024M10;110.166
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2024M09;116.922
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2024M08;122.965
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2024M07;108.986
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2024M06;110.980
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2024M05;112.302
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2024M04;93.340
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2024M03;102.567
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2024M02;79.948
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2024M01;74.472
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2023M12;95.771
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2023M11;92.706
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2023M10;107.091
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2023M09;116.986
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2023M08;115.879
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2023M07;109.438
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2023M06;111.200
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2023M05;104.276
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2023M04;107.127
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2023M03;93.638
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2023M02;73.771
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;;2023M01;69.024
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2025M12;79.303
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2025M11;83.586
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2025M10;90.186
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2025M09;86.722
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2025M08;88.010
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2025M07;78.886
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2025M06;83.239
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2025M05;94.330
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2025M04;87.932
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2025M03;79.043
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2025M02;72.547
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2025M01;61.846
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2024M12;77.120
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2024M11;90.032
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2024M10;88.913
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2024M09;88.862
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2024M08;89.727
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2024M07;80.608
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2024M06;87.847
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2024M05;89.543
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2024M04;74.158
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2024M03;87.077
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2024M02;70.486
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2024M01;63.744
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2023M12;82.661
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2023M11;76.560
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2023M10;85.091
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2023M09;91.390
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2023M08;83.954
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2023M07;83.097
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2023M06;91.171
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2023M05;81.360
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2023M04;89.082
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2023M03;81.483
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2023M02;64.589
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en España;2023M01;60.012
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2025M12;11.472
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2025M11;15.517
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2025M10;25.357
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2025M09;30.805
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2025M08;32.903
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2025M07;34.427
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2025M06;23.245
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2025M05;21.560
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2025M04;20.707
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;16.580
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;11.163
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;12.149
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2024M12;12.543
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2024M11;15.535
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2024M10;21.253
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2024M09;28.060
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2024M08;33.237
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2024M07;28.378
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2024M06;23.132
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2024M05;22.759
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2024M04;19.182
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2024M03;15.491
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2024M02;9.462
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2024M01;10.728
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2023M12;13.110
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2023M11;16.146
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2023M10;22.000
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2023M09;25.596
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2023M08;31.925
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2023M07;26.341
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2023M06;20.029
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2023M05;22.916
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2023M04;18.044
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2023M03;12.155
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2023M02;9.182
Total Nacional;07 Castilla y León;47 Valladolid;Pernoctaciones;Total;Residentes en el Extranjero;2023M01;9.013
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M12;13.111
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M11;15.573
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M10;20.377
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M09;20.381
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M08;29.550
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M07;23.769
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M06;19.841
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M05;20.444
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M04;19.275
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M03;13.858
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M02;10.757
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2025M01;9.239
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2024M12;12.798
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2024M11;15.906
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2024M10;21.657
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2024M09;23.049
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2024M08;31.514
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2024M07;24.677
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2024M06;21.372
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2024M05;21.408
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2024M04;18.120
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2024M03;16.401
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2024M02;12.567
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2024M01;9.624
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2023M12;14.182
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2023M11;14.534
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2023M10;22.732
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2023M09;23.210
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2023M08;31.801
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2023M07;27.162
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2023M06;21.745
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2023M05;18.847
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2023M04;21.658
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2023M03;14.014
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2023M02;10.647
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;;2023M01;8.463
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M12;12.056
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M11;14.151
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M10;17.723
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M09;17.096
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M08;26.333
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M07;21.250
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M06;16.928
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M05;16.903
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M04;16.173
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M03;12.116
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M02;9.838
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2025M01;8.576
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2024M12;11.713
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2024M11;14.262
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2024M10;19.069
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2024M09;19.393
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2024M08;27.921
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2024M07;21.967
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2024M06;18.172
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2024M05;16.825
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2024M04;15.029
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2024M03;14.852
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2024M02;11.444
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2024M01;8.468
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2023M12;13.149
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2023M11;13.233
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2023M10;19.145
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2023M09;19.295
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2023M08;27.948
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2023M07;24.145
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2023M06;18.654
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2023M05;15.426
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2023M04;19.052
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2023M03;12.726
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2023M02;9.494
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en España;2023M01;7.467
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M12;1.055
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M11;1.422
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M10;2.654
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M09;3.285
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M08;3.217
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M07;2.519
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M06;2.913
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M05;3.540
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M04;3.102
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M03;1.742
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M02;919
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2025M01;663
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2024M12;1.084
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2024M11;1.644
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2024M10;2.589
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2024M09;3.656
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2024M08;3.593
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2024M07;2.710
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2024M06;3.200
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2024M05;4.583
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2024M04;3.091
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2024M03;1.549
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2024M02;1.123
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2024M01;1.156
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2023M12;1.033
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2023M11;1.302
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2023M10;3.587
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2023M09;3.914
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2023M08;3.853
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2023M07;3.017
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2023M06;3.091
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2023M05;3.421
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2023M04;2.606
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2023M03;1.288
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2023M02;1.153
Total Nacional;07 Castilla y León;49 Zamora;Viajero;Total;Residentes en el Extranjero;2023M01;996
