Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2024M01;5.762.176
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2023M12;7.363.463
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2023M11;6.957.475
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2023M10;9.662.174
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2023M09;11.783.151
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2023M08;17.548.462
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2023M07;15.303.797
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2023M06;12.216.070
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2023M05;9.784.069
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2023M04;10.749.390
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2023M03;8.037.671
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2023M02;6.508.332
Total Nacional;;;Pernoctaciones;Total;Residentes en España;2023M01;5.810.812
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M12;11.317.514
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M11;12.773.320
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M10;24.715.105
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M09;27.517.185
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M08;30.962.964
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M07;29.796.067
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M06;26.790.929
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M05;24.607.054
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M04;18.856.145
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;14.315.812
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;11.819.917
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;11.126.796
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2024M12;10.818.842
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2024M11;12.399.638
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2024M10;24.222.363
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2024M09;27.211.161
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2024M08;30.450.401
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2024M07;29.175.038
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2024M06;25.837.418
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2024M05;25.077.285
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2024M04;18.214.927
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2024M03;15.098.591
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2024M02;11.807.033
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2024M01;10.729.421
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2023M12;10.550.395
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2023M11;12.066.353
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2023M10;22.753.513
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2023M09;26.197.078
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2023M08;29.147.145
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2023M07;27.805.620
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2023M06;24.038.955
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2023M05;22.403.599
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2023M04;17.297.363
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2023M03;12.560.069
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2023M02;10.308.214
Total Nacional;;;Pernoctaciones;Total;Residentes en el Extranjero;2023M01;9.661.665
Total Nacional;01 Andalucía;;Viajero;Total;;2025M12;1.196.892
Total Nacional;01 Andalucía;;Viajero;Total;;2025M11;1.306.347
Total Nacional;01 Andalucía;;Viajero;Total;;2025M10;1.903.645
Total Nacional;01 Andalucía;;Viajero;Total;;2025M09;2.055.612
Total Nacional;01 Andalucía;;Viajero;Total;;2025M08;2.287.040
Total Nacional;01 Andalucía;;Viajero;Total;;2025M07;2.118.987
Total Nacional;01 Andalucía;;Viajero;Total;;2025M06;2.052.030
Total Nacional;01 Andalucía;;Viajero;Total;;2025M05;2.035.990
Total Nacional;01 Andalucía;;Viajero;Total;;2025M04;1.860.719
Total Nacional;01 Andalucía;;Viajero;Total;;2025M03;1.397.666
Total Nacional;01 Andalucía;;Viajero;Total;;2025M02;1.189.519
Total Nacional;01 Andalucía;;Viajero;Total;;2025M01;995.404
Total Nacional;01 Andalucía;;Viajero;Total;;2024M12;1.108.517
Total Nacional;01 Andalucía;;Viajero;Total;;2024M11;1.269.391
Total Nacional;01 Andalucía;;Viajero;Total;;2024M10;1.835.740
Total Nacional;01 Andalucía;;Viajero;Total;;2024M09;2.013.198
Total Nacional;01 Andalucía;;Viajero;Total;;2024M08;2.208.915
Total Nacional;01 Andalucía;;Viajero;Total;;2024M07;2.010.321
Total Nacional;01 Andalucía;;Viajero;Total;;2024M06;2.011.395
Total Nacional;01 Andalucía;;Viajero;Total;;2024M05;2.085.222
Total Nacional;01 Andalucía;;Viajero;Total;;2024M04;1.853.668
Total Nacional;01 Andalucía;;Viajero;Total;;2024M03;1.595.826
Total Nacional;01 Andalucía;;Viajero;Total;;2024M02;1.258.294
Total Nacional;01 Andalucía;;Viajero;Total;;2024M01;1.041.007
Total Nacional;01 Andalucía;;Viajero;Total;;2023M12;1.170.078
Total Nacional;01 Andalucía;;Viajero;Total;;2023M11;1.239.122
Total Nacional;01 Andalucía;;Viajero;Total;;2023M10;1.873.526
Total Nacional;01 Andalucía;;Viajero;Total;;2023M09;2.025.500
Total Nacional;01 Andalucía;;Viajero;Total;;2023M08;2.267.920
Total Nacional;01 Andalucía;;Viajero;Total;;2023M07;2.114.842
Total Nacional;01 Andalucía;;Viajero;Total;;2023M06;1.959.976
Total Nacional;01 Andalucía;;Viajero;Total;;2023M05;1.883.648
Total Nacional;01 Andalucía;;Viajero;Total;;2023M04;1.852.962
Total Nacional;01 Andalucía;;Viajero;Total;;2023M03;1.418.975
Total Nacional;01 Andalucía;;Viajero;Total;;2023M02;1.123.345
Total Nacional;01 Andalucía;;Viajero;Total;;2023M01;954.691
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M12;685.108
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M11;685.893
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M10;843.852
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M09;1.021.623
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M08;1.333.873
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M07;1.221.977
Total Nacional;01 Andalucía;;Viajero;Total;Residentes en España;2025M06;1.099.444
