Totales Territoriales;Provincias;Viajeros y pernoctaciones;Totales Territoriales.1;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;;2024M01;100
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;;2023M12;100
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;;2023M11;100
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;;2023M10;100
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;;2023M09;100
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;;2023M08;100
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;;2023M07;100
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;;2023M06;100
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;;2023M05;100
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;;2023M04;100
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;;2023M03;100
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;;2023M02;100
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;;2023M01;100
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2025M12;5,1
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2025M11;3,67
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2025M10;6,21
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2025M09;8,84
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2025M08;10,14
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2025M07;9,57
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2025M06;7,72
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2025M05;6,11
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2025M04;5,79
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2025M03;3,76
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2025M02;3,45
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2025M01;3,73
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2024M12;2,12
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2024M11;4,88
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2024M10;6,63
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2024M09;8,94
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2024M08;10,26
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2024M07;9,94
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2024M06;7,81
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2024M05;6,57
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2024M04;6,19
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2024M03;5,71
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2024M02;5,04
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2024M01;3,96
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2023M12;2,6
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2023M11;4,28
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2023M10;5,42
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2023M09;8,9
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2023M08;10,89
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2023M07;9,67
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2023M06;6,6
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2023M05;6,42
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2023M04;5,33
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2023M03;5,54
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2023M02;3,25
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;01 Andalucía;2023M01;2,97
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2025M12;0,48
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2025M11;0,44
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2025M10;0,82
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2025M09;1,66
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2025M08;1,49
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2025M07;1,67
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2025M06;1,58
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2025M05;0,76
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2025M04;1,41
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2025M03;0,59
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2025M02;0,46
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2025M01;0,54
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2024M12;1,13
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2024M11;0,75
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2024M10;0,98
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2024M09;1,26
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2024M08;1,7
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2024M07;1,52
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2024M06;1,26
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2024M05;1,4
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2024M04;1,13
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2024M03;1
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2024M02;0,89
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2024M01;0,48
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2023M12;0,6
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2023M11;0,82
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2023M10;0,98
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2023M09;1,46
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2023M08;1,47
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2023M07;1,38
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2023M06;1,39
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2023M05;1,17
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2023M04;0,64
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2023M03;1,02
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2023M02;0,99
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;02 Aragón;2023M01;0,5
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2025M12;8,83
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2025M11;7,56
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2025M10;6,96
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2025M09;6,66
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2025M08;3,81
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2025M07;6,02
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2025M06;6,94
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2025M05;7,16
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2025M04;7,23
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2025M03;8,2
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2025M02;8,62
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2025M01;6,58
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2024M12;10,13
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2024M11;8,36
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2024M10;7,87
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2024M09;8,01
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2024M08;4,07
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2024M07;5,84
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2024M06;8,98
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2024M05;7,97
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2024M04;7,47
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2024M03;7,59
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2024M02;10,41
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2024M01;10,02
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2023M12;9,93
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2023M11;7,94
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2023M10;6,96
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2023M09;7,12
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2023M08;4,11
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2023M07;6,96
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2023M06;9,03
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2023M05;6,88
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2023M04;8,96
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2023M03;9,42
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2023M02;9,51
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;03 Asturias, Principado de;2023M01;9,39
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2025M12;0,41
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2025M11;1,16
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2025M10;1,92
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2025M09;0,89
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2025M08;0,73
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2025M07;1,05
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2025M06;0,84
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2025M05;0,87
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2025M04;1,56
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2025M03;1,15
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2025M02;1,15
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2025M01;0,69
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2024M12;1,28
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2024M11;0,6
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2024M10;0,86
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2024M09;0,93
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2024M08;0,86
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2024M07;0,7
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2024M06;0,67
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2024M05;0,82
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2024M04;0,9
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2024M03;1,04
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2024M02;0,56
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2024M01;1,19
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2023M12;1,2
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2023M11;1,93
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2023M10;0,92
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2023M09;0,55
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2023M08;0,59
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2023M07;0,48
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2023M06;0,9
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2023M05;1,62
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2023M04;0,46
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2023M03;1,1
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2023M02;1,33
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;04 Balears, Illes;2023M01;1,23
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2025M12;1,28
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2025M11;1,17
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2025M10;3,18
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2025M09;1,99
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2025M08;1,72
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2025M07;2,08
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2025M06;3,39
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2025M05;4,12
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2025M04;1,46
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2025M03;1,33
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2025M02;2,05
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2025M01;0,93
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2024M12;1,25
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2024M11;1,84
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2024M10;2,64
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2024M09;2,26
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2024M08;1,07
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2024M07;2,75
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2024M06;1,7
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2024M05;1,73
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2024M04;1,28
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2024M03;1,14
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2024M02;1,62
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2024M01;1,44
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2023M12;0,52
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2023M11;0,59
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2023M10;3,15
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2023M09;2,51
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2023M08;1,16
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2023M07;2,51
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2023M06;1,72
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2023M05;3,55
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2023M04;1,12
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2023M03;4,25
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2023M02;1,23
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;05 Canarias;2023M01;1,3
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2025M12;2,76
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2025M11;1,48
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2025M10;1,73
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2025M09;1,7
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2025M08;1,37
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2025M07;1,76
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2025M06;2,17
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2025M05;1,51
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2025M04;2,28
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2025M03;2,33
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2025M02;1,68
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2025M01;1,61
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2024M12;1,41
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2024M11;1,73
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2024M10;1,49
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2024M09;1,47
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2024M08;1,33
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2024M07;1,8
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2024M06;1,89
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2024M05;1,9
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2024M04;1,03
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2024M03;1,8
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2024M02;2,19
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2024M01;1,28
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2023M12;1,57
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2023M11;1,28
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2023M10;1,72
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2023M09;1,73
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2023M08;1,2
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2023M07;1,71
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2023M06;2,41
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2023M05;1,11
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2023M04;1,66
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2023M03;2,03
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2023M02;1,35
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;06 Cantabria;2023M01;1,21
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2025M12;6,35
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2025M11;7,36
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2025M10;6,94
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2025M09;7,54
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2025M08;5,41
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2025M07;7,12
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2025M06;6,79
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2025M05;7
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2025M04;8,51
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2025M03;8,81
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2025M02;8,47
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2025M01;8,61
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2024M12;8,2
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2024M11;6,85
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2024M10;6,93
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2024M09;7,85
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2024M08;6,01
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2024M07;6,14
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2024M06;6,23
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2024M05;6,86
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2024M04;11,24
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2024M03;7,56
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2024M02;6,5
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2024M01;8,45
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2023M12;8,35
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2023M11;5,93
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2023M10;6,26
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2023M09;6,69
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2023M08;5,69
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2023M07;6,77
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2023M06;7,61
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2023M05;7,86
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2023M04;7,29
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2023M03;7,95
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2023M02;6,12
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;07 Castilla y León;2023M01;6,01
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2025M12;1,33
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2025M11;1,66
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2025M10;2,98
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2025M09;2,35
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2025M08;4,17
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2025M07;2,78
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2025M06;2,44
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2025M05;2,27
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2025M04;2,55
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2025M03;1,2
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2025M02;1,53
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2025M01;1,87
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2024M12;1,33
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2024M11;3,03
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2024M10;2,22
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2024M09;2,78
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2024M08;3,23
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2024M07;3,49
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2024M06;2,34
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2024M05;3,17
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2024M04;1,59
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2024M03;2,14
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2024M02;1,41
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2024M01;1,6
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2023M12;1,33
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2023M11;1,5
Total Nacional;27 Lugo;Pernoctaciones;Total Nacional;08 Castilla - La Mancha;2023M10;1,85
