Totales Territoriales;Provincias;Viajeros y pernoctaciones;Totales Territoriales.1;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2023M09;2,59
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2023M08;2,05
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2023M07;2,35
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2023M06;2,55
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2023M05;2,55
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2023M04;2,34
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2023M03;2,45
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2023M02;2,4
Total Nacional;;Viajero;Total Nacional;03 Asturias, Principado de;2023M01;2,32
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2025M12;2,73
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2025M11;2,71
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2025M10;3,03
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2025M09;2,56
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2025M08;1,75
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2025M07;1,9
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2025M06;2,17
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2025M05;2,68
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2025M04;2,63
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2025M03;2,52
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2025M02;2,46
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2025M01;2,36
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2024M12;2,47
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2024M11;2,5
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2024M10;3,05
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2024M09;2,68
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2024M08;2,13
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2024M07;2,46
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2024M06;2,73
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2024M05;2,91
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2024M04;2,73
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2024M03;2,51
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2024M02;2,19
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2024M01;2,17
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2023M12;2,19
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2023M11;2,22
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2023M10;2,7
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2023M09;2,08
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2023M08;1,63
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2023M07;2,07
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2023M06;2,19
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2023M05;2,91
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2023M04;2,03
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2023M03;1,84
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2023M02;2,02
Total Nacional;;Viajero;Total Nacional;04 Balears, Illes;2023M01;2,29
Total Nacional;;Viajero;Total Nacional;05 Canarias;2025M12;3,54
