Puntos turísticos;Viajeros y pernoctaciones;Residencia;Periodo;Total
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2024M12;15.798
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2024M11;15.888
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2024M10;21.075
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2024M09;21.957
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2024M08;27.708
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2024M07;31.480
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2024M06;19.822
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2024M05;20.147
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2024M04;18.864
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2024M03;17.834
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2024M02;14.814
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2024M01;15.475
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2023M12;12.910
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2023M11;16.012
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2023M10;19.186
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2023M09;23.295
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2023M08;27.856
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2023M07;29.136
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2023M06;17.787
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2023M05;16.366
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2023M04;13.734
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2023M03;12.467
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2023M02;12.849
01059 Vitoria-Gasteiz;Pernoctaciones;Residentes en el Extranjero;2023M01;9.948
02003 Albacete;Viajero;Residentes en España;2025M12;14.831
02003 Albacete;Viajero;Residentes en España;2025M11;15.838
02003 Albacete;Viajero;Residentes en España;2025M10;18.768
02003 Albacete;Viajero;Residentes en España;2025M09;19.311
02003 Albacete;Viajero;Residentes en España;2025M08;13.180
02003 Albacete;Viajero;Residentes en España;2025M07;14.239
02003 Albacete;Viajero;Residentes en España;2025M06;16.980
02003 Albacete;Viajero;Residentes en España;2025M05;18.397
02003 Albacete;Viajero;Residentes en España;2025M04;16.572
02003 Albacete;Viajero;Residentes en España;2025M03;16.446
02003 Albacete;Viajero;Residentes en España;2025M02;14.347
02003 Albacete;Viajero;Residentes en España;2025M01;11.144
02003 Albacete;Viajero;Residentes en España;2024M12;13.457
02003 Albacete;Viajero;Residentes en España;2024M11;12.647
02003 Albacete;Viajero;Residentes en España;2024M10;16.166
02003 Albacete;Viajero;Residentes en España;2024M09;16.936
02003 Albacete;Viajero;Residentes en España;2024M08;12.183
02003 Albacete;Viajero;Residentes en España;2024M07;12.661
02003 Albacete;Viajero;Residentes en España;2024M06;15.685
02003 Albacete;Viajero;Residentes en España;2024M05;15.629
02003 Albacete;Viajero;Residentes en España;2024M04;15.993
02003 Albacete;Viajero;Residentes en España;2024M03;14.996
02003 Albacete;Viajero;Residentes en España;2024M02;12.368
02003 Albacete;Viajero;Residentes en España;2024M01;10.387
02003 Albacete;Viajero;Residentes en España;2023M12;13.780
02003 Albacete;Viajero;Residentes en España;2023M11;15.285
02003 Albacete;Viajero;Residentes en España;2023M10;16.076
02003 Albacete;Viajero;Residentes en España;2023M09;19.252
02003 Albacete;Viajero;Residentes en España;2023M08;12.028
02003 Albacete;Viajero;Residentes en España;2023M07;13.797
02003 Albacete;Viajero;Residentes en España;2023M06;17.488
02003 Albacete;Viajero;Residentes en España;2023M05;15.354
02003 Albacete;Viajero;Residentes en España;2023M04;16.909
02003 Albacete;Viajero;Residentes en España;2023M03;16.211
02003 Albacete;Viajero;Residentes en España;2023M02;12.167
02003 Albacete;Viajero;Residentes en España;2023M01;11.450
02003 Albacete;Viajero;Residentes en el Extranjero;2025M12;2.199
02003 Albacete;Viajero;Residentes en el Extranjero;2025M11;2.557
02003 Albacete;Viajero;Residentes en el Extranjero;2025M10;2.822
02003 Albacete;Viajero;Residentes en el Extranjero;2025M09;3.215
02003 Albacete;Viajero;Residentes en el Extranjero;2025M08;2.833
02003 Albacete;Viajero;Residentes en el Extranjero;2025M07;2.611
02003 Albacete;Viajero;Residentes en el Extranjero;2025M06;2.457
02003 Albacete;Viajero;Residentes en el Extranjero;2025M05;3.270
02003 Albacete;Viajero;Residentes en el Extranjero;2025M04;3.184
02003 Albacete;Viajero;Residentes en el Extranjero;2025M03;2.508
02003 Albacete;Viajero;Residentes en el Extranjero;2025M02;2.245
02003 Albacete;Viajero;Residentes en el Extranjero;2025M01;2.235
02003 Albacete;Viajero;Residentes en el Extranjero;2024M12;1.878
02003 Albacete;Viajero;Residentes en el Extranjero;2024M11;2.880
02003 Albacete;Viajero;Residentes en el Extranjero;2024M10;2.727
02003 Albacete;Viajero;Residentes en el Extranjero;2024M09;2.645
02003 Albacete;Viajero;Residentes en el Extranjero;2024M08;2.626
02003 Albacete;Viajero;Residentes en el Extranjero;2024M07;2.280
02003 Albacete;Viajero;Residentes en el Extranjero;2024M06;2.169
02003 Albacete;Viajero;Residentes en el Extranjero;2024M05;2.589
02003 Albacete;Viajero;Residentes en el Extranjero;2024M04;2.372
02003 Albacete;Viajero;Residentes en el Extranjero;2024M03;2.134
02003 Albacete;Viajero;Residentes en el Extranjero;2024M02;1.536
02003 Albacete;Viajero;Residentes en el Extranjero;2024M01;1.422
02003 Albacete;Viajero;Residentes en el Extranjero;2023M12;1.402
02003 Albacete;Viajero;Residentes en el Extranjero;2023M11;1.831
02003 Albacete;Viajero;Residentes en el Extranjero;2023M10;2.275
02003 Albacete;Viajero;Residentes en el Extranjero;2023M09;2.449
02003 Albacete;Viajero;Residentes en el Extranjero;2023M08;2.428
02003 Albacete;Viajero;Residentes en el Extranjero;2023M07;2.305
02003 Albacete;Viajero;Residentes en el Extranjero;2023M06;2.041
02003 Albacete;Viajero;Residentes en el Extranjero;2023M05;2.732
02003 Albacete;Viajero;Residentes en el Extranjero;2023M04;2.015
