Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2024M11;1.865.983
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2024M10;4.048.088
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2024M09;5.129.851
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2024M08;6.396.274
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2024M07;6.093.614
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2024M06;5.004.561
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2024M05;4.754.076
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2024M04;3.265.526
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2024M03;2.395.056
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2024M02;1.841.646
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2024M01;1.500.369
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2023M12;1.577.975
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2023M11;1.887.404
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2023M10;3.970.346
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2023M09;5.001.865
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2023M08;6.199.898
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2023M07;5.756.551
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2023M06;4.427.120
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2023M05;4.175.368
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2023M04;3.255.995
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2023M03;2.052.299
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2023M02;1.698.437
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2023M01;1.407.393
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2022M12;1.433.109
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2022M11;1.701.820
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2022M10;3.388.311
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2022M09;4.338.131
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2022M08;5.964.114
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2022M07;5.425.052
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2022M06;4.054.329
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2022M05;3.507.318
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2022M04;2.631.800
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2022M03;1.563.605
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2022M02;1.166.941
Total Nacional;09 Cataluña;;Total;Residentes en el Extranjero;Pernoctaciones;2022M01;746.186
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2026M03;323.006
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2026M02;278.261
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2026M01;258.248
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2025M12;290.040
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2025M11;288.876
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2025M10;350.112
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2025M09;282.967
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2025M08;290.501
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2025M07;329.110
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2025M06;321.279
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2025M05;304.377
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2025M04;265.417
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2025M03;277.847
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2025M02;261.337
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2025M01;236.909
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M12;275.949
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M11;280.494
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M10;300.067
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M09;277.468
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M08;262.786
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M07;308.503
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M06;322.416
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M05;292.434
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M04;270.776
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M03;290.694
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M02;255.670
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M01;231.739
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M12;260.712
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M11;272.902
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M10;315.869
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M09;290.347
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M08;280.876
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M07;337.404
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M06;330.907
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M05;339.829
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M04;298.082
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M03;312.242
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M02;252.316
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M01;249.509
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M12;264.577
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M11;267.015
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M10;316.090
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M09;296.716
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M08;283.775
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M07;335.624
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M06;303.980
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M05;292.049
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M04;297.090
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M03;258.640
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M02;220.732
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M01;183.731
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2026M03;588.439
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2026M02;479.465
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2026M01;460.755
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2025M12;496.206
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2025M11;495.002
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2025M10;595.244
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2025M09;521.436
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2025M08;623.449
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2025M07;645.421
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2025M06;597.453
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2025M05;614.952
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2025M04;529.917
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2025M03;515.426
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2025M02;435.265
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2025M01;426.465
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M12;485.475
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M11;509.485
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M10;571.488
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M09;543.250
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M08;589.496
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M07;619.025
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M06;610.476
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M05;587.277
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M04;543.198
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M03;564.127
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M02;484.989
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M01;435.764
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M12;472.811
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M11;492.263
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M10;589.710
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M09;555.333
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M08;649.993
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M07;694.572
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M06;632.369
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M05;649.336
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M04;616.293
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M03;603.748
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M02;487.297
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M01;462.121
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M12;498.284
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M11;508.819
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M10;607.951
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M09;596.473
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M08;692.499
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M07;724.881
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M06;659.593
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M05;614.237
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M04;605.783
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M03;516.812
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M02;419.550
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2022M01;354.869
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2026M03;757.006
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2026M02;665.237
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2026M01;624.556
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2025M12;627.290
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2025M11;706.299
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2025M10;1.008.709
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2025M09;980.579
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2025M08;1.131.857
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2025M07;1.087.151
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2025M06;1.027.456
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2025M05;1.020.124
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2025M04;903.710
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2025M03;723.381
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2025M02;605.250
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2025M01;558.193
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M12;554.202
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M11;659.602
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M10;918.917
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M09;920.255
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M08;1.077.848
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M07;1.029.464
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M06;968.677
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M05;1.008.025
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M04;834.484
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M03;736.229
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M02;586.451
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2024M01;513.115
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M12;547.144
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M11;643.526
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M10;906.673
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M09;925.823
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M08;1.030.985
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M07;1.005.179
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M06;932.142
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M05;911.864
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M04;804.577
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M03;641.018
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M02;516.471
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2023M01;457.770
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M12;478.479
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M11;555.341
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M10;837.958
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M09;845.137
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M08;950.248
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M07;926.342
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M06;836.187
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M05;788.946
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M04;657.737
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M03;479.869
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M02;360.443
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Viajero;2022M01;235.175
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2026M03;1.896.445
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2026M02;1.620.427
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2026M01;1.554.508
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2025M12;1.523.919
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2025M11;1.718.801
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2025M10;2.678.700
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2025M09;2.823.429
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2025M08;3.449.333
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2025M07;3.257.203
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2025M06;2.885.333
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2025M05;2.703.744
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2025M04;2.363.267
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2025M03;1.845.790
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2025M02;1.528.882
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2025M01;1.409.017
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M12;1.414.766
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M11;1.654.694
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M10;2.559.442
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M09;2.798.425
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M08;3.471.711
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M07;3.262.897
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M06;2.895.390
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M05;2.846.860
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M04;2.266.344
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M03;1.974.434
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M02;1.600.121
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2024M01;1.340.817
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M12;1.384.603
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M11;1.647.469
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M10;2.581.304
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M09;2.793.696
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M08;3.376.797
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M07;3.140.450
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M06;2.667.663
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M05;2.538.461
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M04;2.266.476
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M03;1.744.055
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M02;1.464.273
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2023M01;1.241.533
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M12;1.262.761
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M11;1.484.186
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M10;2.314.570
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M09;2.482.226
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M08;3.182.414
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M07;2.954.985
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M06;2.549.429
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M05;2.303.551
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M04;1.927.190
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M03;1.372.491
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M02;975.350
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en el Extranjero;Pernoctaciones;2022M01;641.291
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2026M03;129.467
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2026M02;94.130
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2026M01;80.245
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2025M12;96.521
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2025M11;86.673
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2025M10;136.929
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2025M09;185.813
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2025M08;265.488
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2025M07;227.998
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2025M06;237.743
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2025M05;180.981
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2025M04;174.631
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2025M03;122.144
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2025M02;90.859
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2025M01;77.340
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M12;91.881
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M11;86.908
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M10;123.611
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M09;153.745
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M08;256.450
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M07;202.418
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M06;222.070
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M05;168.230
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M04;112.923
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M03;132.842
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M02;77.554
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2024M01;74.352
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M12;97.216
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M11;76.831
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M10;147.501
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M09;181.503
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M08;264.027
Total Nacional;09 Cataluña;17 Girona;Total;Residentes en España;Viajero;2023M07;227.893
