Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total Nacional;01 Andalucía;14 Córdoba;2026M01;1,71
Total Nacional;01 Andalucía;14 Córdoba;2025M12;1,69
Total Nacional;01 Andalucía;14 Córdoba;2025M11;1,68
Total Nacional;01 Andalucía;14 Córdoba;2025M10;1,65
Total Nacional;01 Andalucía;14 Córdoba;2025M09;1,72
Total Nacional;01 Andalucía;14 Córdoba;2025M08;1,80
Total Nacional;01 Andalucía;14 Córdoba;2025M07;1,65
Total Nacional;01 Andalucía;14 Córdoba;2025M06;1,67
Total Nacional;01 Andalucía;14 Córdoba;2025M05;1,79
Total Nacional;01 Andalucía;14 Córdoba;2025M04;1,69
Total Nacional;01 Andalucía;14 Córdoba;2025M03;1,73
Total Nacional;01 Andalucía;14 Córdoba;2025M02;1,69
Total Nacional;01 Andalucía;14 Córdoba;2025M01;1,69
Total Nacional;01 Andalucía;14 Córdoba;2024M12;1,81
Total Nacional;01 Andalucía;14 Córdoba;2024M11;1,69
Total Nacional;01 Andalucía;14 Córdoba;2024M10;1,82
Total Nacional;01 Andalucía;14 Córdoba;2024M09;1,66
Total Nacional;01 Andalucía;14 Córdoba;2024M08;1,75
Total Nacional;01 Andalucía;14 Córdoba;2024M07;1,78
Total Nacional;01 Andalucía;14 Córdoba;2024M06;1,68
Total Nacional;01 Andalucía;14 Córdoba;2024M05;1,74
Total Nacional;01 Andalucía;14 Córdoba;2024M04;1,72
Total Nacional;01 Andalucía;14 Córdoba;2024M03;1,76
Total Nacional;01 Andalucía;14 Córdoba;2024M02;1,70
Total Nacional;01 Andalucía;14 Córdoba;2024M01;1,66
Total Nacional;01 Andalucía;14 Córdoba;2023M12;1,76
Total Nacional;01 Andalucía;14 Córdoba;2023M11;1,67
Total Nacional;01 Andalucía;14 Córdoba;2023M10;1,69
Total Nacional;01 Andalucía;14 Córdoba;2023M09;1,63
Total Nacional;01 Andalucía;14 Córdoba;2023M08;1,80
Total Nacional;01 Andalucía;14 Córdoba;2023M07;1,77
Total Nacional;01 Andalucía;14 Córdoba;2023M06;1,67
Total Nacional;01 Andalucía;14 Córdoba;2023M05;1,78
Total Nacional;01 Andalucía;14 Córdoba;2023M04;1,78
Total Nacional;01 Andalucía;14 Córdoba;2023M03;1,73
Total Nacional;01 Andalucía;14 Córdoba;2023M02;1,72
Total Nacional;01 Andalucía;14 Córdoba;2023M01;1,71
Total Nacional;01 Andalucía;14 Córdoba;2022M12;1,78
Total Nacional;01 Andalucía;14 Córdoba;2022M11;1,71
Total Nacional;01 Andalucía;14 Córdoba;2022M10;1,71
Total Nacional;01 Andalucía;14 Córdoba;2022M09;1,64
Total Nacional;01 Andalucía;14 Córdoba;2022M08;1,81
Total Nacional;01 Andalucía;14 Córdoba;2022M07;1,75
Total Nacional;01 Andalucía;14 Córdoba;2022M06;1,67
Total Nacional;01 Andalucía;14 Córdoba;2022M05;1,76
Total Nacional;01 Andalucía;14 Córdoba;2022M04;1,73
Total Nacional;01 Andalucía;14 Córdoba;2022M03;1,70
Total Nacional;01 Andalucía;14 Córdoba;2022M02;1,75
Total Nacional;01 Andalucía;14 Córdoba;2022M01;1,75
Total Nacional;01 Andalucía;18 Granada;2026M03;2,03
Total Nacional;01 Andalucía;18 Granada;2026M02;1,82
Total Nacional;01 Andalucía;18 Granada;2026M01;1,97
Total Nacional;01 Andalucía;18 Granada;2025M12;1,98
Total Nacional;01 Andalucía;18 Granada;2025M11;2,00
Total Nacional;01 Andalucía;18 Granada;2025M10;2,07
Total Nacional;01 Andalucía;18 Granada;2025M09;2,23
Total Nacional;01 Andalucía;18 Granada;2025M08;2,40
Total Nacional;01 Andalucía;18 Granada;2025M07;2,26
Total Nacional;01 Andalucía;18 Granada;2025M06;2,17
Total Nacional;01 Andalucía;18 Granada;2025M05;2,13
Total Nacional;01 Andalucía;18 Granada;2025M04;2,16
Total Nacional;01 Andalucía;18 Granada;2025M03;2,13
Total Nacional;01 Andalucía;18 Granada;2025M02;1,96
Total Nacional;01 Andalucía;18 Granada;2025M01;1,94
Total Nacional;01 Andalucía;18 Granada;2024M12;1,95
Total Nacional;01 Andalucía;18 Granada;2024M11;2,07
Total Nacional;01 Andalucía;18 Granada;2024M10;2,11
Total Nacional;01 Andalucía;18 Granada;2024M09;2,18
Total Nacional;01 Andalucía;18 Granada;2024M08;2,31
Total Nacional;01 Andalucía;18 Granada;2024M07;2,39
Total Nacional;01 Andalucía;18 Granada;2024M06;2,10
Total Nacional;01 Andalucía;18 Granada;2024M05;2,04
Total Nacional;01 Andalucía;18 Granada;2024M04;1,99
Total Nacional;01 Andalucía;18 Granada;2024M03;2,03
Total Nacional;01 Andalucía;18 Granada;2024M02;1,93
Total Nacional;01 Andalucía;18 Granada;2024M01;1,88
Total Nacional;01 Andalucía;18 Granada;2023M12;1,89
Total Nacional;01 Andalucía;18 Granada;2023M11;1,88
Total Nacional;01 Andalucía;18 Granada;2023M10;1,99
Total Nacional;01 Andalucía;18 Granada;2023M09;2,08
Total Nacional;01 Andalucía;18 Granada;2023M08;2,29
Total Nacional;01 Andalucía;18 Granada;2023M07;2,22
Total Nacional;01 Andalucía;18 Granada;2023M06;2,04
Total Nacional;01 Andalucía;18 Granada;2023M05;2,00
Total Nacional;01 Andalucía;18 Granada;2023M04;2,04
Total Nacional;01 Andalucía;18 Granada;2023M03;1,88
Total Nacional;01 Andalucía;18 Granada;2023M02;1,90
Total Nacional;01 Andalucía;18 Granada;2023M01;1,85
Total Nacional;01 Andalucía;18 Granada;2022M12;1,89
Total Nacional;01 Andalucía;18 Granada;2022M11;1,95
Total Nacional;01 Andalucía;18 Granada;2022M10;2,08
Total Nacional;01 Andalucía;18 Granada;2022M09;2,11
Total Nacional;01 Andalucía;18 Granada;2022M08;2,28
