Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total Nacional;06 Cantabria;;2026M01;1,75
Total Nacional;06 Cantabria;;2025M12;1,79
Total Nacional;06 Cantabria;;2025M11;1,99
Total Nacional;06 Cantabria;;2025M10;2,01
Total Nacional;06 Cantabria;;2025M09;2,13
Total Nacional;06 Cantabria;;2025M08;2,65
Total Nacional;06 Cantabria;;2025M07;2,46
Total Nacional;06 Cantabria;;2025M06;2,12
Total Nacional;06 Cantabria;;2025M05;1,93
Total Nacional;06 Cantabria;;2025M04;1,99
Total Nacional;06 Cantabria;;2025M03;2,01
Total Nacional;06 Cantabria;;2025M02;1,73
Total Nacional;06 Cantabria;;2025M01;1,79
Total Nacional;06 Cantabria;;2024M12;1,77
Total Nacional;06 Cantabria;;2024M11;2,00
Total Nacional;06 Cantabria;;2024M10;2,07
Total Nacional;06 Cantabria;;2024M09;2,15
Total Nacional;06 Cantabria;;2024M08;2,62
Total Nacional;06 Cantabria;;2024M07;2,46
Total Nacional;06 Cantabria;;2024M06;2,14
Total Nacional;06 Cantabria;;2024M05;1,93
Total Nacional;06 Cantabria;;2024M04;1,96
Total Nacional;06 Cantabria;;2024M03;1,94
Total Nacional;06 Cantabria;;2024M02;1,76
Total Nacional;06 Cantabria;;2024M01;1,78
Total Nacional;06 Cantabria;;2023M12;1,86
Total Nacional;06 Cantabria;;2023M11;2,01
Total Nacional;06 Cantabria;;2023M10;2,12
Total Nacional;06 Cantabria;;2023M09;2,17
Total Nacional;06 Cantabria;;2023M08;2,62
Total Nacional;06 Cantabria;;2023M07;2,36
Total Nacional;06 Cantabria;;2023M06;2,04
Total Nacional;06 Cantabria;;2023M05;1,99
Total Nacional;06 Cantabria;;2023M04;2,03
Total Nacional;06 Cantabria;;2023M03;1,90
Total Nacional;06 Cantabria;;2023M02;1,69
Total Nacional;06 Cantabria;;2023M01;1,74
Total Nacional;06 Cantabria;;2022M12;1,94
Total Nacional;06 Cantabria;;2022M11;1,97
Total Nacional;06 Cantabria;;2022M10;2,23
Total Nacional;06 Cantabria;;2022M09;2,21
Total Nacional;06 Cantabria;;2022M08;2,69
Total Nacional;06 Cantabria;;2022M07;2,47
Total Nacional;06 Cantabria;;2022M06;2,28
Total Nacional;06 Cantabria;;2022M05;2,14
Total Nacional;06 Cantabria;;2022M04;2,12
Total Nacional;06 Cantabria;;2022M03;2,12
Total Nacional;06 Cantabria;;2022M02;1,87
Total Nacional;06 Cantabria;;2022M01;1,94
Total Nacional;07 Castilla y León;;2026M03;1,73
Total Nacional;07 Castilla y León;;2026M02;1,71
Total Nacional;07 Castilla y León;;2026M01;1,72
Total Nacional;07 Castilla y León;;2025M12;1,67
Total Nacional;07 Castilla y León;;2025M11;1,77
Total Nacional;07 Castilla y León;;2025M10;1,70
Total Nacional;07 Castilla y León;;2025M09;1,64
Total Nacional;07 Castilla y León;;2025M08;1,61
Total Nacional;07 Castilla y León;;2025M07;1,66
Total Nacional;07 Castilla y León;;2025M06;1,62
Total Nacional;07 Castilla y León;;2025M05;1,64
Total Nacional;07 Castilla y León;;2025M04;1,70
Total Nacional;07 Castilla y León;;2025M03;1,73
Total Nacional;07 Castilla y León;;2025M02;1,67
Total Nacional;07 Castilla y León;;2025M01;1,69
Total Nacional;07 Castilla y León;;2024M12;1,76
Total Nacional;07 Castilla y León;;2024M11;1,79
Total Nacional;07 Castilla y León;;2024M10;1,70
Total Nacional;07 Castilla y León;;2024M09;1,67
Total Nacional;07 Castilla y León;;2024M08;1,61
Total Nacional;07 Castilla y León;;2024M07;1,63
Total Nacional;07 Castilla y León;;2024M06;1,64
Total Nacional;07 Castilla y León;;2024M05;1,64
Total Nacional;07 Castilla y León;;2024M04;1,67
Total Nacional;07 Castilla y León;;2024M03;1,76
Total Nacional;07 Castilla y León;;2024M02;1,73
Total Nacional;07 Castilla y León;;2024M01;1,74
Total Nacional;07 Castilla y León;;2023M12;1,77
Total Nacional;07 Castilla y León;;2023M11;1,75
Total Nacional;07 Castilla y León;;2023M10;1,70
Total Nacional;07 Castilla y León;;2023M09;1,66
Total Nacional;07 Castilla y León;;2023M08;1,61
Total Nacional;07 Castilla y León;;2023M07;1,61
Total Nacional;07 Castilla y León;;2023M06;1,66
Total Nacional;07 Castilla y León;;2023M05;1,65
Total Nacional;07 Castilla y León;;2023M04;1,71
Total Nacional;07 Castilla y León;;2023M03;1,72
Total Nacional;07 Castilla y León;;2023M02;1,74
Total Nacional;07 Castilla y León;;2023M01;1,80
Total Nacional;07 Castilla y León;;2022M12;1,76
Total Nacional;07 Castilla y León;;2022M11;1,75
Total Nacional;07 Castilla y León;;2022M10;1,68
Total Nacional;07 Castilla y León;;2022M09;1,64
Total Nacional;07 Castilla y León;;2022M08;1,61
Total Nacional;07 Castilla y León;;2022M07;1,60
Total Nacional;07 Castilla y León;;2022M06;1,63
Total Nacional;07 Castilla y León;;2022M05;1,65
Total Nacional;07 Castilla y León;;2022M04;1,69
Total Nacional;07 Castilla y León;;2022M03;1,78
Total Nacional;07 Castilla y León;;2022M02;1,73
Total Nacional;07 Castilla y León;;2022M01;1,73
Total Nacional;07 Castilla y León;05 Ávila;2026M03;1,65
Total Nacional;07 Castilla y León;05 Ávila;2026M02;1,50
Total Nacional;07 Castilla y León;05 Ávila;2026M01;1,56
Total Nacional;07 Castilla y León;05 Ávila;2025M12;1,56
Total Nacional;07 Castilla y León;05 Ávila;2025M11;1,56
Total Nacional;07 Castilla y León;05 Ávila;2025M10;1,54
Total Nacional;07 Castilla y León;05 Ávila;2025M09;1,54
Total Nacional;07 Castilla y León;05 Ávila;2025M08;1,70
Total Nacional;07 Castilla y León;05 Ávila;2025M07;1,71
Total Nacional;07 Castilla y León;05 Ávila;2025M06;1,57
Total Nacional;07 Castilla y León;05 Ávila;2025M05;1,58
Total Nacional;07 Castilla y León;05 Ávila;2025M04;1,63
Total Nacional;07 Castilla y León;05 Ávila;2025M03;1,61
Total Nacional;07 Castilla y León;05 Ávila;2025M02;1,48
Total Nacional;07 Castilla y León;05 Ávila;2025M01;1,57
Total Nacional;07 Castilla y León;05 Ávila;2024M12;1,65
Total Nacional;07 Castilla y León;05 Ávila;2024M11;1,56
Total Nacional;07 Castilla y León;05 Ávila;2024M10;1,54
Total Nacional;07 Castilla y León;05 Ávila;2024M09;1,60
Total Nacional;07 Castilla y León;05 Ávila;2024M08;1,72
Total Nacional;07 Castilla y León;05 Ávila;2024M07;1,66
Total Nacional;07 Castilla y León;05 Ávila;2024M06;1,64
Total Nacional;07 Castilla y León;05 Ávila;2024M05;1,55
Total Nacional;07 Castilla y León;05 Ávila;2024M04;1,61
Total Nacional;07 Castilla y León;05 Ávila;2024M03;1,64
Total Nacional;07 Castilla y León;05 Ávila;2024M02;1,52
Total Nacional;07 Castilla y León;05 Ávila;2024M01;1,56
Total Nacional;07 Castilla y León;05 Ávila;2023M12;1,59
Total Nacional;07 Castilla y León;05 Ávila;2023M11;1,56
Total Nacional;07 Castilla y León;05 Ávila;2023M10;1,59
Total Nacional;07 Castilla y León;05 Ávila;2023M09;1,60
Total Nacional;07 Castilla y León;05 Ávila;2023M08;1,69
Total Nacional;07 Castilla y León;05 Ávila;2023M07;1,68
Total Nacional;07 Castilla y León;05 Ávila;2023M06;1,65
Total Nacional;07 Castilla y León;05 Ávila;2023M05;1,58
Total Nacional;07 Castilla y León;05 Ávila;2023M04;1,66
Total Nacional;07 Castilla y León;05 Ávila;2023M03;1,58
Total Nacional;07 Castilla y León;05 Ávila;2023M02;1,62
Total Nacional;07 Castilla y León;05 Ávila;2023M01;1,64
Total Nacional;07 Castilla y León;05 Ávila;2022M12;1,60
Total Nacional;07 Castilla y León;05 Ávila;2022M11;1,58
Total Nacional;07 Castilla y León;05 Ávila;2022M10;1,63
Total Nacional;07 Castilla y León;05 Ávila;2022M09;1,57
Total Nacional;07 Castilla y León;05 Ávila;2022M08;1,68
Total Nacional;07 Castilla y León;05 Ávila;2022M07;1,74
Total Nacional;07 Castilla y León;05 Ávila;2022M06;1,64
Total Nacional;07 Castilla y León;05 Ávila;2022M05;1,58
Total Nacional;07 Castilla y León;05 Ávila;2022M04;1,69
Total Nacional;07 Castilla y León;05 Ávila;2022M03;1,69
Total Nacional;07 Castilla y León;05 Ávila;2022M02;1,64
Total Nacional;07 Castilla y León;05 Ávila;2022M01;1,63
Total Nacional;07 Castilla y León;09 Burgos;2026M03;1,57
Total Nacional;07 Castilla y León;09 Burgos;2026M02;1,56
Total Nacional;07 Castilla y León;09 Burgos;2026M01;1,57
Total Nacional;07 Castilla y León;09 Burgos;2025M12;1,53
Total Nacional;07 Castilla y León;09 Burgos;2025M11;1,66
Total Nacional;07 Castilla y León;09 Burgos;2025M10;1,51
Total Nacional;07 Castilla y León;09 Burgos;2025M09;1,44
Total Nacional;07 Castilla y León;09 Burgos;2025M08;1,37
Total Nacional;07 Castilla y León;09 Burgos;2025M07;1,61
Total Nacional;07 Castilla y León;09 Burgos;2025M06;1,46
Total Nacional;07 Castilla y León;09 Burgos;2025M05;1,47
Total Nacional;07 Castilla y León;09 Burgos;2025M04;1,50
Total Nacional;07 Castilla y León;09 Burgos;2025M03;1,53
Total Nacional;07 Castilla y León;09 Burgos;2025M02;1,48
Total Nacional;07 Castilla y León;09 Burgos;2025M01;1,50
Total Nacional;07 Castilla y León;09 Burgos;2024M12;1,55
Total Nacional;07 Castilla y León;09 Burgos;2024M11;1,68
Total Nacional;07 Castilla y León;09 Burgos;2024M10;1,53
Total Nacional;07 Castilla y León;09 Burgos;2024M09;1,49
Total Nacional;07 Castilla y León;09 Burgos;2024M08;1,42
Total Nacional;07 Castilla y León;09 Burgos;2024M07;1,47
Total Nacional;07 Castilla y León;09 Burgos;2024M06;1,50
Total Nacional;07 Castilla y León;09 Burgos;2024M05;1,50
Total Nacional;07 Castilla y León;09 Burgos;2024M04;1,50
Total Nacional;07 Castilla y León;09 Burgos;2024M03;1,60
Total Nacional;07 Castilla y León;09 Burgos;2024M02;1,56
Total Nacional;07 Castilla y León;09 Burgos;2024M01;1,62
Total Nacional;07 Castilla y León;09 Burgos;2023M12;1,61
Total Nacional;07 Castilla y León;09 Burgos;2023M11;1,63
Total Nacional;07 Castilla y León;09 Burgos;2023M10;1,59
Total Nacional;07 Castilla y León;09 Burgos;2023M09;1,51
Total Nacional;07 Castilla y León;09 Burgos;2023M08;1,46
Total Nacional;07 Castilla y León;09 Burgos;2023M07;1,49
Total Nacional;07 Castilla y León;09 Burgos;2023M06;1,51
Total Nacional;07 Castilla y León;09 Burgos;2023M05;1,48
Total Nacional;07 Castilla y León;09 Burgos;2023M04;1,55
Total Nacional;07 Castilla y León;09 Burgos;2023M03;1,56
Total Nacional;07 Castilla y León;09 Burgos;2023M02;1,63
Total Nacional;07 Castilla y León;09 Burgos;2023M01;1,68
Total Nacional;07 Castilla y León;09 Burgos;2022M12;1,63
Total Nacional;07 Castilla y León;09 Burgos;2022M11;1,61
Total Nacional;07 Castilla y León;09 Burgos;2022M10;1,55
Total Nacional;07 Castilla y León;09 Burgos;2022M09;1,49
Total Nacional;07 Castilla y León;09 Burgos;2022M08;1,42
Total Nacional;07 Castilla y León;09 Burgos;2022M07;1,52
Total Nacional;07 Castilla y León;09 Burgos;2022M06;1,52
Total Nacional;07 Castilla y León;09 Burgos;2022M05;1,50
Total Nacional;07 Castilla y León;09 Burgos;2022M04;1,52
Total Nacional;07 Castilla y León;09 Burgos;2022M03;1,60
Total Nacional;07 Castilla y León;09 Burgos;2022M02;1,59
Total Nacional;07 Castilla y León;09 Burgos;2022M01;1,57
Total Nacional;07 Castilla y León;24 León;2026M03;1,76
Total Nacional;07 Castilla y León;24 León;2026M02;1,85
Total Nacional;07 Castilla y León;24 León;2026M01;1,79
Total Nacional;07 Castilla y León;24 León;2025M12;1,75
Total Nacional;07 Castilla y León;24 León;2025M11;1,77
Total Nacional;07 Castilla y León;24 León;2025M10;1,70
Total Nacional;07 Castilla y León;24 León;2025M09;1,56
Total Nacional;07 Castilla y León;24 León;2025M08;1,67
Total Nacional;07 Castilla y León;24 León;2025M07;1,57
Total Nacional;07 Castilla y León;24 León;2025M06;1,44
Total Nacional;07 Castilla y León;24 León;2025M05;1,52
Total Nacional;07 Castilla y León;24 León;2025M04;1,57
Total Nacional;07 Castilla y León;24 León;2025M03;1,60
Total Nacional;07 Castilla y León;24 León;2025M02;1,63
Total Nacional;07 Castilla y León;24 León;2025M01;1,67
Total Nacional;07 Castilla y León;24 León;2024M12;1,79
Total Nacional;07 Castilla y León;24 León;2024M11;1,72
Total Nacional;07 Castilla y León;24 León;2024M10;1,58
Total Nacional;07 Castilla y León;24 León;2024M09;1,51
Total Nacional;07 Castilla y León;24 León;2024M08;1,56
Total Nacional;07 Castilla y León;24 León;2024M07;1,55
Total Nacional;07 Castilla y León;24 León;2024M06;1,45
Total Nacional;07 Castilla y León;24 León;2024M05;1,44
Total Nacional;07 Castilla y León;24 León;2024M04;1,49
Total Nacional;07 Castilla y León;24 León;2024M03;1,68
Total Nacional;07 Castilla y León;24 León;2024M02;1,68
Total Nacional;07 Castilla y León;24 León;2024M01;1,74
Total Nacional;07 Castilla y León;24 León;2023M12;1,76
Total Nacional;07 Castilla y León;24 León;2023M11;1,67
Total Nacional;07 Castilla y León;24 León;2023M10;1,60
Total Nacional;07 Castilla y León;24 León;2023M09;1,49
Total Nacional;07 Castilla y León;24 León;2023M08;1,60
Total Nacional;07 Castilla y León;24 León;2023M07;1,57
Total Nacional;07 Castilla y León;24 León;2023M06;1,53
Total Nacional;07 Castilla y León;24 León;2023M05;1,47
Total Nacional;07 Castilla y León;24 León;2023M04;1,63
Total Nacional;07 Castilla y León;24 León;2023M03;1,54
Total Nacional;07 Castilla y León;24 León;2023M02;1,62
Total Nacional;07 Castilla y León;24 León;2023M01;1,70
Total Nacional;07 Castilla y León;24 León;2022M12;1,90
Total Nacional;07 Castilla y León;24 León;2022M11;1,74
Total Nacional;07 Castilla y León;24 León;2022M10;1,55
Total Nacional;07 Castilla y León;24 León;2022M09;1,55
Total Nacional;07 Castilla y León;24 León;2022M08;1,60
Total Nacional;07 Castilla y León;24 León;2022M07;1,60
Total Nacional;07 Castilla y León;24 León;2022M06;1,48
Total Nacional;07 Castilla y León;24 León;2022M05;1,48
Total Nacional;07 Castilla y León;24 León;2022M04;1,55
Total Nacional;07 Castilla y León;24 León;2022M03;1,73
Total Nacional;07 Castilla y León;24 León;2022M02;1,80
Total Nacional;07 Castilla y León;24 León;2022M01;1,80
Total Nacional;07 Castilla y León;34 Palencia;2026M03;1,93
Total Nacional;07 Castilla y León;34 Palencia;2026M02;2,13
Total Nacional;07 Castilla y León;34 Palencia;2026M01;2,08
Total Nacional;07 Castilla y León;34 Palencia;2025M12;1,99
Total Nacional;07 Castilla y León;34 Palencia;2025M11;2,18
Total Nacional;07 Castilla y León;34 Palencia;2025M10;1,99
Total Nacional;07 Castilla y León;34 Palencia;2025M09;1,87
Total Nacional;07 Castilla y León;34 Palencia;2025M08;2,04
Total Nacional;07 Castilla y León;34 Palencia;2025M07;1,90
Total Nacional;07 Castilla y León;34 Palencia;2025M06;1,69
Total Nacional;07 Castilla y León;34 Palencia;2025M05;1,82
Total Nacional;07 Castilla y León;34 Palencia;2025M04;2,20
Total Nacional;07 Castilla y León;34 Palencia;2025M03;2,10
Total Nacional;07 Castilla y León;34 Palencia;2025M02;2,15
Total Nacional;07 Castilla y León;34 Palencia;2025M01;1,85
Total Nacional;07 Castilla y León;34 Palencia;2024M12;2,27
Total Nacional;07 Castilla y León;34 Palencia;2024M11;2,17
Total Nacional;07 Castilla y León;34 Palencia;2024M10;1,99
Total Nacional;07 Castilla y León;34 Palencia;2024M09;1,83
Total Nacional;07 Castilla y León;34 Palencia;2024M08;1,83
Total Nacional;07 Castilla y León;34 Palencia;2024M07;1,84
Total Nacional;07 Castilla y León;34 Palencia;2024M06;1,56
Total Nacional;07 Castilla y León;34 Palencia;2024M05;1,65
Total Nacional;07 Castilla y León;34 Palencia;2024M04;1,88
Total Nacional;07 Castilla y León;34 Palencia;2024M03;1,89
Total Nacional;07 Castilla y León;34 Palencia;2024M02;2,00
Total Nacional;07 Castilla y León;34 Palencia;2024M01;1,91
Total Nacional;07 Castilla y León;34 Palencia;2023M12;1,80
Total Nacional;07 Castilla y León;34 Palencia;2023M11;1,94
Total Nacional;07 Castilla y León;34 Palencia;2023M10;1,74
Total Nacional;07 Castilla y León;34 Palencia;2023M09;1,75
Total Nacional;07 Castilla y León;34 Palencia;2023M08;1,78
Total Nacional;07 Castilla y León;34 Palencia;2023M07;1,78
Total Nacional;07 Castilla y León;34 Palencia;2023M06;1,80
Total Nacional;07 Castilla y León;34 Palencia;2023M05;1,59
Total Nacional;07 Castilla y León;34 Palencia;2023M04;1,79
Total Nacional;07 Castilla y León;34 Palencia;2023M03;1,85
Total Nacional;07 Castilla y León;34 Palencia;2023M02;1,86
Total Nacional;07 Castilla y León;34 Palencia;2023M01;1,98
Total Nacional;07 Castilla y León;34 Palencia;2022M12;1,78
Total Nacional;07 Castilla y León;34 Palencia;2022M11;1,71
Total Nacional;07 Castilla y León;34 Palencia;2022M10;1,72
Total Nacional;07 Castilla y León;34 Palencia;2022M09;1,61
Total Nacional;07 Castilla y León;34 Palencia;2022M08;1,75
Total Nacional;07 Castilla y León;34 Palencia;2022M07;1,72
Total Nacional;07 Castilla y León;34 Palencia;2022M06;1,75
Total Nacional;07 Castilla y León;34 Palencia;2022M05;1,66
Total Nacional;07 Castilla y León;34 Palencia;2022M04;1,77
Total Nacional;07 Castilla y León;34 Palencia;2022M03;2,06
Total Nacional;07 Castilla y León;34 Palencia;2022M02;1,85
Total Nacional;07 Castilla y León;34 Palencia;2022M01;1,85
Total Nacional;07 Castilla y León;37 Salamanca;2026M03;1,70
Total Nacional;07 Castilla y León;37 Salamanca;2026M02;1,65
Total Nacional;07 Castilla y León;37 Salamanca;2026M01;1,72
Total Nacional;07 Castilla y León;37 Salamanca;2025M12;1,61
Total Nacional;07 Castilla y León;37 Salamanca;2025M11;1,81
Total Nacional;07 Castilla y León;37 Salamanca;2025M10;1,74
Total Nacional;07 Castilla y León;37 Salamanca;2025M09;1,71
Total Nacional;07 Castilla y León;37 Salamanca;2025M08;1,54
Total Nacional;07 Castilla y León;37 Salamanca;2025M07;1,57
Total Nacional;07 Castilla y León;37 Salamanca;2025M06;1,75
Total Nacional;07 Castilla y León;37 Salamanca;2025M05;1,70
Total Nacional;07 Castilla y León;37 Salamanca;2025M04;1,76
Total Nacional;07 Castilla y León;37 Salamanca;2025M03;1,82
Total Nacional;07 Castilla y León;37 Salamanca;2025M02;1,67
Total Nacional;07 Castilla y León;37 Salamanca;2025M01;1,70
Total Nacional;07 Castilla y León;37 Salamanca;2024M12;1,72
Total Nacional;07 Castilla y León;37 Salamanca;2024M11;1,90
Total Nacional;07 Castilla y León;37 Salamanca;2024M10;1,83
Total Nacional;07 Castilla y León;37 Salamanca;2024M09;1,75
Total Nacional;07 Castilla y León;37 Salamanca;2024M08;1,54
Total Nacional;07 Castilla y León;37 Salamanca;2024M07;1,62
Total Nacional;07 Castilla y León;37 Salamanca;2024M06;1,81
Total Nacional;07 Castilla y León;37 Salamanca;2024M05;1,80
Total Nacional;07 Castilla y León;37 Salamanca;2024M04;1,81
Total Nacional;07 Castilla y León;37 Salamanca;2024M03;1,80
Total Nacional;07 Castilla y León;37 Salamanca;2024M02;1,82
Total Nacional;07 Castilla y León;37 Salamanca;2024M01;1,81
Total Nacional;07 Castilla y León;37 Salamanca;2023M12;1,77
Total Nacional;07 Castilla y León;37 Salamanca;2023M11;1,90
Total Nacional;07 Castilla y León;37 Salamanca;2023M10;1,84
Total Nacional;07 Castilla y León;37 Salamanca;2023M09;1,79
Total Nacional;07 Castilla y León;37 Salamanca;2023M08;1,54
Total Nacional;07 Castilla y León;37 Salamanca;2023M07;1,58
Total Nacional;07 Castilla y León;37 Salamanca;2023M06;1,81
Total Nacional;07 Castilla y León;37 Salamanca;2023M05;1,85
Total Nacional;07 Castilla y León;37 Salamanca;2023M04;1,78
Total Nacional;07 Castilla y León;37 Salamanca;2023M03;1,84
Total Nacional;07 Castilla y León;37 Salamanca;2023M02;1,81
Total Nacional;07 Castilla y León;37 Salamanca;2023M01;1,97
Total Nacional;07 Castilla y León;37 Salamanca;2022M12;1,72
Total Nacional;07 Castilla y León;37 Salamanca;2022M11;1,93
Total Nacional;07 Castilla y León;37 Salamanca;2022M10;1,78
Total Nacional;07 Castilla y León;37 Salamanca;2022M09;1,72
Total Nacional;07 Castilla y León;37 Salamanca;2022M08;1,62
Total Nacional;07 Castilla y León;37 Salamanca;2022M07;1,54
Total Nacional;07 Castilla y León;37 Salamanca;2022M06;1,72
Total Nacional;07 Castilla y León;37 Salamanca;2022M05;1,77
Total Nacional;07 Castilla y León;37 Salamanca;2022M04;1,76
Total Nacional;07 Castilla y León;37 Salamanca;2022M03;1,87
Total Nacional;07 Castilla y León;37 Salamanca;2022M02;1,73
Total Nacional;07 Castilla y León;37 Salamanca;2022M01;1,72
Total Nacional;07 Castilla y León;40 Segovia;2026M03;1,89
Total Nacional;07 Castilla y León;40 Segovia;2026M02;1,88
Total Nacional;07 Castilla y León;40 Segovia;2026M01;1,88
Total Nacional;07 Castilla y León;40 Segovia;2025M12;1,77
Total Nacional;07 Castilla y León;40 Segovia;2025M11;1,81
Total Nacional;07 Castilla y León;40 Segovia;2025M10;1,85
Total Nacional;07 Castilla y León;40 Segovia;2025M09;1,79
Total Nacional;07 Castilla y León;40 Segovia;2025M08;1,75
Total Nacional;07 Castilla y León;40 Segovia;2025M07;1,70
Total Nacional;07 Castilla y León;40 Segovia;2025M06;1,68
Total Nacional;07 Castilla y León;40 Segovia;2025M05;1,78
Total Nacional;07 Castilla y León;40 Segovia;2025M04;1,82
Total Nacional;07 Castilla y León;40 Segovia;2025M03;1,88
Total Nacional;07 Castilla y León;40 Segovia;2025M02;1,75
Total Nacional;07 Castilla y León;40 Segovia;2025M01;1,81
Total Nacional;07 Castilla y León;40 Segovia;2024M12;1,84
Total Nacional;07 Castilla y León;40 Segovia;2024M11;1,94
Total Nacional;07 Castilla y León;40 Segovia;2024M10;1,80
Total Nacional;07 Castilla y León;40 Segovia;2024M09;1,79
Total Nacional;07 Castilla y León;40 Segovia;2024M08;1,71
Total Nacional;07 Castilla y León;40 Segovia;2024M07;1,71
Total Nacional;07 Castilla y León;40 Segovia;2024M06;1,57
Total Nacional;07 Castilla y León;40 Segovia;2024M05;1,82
Total Nacional;07 Castilla y León;40 Segovia;2024M04;1,85
Total Nacional;07 Castilla y León;40 Segovia;2024M03;2,02
Total Nacional;07 Castilla y León;40 Segovia;2024M02;1,96
Total Nacional;07 Castilla y León;40 Segovia;2024M01;1,68
Total Nacional;07 Castilla y León;40 Segovia;2023M12;1,77
Total Nacional;07 Castilla y León;40 Segovia;2023M11;1,84
Total Nacional;07 Castilla y León;40 Segovia;2023M10;1,77
Total Nacional;07 Castilla y León;40 Segovia;2023M09;1,83
Total Nacional;07 Castilla y León;40 Segovia;2023M08;1,80
Total Nacional;07 Castilla y León;40 Segovia;2023M07;1,75
Total Nacional;07 Castilla y León;40 Segovia;2023M06;1,61
Total Nacional;07 Castilla y León;40 Segovia;2023M05;1,83
Total Nacional;07 Castilla y León;40 Segovia;2023M04;1,81
Total Nacional;07 Castilla y León;40 Segovia;2023M03;1,91
Total Nacional;07 Castilla y León;40 Segovia;2023M02;1,92
Total Nacional;07 Castilla y León;40 Segovia;2023M01;1,93
Total Nacional;07 Castilla y León;40 Segovia;2022M12;1,94
Total Nacional;07 Castilla y León;40 Segovia;2022M11;1,89
Total Nacional;07 Castilla y León;40 Segovia;2022M10;1,93
Total Nacional;07 Castilla y León;40 Segovia;2022M09;1,86
Total Nacional;07 Castilla y León;40 Segovia;2022M08;1,76
Total Nacional;07 Castilla y León;40 Segovia;2022M07;1,68
Total Nacional;07 Castilla y León;40 Segovia;2022M06;1,65
Total Nacional;07 Castilla y León;40 Segovia;2022M05;2,01
Total Nacional;07 Castilla y León;40 Segovia;2022M04;2,00
Total Nacional;07 Castilla y León;40 Segovia;2022M03;2,08
Total Nacional;07 Castilla y León;40 Segovia;2022M02;2,05
Total Nacional;07 Castilla y León;40 Segovia;2022M01;2,02
Total Nacional;07 Castilla y León;42 Soria;2026M03;1,79
Total Nacional;07 Castilla y León;42 Soria;2026M02;1,83
Total Nacional;07 Castilla y León;42 Soria;2026M01;1,88
Total Nacional;07 Castilla y León;42 Soria;2025M12;1,83
Total Nacional;07 Castilla y León;42 Soria;2025M11;1,86
Total Nacional;07 Castilla y León;42 Soria;2025M10;1,78
Total Nacional;07 Castilla y León;42 Soria;2025M09;1,82
Total Nacional;07 Castilla y León;42 Soria;2025M08;1,93
Total Nacional;07 Castilla y León;42 Soria;2025M07;1,85
Total Nacional;07 Castilla y León;42 Soria;2025M06;1,82
Total Nacional;07 Castilla y León;42 Soria;2025M05;1,84
Total Nacional;07 Castilla y León;42 Soria;2025M04;1,87
Total Nacional;07 Castilla y León;42 Soria;2025M03;1,81
Total Nacional;07 Castilla y León;42 Soria;2025M02;1,80
Total Nacional;07 Castilla y León;42 Soria;2025M01;1,91
Total Nacional;07 Castilla y León;42 Soria;2024M12;1,95
Total Nacional;07 Castilla y León;42 Soria;2024M11;1,85
Total Nacional;07 Castilla y León;42 Soria;2024M10;1,85
Total Nacional;07 Castilla y León;42 Soria;2024M09;1,82
Total Nacional;07 Castilla y León;42 Soria;2024M08;1,98
Total Nacional;07 Castilla y León;42 Soria;2024M07;1,86
Total Nacional;07 Castilla y León;42 Soria;2024M06;1,83
Total Nacional;07 Castilla y León;42 Soria;2024M05;1,82
Total Nacional;07 Castilla y León;42 Soria;2024M04;1,83
Total Nacional;07 Castilla y León;42 Soria;2024M03;1,85
Total Nacional;07 Castilla y León;42 Soria;2024M02;1,82
Total Nacional;07 Castilla y León;42 Soria;2024M01;2,00
Total Nacional;07 Castilla y León;42 Soria;2023M12;2,00
Total Nacional;07 Castilla y León;42 Soria;2023M11;1,87
Total Nacional;07 Castilla y León;42 Soria;2023M10;1,75
Total Nacional;07 Castilla y León;42 Soria;2023M09;1,68
Total Nacional;07 Castilla y León;42 Soria;2023M08;1,89
Total Nacional;07 Castilla y León;42 Soria;2023M07;1,75
Total Nacional;07 Castilla y León;42 Soria;2023M06;1,80
Total Nacional;07 Castilla y León;42 Soria;2023M05;1,98
Total Nacional;07 Castilla y León;42 Soria;2023M04;1,95
Total Nacional;07 Castilla y León;42 Soria;2023M03;1,96
Total Nacional;07 Castilla y León;42 Soria;2023M02;1,98
Total Nacional;07 Castilla y León;42 Soria;2023M01;2,26
Total Nacional;07 Castilla y León;42 Soria;2022M12;2,07
Total Nacional;07 Castilla y León;42 Soria;2022M11;1,97
Total Nacional;07 Castilla y León;42 Soria;2022M10;1,92
Total Nacional;07 Castilla y León;42 Soria;2022M09;1,71
Total Nacional;07 Castilla y León;42 Soria;2022M08;1,94
Total Nacional;07 Castilla y León;42 Soria;2022M07;1,72
Total Nacional;07 Castilla y León;42 Soria;2022M06;1,88
Total Nacional;07 Castilla y León;42 Soria;2022M05;1,93
Total Nacional;07 Castilla y León;42 Soria;2022M04;1,90
Total Nacional;07 Castilla y León;42 Soria;2022M03;2,00
Total Nacional;07 Castilla y León;42 Soria;2022M02;1,95
Total Nacional;07 Castilla y León;42 Soria;2022M01;2,07
Total Nacional;07 Castilla y León;47 Valladolid;2026M03;1,78
Total Nacional;07 Castilla y León;47 Valladolid;2026M02;1,69
Total Nacional;07 Castilla y León;47 Valladolid;2026M01;1,71
Total Nacional;07 Castilla y León;47 Valladolid;2025M12;1,77
