Comunidades y Ciudades Autónomas,Provincias,Periodo,Estancia media,Provincia limpia,Periodo fecha
Andalucía,Córdoba,2024M05,1.74,Córdoba,2024-05-01
Andalucía,Córdoba,2024M04,1.72,Córdoba,2024-04-01
Andalucía,Córdoba,2024M03,1.76,Córdoba,2024-03-01
Andalucía,Córdoba,2024M02,1.7,Córdoba,2024-02-01
Andalucía,Córdoba,2024M01,1.66,Córdoba,2024-01-01
Andalucía,Córdoba,2023M12,1.76,Córdoba,2023-12-01
Andalucía,Córdoba,2023M11,1.67,Córdoba,2023-11-01
Andalucía,Córdoba,2023M10,1.69,Córdoba,2023-10-01
Andalucía,Córdoba,2023M09,1.63,Córdoba,2023-09-01
Andalucía,Córdoba,2023M08,1.8,Córdoba,2023-08-01
Andalucía,Córdoba,2023M07,1.77,Córdoba,2023-07-01
Andalucía,Córdoba,2023M06,1.67,Córdoba,2023-06-01
Andalucía,Córdoba,2023M05,1.78,Córdoba,2023-05-01
Andalucía,Córdoba,2023M04,1.78,Córdoba,2023-04-01
Andalucía,Córdoba,2023M03,1.73,Córdoba,2023-03-01
Andalucía,Córdoba,2023M02,1.72,Córdoba,2023-02-01
Andalucía,Córdoba,2023M01,1.71,Córdoba,2023-01-01
Andalucía,Córdoba,2022M12,1.78,Córdoba,2022-12-01
Andalucía,Córdoba,2022M11,1.71,Córdoba,2022-11-01
Andalucía,Córdoba,2022M10,1.71,Córdoba,2022-10-01
Andalucía,Córdoba,2022M09,1.64,Córdoba,2022-09-01
Andalucía,Córdoba,2022M08,1.81,Córdoba,2022-08-01
Andalucía,Córdoba,2022M07,1.75,Córdoba,2022-07-01
Andalucía,Córdoba,2022M06,1.67,Córdoba,2022-06-01
Andalucía,Córdoba,2022M05,1.76,Córdoba,2022-05-01
Andalucía,Córdoba,2022M04,1.73,Córdoba,2022-04-01
Andalucía,Córdoba,2022M03,1.7,Córdoba,2022-03-01
Andalucía,Córdoba,2022M02,1.75,Córdoba,2022-02-01
Andalucía,Córdoba,2022M01,1.75,Córdoba,2022-01-01
