RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;;Viajero;2026M03;8.270.160
Total;;Viajero;2026M02;6.594.807
Total;;Viajero;2026M01;5.948.424
Total;;Viajero;2025M12;6.937.385
Total;;Viajero;2025M11;7.413.495
Total;;Viajero;2025M10;11.041.430
Total;;Viajero;2025M09;12.050.972
Total;;Viajero;2025M08;13.828.672
Total;;Viajero;2025M07;13.044.764
Total;;Viajero;2025M06;12.256.716
Total;;Viajero;2025M05;11.803.477
Total;;Viajero;2025M04;10.018.537
Total;;Viajero;2025M03;7.708.029
Total;;Viajero;2025M02;6.542.730
Total;;Viajero;2025M01;5.774.050
Total;;Viajero;2024M12;6.561.380
Total;;Viajero;2024M11;7.152.418
Total;;Viajero;2024M10;10.757.739
Total;;Viajero;2024M09;11.753.507
Total;;Viajero;2024M08;13.622.908
Total;;Viajero;2024M07;12.692.328
Total;;Viajero;2024M06;11.865.112
Total;;Viajero;2024M05;11.768.411
Total;;Viajero;2024M04;9.386.103
Total;;Viajero;2024M03;8.433.226
Total;;Viajero;2024M02;6.512.168
Total;;Viajero;2024M01;5.660.859
Total;;Viajero;2023M12;6.586.138
Total;;Viajero;2023M11;6.798.815
Total;;Viajero;2023M10;10.390.441
Total;;Viajero;2023M09;11.627.872
Total;;Viajero;2023M08;13.266.497
Total;;Viajero;2023M07;12.680.483
Total;;Viajero;2023M06;11.535.550
Total;;Viajero;2023M05;10.580.202
Total;;Viajero;2023M04;9.829.384
Total;;Viajero;2023M03;7.361.364
Total;;Viajero;2023M02;5.967.064
Total;;Viajero;2023M01;5.367.962
Total;;Viajero;2022M12;6.054.556
Total;;Viajero;2022M11;6.284.698
Total;;Viajero;2022M10;9.743.259
Total;;Viajero;2022M09;11.050.305
Total;;Viajero;2022M08;12.889.916
Total;;Viajero;2022M07;12.292.936
Total;;Viajero;2022M06;10.990.468
Total;;Viajero;2022M05;9.920.671
Total;;Viajero;2022M04;8.689.822
Total;;Viajero;2022M03;6.061.398
Total;;Viajero;2022M02;5.133.961
Total;;Viajero;2022M01;3.770.578
Total;;Pernoctaciones;2026M03;23.606.982
Total;;Pernoctaciones;2026M02;18.564.904
Total;;Pernoctaciones;2026M01;17.395.903
Total;;Pernoctaciones;2025M12;18.546.462
Total;;Pernoctaciones;2025M11;20.301.411
Total;;Pernoctaciones;2025M10;34.281.206
Total;;Pernoctaciones;2025M09;39.420.118
Total;;Pernoctaciones;2025M08;48.181.913
Total;;Pernoctaciones;2025M07;44.691.923
Total;;Pernoctaciones;2025M06;38.982.683
Total;;Pernoctaciones;2025M05;35.565.862
Total;;Pernoctaciones;2025M04;29.070.077
Total;;Pernoctaciones;2025M03;22.393.743
Total;;Pernoctaciones;2025M02;18.373.966
Total;;Pernoctaciones;2025M01;16.830.947
Total;;Pernoctaciones;2024M12;18.025.526
Total;;Pernoctaciones;2024M11;19.978.052
Total;;Pernoctaciones;2024M10;33.836.772
Total;;Pernoctaciones;2024M09;38.965.938
Total;;Pernoctaciones;2024M08;47.760.600
Total;;Pernoctaciones;2024M07;43.918.939
Total;;Pernoctaciones;2024M06;38.185.201
Total;;Pernoctaciones;2024M05;35.701.080
Total;;Pernoctaciones;2024M04;27.099.375
Total;;Pernoctaciones;2024M03;24.520.234
Total;;Pernoctaciones;2024M02;18.581.766
Total;;Pernoctaciones;2024M01;16.491.597
Total;;Pernoctaciones;2023M12;17.913.857
Total;;Pernoctaciones;2023M11;19.023.828
Total;;Pernoctaciones;2023M10;32.415.687
Total;;Pernoctaciones;2023M09;37.980.229
Total;;Pernoctaciones;2023M08;46.695.607
Total;;Pernoctaciones;2023M07;43.109.417
Total;;Pernoctaciones;2023M06;36.255.025
Total;;Pernoctaciones;2023M05;32.187.667
Total;;Pernoctaciones;2023M04;28.046.754
Total;;Pernoctaciones;2023M03;20.597.741
Total;;Pernoctaciones;2023M02;16.816.547
Total;;Pernoctaciones;2023M01;15.472.477
Total;;Pernoctaciones;2022M12;16.627.833
Total;;Pernoctaciones;2022M11;17.661.676
Total;;Pernoctaciones;2022M10;29.865.924
Total;;Pernoctaciones;2022M09;35.999.861
Total;;Pernoctaciones;2022M08;46.140.100
Total;;Pernoctaciones;2022M07;42.121.775
Total;;Pernoctaciones;2022M06;35.111.326
Total;;Pernoctaciones;2022M05;29.785.395
Total;;Pernoctaciones;2022M04;25.197.638
Total;;Pernoctaciones;2022M03;17.632.648
Total;;Pernoctaciones;2022M02;13.623.546
Total;;Pernoctaciones;2022M01;10.598.385
Total;Residentes en España;Viajero;2026M03;4.086.410
Total;Residentes en España;Viajero;2026M02;3.291.438
Total;Residentes en España;Viajero;2026M01;2.942.666
Total;Residentes en España;Viajero;2025M12;3.777.442
Total;Residentes en España;Viajero;2025M11;3.819.809
Total;Residentes en España;Viajero;2025M10;4.645.026
Total;Residentes en España;Viajero;2025M09;5.085.693
Total;Residentes en España;Viajero;2025M08;6.409.255
Total;Residentes en España;Viajero;2025M07;5.842.459
Total;Residentes en España;Viajero;2025M06;5.440.374
Total;Residentes en España;Viajero;2025M05;4.933.125
Total;Residentes en España;Viajero;2025M04;4.547.495
Total;Residentes en España;Viajero;2025M03;3.794.808
Total;Residentes en España;Viajero;2025M02;3.423.944
Total;Residentes en España;Viajero;2025M01;2.916.184
Total;Residentes en España;Viajero;2024M12;3.645.324
Total;Residentes en España;Viajero;2024M11;3.755.355
Total;Residentes en España;Viajero;2024M10;4.523.969
Total;Residentes en España;Viajero;2024M09;4.991.258
Total;Residentes en España;Viajero;2024M08;6.363.350
Total;Residentes en España;Viajero;2024M07;5.756.518
Total;Residentes en España;Viajero;2024M06;5.419.681
Total;Residentes en España;Viajero;2024M05;4.928.517
Total;Residentes en España;Viajero;2024M04;4.181.084
Total;Residentes en España;Viajero;2024M03;4.412.670
Total;Residentes en España;Viajero;2024M02;3.422.317
Total;Residentes en España;Viajero;2024M01;2.919.329
Total;Residentes en España;Viajero;2023M12;3.736.128
Total;Residentes en España;Viajero;2023M11;3.586.759
Total;Residentes en España;Viajero;2023M10;4.589.155
Total;Residentes en España;Viajero;2023M09;5.122.862
Total;Residentes en España;Viajero;2023M08;6.381.789
Total;Residentes en España;Viajero;2023M07;6.012.479
Total;Residentes en España;Viajero;2023M06;5.455.490
Total;Residentes en España;Viajero;2023M05;4.553.381
Total;Residentes en España;Viajero;2023M04;4.983.861
Total;Residentes en España;Viajero;2023M03;3.983.218
Total;Residentes en España;Viajero;2023M02;3.337.995
Total;Residentes en España;Viajero;2023M01;2.964.949
Total;Residentes en España;Viajero;2022M12;3.567.132
Total;Residentes en España;Viajero;2022M11;3.541.109
Total;Residentes en España;Viajero;2022M10;4.657.750
Total;Residentes en España;Viajero;2022M09;5.178.258
Total;Residentes en España;Viajero;2022M08;6.526.507
Total;Residentes en España;Viajero;2022M07;6.075.062
Total;Residentes en España;Viajero;2022M06;5.422.886
Total;Residentes en España;Viajero;2022M05;4.672.236
Total;Residentes en España;Viajero;2022M04;4.733.976
Total;Residentes en España;Viajero;2022M03;3.432.900
Total;Residentes en España;Viajero;2022M02;3.164.177
Total;Residentes en España;Viajero;2022M01;2.342.492
Total;Residentes en España;Pernoctaciones;2026M03;8.499.537
Total;Residentes en España;Pernoctaciones;2026M02;6.411.136
Total;Residentes en España;Pernoctaciones;2026M01;5.847.797
Total;Residentes en España;Pernoctaciones;2025M12;7.228.948
Total;Residentes en España;Pernoctaciones;2025M11;7.528.091
Total;Residentes en España;Pernoctaciones;2025M10;9.566.101
Total;Residentes en España;Pernoctaciones;2025M09;11.902.934
Total;Residentes en España;Pernoctaciones;2025M08;17.218.949
Total;Residentes en España;Pernoctaciones;2025M07;14.895.856
Total;Residentes en España;Pernoctaciones;2025M06;12.191.754
Total;Residentes en España;Pernoctaciones;2025M05;10.891.067
Total;Residentes en España;Pernoctaciones;2025M04;10.041.970
Total;Residentes en España;Pernoctaciones;2025M03;8.077.931
Total;Residentes en España;Pernoctaciones;2025M02;6.554.049
Total;Residentes en España;Pernoctaciones;2025M01;5.704.151
Total;Residentes en España;Pernoctaciones;2024M12;7.206.683
Total;Residentes en España;Pernoctaciones;2024M11;7.578.414
Total;Residentes en España;Pernoctaciones;2024M10;9.614.409
Total;Residentes en España;Pernoctaciones;2024M09;11.754.777
Total;Residentes en España;Pernoctaciones;2024M08;17.310.199
Total;Residentes en España;Pernoctaciones;2024M07;14.743.902
Total;Residentes en España;Pernoctaciones;2024M06;12.347.782
Total;Residentes en España;Pernoctaciones;2024M05;10.623.796
Total;Residentes en España;Pernoctaciones;2024M04;8.884.448
Total;Residentes en España;Pernoctaciones;2024M03;9.421.644
Total;Residentes en España;Pernoctaciones;2024M02;6.774.732
Total;Residentes en España;Pernoctaciones;2024M01;5.762.176
Total;Residentes en España;Pernoctaciones;2023M12;7.363.463
Total;Residentes en España;Pernoctaciones;2023M11;6.957.475
Total;Residentes en España;Pernoctaciones;2023M10;9.662.174
Total;Residentes en España;Pernoctaciones;2023M09;11.783.151
Total;Residentes en España;Pernoctaciones;2023M08;17.548.462
Total;Residentes en España;Pernoctaciones;2023M07;15.303.797
Total;Residentes en España;Pernoctaciones;2023M06;12.216.070
Total;Residentes en España;Pernoctaciones;2023M05;9.784.069
Total;Residentes en España;Pernoctaciones;2023M04;10.749.390
Total;Residentes en España;Pernoctaciones;2023M03;8.037.671
Total;Residentes en España;Pernoctaciones;2023M02;6.508.332
Total;Residentes en España;Pernoctaciones;2023M01;5.810.812
Total;Residentes en España;Pernoctaciones;2022M12;7.121.128
Total;Residentes en España;Pernoctaciones;2022M11;7.046.984
Total;Residentes en España;Pernoctaciones;2022M10;9.771.323
Total;Residentes en España;Pernoctaciones;2022M09;12.065.204
Total;Residentes en España;Pernoctaciones;2022M08;18.268.800
Total;Residentes en España;Pernoctaciones;2022M07;15.608.687
Total;Residentes en España;Pernoctaciones;2022M06;12.216.496
Total;Residentes en España;Pernoctaciones;2022M05;10.052.067
Total;Residentes en España;Pernoctaciones;2022M04;10.260.559
Total;Residentes en España;Pernoctaciones;2022M03;7.071.757
Total;Residentes en España;Pernoctaciones;2022M02;6.018.570
Total;Residentes en España;Pernoctaciones;2022M01;4.536.018
Total;Residentes en el Extranjero;Viajero;2026M03;4.183.750
Total;Residentes en el Extranjero;Viajero;2026M02;3.303.369
Total;Residentes en el Extranjero;Viajero;2026M01;3.005.758
Total;Residentes en el Extranjero;Viajero;2025M12;3.159.943
Total;Residentes en el Extranjero;Viajero;2025M11;3.593.686
Total;Residentes en el Extranjero;Viajero;2025M10;6.396.404
Total;Residentes en el Extranjero;Viajero;2025M09;6.965.279
Total;Residentes en el Extranjero;Viajero;2025M08;7.419.417
Total;Residentes en el Extranjero;Viajero;2025M07;7.202.305
Total;Residentes en el Extranjero;Viajero;2025M06;6.816.343
Total;Residentes en el Extranjero;Viajero;2025M05;6.870.352
Total;Residentes en el Extranjero;Viajero;2025M04;5.471.041
Total;Residentes en el Extranjero;Viajero;2025M03;3.913.221
Total;Residentes en el Extranjero;Viajero;2025M02;3.118.786
Total;Residentes en el Extranjero;Viajero;2025M01;2.857.866
Total;Residentes en el Extranjero;Viajero;2024M12;2.916.057
Total;Residentes en el Extranjero;Viajero;2024M11;3.397.063
Total;Residentes en el Extranjero;Viajero;2024M10;6.233.770
Total;Residentes en el Extranjero;Viajero;2024M09;6.762.248
Total;Residentes en el Extranjero;Viajero;2024M08;7.259.558
Total;Residentes en el Extranjero;Viajero;2024M07;6.935.810
Total;Residentes en el Extranjero;Viajero;2024M06;6.445.432
Total;Residentes en el Extranjero;Viajero;2024M05;6.839.894
Total;Residentes en el Extranjero;Viajero;2024M04;5.205.019
Total;Residentes en el Extranjero;Viajero;2024M03;4.020.556
Total;Residentes en el Extranjero;Viajero;2024M02;3.089.851
Total;Residentes en el Extranjero;Viajero;2024M01;2.741.530
Total;Residentes en el Extranjero;Viajero;2023M12;2.850.010
Total;Residentes en el Extranjero;Viajero;2023M11;3.212.056
Total;Residentes en el Extranjero;Viajero;2023M10;5.801.286
Total;Residentes en el Extranjero;Viajero;2023M09;6.505.010
Total;Residentes en el Extranjero;Viajero;2023M08;6.884.708
Total;Residentes en el Extranjero;Viajero;2023M07;6.668.004
Total;Residentes en el Extranjero;Viajero;2023M06;6.080.059
Total;Residentes en el Extranjero;Viajero;2023M05;6.026.821
Total;Residentes en el Extranjero;Viajero;2023M04;4.845.523
Total;Residentes en el Extranjero;Viajero;2023M03;3.378.146
Total;Residentes en el Extranjero;Viajero;2023M02;2.629.069
Total;Residentes en el Extranjero;Viajero;2023M01;2.403.013
Total;Residentes en el Extranjero;Viajero;2022M12;2.487.423
Total;Residentes en el Extranjero;Viajero;2022M11;2.743.589
Total;Residentes en el Extranjero;Viajero;2022M10;5.085.510
Total;Residentes en el Extranjero;Viajero;2022M09;5.872.047
Total;Residentes en el Extranjero;Viajero;2022M08;6.363.409
Total;Residentes en el Extranjero;Viajero;2022M07;6.217.875
Total;Residentes en el Extranjero;Viajero;2022M06;5.567.582
Total;Residentes en el Extranjero;Viajero;2022M05;5.248.435
Total;Residentes en el Extranjero;Viajero;2022M04;3.955.846
Total;Residentes en el Extranjero;Viajero;2022M03;2.628.498
Total;Residentes en el Extranjero;Viajero;2022M02;1.969.784
Total;Residentes en el Extranjero;Viajero;2022M01;1.428.086
Total;Residentes en el Extranjero;Pernoctaciones;2026M03;15.107.445
Total;Residentes en el Extranjero;Pernoctaciones;2026M02;12.153.768
Total;Residentes en el Extranjero;Pernoctaciones;2026M01;11.548.106
Total;Residentes en el Extranjero;Pernoctaciones;2025M12;11.317.514
Total;Residentes en el Extranjero;Pernoctaciones;2025M11;12.773.320
Total;Residentes en el Extranjero;Pernoctaciones;2025M10;24.715.105
Total;Residentes en el Extranjero;Pernoctaciones;2025M09;27.517.185
Total;Residentes en el Extranjero;Pernoctaciones;2025M08;30.962.964
Total;Residentes en el Extranjero;Pernoctaciones;2025M07;29.796.067
Total;Residentes en el Extranjero;Pernoctaciones;2025M06;26.790.929
Total;Residentes en el Extranjero;Pernoctaciones;2025M05;24.674.795
Total;Residentes en el Extranjero;Pernoctaciones;2025M04;19.028.107
Total;Residentes en el Extranjero;Pernoctaciones;2025M03;14.315.812
Total;Residentes en el Extranjero;Pernoctaciones;2025M02;11.819.917
Total;Residentes en el Extranjero;Pernoctaciones;2025M01;11.126.796
Total;Residentes en el Extranjero;Pernoctaciones;2024M12;10.818.842
Total;Residentes en el Extranjero;Pernoctaciones;2024M11;12.399.638
Total;Residentes en el Extranjero;Pernoctaciones;2024M10;24.222.363
Total;Residentes en el Extranjero;Pernoctaciones;2024M09;27.211.161
Total;Residentes en el Extranjero;Pernoctaciones;2024M08;30.450.401
Total;Residentes en el Extranjero;Pernoctaciones;2024M07;29.175.038
Total;Residentes en el Extranjero;Pernoctaciones;2024M06;25.837.418
Total;Residentes en el Extranjero;Pernoctaciones;2024M05;25.077.285
Total;Residentes en el Extranjero;Pernoctaciones;2024M04;18.214.927
Total;Residentes en el Extranjero;Pernoctaciones;2024M03;15.098.591
Total;Residentes en el Extranjero;Pernoctaciones;2024M02;11.807.033
Total;Residentes en el Extranjero;Pernoctaciones;2024M01;10.729.421
Total;Residentes en el Extranjero;Pernoctaciones;2023M12;10.550.395
Total;Residentes en el Extranjero;Pernoctaciones;2023M11;12.066.353
Total;Residentes en el Extranjero;Pernoctaciones;2023M10;22.753.513
Total;Residentes en el Extranjero;Pernoctaciones;2023M09;26.197.078
Total;Residentes en el Extranjero;Pernoctaciones;2023M08;29.147.145
Total;Residentes en el Extranjero;Pernoctaciones;2023M07;27.805.620
Total;Residentes en el Extranjero;Pernoctaciones;2023M06;24.038.955
Total;Residentes en el Extranjero;Pernoctaciones;2023M05;22.403.599
Total;Residentes en el Extranjero;Pernoctaciones;2023M04;17.297.363
Total;Residentes en el Extranjero;Pernoctaciones;2023M03;12.560.069
Total;Residentes en el Extranjero;Pernoctaciones;2023M02;10.308.214
Total;Residentes en el Extranjero;Pernoctaciones;2023M01;9.661.665
Total;Residentes en el Extranjero;Pernoctaciones;2022M12;9.506.705
Total;Residentes en el Extranjero;Pernoctaciones;2022M11;10.614.692
Total;Residentes en el Extranjero;Pernoctaciones;2022M10;20.094.601
Total;Residentes en el Extranjero;Pernoctaciones;2022M09;23.934.658
Total;Residentes en el Extranjero;Pernoctaciones;2022M08;27.871.300
Total;Residentes en el Extranjero;Pernoctaciones;2022M07;26.513.088
Total;Residentes en el Extranjero;Pernoctaciones;2022M06;22.894.830
Total;Residentes en el Extranjero;Pernoctaciones;2022M05;19.733.328
Total;Residentes en el Extranjero;Pernoctaciones;2022M04;14.937.079
Total;Residentes en el Extranjero;Pernoctaciones;2022M03;10.560.891
Total;Residentes en el Extranjero;Pernoctaciones;2022M02;7.604.976
Total;Residentes en el Extranjero;Pernoctaciones;2022M01;6.062.368
Total;Alemania;Viajero;2026M03;545.554
Total;Alemania;Viajero;2026M02;328.093
Total;Alemania;Viajero;2026M01;269.433
Total;Alemania;Viajero;2025M12;290.385
Total;Alemania;Viajero;2025M11;364.596
Total;Alemania;Viajero;2025M10;848.751
Total;Alemania;Viajero;2025M09;922.964
Total;Alemania;Viajero;2025M08;851.328
Total;Alemania;Viajero;2025M07;789.186
Total;Alemania;Viajero;2025M06;870.770
Total;Alemania;Viajero;2025M05;857.776
Total;Alemania;Viajero;2025M04;682.648
Total;Alemania;Viajero;2025M03;473.868
Total;Alemania;Viajero;2025M02;332.161
Total;Alemania;Viajero;2025M01;262.474
Total;Alemania;Viajero;2024M12;286.033
Total;Alemania;Viajero;2024M11;344.910
Total;Alemania;Viajero;2024M10;893.847
Total;Alemania;Viajero;2024M09;919.461
Total;Alemania;Viajero;2024M08;847.500
Total;Alemania;Viajero;2024M07;832.821
Total;Alemania;Viajero;2024M06;835.373
Total;Alemania;Viajero;2024M05;938.592
Total;Alemania;Viajero;2024M04;638.213
Total;Alemania;Viajero;2024M03;544.724
Total;Alemania;Viajero;2024M02;321.751
Total;Alemania;Viajero;2024M01;253.218
Total;Alemania;Viajero;2023M12;265.222
Total;Alemania;Viajero;2023M11;334.775
Total;Alemania;Viajero;2023M10;800.108
Total;Alemania;Viajero;2023M09;935.137
Total;Alemania;Viajero;2023M08;822.266
Total;Alemania;Viajero;2023M07;804.595
Total;Alemania;Viajero;2023M06;858.136
Total;Alemania;Viajero;2023M05;837.369
Total;Alemania;Viajero;2023M04;640.754
Total;Alemania;Viajero;2023M03;424.265
Total;Alemania;Viajero;2023M02;278.415
Total;Alemania;Viajero;2023M01;237.872
Total;Alemania;Viajero;2022M12;236.239
Total;Alemania;Viajero;2022M11;290.820
Total;Alemania;Viajero;2022M10;716.360
Total;Alemania;Viajero;2022M09;880.931
Total;Alemania;Viajero;2022M08;801.550
Total;Alemania;Viajero;2022M07;776.051
Total;Alemania;Viajero;2022M06;862.263
Total;Alemania;Viajero;2022M05;760.733
Total;Alemania;Viajero;2022M04;565.194
Total;Alemania;Viajero;2022M03;358.345
Total;Alemania;Viajero;2022M02;200.136
Total;Alemania;Viajero;2022M01;143.443
Total;Alemania;Pernoctaciones;2026M03;2.805.322
Total;Alemania;Pernoctaciones;2026M02;1.769.195
Total;Alemania;Pernoctaciones;2026M01;1.661.609
Total;Alemania;Pernoctaciones;2025M12;1.709.469
Total;Alemania;Pernoctaciones;2025M11;2.017.765
Total;Alemania;Pernoctaciones;2025M10;4.733.643
Total;Alemania;Pernoctaciones;2025M09;4.950.489
Total;Alemania;Pernoctaciones;2025M08;4.659.009
Total;Alemania;Pernoctaciones;2025M07;4.327.557
Total;Alemania;Pernoctaciones;2025M06;4.581.005
Total;Alemania;Pernoctaciones;2025M05;4.145.806
Total;Alemania;Pernoctaciones;2025M04;3.409.241
Total;Alemania;Pernoctaciones;2025M03;2.563.910
Total;Alemania;Pernoctaciones;2025M02;1.847.625
Total;Alemania;Pernoctaciones;2025M01;1.679.162
Total;Alemania;Pernoctaciones;2024M12;1.762.158
Total;Alemania;Pernoctaciones;2024M11;2.059.727
Total;Alemania;Pernoctaciones;2024M10;4.990.492
Total;Alemania;Pernoctaciones;2024M09;5.060.994
Total;Alemania;Pernoctaciones;2024M08;4.762.987
Total;Alemania;Pernoctaciones;2024M07;4.634.009
Total;Alemania;Pernoctaciones;2024M06;4.495.932
Total;Alemania;Pernoctaciones;2024M05;4.679.079
Total;Alemania;Pernoctaciones;2024M04;3.173.927
Total;Alemania;Pernoctaciones;2024M03;2.988.329
Total;Alemania;Pernoctaciones;2024M02;1.877.629
Total;Alemania;Pernoctaciones;2024M01;1.619.813
Total;Alemania;Pernoctaciones;2023M12;1.634.262
Total;Alemania;Pernoctaciones;2023M11;2.004.674
Total;Alemania;Pernoctaciones;2023M10;4.543.616
Total;Alemania;Pernoctaciones;2023M09;5.054.810
Total;Alemania;Pernoctaciones;2023M08;4.553.050
Total;Alemania;Pernoctaciones;2023M07;4.461.214
Total;Alemania;Pernoctaciones;2023M06;4.451.013
Total;Alemania;Pernoctaciones;2023M05;4.113.960
Total;Alemania;Pernoctaciones;2023M04;3.143.902
Total;Alemania;Pernoctaciones;2023M03;2.266.807
Total;Alemania;Pernoctaciones;2023M02;1.653.987
Total;Alemania;Pernoctaciones;2023M01;1.527.076
Total;Alemania;Pernoctaciones;2022M12;1.461.766
Total;Alemania;Pernoctaciones;2022M11;1.778.704
Total;Alemania;Pernoctaciones;2022M10;3.976.465
Total;Alemania;Pernoctaciones;2022M09;4.793.552
Total;Alemania;Pernoctaciones;2022M08;4.665.352
Total;Alemania;Pernoctaciones;2022M07;4.502.389
Total;Alemania;Pernoctaciones;2022M06;4.688.446
Total;Alemania;Pernoctaciones;2022M05;3.668.543
Total;Alemania;Pernoctaciones;2022M04;2.858.295
Total;Alemania;Pernoctaciones;2022M03;1.971.226
Total;Alemania;Pernoctaciones;2022M02;1.087.577
Total;Alemania;Pernoctaciones;2022M01;1.019.957
Total;Austria;Viajero;2026M03;48.604
Total;Austria;Viajero;2026M02;30.014
Total;Austria;Viajero;2026M01;22.963
Total;Austria;Viajero;2025M12;25.562
Total;Austria;Viajero;2025M11;32.379
Total;Austria;Viajero;2025M10;67.609
Total;Austria;Viajero;2025M09;67.704
Total;Austria;Viajero;2025M08;72.526
Total;Austria;Viajero;2025M07;71.207
Total;Austria;Viajero;2025M06;70.378
Total;Austria;Viajero;2025M05;72.554
Total;Austria;Viajero;2025M04;66.874
Total;Austria;Viajero;2025M03;35.853
Total;Austria;Viajero;2025M02;32.392
Total;Austria;Viajero;2025M01;21.784
Total;Austria;Viajero;2024M12;22.084
Total;Austria;Viajero;2024M11;28.319
Total;Austria;Viajero;2024M10;61.734
Total;Austria;Viajero;2024M09;61.503
Total;Austria;Viajero;2024M08;65.153
Total;Austria;Viajero;2024M07;65.281
Total;Austria;Viajero;2024M06;60.029
Total;Austria;Viajero;2024M05;77.343
Total;Austria;Viajero;2024M04;52.790
Total;Austria;Viajero;2024M03;44.892
Total;Austria;Viajero;2024M02;28.214
Total;Austria;Viajero;2024M01;19.240
Total;Austria;Viajero;2023M12;20.273
Total;Austria;Viajero;2023M11;27.479
Total;Austria;Viajero;2023M10;56.793
Total;Austria;Viajero;2023M09;62.045
Total;Austria;Viajero;2023M08;63.084
Total;Austria;Viajero;2023M07;64.943
Total;Austria;Viajero;2023M06;57.655
Total;Austria;Viajero;2023M05;68.696
Total;Austria;Viajero;2023M04;57.200
Total;Austria;Viajero;2023M03;29.806
Total;Austria;Viajero;2023M02;24.072
Total;Austria;Viajero;2023M01;18.615
Total;Austria;Viajero;2022M12;18.129
Total;Austria;Viajero;2022M11;21.391
Total;Austria;Viajero;2022M10;49.840
Total;Austria;Viajero;2022M09;56.407
Total;Austria;Viajero;2022M08;56.108
Total;Austria;Viajero;2022M07;62.461
Total;Austria;Viajero;2022M06;53.803
Total;Austria;Viajero;2022M05;61.177
Total;Austria;Viajero;2022M04;48.997
Total;Austria;Viajero;2022M03;22.928
Total;Austria;Viajero;2022M02;18.345
Total;Austria;Viajero;2022M01;11.405
Total;Austria;Pernoctaciones;2026M03;178.137
Total;Austria;Pernoctaciones;2026M02;129.259
Total;Austria;Pernoctaciones;2026M01;107.346
Total;Austria;Pernoctaciones;2025M12;104.289
Total;Austria;Pernoctaciones;2025M11;127.258
Total;Austria;Pernoctaciones;2025M10;246.138
Total;Austria;Pernoctaciones;2025M09;271.841
Total;Austria;Pernoctaciones;2025M08;319.764
Total;Austria;Pernoctaciones;2025M07;322.247
Total;Austria;Pernoctaciones;2025M06;272.150
Total;Austria;Pernoctaciones;2025M05;242.090
Total;Austria;Pernoctaciones;2025M04;228.773
Total;Austria;Pernoctaciones;2025M03;137.206
Total;Austria;Pernoctaciones;2025M02;131.356
Total;Austria;Pernoctaciones;2025M01;104.649
Total;Austria;Pernoctaciones;2024M12;94.783
Total;Austria;Pernoctaciones;2024M11;120.820
Total;Austria;Pernoctaciones;2024M10;228.695
Total;Austria;Pernoctaciones;2024M09;252.528
Total;Austria;Pernoctaciones;2024M08;288.816
Total;Austria;Pernoctaciones;2024M07;287.432
Total;Austria;Pernoctaciones;2024M06;239.892
Total;Austria;Pernoctaciones;2024M05;275.395
Total;Austria;Pernoctaciones;2024M04;180.398
Total;Austria;Pernoctaciones;2024M03;175.027
Total;Austria;Pernoctaciones;2024M02;120.959
Total;Austria;Pernoctaciones;2024M01;92.645
Total;Austria;Pernoctaciones;2023M12;86.582
Total;Austria;Pernoctaciones;2023M11;121.654
Total;Austria;Pernoctaciones;2023M10;212.340
Total;Austria;Pernoctaciones;2023M09;260.577
Total;Austria;Pernoctaciones;2023M08;299.893
Total;Austria;Pernoctaciones;2023M07;289.721
Total;Austria;Pernoctaciones;2023M06;230.713
Total;Austria;Pernoctaciones;2023M05;260.933
Total;Austria;Pernoctaciones;2023M04;194.998
Total;Austria;Pernoctaciones;2023M03;112.131
Total;Austria;Pernoctaciones;2023M02;109.134
Total;Austria;Pernoctaciones;2023M01;95.171
Total;Austria;Pernoctaciones;2022M12;78.147
Total;Austria;Pernoctaciones;2022M11;93.936
Total;Austria;Pernoctaciones;2022M10;178.167
Total;Austria;Pernoctaciones;2022M09;223.951
Total;Austria;Pernoctaciones;2022M08;262.337
Total;Austria;Pernoctaciones;2022M07;276.350
Total;Austria;Pernoctaciones;2022M06;207.640
Total;Austria;Pernoctaciones;2022M05;227.901
Total;Austria;Pernoctaciones;2022M04;175.205
Total;Austria;Pernoctaciones;2022M03;89.770
Total;Austria;Pernoctaciones;2022M02;80.963
Total;Austria;Pernoctaciones;2022M01;62.706
Total;Bélgica;Viajero;2026M03;82.305
Total;Bélgica;Viajero;2026M02;76.738
Total;Bélgica;Viajero;2026M01;63.468
Total;Bélgica;Viajero;2025M12;74.564
Total;Bélgica;Viajero;2025M11;86.835
Total;Bélgica;Viajero;2025M10;143.426
Total;Bélgica;Viajero;2025M09;166.587
Total;Bélgica;Viajero;2025M08;183.065
Total;Bélgica;Viajero;2025M07;239.220
Total;Bélgica;Viajero;2025M06;135.475
Total;Bélgica;Viajero;2025M05;163.616
Total;Bélgica;Viajero;2025M04;140.222
Total;Bélgica;Viajero;2025M03;95.722
Total;Bélgica;Viajero;2025M02;74.640
Total;Bélgica;Viajero;2025M01;62.835
Total;Bélgica;Viajero;2024M12;71.327
Total;Bélgica;Viajero;2024M11;80.144
Total;Bélgica;Viajero;2024M10;140.450
Total;Bélgica;Viajero;2024M09;165.428
Total;Bélgica;Viajero;2024M08;186.469
Total;Bélgica;Viajero;2024M07;235.295
Total;Bélgica;Viajero;2024M06;134.241
Total;Bélgica;Viajero;2024M05;152.758
Total;Bélgica;Viajero;2024M04;136.465
Total;Bélgica;Viajero;2024M03;96.694
