Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M10;6.381.337
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M09;9.058.858
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M08;11.054.556
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M07;10.613.015
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M06;8.993.003
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M05;7.258.921
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M04;3.350.022
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M03;944.911
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M02;466.420
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2023M01;237.815
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M12;248.269
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M11;398.085
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M10;5.604.472
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M09;8.678.063
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M08;10.779.452
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M07;10.386.341
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M06;8.956.158
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M05;6.377.225
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M04;2.816.016
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M03;817.111
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M02;310.405
Total Nacional;04 Balears, Illes;;Pernoctaciones;Total;;2022M01;127.429
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2026M03;3.508.364
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2026M02;2.767.651
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2026M01;2.569.074
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2025M12;2.660.441
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2025M11;2.792.751
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2025M10;5.417.015
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2025M09;6.633.863
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2025M08;8.814.586
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2025M07;8.217.469
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2025M06;6.890.423
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2025M05;6.056.293
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2025M04;4.990.114
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2025M03;3.215.398
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2025M02;2.602.077
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2025M01;2.376.734
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2024M12;2.482.516
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2024M11;2.723.985
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2024M10;5.221.686
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2024M09;6.650.004
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2024M08;8.900.068
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2024M07;8.201.186
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2024M06;6.906.829
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2024M05;6.243.413
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2024M04;4.444.874
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2024M03;3.660.904
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2024M02;2.695.070
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2024M01;2.296.616
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2023M12;2.516.200
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2023M11;2.675.765
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2023M10;5.209.170
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2023M09;6.592.490
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2023M08;8.833.042
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2023M07;8.111.031
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2023M06;6.385.416
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2023M05;5.609.283
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2023M04;4.848.783
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2023M03;3.110.751
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2023M02;2.563.698
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2023M01;2.234.578
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2022M12;2.418.140
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2022M11;2.489.997
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2022M10;4.661.134
Total Nacional;09 Cataluña;;Pernoctaciones;Total;;2022M09;5.942.192
