Provincias;Meses;Total
23 Jaén;Abril;2,55
23 Jaén;Mayo;2,03
23 Jaén;Junio;2,00
23 Jaén;Julio;2,71
23 Jaén;Agosto;3,54
23 Jaén;Septiembre;2,36
23 Jaén;Octubre;2,23
23 Jaén;Noviembre;2,08
23 Jaén;Diciembre;2,69
24 León;Total;2,72
24 León;Enero;3,00
24 León;Febrero;1,97
24 León;Marzo;2,25
24 León;Abril;2,45
24 León;Mayo;2,12
24 León;Junio;2,10
24 León;Julio;2,34
24 León;Agosto;4,63
24 León;Septiembre;2,45
24 León;Octubre;2,52
24 León;Noviembre;2,29
24 León;Diciembre;2,61
25 Lleida;Total;3,79
25 Lleida;Enero;3,89
25 Lleida;Febrero;7,41
25 Lleida;Marzo;3,56
25 Lleida;Abril;4,84
25 Lleida;Mayo;2,31
25 Lleida;Junio;3,06
25 Lleida;Julio;3,57
25 Lleida;Agosto;5,22
25 Lleida;Septiembre;3,04
25 Lleida;Octubre;3,04
25 Lleida;Noviembre;3,42
25 Lleida;Diciembre;3,37
27 Lugo;Total;3,67
27 Lugo;Enero;9,18
27 Lugo;Febrero;15,96
27 Lugo;Marzo;3,44
27 Lugo;Abril;4,97
27 Lugo;Mayo;3,57
27 Lugo;Junio;3,83
27 Lugo;Julio;3,41
27 Lugo;Agosto;3,62
27 Lugo;Septiembre;2,83
27 Lugo;Octubre;2,80
27 Lugo;Noviembre;3,99
27 Lugo;Diciembre;4,28
28 Madrid;Total;3,98
28 Madrid;Enero;5,44
28 Madrid;Febrero;6,29
28 Madrid;Marzo;5,65
28 Madrid;Abril;5,49
28 Madrid;Mayo;4,57
28 Madrid;Junio;4,61
28 Madrid;Julio;3,78
28 Madrid;Agosto;4,03
28 Madrid;Septiembre;3,74
28 Madrid;Octubre;3,32
28 Madrid;Noviembre;3,28
28 Madrid;Diciembre;3,31
29 Málaga;Total;4,72
29 Málaga;Enero;5,34
29 Málaga;Febrero;5,97
29 Málaga;Marzo;5,31
29 Málaga;Abril;4,89
29 Málaga;Mayo;3,71
29 Málaga;Junio;3,74
29 Málaga;Julio;4,48
29 Málaga;Agosto;5,27
29 Málaga;Septiembre;5,08
29 Málaga;Octubre;4,85
29 Málaga;Noviembre;4,89
29 Málaga;Diciembre;4,24
30 Murcia;Total;6,34
30 Murcia;Enero;7,95
30 Murcia;Febrero;5,73
30 Murcia;Marzo;5,97
30 Murcia;Abril;4,71
30 Murcia;Mayo;4,06
30 Murcia;Junio;5,64
30 Murcia;Julio;6,81
30 Murcia;Agosto;7,26
30 Murcia;Septiembre;5,88
30 Murcia;Octubre;6,04
30 Murcia;Noviembre;10,67
30 Murcia;Diciembre;4,87
31 Navarra;Total;3,91
31 Navarra;Enero;8,35
31 Navarra;Febrero;9,37
31 Navarra;Marzo;10,97
31 Navarra;Abril;10,20
31 Navarra;Mayo;4,23
31 Navarra;Junio;3,42
31 Navarra;Julio;3,38
31 Navarra;Agosto;3,60
31 Navarra;Septiembre;3,39
31 Navarra;Octubre;3,16
31 Navarra;Noviembre;4,13
31 Navarra;Diciembre;3,12
32 Ourense;Total;3,03
32 Ourense;Enero;..
32 Ourense;Febrero;..
32 Ourense;Marzo;2,14
32 Ourense;Abril;2,36
32 Ourense;Mayo;2,28
32 Ourense;Junio;2,15
32 Ourense;Julio;2,94
32 Ourense;Agosto;3,83
32 Ourense;Septiembre;2,63
32 Ourense;Octubre;2,65
32 Ourense;Noviembre;3,10
32 Ourense;Diciembre;4,55
34 Palencia;Total;5,29
34 Palencia;Enero;..
34 Palencia;Febrero;..
34 Palencia;Marzo;19,26
34 Palencia;Abril;..
34 Palencia;Mayo;14,48
34 Palencia;Junio;..
34 Palencia;Julio;4,69
34 Palencia;Agosto;4,42
34 Palencia;Septiembre;2,88
34 Palencia;Octubre;3,10
34 Palencia;Noviembre;13,06
34 Palencia;Diciembre;6,68
35 Palmas, Las;Total;6,99
35 Palmas, Las;Enero;8,60
35 Palmas, Las;Febrero;7,16
35 Palmas, Las;Marzo;5,56
35 Palmas, Las;Abril;5,21
35 Palmas, Las;Mayo;4,86
35 Palmas, Las;Junio;5,20
35 Palmas, Las;Julio;6,12
35 Palmas, Las;Agosto;6,89
35 Palmas, Las;Septiembre;7,35
35 Palmas, Las;Octubre;7,09
35 Palmas, Las;Noviembre;8,12
35 Palmas, Las;Diciembre;7,83
36 Pontevedra;Total;4,88
36 Pontevedra;Enero;..
36 Pontevedra;Febrero;..
36 Pontevedra;Marzo;3,24
36 Pontevedra;Abril;2,88
36 Pontevedra;Mayo;2,37
36 Pontevedra;Junio;3,77
36 Pontevedra;Julio;5,63
36 Pontevedra;Agosto;6,08
36 Pontevedra;Septiembre;4,38
36 Pontevedra;Octubre;3,07
36 Pontevedra;Noviembre;3,29
36 Pontevedra;Diciembre;3,02
26 Rioja, La;Total;3,22
26 Rioja, La;Enero;6,18
26 Rioja, La;Febrero;..
26 Rioja, La;Marzo;3,63
26 Rioja, La;Abril;3,11
26 Rioja, La;Mayo;2,89
26 Rioja, La;Junio;2,91
26 Rioja, La;Julio;3,08
26 Rioja, La;Agosto;4,48
26 Rioja, La;Septiembre;2,96
26 Rioja, La;Octubre;2,69
26 Rioja, La;Noviembre;2,82
26 Rioja, La;Diciembre;..
37 Salamanca;Total;2,17
37 Salamanca;Enero;3,15
37 Salamanca;Febrero;..
37 Salamanca;Marzo;2,08
37 Salamanca;Abril;2,35
37 Salamanca;Mayo;2,58
37 Salamanca;Junio;2,29
37 Salamanca;Julio;2,15
37 Salamanca;Agosto;2,24
37 Salamanca;Septiembre;2,05
37 Salamanca;Octubre;1,93
37 Salamanca;Noviembre;2,00
37 Salamanca;Diciembre;..
38 Santa Cruz de Tenerife;Total;6,12
38 Santa Cruz de Tenerife;Enero;6,03
38 Santa Cruz de Tenerife;Febrero;4,41
38 Santa Cruz de Tenerife;Marzo;5,13
38 Santa Cruz de Tenerife;Abril;4,86
38 Santa Cruz de Tenerife;Mayo;4,56
38 Santa Cruz de Tenerife;Junio;4,77
38 Santa Cruz de Tenerife;Julio;5,80
38 Santa Cruz de Tenerife;Agosto;6,50
38 Santa Cruz de Tenerife;Septiembre;6,63
38 Santa Cruz de Tenerife;Octubre;6,26
38 Santa Cruz de Tenerife;Noviembre;7,10
38 Santa Cruz de Tenerife;Diciembre;7,12
40 Segovia;Total;2,86
40 Segovia;Enero;5,20
40 Segovia;Febrero;6,77
40 Segovia;Marzo;7,50
40 Segovia;Abril;3,92
40 Segovia;Mayo;3,25
40 Segovia;Junio;2,60
40 Segovia;Julio;3,18
40 Segovia;Agosto;4,07
40 Segovia;Septiembre;2,29
40 Segovia;Octubre;2,19
40 Segovia;Noviembre;2,03
40 Segovia;Diciembre;2,32
41 Sevilla;Total;3,03
41 Sevilla;Enero;3,67
41 Sevilla;Febrero;3,55
41 Sevilla;Marzo;4,43
41 Sevilla;Abril;3,94
41 Sevilla;Mayo;3,56
41 Sevilla;Junio;3,39
41 Sevilla;Julio;3,01
41 Sevilla;Agosto;3,09
41 Sevilla;Septiembre;2,71
41 Sevilla;Octubre;2,60
41 Sevilla;Noviembre;2,78
41 Sevilla;Diciembre;2,97
42 Soria;Total;3,76
42 Soria;Enero;5,53
42 Soria;Febrero;..
42 Soria;Marzo;3,56
42 Soria;Abril;..
42 Soria;Mayo;2,68
42 Soria;Junio;2,94
42 Soria;Julio;4,26
42 Soria;Agosto;5,39
42 Soria;Septiembre;2,95
42 Soria;Octubre;3,07
42 Soria;Noviembre;3,29
42 Soria;Diciembre;3,38
43 Tarragona;Total;4,96
43 Tarragona;Enero;2,13
43 Tarragona;Febrero;3,08
43 Tarragona;Marzo;1,74
43 Tarragona;Abril;3,58
43 Tarragona;Mayo;3,25
43 Tarragona;Junio;3,83
43 Tarragona;Julio;5,21
43 Tarragona;Agosto;6,23
43 Tarragona;Septiembre;5,01
43 Tarragona;Octubre;3,76
43 Tarragona;Noviembre;2,57
43 Tarragona;Diciembre;2,80
44 Teruel;Total;3,02
44 Teruel;Enero;..
44 Teruel;Febrero;..
44 Teruel;Marzo;..
44 Teruel;Abril;2,66
44 Teruel;Mayo;2,92
44 Teruel;Junio;2,55
44 Teruel;Julio;2,98
44 Teruel;Agosto;3,91
44 Teruel;Septiembre;2,80
44 Teruel;Octubre;2,45
44 Teruel;Noviembre;2,49
44 Teruel;Diciembre;2,97
45 Toledo;Total;5,93
45 Toledo;Enero;17,59
45 Toledo;Febrero;10,49
45 Toledo;Marzo;11,79
45 Toledo;Abril;12,04
45 Toledo;Mayo;8,04
45 Toledo;Junio;6,54
45 Toledo;Julio;3,88
45 Toledo;Agosto;4,49
45 Toledo;Septiembre;4,36
45 Toledo;Octubre;3,57
45 Toledo;Noviembre;5,86
45 Toledo;Diciembre;5,75
46 Valencia/València;Total;5,14
46 Valencia/València;Enero;7,56
46 Valencia/València;Febrero;8,02
46 Valencia/València;Marzo;5,70
46 Valencia/València;Abril;4,87
46 Valencia/València;Mayo;3,96
46 Valencia/València;Junio;4,54
46 Valencia/València;Julio;6,09
46 Valencia/València;Agosto;6,69
46 Valencia/València;Septiembre;4,27
46 Valencia/València;Octubre;3,74
46 Valencia/València;Noviembre;4,13
46 Valencia/València;Diciembre;3,98
47 Valladolid;Total;3,18
47 Valladolid;Enero;4,40
47 Valladolid;Febrero;4,79
47 Valladolid;Marzo;3,86
47 Valladolid;Abril;3,83
47 Valladolid;Mayo;3,66
47 Valladolid;Junio;3,39
47 Valladolid;Julio;2,71
47 Valladolid;Agosto;1,78
47 Valladolid;Septiembre;3,10
47 Valladolid;Octubre;3,62
47 Valladolid;Noviembre;3,23
47 Valladolid;Diciembre;4,67
49 Zamora;Total;2,72
49 Zamora;Enero;4,81
49 Zamora;Febrero;4,97
49 Zamora;Marzo;3,08
49 Zamora;Abril;2,64
49 Zamora;Mayo;2,26
49 Zamora;Junio;..
49 Zamora;Julio;2,59
49 Zamora;Agosto;3,54
49 Zamora;Septiembre;2,38
49 Zamora;Octubre;2,52
49 Zamora;Noviembre;2,20
49 Zamora;Diciembre;..
50 Zaragoza;Total;2,76
50 Zaragoza;Enero;4,22
50 Zaragoza;Febrero;4,52
50 Zaragoza;Marzo;4,96
50 Zaragoza;Abril;4,89
50 Zaragoza;Mayo;2,80
50 Zaragoza;Junio;2,63
50 Zaragoza;Julio;2,42
50 Zaragoza;Agosto;2,43
50 Zaragoza;Septiembre;2,71
50 Zaragoza;Octubre;2,57
50 Zaragoza;Noviembre;2,85
50 Zaragoza;Diciembre;2,85
