Provincias de destino;Procedencia de los viajeros;Meses;Total
05 Ávila;Residentes en España;Mayo;4.763
05 Ávila;Residentes en España;Junio;8.770
05 Ávila;Residentes en España;Julio;14.014
05 Ávila;Residentes en España;Agosto;15.227
05 Ávila;Residentes en España;Septiembre;10.436
05 Ávila;Residentes en España;Octubre;11.726
05 Ávila;Residentes en España;Noviembre;9.731
05 Ávila;Residentes en España;Diciembre;11.350
05 Ávila;No Residentes;Total;1.271
05 Ávila;No Residentes;Enero;5
05 Ávila;No Residentes;Febrero;0
05 Ávila;No Residentes;Marzo;50
05 Ávila;No Residentes;Abril;2
05 Ávila;No Residentes;Mayo;44
05 Ávila;No Residentes;Junio;53
05 Ávila;No Residentes;Julio;118
05 Ávila;No Residentes;Agosto;472
05 Ávila;No Residentes;Septiembre;287
05 Ávila;No Residentes;Octubre;147
05 Ávila;No Residentes;Noviembre;18
05 Ávila;No Residentes;Diciembre;75
06 Badajoz;Total;Total;32.936
06 Badajoz;Total;Enero;352
06 Badajoz;Total;Febrero;462
06 Badajoz;Total;Marzo;1.325
06 Badajoz;Total;Abril;1.374
06 Badajoz;Total;Mayo;1.947
06 Badajoz;Total;Junio;2.686
06 Badajoz;Total;Julio;4.084
06 Badajoz;Total;Agosto;6.105
06 Badajoz;Total;Septiembre;3.824
06 Badajoz;Total;Octubre;4.696
06 Badajoz;Total;Noviembre;3.021
06 Badajoz;Total;Diciembre;3.061
06 Badajoz;Residentes en España;Total;30.662
06 Badajoz;Residentes en España;Enero;345
06 Badajoz;Residentes en España;Febrero;446
06 Badajoz;Residentes en España;Marzo;1.279
06 Badajoz;Residentes en España;Abril;1.331
06 Badajoz;Residentes en España;Mayo;1.863
06 Badajoz;Residentes en España;Junio;2.524
06 Badajoz;Residentes en España;Julio;3.826
06 Badajoz;Residentes en España;Agosto;5.605
06 Badajoz;Residentes en España;Septiembre;3.432
06 Badajoz;Residentes en España;Octubre;4.246
06 Badajoz;Residentes en España;Noviembre;2.788
06 Badajoz;Residentes en España;Diciembre;2.977
06 Badajoz;No Residentes;Total;2.274
06 Badajoz;No Residentes;Enero;7
06 Badajoz;No Residentes;Febrero;16
06 Badajoz;No Residentes;Marzo;46
06 Badajoz;No Residentes;Abril;43
06 Badajoz;No Residentes;Mayo;85
06 Badajoz;No Residentes;Junio;162
06 Badajoz;No Residentes;Julio;258
06 Badajoz;No Residentes;Agosto;499
06 Badajoz;No Residentes;Septiembre;392
06 Badajoz;No Residentes;Octubre;450
06 Badajoz;No Residentes;Noviembre;233
06 Badajoz;No Residentes;Diciembre;84
07 Balears, Illes;Total;Total;288.428
07 Balears, Illes;Total;Enero;1.639
07 Balears, Illes;Total;Febrero;2.095
07 Balears, Illes;Total;Marzo;4.592
07 Balears, Illes;Total;Abril;11.279
07 Balears, Illes;Total;Mayo;25.511
07 Balears, Illes;Total;Junio;34.646
07 Balears, Illes;Total;Julio;50.800
07 Balears, Illes;Total;Agosto;54.705
07 Balears, Illes;Total;Septiembre;48.179
07 Balears, Illes;Total;Octubre;38.196
07 Balears, Illes;Total;Noviembre;9.689
07 Balears, Illes;Total;Diciembre;7.098
07 Balears, Illes;Residentes en España;Total;69.100
07 Balears, Illes;Residentes en España;Enero;1.195
07 Balears, Illes;Residentes en España;Febrero;1.644
07 Balears, Illes;Residentes en España;Marzo;2.574
07 Balears, Illes;Residentes en España;Abril;4.108
07 Balears, Illes;Residentes en España;Mayo;4.699
07 Balears, Illes;Residentes en España;Junio;7.197
07 Balears, Illes;Residentes en España;Julio;10.843
07 Balears, Illes;Residentes en España;Agosto;13.322
07 Balears, Illes;Residentes en España;Septiembre;8.968
07 Balears, Illes;Residentes en España;Octubre;5.741
07 Balears, Illes;Residentes en España;Noviembre;4.780
07 Balears, Illes;Residentes en España;Diciembre;4.027
07 Balears, Illes;No Residentes;Total;219.328
07 Balears, Illes;No Residentes;Enero;444
07 Balears, Illes;No Residentes;Febrero;451
07 Balears, Illes;No Residentes;Marzo;2.018
07 Balears, Illes;No Residentes;Abril;7.171
07 Balears, Illes;No Residentes;Mayo;20.812
07 Balears, Illes;No Residentes;Junio;27.449
07 Balears, Illes;No Residentes;Julio;39.957
07 Balears, Illes;No Residentes;Agosto;41.383
07 Balears, Illes;No Residentes;Septiembre;39.211
07 Balears, Illes;No Residentes;Octubre;32.455
07 Balears, Illes;No Residentes;Noviembre;4.908
07 Balears, Illes;No Residentes;Diciembre;3.071
08 Barcelona;Total;Total;120.496
08 Barcelona;Total;Enero;1.194
08 Barcelona;Total;Febrero;629
08 Barcelona;Total;Marzo;3.319
08 Barcelona;Total;Abril;5.317
08 Barcelona;Total;Mayo;9.943
08 Barcelona;Total;Junio;14.692
08 Barcelona;Total;Julio;16.472
08 Barcelona;Total;Agosto;17.626
08 Barcelona;Total;Septiembre;14.258
08 Barcelona;Total;Octubre;15.083
08 Barcelona;Total;Noviembre;11.543
08 Barcelona;Total;Diciembre;10.421
08 Barcelona;Residentes en España;Total;111.040
08 Barcelona;Residentes en España;Enero;1.194
08 Barcelona;Residentes en España;Febrero;612
08 Barcelona;Residentes en España;Marzo;3.290
08 Barcelona;Residentes en España;Abril;5.142
08 Barcelona;Residentes en España;Mayo;9.776
08 Barcelona;Residentes en España;Junio;13.818
08 Barcelona;Residentes en España;Julio;14.839
08 Barcelona;Residentes en España;Agosto;14.210
08 Barcelona;Residentes en España;Septiembre;12.679
08 Barcelona;Residentes en España;Octubre;14.425
