Provincias de destino;Procedencia de los viajeros;Meses;Total
09 Burgos;No Residentes en España;Agosto;1,24
09 Burgos;No Residentes en España;Septiembre;1,39
09 Burgos;No Residentes en España;Octubre;1,46
09 Burgos;No Residentes en España;Noviembre;4,60
09 Burgos;No Residentes en España;Diciembre;1,49
10 Cáceres;Total;Total;2,33
10 Cáceres;Total;Enero;2,72
10 Cáceres;Total;Febrero;3,11
10 Cáceres;Total;Marzo;2,05
10 Cáceres;Total;Abril;1,98
10 Cáceres;Total;Mayo;1,95
10 Cáceres;Total;Junio;2,11
10 Cáceres;Total;Julio;2,40
10 Cáceres;Total;Agosto;2,81
10 Cáceres;Total;Septiembre;2,18
10 Cáceres;Total;Octubre;2,25
10 Cáceres;Total;Noviembre;2,02
10 Cáceres;Total;Diciembre;2,56
10 Cáceres;Residentes en España;Total;2,32
10 Cáceres;Residentes en España;Enero;2,68
10 Cáceres;Residentes en España;Febrero;3,08
10 Cáceres;Residentes en España;Marzo;2,07
10 Cáceres;Residentes en España;Abril;1,99
10 Cáceres;Residentes en España;Mayo;1,97
10 Cáceres;Residentes en España;Junio;2,09
10 Cáceres;Residentes en España;Julio;2,36
10 Cáceres;Residentes en España;Agosto;2,78
10 Cáceres;Residentes en España;Septiembre;2,17
10 Cáceres;Residentes en España;Octubre;2,23
10 Cáceres;Residentes en España;Noviembre;1,99
10 Cáceres;Residentes en España;Diciembre;2,55
10 Cáceres;No Residentes en España;Total;2,45
10 Cáceres;No Residentes en España;Enero;4,27
10 Cáceres;No Residentes en España;Febrero;7,75
10 Cáceres;No Residentes en España;Marzo;1,86
10 Cáceres;No Residentes en España;Abril;1,82
10 Cáceres;No Residentes en España;Mayo;1,75
10 Cáceres;No Residentes en España;Junio;2,21
10 Cáceres;No Residentes en España;Julio;2,67
10 Cáceres;No Residentes en España;Agosto;3,09
10 Cáceres;No Residentes en España;Septiembre;2,20
10 Cáceres;No Residentes en España;Octubre;2,43
10 Cáceres;No Residentes en España;Noviembre;2,46
10 Cáceres;No Residentes en España;Diciembre;2,60
11 Cádiz;Total;Total;2,28
11 Cádiz;Total;Enero;2,76
11 Cádiz;Total;Febrero;4,22
11 Cádiz;Total;Marzo;1,63
11 Cádiz;Total;Abril;2,07
11 Cádiz;Total;Mayo;1,76
11 Cádiz;Total;Junio;1,99
11 Cádiz;Total;Julio;2,51
11 Cádiz;Total;Agosto;2,81
11 Cádiz;Total;Septiembre;2,34
11 Cádiz;Total;Octubre;2,15
11 Cádiz;Total;Noviembre;2,13
11 Cádiz;Total;Diciembre;2,02
11 Cádiz;Residentes en España;Total;2,23
11 Cádiz;Residentes en España;Enero;2,49
11 Cádiz;Residentes en España;Febrero;2,68
11 Cádiz;Residentes en España;Marzo;1,58
11 Cádiz;Residentes en España;Abril;2,18
11 Cádiz;Residentes en España;Mayo;1,54
11 Cádiz;Residentes en España;Junio;1,84
11 Cádiz;Residentes en España;Julio;2,59
11 Cádiz;Residentes en España;Agosto;2,76
11 Cádiz;Residentes en España;Septiembre;2,06
11 Cádiz;Residentes en España;Octubre;2,20
11 Cádiz;Residentes en España;Noviembre;2,13
11 Cádiz;Residentes en España;Diciembre;2,05
11 Cádiz;No Residentes en España;Total;2,55
11 Cádiz;No Residentes en España;Enero;4,19
11 Cádiz;No Residentes en España;Febrero;11,20
11 Cádiz;No Residentes en España;Marzo;2,02
11 Cádiz;No Residentes en España;Abril;1,51
11 Cádiz;No Residentes en España;Mayo;2,63
11 Cádiz;No Residentes en España;Junio;2,93
11 Cádiz;No Residentes en España;Julio;2,05
11 Cádiz;No Residentes en España;Agosto;3,22
11 Cádiz;No Residentes en España;Septiembre;3,17
11 Cádiz;No Residentes en España;Octubre;2,00
11 Cádiz;No Residentes en España;Noviembre;2,09
11 Cádiz;No Residentes en España;Diciembre;1,72
39 Cantabria;Total;Total;2,56
39 Cantabria;Total;Enero;2,04
39 Cantabria;Total;Febrero;1,83
39 Cantabria;Total;Marzo;2,24
39 Cantabria;Total;Abril;2,08
39 Cantabria;Total;Mayo;1,87
39 Cantabria;Total;Junio;2,20
39 Cantabria;Total;Julio;2,69
39 Cantabria;Total;Agosto;3,21
39 Cantabria;Total;Septiembre;2,21
39 Cantabria;Total;Octubre;2,25
39 Cantabria;Total;Noviembre;1,98
39 Cantabria;Total;Diciembre;2,55
39 Cantabria;Residentes en España;Total;2,59
39 Cantabria;Residentes en España;Enero;2,01
39 Cantabria;Residentes en España;Febrero;1,82
39 Cantabria;Residentes en España;Marzo;2,25
39 Cantabria;Residentes en España;Abril;2,06
39 Cantabria;Residentes en España;Mayo;1,87
39 Cantabria;Residentes en España;Junio;2,18
39 Cantabria;Residentes en España;Julio;2,70
39 Cantabria;Residentes en España;Agosto;3,22
39 Cantabria;Residentes en España;Septiembre;2,29
39 Cantabria;Residentes en España;Octubre;2,26
39 Cantabria;Residentes en España;Noviembre;1,99
39 Cantabria;Residentes en España;Diciembre;2,59
39 Cantabria;No Residentes en España;Total;2,33
39 Cantabria;No Residentes en España;Enero;2,53
39 Cantabria;No Residentes en España;Febrero;2,06
39 Cantabria;No Residentes en España;Marzo;1,68
39 Cantabria;No Residentes en España;Abril;2,73
39 Cantabria;No Residentes en España;Mayo;1,91
39 Cantabria;No Residentes en España;Junio;2,43
39 Cantabria;No Residentes en España;Julio;2,59
39 Cantabria;No Residentes en España;Agosto;3,07
39 Cantabria;No Residentes en España;Septiembre;1,79
39 Cantabria;No Residentes en España;Octubre;2,20
39 Cantabria;No Residentes en España;Noviembre;1,92
39 Cantabria;No Residentes en España;Diciembre;1,99
12 Castellón/Castelló;Total;Total;2,63
12 Castellón/Castelló;Total;Enero;2,75
12 Castellón/Castelló;Total;Febrero;2,99
12 Castellón/Castelló;Total;Marzo;2,55
12 Castellón/Castelló;Total;Abril;2,45
12 Castellón/Castelló;Total;Mayo;2,29
12 Castellón/Castelló;Total;Junio;2,11
12 Castellón/Castelló;Total;Julio;2,97
12 Castellón/Castelló;Total;Agosto;4,21
12 Castellón/Castelló;Total;Septiembre;2,19
12 Castellón/Castelló;Total;Octubre;2,39
12 Castellón/Castelló;Total;Noviembre;1,92
12 Castellón/Castelló;Total;Diciembre;2,18
12 Castellón/Castelló;Residentes en España;Total;2,63
12 Castellón/Castelló;Residentes en España;Enero;2,75
12 Castellón/Castelló;Residentes en España;Febrero;2,99
12 Castellón/Castelló;Residentes en España;Marzo;2,55
12 Castellón/Castelló;Residentes en España;Abril;2,45
12 Castellón/Castelló;Residentes en España;Mayo;2,29
12 Castellón/Castelló;Residentes en España;Junio;2,12
12 Castellón/Castelló;Residentes en España;Julio;2,98
12 Castellón/Castelló;Residentes en España;Agosto;4,20
12 Castellón/Castelló;Residentes en España;Septiembre;2,21
12 Castellón/Castelló;Residentes en España;Octubre;2,39
12 Castellón/Castelló;Residentes en España;Noviembre;1,93
12 Castellón/Castelló;Residentes en España;Diciembre;2,19
12 Castellón/Castelló;No Residentes en España;Total;2,59
12 Castellón/Castelló;No Residentes en España;Enero;0,00
12 Castellón/Castelló;No Residentes en España;Febrero;0,00
12 Castellón/Castelló;No Residentes en España;Marzo;0,00
12 Castellón/Castelló;No Residentes en España;Abril;0,00
12 Castellón/Castelló;No Residentes en España;Mayo;0,00
12 Castellón/Castelló;No Residentes en España;Junio;1,00
12 Castellón/Castelló;No Residentes en España;Julio;2,83
12 Castellón/Castelló;No Residentes en España;Agosto;4,78
12 Castellón/Castelló;No Residentes en España;Septiembre;1,80
12 Castellón/Castelló;No Residentes en España;Octubre;2,01
12 Castellón/Castelló;No Residentes en España;Noviembre;1,29
12 Castellón/Castelló;No Residentes en España;Diciembre;1,11
13 Ciudad Real;Total;Total;2,38
13 Ciudad Real;Total;Enero;5,33
13 Ciudad Real;Total;Febrero;2,72
13 Ciudad Real;Total;Marzo;2,30
13 Ciudad Real;Total;Abril;2,40
13 Ciudad Real;Total;Mayo;2,07
13 Ciudad Real;Total;Junio;2,01
13 Ciudad Real;Total;Julio;2,77
13 Ciudad Real;Total;Agosto;2,66
13 Ciudad Real;Total;Septiembre;2,42
13 Ciudad Real;Total;Octubre;2,16
13 Ciudad Real;Total;Noviembre;1,88
13 Ciudad Real;Total;Diciembre;2,27
