Provincias;Residencia;Meses;Total
28 Madrid;No residentes en España;Enero;2,45
28 Madrid;No residentes en España;Febrero;2,37
28 Madrid;No residentes en España;Marzo;3,04
28 Madrid;No residentes en España;Abril;0,00
28 Madrid;No residentes en España;Mayo;2,26
28 Madrid;No residentes en España;Junio;6,09
28 Madrid;No residentes en España;Julio;3,27
28 Madrid;No residentes en España;Agosto;3,27
28 Madrid;No residentes en España;Septiembre;2,80
28 Madrid;No residentes en España;Octubre;3,00
28 Madrid;No residentes en España;Noviembre;2,68
28 Madrid;No residentes en España;Diciembre;2,43
29 Málaga;Residentes en España;Enero;2,03
29 Málaga;Residentes en España;Febrero;2,17
29 Málaga;Residentes en España;Marzo;2,49
29 Málaga;Residentes en España;Abril;0,00
29 Málaga;Residentes en España;Mayo;1,95
29 Málaga;Residentes en España;Junio;1,90
29 Málaga;Residentes en España;Julio;2,54
29 Málaga;Residentes en España;Agosto;2,92
29 Málaga;Residentes en España;Septiembre;2,48
29 Málaga;Residentes en España;Octubre;1,94
29 Málaga;Residentes en España;Noviembre;1,85
29 Málaga;Residentes en España;Diciembre;1,67
29 Málaga;No residentes en España;Enero;3,65
29 Málaga;No residentes en España;Febrero;3,82
29 Málaga;No residentes en España;Marzo;4,16
29 Málaga;No residentes en España;Abril;0,00
29 Málaga;No residentes en España;Mayo;4,14
29 Málaga;No residentes en España;Junio;1,91
29 Málaga;No residentes en España;Julio;3,53
29 Málaga;No residentes en España;Agosto;3,68
29 Málaga;No residentes en España;Septiembre;3,17
29 Málaga;No residentes en España;Octubre;2,80
29 Málaga;No residentes en España;Noviembre;2,43
29 Málaga;No residentes en España;Diciembre;2,13
41 Sevilla;Residentes en España;Enero;1,70
41 Sevilla;Residentes en España;Febrero;1,70
41 Sevilla;Residentes en España;Marzo;1,73
41 Sevilla;Residentes en España;Abril;0,00
41 Sevilla;Residentes en España;Mayo;2,23
41 Sevilla;Residentes en España;Junio;1,61
41 Sevilla;Residentes en España;Julio;1,65
41 Sevilla;Residentes en España;Agosto;1,74
41 Sevilla;Residentes en España;Septiembre;1,64
41 Sevilla;Residentes en España;Octubre;1,74
41 Sevilla;Residentes en España;Noviembre;1,64
41 Sevilla;Residentes en España;Diciembre;1,46
41 Sevilla;No residentes en España;Enero;2,13
41 Sevilla;No residentes en España;Febrero;2,33
41 Sevilla;No residentes en España;Marzo;2,37
41 Sevilla;No residentes en España;Abril;0,00
41 Sevilla;No residentes en España;Mayo;14,16
41 Sevilla;No residentes en España;Junio;3,11
41 Sevilla;No residentes en España;Julio;2,27
41 Sevilla;No residentes en España;Agosto;2,34
41 Sevilla;No residentes en España;Septiembre;2,26
41 Sevilla;No residentes en España;Octubre;2,27
41 Sevilla;No residentes en España;Noviembre;2,22
41 Sevilla;No residentes en España;Diciembre;1,74
46 Valencia/València;Residentes en España;Enero;1,75
46 Valencia/València;Residentes en España;Febrero;1,71
46 Valencia/València;Residentes en España;Marzo;2,12
46 Valencia/València;Residentes en España;Abril;0,00
46 Valencia/València;Residentes en España;Mayo;2,06
46 Valencia/València;Residentes en España;Junio;2,00
46 Valencia/València;Residentes en España;Julio;2,24
46 Valencia/València;Residentes en España;Agosto;2,30
46 Valencia/València;Residentes en España;Septiembre;2,17
46 Valencia/València;Residentes en España;Octubre;1,78
46 Valencia/València;Residentes en España;Noviembre;1,74
46 Valencia/València;Residentes en España;Diciembre;1,68
46 Valencia/València;No residentes en España;Enero;2,12
46 Valencia/València;No residentes en España;Febrero;2,40
46 Valencia/València;No residentes en España;Marzo;2,63
46 Valencia/València;No residentes en España;Abril;0,00
46 Valencia/València;No residentes en España;Mayo;2,37
46 Valencia/València;No residentes en España;Junio;2,04
46 Valencia/València;No residentes en España;Julio;2,28
46 Valencia/València;No residentes en España;Agosto;2,42
46 Valencia/València;No residentes en España;Septiembre;2,16
46 Valencia/València;No residentes en España;Octubre;2,34
46 Valencia/València;No residentes en España;Noviembre;2,81
46 Valencia/València;No residentes en España;Diciembre;2,15
