Provincias;País de residencia;Meses;Total
02 Albacete;Polonia;Enero;..
02 Albacete;Polonia;Febrero;..
02 Albacete;Polonia;Marzo;14
02 Albacete;Polonia;Abril;..
02 Albacete;Polonia;Mayo;26
02 Albacete;Polonia;Junio;..
02 Albacete;Polonia;Julio;24
02 Albacete;Polonia;Agosto;..
02 Albacete;Polonia;Septiembre;16
02 Albacete;Polonia;Octubre;19
02 Albacete;Polonia;Noviembre;63
02 Albacete;Polonia;Diciembre;18
02 Albacete;Portugal;Total;1.436
02 Albacete;Portugal;Enero;31
02 Albacete;Portugal;Febrero;47
02 Albacete;Portugal;Marzo;69
02 Albacete;Portugal;Abril;25
02 Albacete;Portugal;Mayo;141
02 Albacete;Portugal;Junio;110
02 Albacete;Portugal;Julio;141
02 Albacete;Portugal;Agosto;373
02 Albacete;Portugal;Septiembre;122
02 Albacete;Portugal;Octubre;138
02 Albacete;Portugal;Noviembre;94
02 Albacete;Portugal;Diciembre;146
02 Albacete;República Checa;Total;92
02 Albacete;República Checa;Enero;..
02 Albacete;República Checa;Febrero;..
02 Albacete;República Checa;Marzo;..
02 Albacete;República Checa;Abril;..
02 Albacete;República Checa;Mayo;..
02 Albacete;República Checa;Junio;..
02 Albacete;República Checa;Julio;..
02 Albacete;República Checa;Agosto;..
02 Albacete;República Checa;Septiembre;46
02 Albacete;República Checa;Octubre;..
02 Albacete;República Checa;Noviembre;..
02 Albacete;República Checa;Diciembre;..
02 Albacete;Suecia;Total;539
02 Albacete;Suecia;Enero;..
02 Albacete;Suecia;Febrero;19
02 Albacete;Suecia;Marzo;69
02 Albacete;Suecia;Abril;33
02 Albacete;Suecia;Mayo;30
02 Albacete;Suecia;Junio;..
02 Albacete;Suecia;Julio;34
02 Albacete;Suecia;Agosto;45
02 Albacete;Suecia;Septiembre;53
02 Albacete;Suecia;Octubre;49
02 Albacete;Suecia;Noviembre;76
02 Albacete;Suecia;Diciembre;68
02 Albacete;Noruega;Total;105
02 Albacete;Noruega;Enero;..
02 Albacete;Noruega;Febrero;..
02 Albacete;Noruega;Marzo;..
02 Albacete;Noruega;Abril;..
02 Albacete;Noruega;Mayo;..
02 Albacete;Noruega;Junio;..
02 Albacete;Noruega;Julio;..
02 Albacete;Noruega;Agosto;..
02 Albacete;Noruega;Septiembre;28
02 Albacete;Noruega;Octubre;..
02 Albacete;Noruega;Noviembre;..
02 Albacete;Noruega;Diciembre;20
02 Albacete;Reino Unido;Total;888
02 Albacete;Reino Unido;Enero;17
02 Albacete;Reino Unido;Febrero;19
02 Albacete;Reino Unido;Marzo;18
02 Albacete;Reino Unido;Abril;35
02 Albacete;Reino Unido;Mayo;37
02 Albacete;Reino Unido;Junio;43
02 Albacete;Reino Unido;Julio;76
02 Albacete;Reino Unido;Agosto;114
02 Albacete;Reino Unido;Septiembre;182
02 Albacete;Reino Unido;Octubre;193
02 Albacete;Reino Unido;Noviembre;92
02 Albacete;Reino Unido;Diciembre;62
02 Albacete;Rusia;Total;129
