Provincias;Residencia;Meses;Total
Girona;Residentes en España;Marzo;2,39
Girona;Residentes en España;Abril;2,89
Girona;Residentes en España;Mayo;2,33
Girona;Residentes en España;Junio;2,08
Girona;Residentes en España;Julio;2,61
Girona;Residentes en España;Agosto;3,31
Girona;Residentes en España;Septiembre;2,36
Girona;Residentes en España;Octubre;1,93
Girona;Residentes en España;Noviembre;2,05
Girona;Residentes en España;Diciembre;2,04
Girona;No residentes en España;Enero;2,51
Girona;No residentes en España;Febrero;3,15
Girona;No residentes en España;Marzo;3,20
Girona;No residentes en España;Abril;3,37
Girona;No residentes en España;Mayo;3,42
Girona;No residentes en España;Junio;4,06
Girona;No residentes en España;Julio;4,79
Girona;No residentes en España;Agosto;4,92
Girona;No residentes en España;Septiembre;4,46
Girona;No residentes en España;Octubre;3,71
Girona;No residentes en España;Noviembre;3,04
Girona;No residentes en España;Diciembre;2,68
Madrid;Residentes en España;Enero;1,74
Madrid;Residentes en España;Febrero;1,70
Madrid;Residentes en España;Marzo;1,75
Madrid;Residentes en España;Abril;1,57
Madrid;Residentes en España;Mayo;1,57
Madrid;Residentes en España;Junio;1,56
Madrid;Residentes en España;Julio;1,68
Madrid;Residentes en España;Agosto;1,80
Madrid;Residentes en España;Septiembre;1,67
Madrid;Residentes en España;Octubre;1,72
Madrid;Residentes en España;Noviembre;1,68
Madrid;Residentes en España;Diciembre;1,79
Madrid;No residentes en España;Enero;2,33
Madrid;No residentes en España;Febrero;2,19
Madrid;No residentes en España;Marzo;2,17
Madrid;No residentes en España;Abril;2,24
Madrid;No residentes en España;Mayo;2,22
Madrid;No residentes en España;Junio;2,21
Madrid;No residentes en España;Julio;2,25
Madrid;No residentes en España;Agosto;2,25
Madrid;No residentes en España;Septiembre;2,24
Madrid;No residentes en España;Octubre;2,22
Madrid;No residentes en España;Noviembre;2,21
Madrid;No residentes en España;Diciembre;2,32
Málaga;Residentes en España;Enero;2,58
Málaga;Residentes en España;Febrero;2,48
Málaga;Residentes en España;Marzo;2,90
Málaga;Residentes en España;Abril;2,50
Málaga;Residentes en España;Mayo;2,39
Málaga;Residentes en España;Junio;2,45
Málaga;Residentes en España;Julio;3,13
Málaga;Residentes en España;Agosto;3,49
Málaga;Residentes en España;Septiembre;2,82
Málaga;Residentes en España;Octubre;2,56
Málaga;Residentes en España;Noviembre;2,64
Málaga;Residentes en España;Diciembre;2,51
Málaga;No residentes en España;Enero;4,33
Málaga;No residentes en España;Febrero;4,38
Málaga;No residentes en España;Marzo;4,24
Málaga;No residentes en España;Abril;3,94
Málaga;No residentes en España;Mayo;4,14
Málaga;No residentes en España;Junio;4,62
Málaga;No residentes en España;Julio;4,86
Málaga;No residentes en España;Agosto;5,01
Málaga;No residentes en España;Septiembre;4,41
Málaga;No residentes en España;Octubre;4,52
Málaga;No residentes en España;Noviembre;4,33
Málaga;No residentes en España;Diciembre;3,90
Sevilla;Residentes en España;Enero;1,71
Sevilla;Residentes en España;Febrero;1,71
Sevilla;Residentes en España;Marzo;1,87
Sevilla;Residentes en España;Abril;1,62
Sevilla;Residentes en España;Mayo;1,62
Sevilla;Residentes en España;Junio;1,60
Sevilla;Residentes en España;Julio;1,83
Sevilla;Residentes en España;Agosto;1,91
Sevilla;Residentes en España;Septiembre;1,77
Sevilla;Residentes en España;Octubre;1,79
Sevilla;Residentes en España;Noviembre;1,71
Sevilla;Residentes en España;Diciembre;1,94
Sevilla;No residentes en España;Enero;2,00
Sevilla;No residentes en España;Febrero;2,00
Sevilla;No residentes en España;Marzo;2,08
Sevilla;No residentes en España;Abril;2,07
Sevilla;No residentes en España;Mayo;2,01
Sevilla;No residentes en España;Junio;2,00
Sevilla;No residentes en España;Julio;2,05
Sevilla;No residentes en España;Agosto;2,09
Sevilla;No residentes en España;Septiembre;2,07
Sevilla;No residentes en España;Octubre;2,07
Sevilla;No residentes en España;Noviembre;2,07
Sevilla;No residentes en España;Diciembre;2,02
Valencia/València;Residentes en España;Enero;1,87
Valencia/València;Residentes en España;Febrero;1,87
Valencia/València;Residentes en España;Marzo;2,09
