Provincias;País de residencia;Meses;Total
03 Alicante/Alacant;Bélgica;Febrero;..
03 Alicante/Alacant;Bélgica;Marzo;25
03 Alicante/Alacant;Bélgica;Abril;383
03 Alicante/Alacant;Bélgica;Mayo;1.068
03 Alicante/Alacant;Bélgica;Junio;1.008
03 Alicante/Alacant;Bélgica;Julio;3.667
03 Alicante/Alacant;Bélgica;Agosto;3.107
03 Alicante/Alacant;Bélgica;Septiembre;2.243
03 Alicante/Alacant;Bélgica;Octubre;2.734
03 Alicante/Alacant;Bélgica;Noviembre;1.153
03 Alicante/Alacant;Bélgica;Diciembre;1.548
03 Alicante/Alacant;Dinamarca;Total;5.437
03 Alicante/Alacant;Dinamarca;Enero;92
03 Alicante/Alacant;Dinamarca;Febrero;14
03 Alicante/Alacant;Dinamarca;Marzo;..
03 Alicante/Alacant;Dinamarca;Abril;..
03 Alicante/Alacant;Dinamarca;Mayo;61
03 Alicante/Alacant;Dinamarca;Junio;219
03 Alicante/Alacant;Dinamarca;Julio;2.178
03 Alicante/Alacant;Dinamarca;Agosto;315
03 Alicante/Alacant;Dinamarca;Septiembre;818
03 Alicante/Alacant;Dinamarca;Octubre;1.248
03 Alicante/Alacant;Dinamarca;Noviembre;314
03 Alicante/Alacant;Dinamarca;Diciembre;180
03 Alicante/Alacant;Finlandia;Total;2.169
03 Alicante/Alacant;Finlandia;Enero;19
03 Alicante/Alacant;Finlandia;Febrero;17
03 Alicante/Alacant;Finlandia;Marzo;..
03 Alicante/Alacant;Finlandia;Abril;106
03 Alicante/Alacant;Finlandia;Mayo;..
03 Alicante/Alacant;Finlandia;Junio;46
03 Alicante/Alacant;Finlandia;Julio;355
03 Alicante/Alacant;Finlandia;Agosto;132
03 Alicante/Alacant;Finlandia;Septiembre;267
03 Alicante/Alacant;Finlandia;Octubre;480
03 Alicante/Alacant;Finlandia;Noviembre;436
03 Alicante/Alacant;Finlandia;Diciembre;310
03 Alicante/Alacant;Francia;Total;49.754
03 Alicante/Alacant;Francia;Enero;129
03 Alicante/Alacant;Francia;Febrero;78
03 Alicante/Alacant;Francia;Marzo;169
03 Alicante/Alacant;Francia;Abril;443
03 Alicante/Alacant;Francia;Mayo;1.799
03 Alicante/Alacant;Francia;Junio;3.264
03 Alicante/Alacant;Francia;Julio;12.706
03 Alicante/Alacant;Francia;Agosto;21.387
03 Alicante/Alacant;Francia;Septiembre;3.990
03 Alicante/Alacant;Francia;Octubre;3.131
03 Alicante/Alacant;Francia;Noviembre;1.182
03 Alicante/Alacant;Francia;Diciembre;1.477
03 Alicante/Alacant;Grecia;Total;291
03 Alicante/Alacant;Grecia;Enero;..
03 Alicante/Alacant;Grecia;Febrero;..
03 Alicante/Alacant;Grecia;Marzo;..
03 Alicante/Alacant;Grecia;Abril;30
03 Alicante/Alacant;Grecia;Mayo;24
03 Alicante/Alacant;Grecia;Junio;130
03 Alicante/Alacant;Grecia;Julio;..
03 Alicante/Alacant;Grecia;Agosto;59
03 Alicante/Alacant;Grecia;Septiembre;19
03 Alicante/Alacant;Grecia;Octubre;27
03 Alicante/Alacant;Grecia;Noviembre;..
03 Alicante/Alacant;Grecia;Diciembre;..
03 Alicante/Alacant;Irlanda;Total;5.262
03 Alicante/Alacant;Irlanda;Enero;47
03 Alicante/Alacant;Irlanda;Febrero;18
03 Alicante/Alacant;Irlanda;Marzo;46
03 Alicante/Alacant;Irlanda;Abril;83
03 Alicante/Alacant;Irlanda;Mayo;116
03 Alicante/Alacant;Irlanda;Junio;245
03 Alicante/Alacant;Irlanda;Julio;317
03 Alicante/Alacant;Irlanda;Agosto;913
03 Alicante/Alacant;Irlanda;Septiembre;1.312
03 Alicante/Alacant;Irlanda;Octubre;995
03 Alicante/Alacant;Irlanda;Noviembre;674
03 Alicante/Alacant;Irlanda;Diciembre;495
03 Alicante/Alacant;Italia;Total;5.710
03 Alicante/Alacant;Italia;Enero;69
03 Alicante/Alacant;Italia;Febrero;76
03 Alicante/Alacant;Italia;Marzo;66
03 Alicante/Alacant;Italia;Abril;268
03 Alicante/Alacant;Italia;Mayo;338
03 Alicante/Alacant;Italia;Junio;979
03 Alicante/Alacant;Italia;Julio;678
03 Alicante/Alacant;Italia;Agosto;1.244
03 Alicante/Alacant;Italia;Septiembre;536
03 Alicante/Alacant;Italia;Octubre;515
03 Alicante/Alacant;Italia;Noviembre;601
03 Alicante/Alacant;Italia;Diciembre;339
03 Alicante/Alacant;Luxemburgo;Total;338
03 Alicante/Alacant;Luxemburgo;Enero;15
03 Alicante/Alacant;Luxemburgo;Febrero;21
03 Alicante/Alacant;Luxemburgo;Marzo;..
03 Alicante/Alacant;Luxemburgo;Abril;..
03 Alicante/Alacant;Luxemburgo;Mayo;..
03 Alicante/Alacant;Luxemburgo;Junio;20
03 Alicante/Alacant;Luxemburgo;Julio;87
03 Alicante/Alacant;Luxemburgo;Agosto;57
03 Alicante/Alacant;Luxemburgo;Septiembre;19
03 Alicante/Alacant;Luxemburgo;Octubre;54
03 Alicante/Alacant;Luxemburgo;Noviembre;44
03 Alicante/Alacant;Luxemburgo;Diciembre;19
03 Alicante/Alacant;Países Bajos;Total;27.426
03 Alicante/Alacant;Países Bajos;Enero;68
03 Alicante/Alacant;Países Bajos;Febrero;74
03 Alicante/Alacant;Países Bajos;Marzo;156
03 Alicante/Alacant;Países Bajos;Abril;581
03 Alicante/Alacant;Países Bajos;Mayo;1.149
03 Alicante/Alacant;Países Bajos;Junio;1.085
03 Alicante/Alacant;Países Bajos;Julio;4.757
03 Alicante/Alacant;Países Bajos;Agosto;4.512
03 Alicante/Alacant;Países Bajos;Septiembre;4.451
03 Alicante/Alacant;Países Bajos;Octubre;5.346
03 Alicante/Alacant;Países Bajos;Noviembre;2.489
03 Alicante/Alacant;Países Bajos;Diciembre;2.757
03 Alicante/Alacant;Polonia;Total;7.180
03 Alicante/Alacant;Polonia;Enero;61
03 Alicante/Alacant;Polonia;Febrero;109
03 Alicante/Alacant;Polonia;Marzo;121
03 Alicante/Alacant;Polonia;Abril;50
03 Alicante/Alacant;Polonia;Mayo;390
03 Alicante/Alacant;Polonia;Junio;799
03 Alicante/Alacant;Polonia;Julio;1.153
03 Alicante/Alacant;Polonia;Agosto;1.588
03 Alicante/Alacant;Polonia;Septiembre;815
03 Alicante/Alacant;Polonia;Octubre;895
03 Alicante/Alacant;Polonia;Noviembre;707
03 Alicante/Alacant;Polonia;Diciembre;492
03 Alicante/Alacant;Portugal;Total;6.059
03 Alicante/Alacant;Portugal;Enero;25
03 Alicante/Alacant;Portugal;Febrero;11
03 Alicante/Alacant;Portugal;Marzo;..
03 Alicante/Alacant;Portugal;Abril;142
03 Alicante/Alacant;Portugal;Mayo;108
03 Alicante/Alacant;Portugal;Junio;328
03 Alicante/Alacant;Portugal;Julio;1.205
03 Alicante/Alacant;Portugal;Agosto;2.205
03 Alicante/Alacant;Portugal;Septiembre;1.338
03 Alicante/Alacant;Portugal;Octubre;390
03 Alicante/Alacant;Portugal;Noviembre;160
03 Alicante/Alacant;Portugal;Diciembre;140
03 Alicante/Alacant;Republica Checa;Total;1.454
03 Alicante/Alacant;Republica Checa;Enero;160
03 Alicante/Alacant;Republica Checa;Febrero;..
03 Alicante/Alacant;Republica Checa;Marzo;17
03 Alicante/Alacant;Republica Checa;Abril;..
03 Alicante/Alacant;Republica Checa;Mayo;67
03 Alicante/Alacant;Republica Checa;Junio;91
03 Alicante/Alacant;Republica Checa;Julio;386
03 Alicante/Alacant;Republica Checa;Agosto;104
03 Alicante/Alacant;Republica Checa;Septiembre;159
03 Alicante/Alacant;Republica Checa;Octubre;249
03 Alicante/Alacant;Republica Checa;Noviembre;179
03 Alicante/Alacant;Republica Checa;Diciembre;35
03 Alicante/Alacant;Suecia;Total;5.915
03 Alicante/Alacant;Suecia;Enero;14
03 Alicante/Alacant;Suecia;Febrero;..
03 Alicante/Alacant;Suecia;Marzo;42
03 Alicante/Alacant;Suecia;Abril;120
03 Alicante/Alacant;Suecia;Mayo;358
03 Alicante/Alacant;Suecia;Junio;404
03 Alicante/Alacant;Suecia;Julio;955
03 Alicante/Alacant;Suecia;Agosto;628
03 Alicante/Alacant;Suecia;Septiembre;719
03 Alicante/Alacant;Suecia;Octubre;1.033
03 Alicante/Alacant;Suecia;Noviembre;1.266
03 Alicante/Alacant;Suecia;Diciembre;366
03 Alicante/Alacant;Resto de la UE;Total;12.754
03 Alicante/Alacant;Resto de la UE;Enero;129
03 Alicante/Alacant;Resto de la UE;Febrero;17
