Provincias;Residencia;Meses;Total
29 Málaga;Residentes en España;Noviembre;2,15
29 Málaga;Residentes en España;Diciembre;2,32
29 Málaga;No residentes en España;Enero;3,91
29 Málaga;No residentes en España;Febrero;4,11
29 Málaga;No residentes en España;Marzo;4,18
29 Málaga;No residentes en España;Abril;3,77
29 Málaga;No residentes en España;Mayo;4,02
29 Málaga;No residentes en España;Junio;4,32
29 Málaga;No residentes en España;Julio;4,58
29 Málaga;No residentes en España;Agosto;4,60
29 Málaga;No residentes en España;Septiembre;4,23
29 Málaga;No residentes en España;Octubre;4,27
29 Málaga;No residentes en España;Noviembre;4,14
29 Málaga;No residentes en España;Diciembre;3,54
41 Sevilla;Residentes en España;Enero;1,72
41 Sevilla;Residentes en España;Febrero;1,71
41 Sevilla;Residentes en España;Marzo;1,85
41 Sevilla;Residentes en España;Abril;1,85
41 Sevilla;Residentes en España;Mayo;1,74
41 Sevilla;Residentes en España;Junio;1,64
41 Sevilla;Residentes en España;Julio;1,71
41 Sevilla;Residentes en España;Agosto;1,77
41 Sevilla;Residentes en España;Septiembre;1,81
41 Sevilla;Residentes en España;Octubre;1,84
41 Sevilla;Residentes en España;Noviembre;1,80
41 Sevilla;Residentes en España;Diciembre;1,83
41 Sevilla;No residentes en España;Enero;2,14
41 Sevilla;No residentes en España;Febrero;2,05
41 Sevilla;No residentes en España;Marzo;2,17
41 Sevilla;No residentes en España;Abril;2,11
41 Sevilla;No residentes en España;Mayo;2,14
41 Sevilla;No residentes en España;Junio;2,06
41 Sevilla;No residentes en España;Julio;2,08
41 Sevilla;No residentes en España;Agosto;2,06
41 Sevilla;No residentes en España;Septiembre;2,16
41 Sevilla;No residentes en España;Octubre;2,11
41 Sevilla;No residentes en España;Noviembre;2,18
41 Sevilla;No residentes en España;Diciembre;2,25
46 Valencia/València;Residentes en España;Enero;1,82
46 Valencia/València;Residentes en España;Febrero;1,84
46 Valencia/València;Residentes en España;Marzo;2,14
46 Valencia/València;Residentes en España;Abril;2,21
46 Valencia/València;Residentes en España;Mayo;2,04
46 Valencia/València;Residentes en España;Junio;2,26
46 Valencia/València;Residentes en España;Julio;2,76
46 Valencia/València;Residentes en España;Agosto;2,88
46 Valencia/València;Residentes en España;Septiembre;2,46
46 Valencia/València;Residentes en España;Octubre;2,01
46 Valencia/València;Residentes en España;Noviembre;1,91
46 Valencia/València;Residentes en España;Diciembre;1,88
46 Valencia/València;No residentes en España;Enero;2,25
46 Valencia/València;No residentes en España;Febrero;2,42
46 Valencia/València;No residentes en España;Marzo;2,34
46 Valencia/València;No residentes en España;Abril;2,45
46 Valencia/València;No residentes en España;Mayo;2,47
46 Valencia/València;No residentes en España;Junio;2,38
46 Valencia/València;No residentes en España;Julio;2,58
46 Valencia/València;No residentes en España;Agosto;2,66
46 Valencia/València;No residentes en España;Septiembre;2,53
46 Valencia/València;No residentes en España;Octubre;2,40
46 Valencia/València;No residentes en España;Noviembre;2,34
46 Valencia/València;No residentes en España;Diciembre;2,30
