Provincias;Residencia;Meses;Total
08 Barcelona;Total;Octubre;2,53
08 Barcelona;Total;Noviembre;2,43
08 Barcelona;Total;Diciembre;2,36
08 Barcelona;Residentes en España;Total;2,05
08 Barcelona;Residentes en España;Enero;2,02
08 Barcelona;Residentes en España;Febrero;1,79
08 Barcelona;Residentes en España;Marzo;1,81
08 Barcelona;Residentes en España;Abril;2,02
08 Barcelona;Residentes en España;Mayo;1,89
08 Barcelona;Residentes en España;Junio;1,98
08 Barcelona;Residentes en España;Julio;2,14
08 Barcelona;Residentes en España;Agosto;2,53
08 Barcelona;Residentes en España;Septiembre;2,08
08 Barcelona;Residentes en España;Octubre;2,05
08 Barcelona;Residentes en España;Noviembre;1,91
08 Barcelona;Residentes en España;Diciembre;1,95
08 Barcelona;No residentes en España;Total;2,87
08 Barcelona;No residentes en España;Enero;2,38
08 Barcelona;No residentes en España;Febrero;2,42
08 Barcelona;No residentes en España;Marzo;2,48
08 Barcelona;No residentes en España;Abril;2,59
08 Barcelona;No residentes en España;Mayo;2,50
08 Barcelona;No residentes en España;Junio;2,56
08 Barcelona;No residentes en España;Julio;3,06
08 Barcelona;No residentes en España;Agosto;3,32
08 Barcelona;No residentes en España;Septiembre;2,95
08 Barcelona;No residentes en España;Octubre;2,79
08 Barcelona;No residentes en España;Noviembre;2,72
08 Barcelona;No residentes en España;Diciembre;2,68
48 Bizkaia;Total;Total;1,89
48 Bizkaia;Total;Enero;1,71
48 Bizkaia;Total;Febrero;1,77
48 Bizkaia;Total;Marzo;1,63
48 Bizkaia;Total;Abril;1,84
48 Bizkaia;Total;Mayo;1,77
48 Bizkaia;Total;Junio;1,79
48 Bizkaia;Total;Julio;1,95
48 Bizkaia;Total;Agosto;2,17
48 Bizkaia;Total;Septiembre;1,90
48 Bizkaia;Total;Octubre;1,88
48 Bizkaia;Total;Noviembre;1,79
48 Bizkaia;Total;Diciembre;1,85
48 Bizkaia;Residentes en España;Total;1,88
48 Bizkaia;Residentes en España;Enero;1,65
48 Bizkaia;Residentes en España;Febrero;1,73
48 Bizkaia;Residentes en España;Marzo;1,59
48 Bizkaia;Residentes en España;Abril;1,77
48 Bizkaia;Residentes en España;Mayo;1,78
48 Bizkaia;Residentes en España;Junio;1,78
48 Bizkaia;Residentes en España;Julio;1,97
48 Bizkaia;Residentes en España;Agosto;2,30
48 Bizkaia;Residentes en España;Septiembre;1,89
48 Bizkaia;Residentes en España;Octubre;1,83
48 Bizkaia;Residentes en España;Noviembre;1,71
48 Bizkaia;Residentes en España;Diciembre;1,83
48 Bizkaia;No residentes en España;Total;1,93
48 Bizkaia;No residentes en España;Enero;2,06
48 Bizkaia;No residentes en España;Febrero;2,08
48 Bizkaia;No residentes en España;Marzo;1,90
48 Bizkaia;No residentes en España;Abril;2,36
48 Bizkaia;No residentes en España;Mayo;1,73
48 Bizkaia;No residentes en España;Junio;1,84
48 Bizkaia;No residentes en España;Julio;1,88
48 Bizkaia;No residentes en España;Agosto;1,88
48 Bizkaia;No residentes en España;Septiembre;1,93
48 Bizkaia;No residentes en España;Octubre;1,98
48 Bizkaia;No residentes en España;Noviembre;1,95
48 Bizkaia;No residentes en España;Diciembre;1,93
09 Burgos;Total;Total;1,55
09 Burgos;Total;Enero;1,70
09 Burgos;Total;Febrero;1,84
09 Burgos;Total;Marzo;1,69
09 Burgos;Total;Abril;1,62
09 Burgos;Total;Mayo;1,61
09 Burgos;Total;Junio;1,51
09 Burgos;Total;Julio;1,48
09 Burgos;Total;Agosto;1,56
09 Burgos;Total;Septiembre;1,52
09 Burgos;Total;Octubre;1,54
09 Burgos;Total;Noviembre;1,55
09 Burgos;Total;Diciembre;1,58
09 Burgos;Residentes en España;Total;1,62
09 Burgos;Residentes en España;Enero;1,72
09 Burgos;Residentes en España;Febrero;1,85
09 Burgos;Residentes en España;Marzo;1,70
09 Burgos;Residentes en España;Abril;1,62
09 Burgos;Residentes en España;Mayo;1,64
