Provincias;Residencia;Meses;Total
Sevilla;Residentes en España;Noviembre;1,76
Sevilla;Residentes en España;Diciembre;1,86
Sevilla;No residentes en España;Enero;2,02
Sevilla;No residentes en España;Febrero;2,00
Sevilla;No residentes en España;Marzo;2,03
Sevilla;No residentes en España;Abril;2,03
Sevilla;No residentes en España;Mayo;1,99
Sevilla;No residentes en España;Junio;1,97
Sevilla;No residentes en España;Julio;2,02
Sevilla;No residentes en España;Agosto;2,03
Sevilla;No residentes en España;Septiembre;2,05
Sevilla;No residentes en España;Octubre;2,05
Sevilla;No residentes en España;Noviembre;2,09
Sevilla;No residentes en España;Diciembre;2,12
Valencia/València;Residentes en España;Enero;1,75
Valencia/València;Residentes en España;Febrero;1,76
Valencia/València;Residentes en España;Marzo;2,05
Valencia/València;Residentes en España;Abril;2,26
Valencia/València;Residentes en España;Mayo;2,07
Valencia/València;Residentes en España;Junio;2,24
Valencia/València;Residentes en España;Julio;2,52
Valencia/València;Residentes en España;Agosto;2,73
Valencia/València;Residentes en España;Septiembre;2,36
Valencia/València;Residentes en España;Octubre;2,00
Valencia/València;Residentes en España;Noviembre;1,82
Valencia/València;Residentes en España;Diciembre;1,81
Valencia/València;No residentes en España;Enero;1,98
Valencia/València;No residentes en España;Febrero;2,09
Valencia/València;No residentes en España;Marzo;2,14
Valencia/València;No residentes en España;Abril;2,14
Valencia/València;No residentes en España;Mayo;2,21
Valencia/València;No residentes en España;Junio;2,21
Valencia/València;No residentes en España;Julio;2,32
Valencia/València;No residentes en España;Agosto;2,59
Valencia/València;No residentes en España;Septiembre;2,46
Valencia/València;No residentes en España;Octubre;2,31
Valencia/València;No residentes en España;Noviembre;2,19
Valencia/València;No residentes en España;Diciembre;1,98
