Variable_original,Etiqueta_Stata,Estado,Variable_destino
b1000i,b1000i: ha estado los ultimos 12 meses: i. otros (incluyendo criptomonedas),Agrupada en variable padre,b1000x
b1000j,b1000j: ha estado los ultimos 12 meses: j. no ha estado ahorrando,Agrupada en variable padre,b1000x
b1103,b1103: en los ultimos 2 anios ha utilizado algun desconocido el numero de su cue,Conservada directamente,b1103
b1201,"b1201: en los ultimos 5 anios, ha tenido alguna desavenencia por productos...?",Conservada directamente,b1201
b1203a,b1203a: con que productos tuve desavenencias?: a. prestamos hipotecarios,Agrupada en variable padre,b1203x
b1203b,b1203b: con que productos tuve desavenencias?: b. prestamos personales,Agrupada en variable padre,b1203x
b1203c,b1203c: con que productos tuve desavenencias?: c. tarjetas y medios de pago,Agrupada en variable padre,b1203x
b1203d,"b1203d: con que productos tuve desavenencias?: d. preferentes, convertibles…",Agrupada en variable padre,b1203x
b1203e,b1203e: con que productos tuve desavenencias?: e. depositos y cuentas,Agrupada en variable padre,b1203x
b1203f,b1203f: con que productos tuve desavenencias?: f. seguros y fondos de pensiones,Agrupada en variable padre,b1203x
b1203g,b1203g: con que productos tuve desavenencias?: g. otros,Agrupada en variable padre,b1203x
b1204a,b1204a: que tipo de desavenencia sobre prestamos bancarios?: a. aplicacion de cl,Agrupada en variable padre,b1204x
b1204b,b1204b: que tipo de desavenencia sobre prestamos bancarios?: b. discrepancias so,Agrupada en variable padre,b1204x
b1204c,b1204c: que tipo de desavenencia sobre prestamos bancarios?: c. solicitud de red,Agrupada en variable padre,b1204x
b1204d,b1204d: que tipo de desavenencia sobre prestamos bancarios?: d. comisiones,Agrupada en variable padre,b1204x
b1204e,b1204e: que tipo de desavenencia sobre prestamos bancarios?: e. gastos de formal,Agrupada en variable padre,b1204x
b1204f,b1204f: que tipo de desavenencia sobre prestamos bancarios?: f. documentacion,Agrupada en variable padre,b1204x
b1204g,b1204g: que tipo de desavenencia sobre prestamos bancarios?: g. otros,Agrupada en variable padre,b1204x
b1205a,b1205a: que tipo de desavenencia sobre prestamos personales?: a. discrepancias,Agrupada en variable padre,b1205x
b1205b,b1205b: que tipo de desavenencia sobre prestamos personales?: b. ausencia de inf,Agrupada en variable padre,b1205x
b1205c,b1205c: que tipo de desavenencia sobre prestamos personales?: c. disconformidad,Agrupada en variable padre,b1205x
