ccaaf,a0000,a0100,a1030,a1100,a1500,a1900,b0100,b1201,n_canales_uso_banco,usa_banca_digital,pref_banca_digital,usa_pago_digital,n_productos_financieros,tiene_vehiculo_ahorro,tiene_exposicion_credito,tiene_seguro,ahorra_12m,n_vehiculos_ahorro,ahorro_formal,ahorro_informal,c0100,c0300,c0500,n_fuentes_ingreso,ingreso_por_activos,dependencia_ingresos_familiares,d0300,d0400,d0500,d0600,score_disciplina_financiera,score_preocupacion_financiera,score_planificacion_financiera,puntos_destino_consumo,puntos_destino_ahorro,puntos_destino_deuda,e0100,e0300,score_alfabetizacion_financiera,score_numeracy_financiera,score_comprension_riesgo,score_competencia_economica,score_conocimiento_productos,f1100,i0100,i0510,i1000,barrera_acceso_vivienda,expectativa_subida_precio_vivienda,n_dificultades_compra_vivienda,j0100,j0110,j0200,j0400,j1000,j1201,j1203,j1300,financiacion_ahorros_activos,financiacion_credito_informal,financiacion_credito_formal,financiacion_estres_pago,restriccion_acceso_credito,score_fragilidad_financiera
País Vasco,Mujer,España,Viudo,b. Educación primaria Incluye sabe leer y escribir pero no tiene título,e. Jubilado o jubilación anticipada,No,Sí,Sí,2,0,0,0,1,0,0,1,1,2,0,1,No ha lugar (no aplica filtro),No ha lugar (no aplica filtro),4 (BIEN),2,1,0,2.000 euros hoy,2.000 euros hoy,No ha lugar (no aplica filtro),50,3.75,3.0,2.6,5.0,3.0,0.0,2- Bastante bajos,No sabe,2,2,3,2,1,No ha lugar (no aplica filtro),a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No ha lugar (no aplica filtro),Sí,0,0.0,0,No,No,No,g. Un año o más,No,No,No,c. Entre 15.001 y 27.000 euros,0,0,0,0,0,0
"Balears, Illes",Hombre,España,Casado,d. Segunda etapa de Educación Secundaria y similar,a. Trabaja por cuenta propia,Sí,Sí,No,4,1,0,1,4,0,1,1,1,1,0,1,3 (REGULAR),67,No ha lugar (no aplica filtro),3,1,0,2.200 euros dentro de un año,No ha lugar (no aplica filtro),2.100 euros dentro de un año,40,3.75,2.6,2.6,10.0,0.0,0.0,1- Muy bajos,100.0,1,1,2,1,1,Titular muestral,b. Propiedad por herencia o regalo (mayoritariamente),No ha lugar (no aplica filtro),Sí,0,0.0,0,No,No,No,g. Un año o más,No,No,No,c. Entre 15.001 y 27.000 euros,0,0,0,0,0,0
Castilla - La Mancha,Mujer,España,Divorciado,"g. Diplomaturas universitarias, grados universitarios de 240 créditos y similares",b. Trabaja por cuenta ajena,No,Sí,No,3,1,1,1,0,0,0,0,0,0,0,0,3 (REGULAR),65,No ha lugar (no aplica filtro),1,0,0,2.000 euros hoy,3.000 euros dentro de un año,No ha lugar (no aplica filtro),100,3.0,2.2,1.8,10.0,0.0,0.0,2- Bastante bajos,170.0,1,1,2,2,1,Titular muestral,b. Propiedad por herencia o regalo (mayoritariamente),No ha lugar (no aplica filtro),No,0,0.0,0,No,No,No,g. Un año o más,No,No,No,b. Entre 9.501 y 15.000 euros,0,0,0,0,0,0
Galicia,Hombre,Otro país,Casado,c. Primera etapa de Educación Secundaria y similar,b. Trabaja por cuenta ajena,No,Sí,No,4,1,1,1,3,1,1,1,1,1,0,1,4 (BIEN),No espera jubilarse/ Nunca/ Trabajará mientras pueda,No ha lugar (no aplica filtro),2,0,0,2.000 euros hoy,3.000 euros dentro de un año,No ha lugar (no aplica filtro),0,4.25,3.8,3.8,0.0,0.0,10.0,3- Medios,No sabe,2,2,1,3,2,Titular muestral,"c. Alquiler, o alquiler con opción a compra",No ha lugar (no aplica filtro),No,0,0.0,0,Sí,No,No,"e. Por lo menos seis meses, pero menos de nueve meses",No,No,No,c. Entre 15.001 y 27.000 euros,0,0,0,0,0,0
Cataluña,Hombre,España,Soltero,"h. Grados universitarios de más de 240 créditos, licenciaturas, másteres y similares",b. Trabaja por cuenta ajena,No,Sí,No,5,1,1,1,3,0,1,1,1,1,1,0,4 (BIEN),70,No ha lugar (no aplica filtro),4,0,1,2.200 euros dentro de un año,No ha lugar (no aplica filtro),2.100 euros dentro de un año,30,4.25,3.0,3.8,6.0,3.0,0.0,2- Bastante bajos,5.0,1,3,2,2,2,Pareja,"c. Alquiler, o alquiler con opción a compra",No ha lugar (no aplica filtro),No,1,10.0,0,Sí,Sí,No,g. Un año o más,No,No,No,d. Entre 27.001 y 47.000 euros,0,0,0,0,0,0
Galicia,Mujer,España,Casado,d. Segunda etapa de Educación Secundaria y similar,b. Trabaja por cuenta ajena,No,Sí,No,1,0,0,1,3,1,1,0,1,2,1,1,3 (REGULAR),65,No ha lugar (no aplica filtro),2,1,0,2.200 euros dentro de un año,No ha lugar (no aplica filtro),2.100 euros dentro de un año,20,4.0,3.4,3.6,2.0,5.0,1.0,2- Bastante bajos,5.0,1,3,2,2,2,Titular muestral,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No ha lugar (no aplica filtro),No,0,5.0,0,Sí,Sí,No,No sabe,No,No,No,No sabe,0,0,0,0,0,0
"Madrid, Comunidad de",Hombre,España,Casado,"h. Grados universitarios de más de 240 créditos, licenciaturas, másteres y similares",e. Jubilado o jubilación anticipada,Sí,Sí,Sí,3,1,1,1,5,1,1,1,1,1,1,0,No ha lugar (no aplica filtro),No ha lugar (no aplica filtro),4 (BIEN),1,0,0,2.200 euros dentro de un año,No ha lugar (no aplica filtro),2.000 euros hoy,5,4.75,3.2,4.0,3.0,7.0,0.0,3- Medios,5.0,3,3,3,3,2,Titular muestral,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No ha lugar (no aplica filtro),Sí,0,10.0,0,Sí,No,No,g. Un año o más,No,No,No,e. Entre 47.001 y 71.000 euros,0,0,0,0,0,0
País Vasco,Mujer,España,Casado,f. Enseñanzas de Formación Profesional de Grado Superior y equivalentes,b. Trabaja por cuenta ajena,No,Sí,No,2,1,1,1,3,1,1,0,0,0,0,0,3 (REGULAR),63,No ha lugar (no aplica filtro),3,1,0,2.000 euros hoy,3.000 euros dentro de un año,No ha lugar (no aplica filtro),50,2.75,3.2,2.6,5.0,0.0,5.0,2- Bastante bajos,No sabe,1,2,2,3,2,Titular muestral,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No,No,0,0.0,0,Sí,No,No,g. Un año o más,No,No,No,e. Entre 47.001 y 71.000 euros,0,0,0,0,0,0
Comunidad Valenciana,Mujer,Otro país,Casado,d. Segunda etapa de Educación Secundaria y similar,b. Trabaja por cuenta ajena,No,Sí,No,4,1,0,1,1,0,1,0,1,2,1,1,3 (REGULAR),65,No ha lugar (no aplica filtro),2,0,1,2.000 euros hoy,3.000 euros dentro de un año,No ha lugar (no aplica filtro),100,3.0,2.0,3.8,10.0,0.0,0.0,3- Medios,20.0,1,3,2,1,1,Titular muestral,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No ha lugar (no aplica filtro),Sí,0,10.0,0,No,No,No,g. Un año o más,No,Sí,No,c. Entre 15.001 y 27.000 euros,0,0,0,0,0,1
"Murcia, Región de",Mujer,España,Soltero,"g. Diplomaturas universitarias, grados universitarios de 240 créditos y similares","h. Estudiante, escolar o en formación",No,Sí,No,4,1,0,1,0,0,0,0,1,2,1,1,4 (BIEN),66,No ha lugar (no aplica filtro),1,0,0,2.000 euros hoy,2.000 euros hoy,No ha lugar (no aplica filtro),45,4.25,2.5,3.4,7.0,2.0,1.0,2- Bastante bajos,5.0,1,3,2,3,1,Madre,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No ha lugar (no aplica filtro),Sí,0,3.0,0,No,No,No,g. Un año o más,No,No,No,c. Entre 15.001 y 27.000 euros,0,0,0,0,0,0
