periodo,pais_origen,viajeros,pernoctaciones
2024M01,UE28 sin España,"1,792,026","8,222,153"
2024M01,UE27_2020 sin España,"1,363,225","5,768,507"
2024M01,Resto del Mundo,"210,846","470,275"
2024M01,América (sin EEUU),"263,204","651,403"
2024M01,Estados Unidos de América,"153,304","388,082"
2024M01,Japón,"24,668","48,896"
2024M01,Asia (sin Japón),,
2023M12,Alemania,"265,222","1,634,262"
2023M12,Austria,"20,273","86,582"
2023M12,Bélgica,"67,538","325,506"
2023M12,Dinamarca,"32,715","177,892"
2023M12,Finlandia,"32,59","224,511"
2023M12,Francia,"284,341","703,63"
2023M12,Grecia,"13,188","38,73"
2023M12,Irlanda,"57,019","268,118"
2023M12,Italia,"192,995","533,064"
2023M12,Luxemburgo,"5,196","27,113"
2023M12,Países Bajos,"96,042","398,031"
2023M12,Polonia,"56,322","236,583"
2023M12,Portugal,"137,95","253,428"
2023M12,República Checa,"13,418","49,777"
2023M12,Suecia,"55,338","323,683"
2023M12,Resto de la U.E.,"90,674","283,932"
2023M12,Noruega,"30,854","193,009"
2023M12,Reino Unido,"448,005","2,475,906"
2023M12,Rusia,,
2023M12,Suiza,"43,965","153,965"
2023M12,Otros Países Europeos,"103,69","307,868"
2023M12,África,"56,184","144,946"
2023M12,UE28 sin España,"1,868,826","8,040,748"
2023M12,UE27_2020 sin España,"1,420,821","5,564,842"
2023M12,Resto del Mundo,"207,736","460,683"
2023M12,América (sin EEUU),"251,354","584,694"
2023M12,Estados Unidos de América,"191,388","472,389"
2023M12,Japón,"26,533","54,371"
2023M12,Asia (sin Japón),,
2023M11,Alemania,"334,775","2,004,674"
2023M11,Austria,"27,479","121,654"
2023M11,Bélgica,"78,287","357,727"
2023M11,Dinamarca,"42,067","213,538"
2023M11,Finlandia,"43,287","274,594"
2023M11,Francia,"279,934","741,958"
2023M11,Grecia,"14,218","38,322"
2023M11,Irlanda,"70,387","334,179"
2023M11,Italia,"192,385","543,701"
2023M11,Luxemburgo,"5,262","25,42"
2023M11,Países Bajos,"115,945","453,594"
2023M11,Polonia,"70,702","271,071"
2023M11,Portugal,"98,114","193,958"
2023M11,República Checa,"20,033","75,003"
2023M11,Suecia,"74,144","426,545"
2023M11,Resto de la U.E.,"107,369","334,242"
2023M11,Noruega,"42,618","278,288"
2023M11,Reino Unido,"520,064","2,749,562"
2023M11,Rusia,,
2023M11,Suiza,"51,337","197,897"
2023M11,Otros Países Europeos,"110,85","324,109"
2023M11,África,"53,364","140,759"
2023M11,UE28 sin España,"2,094,452","9,159,741"
2023M11,UE27_2020 sin España,"1,574,388","6,410,179"
2023M11,Resto del Mundo,"222,631","469,708"
2023M11,América (sin EEUU),"290,492","689,288"
2023M11,Estados Unidos de América,"250,259","628,841"
2023M11,Japón,"28,743","58,834"
2023M11,Asia (sin Japón),,
2023M10,Alemania,"800,108","4,543,616"
2023M10,Austria,"56,793","212,34"
2023M10,Bélgica,"135,392","582,917"
2023M10,Dinamarca,"66,548","323,42"
2023M10,Finlandia,"43,654","219,136"
2023M10,Francia,"621,677","1,847,246"
2023M10,Grecia,"14,706","41,673"
2023M10,Irlanda,"146,25","667,551"
2023M10,Italia,"265,751","714,811"
2023M10,Luxemburgo,"9,116","41,327"
2023M10,Países Bajos,"232,544","1,013,787"
2023M10,Polonia,"112,801","498,379"
2023M10,Portugal,"146,895","344,079"
2023M10,República Checa,"35,884","148,694"
2023M10,Suecia,"91,634","378,622"
2023M10,Resto de la U.E.,"158,421","535,331"
2023M10,Noruega,"62,029","323,588"
2023M10,Reino Unido,"1,077,224","6,003,348"
2023M10,Rusia,,
2023M10,Suiza,"128,628","556,985"
2023M10,Otros Países Europeos,"146,458","481,729"
2023M10,África,"69,68","188,778"
2023M10,UE28 sin España,"4,015,396","18,116,276"
2023M10,UE27_2020 sin España,"2,938,171","12,112,928"
2023M10,Resto del Mundo,"335,662","721,921"
2023M10,América (sin EEUU),"469,114","1,088,466"
2023M10,Estados Unidos de América,"448,05","1,044,392"
2023M10,Japón,"34,799","68,24"
2023M10,Asia (sin Japón),,
2023M09,Alemania,"935,137","5,054,810"
2023M09,Austria,"62,045","260,577"
2023M09,Bélgica,"164,049","727,586"
2023M09,Dinamarca,"58,557","234,939"
2023M09,Finlandia,"25,067","94,416"
2023M09,Francia,"625,64","1,963,100"
2023M09,Grecia,"13,487","37,638"
2023M09,Irlanda,"176,614","797,076"
2023M09,Italia,"315,872","1,013,267"
2023M09,Luxemburgo,"11,309","63,599"
2023M09,Países Bajos,"276,962","1,266,504"
2023M09,Polonia,"143,55","718,88"
2023M09,Portugal,"227,742","777,119"
2023M09,República Checa,"48,62","234,488"
2023M09,Suecia,"77,154","315,575"
2023M09,Resto de la U.E.,"170,612","654,456"
2023M09,Noruega,"55,502","219,403"
2023M09,Reino Unido,"1,315,229","7,237,750"
2023M09,Rusia,,
2023M09,Suiza,"127,504","498,617"
2023M09,Otros Países Europeos,"166,424","583,423"
2023M09,África,"75,96","187,205"
2023M09,UE28 sin España,"4,647,646","21,451,781"
2023M09,UE27_2020 sin España,"3,332,417","14,214,031"
2023M09,Resto del Mundo,"349,814","822,039"
2023M09,América (sin EEUU),"502,969","1,151,327"
2023M09,Estados Unidos de América,"467,826","1,075,129"
2023M09,Japón,"35,613","74,408"
2023M09,Asia (sin Japón),,
2023M08,Alemania,"822,266","4,553,050"
2023M08,Austria,"63,084","299,893"
2023M08,Bélgica,"173,132","724,555"
2023M08,Dinamarca,"50,16","261,526"
2023M08,Finlandia,"14,015","55,414"
2023M08,Francia,"1,013,707","3,530,465"
2023M08,Grecia,"17,091","50,242"
2023M08,Irlanda,"152,649","781,883"
2023M08,Italia,"535,344","1,903,428"
2023M08,Luxemburgo,"13,73","69,858"
2023M08,Países Bajos,"331,299","1,620,348"
2023M08,Polonia,"131,818","704,398"
2023M08,Portugal,"357,426","1,227,651"
2023M08,República Checa,"45,589","233,771"
2023M08,Suecia,"62,714","289,605"
2023M08,Resto de la U.E.,"187,364","755,455"
2023M08,Noruega,"37,768","196,179"
2023M08,Reino Unido,"1,285,936","7,488,102"
2023M08,Rusia,,
2023M08,Suiza,"98,882","466,034"
2023M08,Otros Países Europeos,"177,389","678,895"
2023M08,África,"116,747","321,296"
2023M08,UE28 sin España,"5,257,323","24,549,644"
2023M08,UE27_2020 sin España,"3,971,387","17,061,542"
2023M08,Resto del Mundo,"319,399","861,03"
2023M08,América (sin EEUU),"455,1","1,085,803"
2023M08,Estados Unidos de América,"338,032","814,906"
2023M08,Japón,"26,36","57,167"
2023M08,Asia (sin Japón),,
2023M07,Alemania,"804,595","4,461,214"
2023M07,Austria,"64,943","289,721"
2023M07,Bélgica,"227,444","981,631"
2023M07,Dinamarca,"83,365","411,921"
2023M07,Finlandia,"23,44","87,327"
2023M07,Francia,"737,817","2,378,675"
2023M07,Grecia,"14,547","44,515"
2023M07,Irlanda,"154,419","843,58"
2023M07,Italia,"352,978","1,240,864"
2023M07,Luxemburgo,"10,281","46,482"
2023M07,Países Bajos,"309,905","1,329,781"
2023M07,Polonia,"146,803","782,672"
2023M07,Portugal,"238,855","775,471"
2023M07,República Checa,"52,972","285,777"
2023M07,Suecia,"85,223","366,8"
2023M07,Resto de la U.E.,"188,44","761,736"
2023M07,Noruega,"72,823","389,425"
2023M07,Reino Unido,"1,297,386","7,244,055"
2023M07,Rusia,,
2023M07,Suiza,"148,103","677,205"
2023M07,Otros Países Europeos,"196,146","771,119"
2023M07,África,"99,238","251,678"
2023M07,UE28 sin España,"4,793,411","22,332,223"
2023M07,UE27_2020 sin España,"3,496,025","15,088,168"
2023M07,Resto del Mundo,"344,249","954,839"
2023M07,América (sin EEUU),"483,156","1,153,428"
2023M07,Estados Unidos de América,"444,443","1,101,227"
2023M07,Japón,"22,657","48,075"
2023M07,Asia (sin Japón),,
2023M06,Alemania,"858,136","4,451,013"
2023M06,Austria,"57,655","230,713"
2023M06,Bélgica,"114,5","522,825"
2023M06,Dinamarca,"44,028","195,181"
2023M06,Finlandia,"22,98","84,245"
2023M06,Francia,"554,215","1,665,248"
2023M06,Grecia,"14,364","38,133"
2023M06,Irlanda,"156,683","805,595"
2023M06,Italia,"307,839","966,271"
2023M06,Luxemburgo,"11,154","43,178"
2023M06,Países Bajos,"247,274","1,055,908"
2023M06,Polonia,"130,829","637,338"
2023M06,Portugal,"198,834","570,429"
2023M06,República Checa,"43,253","210,186"
2023M06,Suecia,"71,439","299,69"
2023M06,Resto de la U.E.,"168,686","621,157"
2023M06,Noruega,"49,107","237,382"
2023M06,Reino Unido,"1,313,714","7,098,445"
2023M06,Rusia,,
2023M06,Suiza,"101,881","403,316"
2023M06,Otros Países Europeos,"172,649","619,57"
2023M06,África,"66,615","152,289"
2023M06,UE28 sin España,"4,315,582","19,495,555"
2023M06,UE27_2020 sin España,"3,001,868","12,397,110"
2023M06,Resto del Mundo,"335,588","779,938"
2023M06,América (sin EEUU),"445,741","1,020,623"
2023M06,Estados Unidos de América,"501,977","1,155,467"
2023M06,Japón,"26,099","50,878"
2023M06,Asia (sin Japón),,
2023M05,Alemania,"837,369","4,113,960"
2023M05,Austria,"68,696","260,933"
2023M05,Bélgica,"150,287","674,756"
2023M05,Dinamarca,"48,29","206,37"
2023M05,Finlandia,"23,461","85,167"
2023M05,Francia,"770,117","2,214,128"
2023M05,Grecia,"12,464","35,98"
2023M05,Irlanda,"152,793","681,894"
2023M05,Italia,"281,024","773,655"
2023M05,Luxemburgo,"10,068","41,755"
2023M05,Países Bajos,"246,257","1,041,196"
2023M05,Polonia,"115,088","506,833"
2023M05,Portugal,"137,771","326,122"
2023M05,República Checa,"41,073","155,442"
2023M05,Suecia,"70,64","300,94"
2023M05,Resto de la U.E.,"153,557","498,61"
2023M05,Noruega,"46,367","197,613"
2023M05,Reino Unido,"1,214,064","6,286,436"
2023M05,Rusia,,
2023M05,Suiza,"112,091","418,745"
2023M05,Otros Países Europeos,"139,47","455,061"
2023M05,África,"64,725","152,833"
2023M05,UE28 sin España,"4,333,018","18,204,178"
2023M05,UE27_2020 sin España,"3,118,954","11,917,742"
2023M05,Resto del Mundo,"323,677","720,766"
2023M05,América (sin EEUU),"473,902","1,080,435"
2023M05,Estados Unidos de América,"455,864","1,027,692"
2023M05,Japón,"26,989","52,327"
2023M05,Asia (sin Japón),,
2023M04,Alemania,"640,754","3,143,902"
2023M04,Austria,"57,2","194,998"
2023M04,Bélgica,"119,211","475,32"
2023M04,Dinamarca,"54,007","250,101"
2023M04,Finlandia,"30,88","139,428"
2023M04,Francia,"595,525","1,737,664"
2023M04,Grecia,"17,258","51,925"
2023M04,Irlanda,"126,674","526,043"
2023M04,Italia,"268,582","739,851"
2023M04,Luxemburgo,"9,578","43,066"
2023M04,Países Bajos,"217,441","829,492"
2023M04,Polonia,"94,301","353,756"
2023M04,Portugal,"194,126","462,595"
2023M04,República Checa,"32,098","115,556"
2023M04,Suecia,"71,199","323,088"
2023M04,Resto de la U.E.,"152,254","478,929"
2023M04,Noruega,"49,732","237,343"
2023M04,Reino Unido,"786,934","3,816,795"
2023M04,Rusia,,
2023M04,Suiza,"108,981","377,899"
2023M04,Otros Países Europeos,"139,081","458,938"
2023M04,África,"44,908",110
2023M04,UE28 sin España,"3,468,023","13,682,510"
2023M04,UE27_2020 sin España,"2,681,089","9,865,714"
2023M04,Resto del Mundo,"264,705","615,635"
2023M04,América (sin EEUU),"366,005","859,247"
2023M04,Estados Unidos de América,"335,189","808,101"
2023M04,Japón,"21,464","46,06"
2023M04,Asia (sin Japón),,
2023M03,Alemania,"424,265","2,266,807"
2023M03,Austria,"29,806","112,131"
2023M03,Bélgica,"76,888","335,966"
2023M03,Dinamarca,"49,914","258,925"
2023M03,Finlandia,"37,257","196,226"
2023M03,Francia,"316,646","840,882"
2023M03,Grecia,"12,056","39,39"
2023M03,Irlanda,"70,198","309,428"
2023M03,Italia,"203,945","575,925"
2023M03,Luxemburgo,"5,282","26,364"
2023M03,Países Bajos,"130,15","502,268"
2023M03,Polonia,"62,908","254,447"
2023M03,Portugal,"99,783","208,726"
2023M03,República Checa,"20,177","78,385"
2023M03,Suecia,"71,971","371,908"
2023M03,Resto de la U.E.,"111,632","338,639"
2023M03,Noruega,"48,443","296,387"
2023M03,Reino Unido,"592,671","2,958,064"
2023M03,Rusia,,
2023M03,Suiza,"55,193","189,149"
2023M03,Otros Países Europeos,"113,904","367,971"
2023M03,África,"54,366","129,576"
2023M03,UE28 sin España,"2,315,549","9,674,481"
2023M03,UE27_2020 sin España,"1,722,878","6,716,417"
2023M03,Resto del Mundo,"199,347","473,051"
2023M03,América (sin EEUU),"263,751","628,363"
2023M03,Estados Unidos de América,"265,869","666,163"
2023M03,Japón,"21,131","43,846"
2023M03,Asia (sin Japón),,
2023M02,Alemania,"278,415","1,653,987"
2023M02,Austria,"24,072","109,134"
2023M02,Bélgica,"66,352","311,754"
2023M02,Dinamarca,"42,814","243,113"
2023M02,Finlandia,"32,467","179,528"
2023M02,Francia,"295,528","830,127"
2023M02,Grecia,"10,237","35,046"
2023M02,Irlanda,"57,047","270,757"
2023M02,Italia,"157,089","481,94"
