,periodo,provincia,viajeros_total,viajeros_esp,viajeros_ext,pernoc_total,pernoc_esp,pernoc_ext,estancia_media_total,estancia_media_esp,estancia_media_ext,year,month,iso_date,estancia_media_esp,estancia_media_ext
75,2024M02,46 Valencia/València,256943,147544,109399,532714,262125,270590,2.073276952,1.776588679,2.473422975,2024,2,2/1/2024,-1.776588679,2.473422975
76,2024M02,28 Madrid,972927,543763,429164,1920576,941378,979198,1.974018606,1.731228495,2.281640585,2024,2,2/1/2024,-1.731228495,2.281640585
77,2024M01,29 Málaga,308291,128732,179559,899576,235670,663907,2.91794441,1.830702545,3.697430928,2024,1,1/1/2024,-1.830702545,3.697430928
78,2024M01,41 Sevilla,265030,132023,133008,524637,225917,298720,1.979538165,1.711194262,2.245879947,2024,1,1/1/2024,-1.711194262,2.245879947
79,2024M01,"07 Balears, Illes",69271,30560,38711,226867,61386,165481,3.275064601,2.008704188,4.274779778,2024,1,1/1/2024,-2.008704188,4.274779778
80,2024M01,08 Barcelona,744854,231739,513115,1776582,435764,1340817,2.385141249,1.880408563,2.613092582,2024,1,1/1/2024,-1.880408563,2.613092582
81,2024M01,17 Girona,125212,74352,50860,212116,120857,91259,1.694054883,1.625470734,1.794317735,2024,1,1/1/2024,-1.625470734,1.794317735
82,2024M01,46 Valencia/València,223867,126627,97240,452146,221740,230406,2.01970813,1.751127327,2.369457014,2024,1,1/1/2024,-1.751127327,2.369457014
83,2024M01,28 Madrid,895214,490157,405057,1814976,879889,935087,2.027421376,1.795116667,2.308531886,2024,1,1/1/2024,-1.795116667,2.308531886
84,2023M12,29 Málaga,325375,153016,172359,960249,320961,639288,2.951207069,2.097564961,3.709049136,2023,12,12/1/2023,-2.097564961,3.709049136
85,2023M12,41 Sevilla,296784,161030,135754,597988,300382,297606,2.014892986,1.865379122,2.192244796,2023,12,12/1/2023,-1.865379122,2.192244796
86,2023M12,"07 Balears, Illes",87937,34963,52974,270138,72231,197907,3.071949236,2.065926837,3.735927059,2023,12,12/1/2023,-2.065926837,3.735927059
87,2023M12,08 Barcelona,807856,260712,547144,1857414,472811,1384603,2.29918946,1.813537543,2.530600719,2023,12,12/1/2023,-1.813537543,2.530600719
88,2023M12,17 Girona,160939,97216,63723,308760,176705,132056,1.918490857,1.817653473,2.072344365,2023,12,12/1/2023,-1.817653473,2.072344365
89,2023M12,46 Valencia/València,242739,141843,100896,489496,252626,236870,2.016552758,1.7810255,2.347664922,2023,12,12/1/2023,-1.7810255,2.347664922
