,provincia_simp,viajeros_esp,viajeros_andalucia,viajeros_aragon,viajeros_asturias,viajeros_balears,viajeros_canarias,viajeros_cantabria,viajeros_castilla_leon,viajeros_castilla_mancha,viajeros_cataluña,viajeros_valencia,viajeros_extremadura,viajeros_galicia,viajeros_madrid,viajeros_murcia,viajeros_navarra,viajeros_pais_vasco,viajeros_rioja,viajeros_ceuta,viajeros_melilla
284,Girona,350951,1.31,1.41,0.26,0.22,0.13,0.26,0.79,0.97,79.93,3.41,0.21,0.93,5.13,0.23,0.97,3.43,0.39,0.01,0.0
285,46 Valencia/València,218372,9.5,4.38,0.78,0.99,0.5,0.52,3.8,7.02,11.9,17.41,0.78,1.13,33.86,2.6,1.44,2.66,0.59,0.06,0.09
286,Madrid,363898,12.48,2.17,3.13,1.7,1.88,2.09,4.99,4.02,11.26,9.18,2.41,4.49,27.88,3.31,1.43,6.52,0.75,0.18,0.11
287,Málaga,381978,59.48,0.79,0.77,0.49,0.57,0.54,2.59,4.24,2.78,2.15,4.25,0.97,14.94,1.24,0.5,1.68,0.39,0.78,0.84
288,Sevilla,122330,48.69,1.49,1.57,0.89,1.37,0.66,3.02,2.3,6.65,4.42,4.52,2.46,16.19,1.38,0.79,2.71,0.31,0.53,0.06
289,Illes Balears,217216,8.28,1.57,2.23,26.59,0.93,1.62,2.04,1.27,16.2,7.13,1.22,2.76,19.79,1.16,0.98,4.14,0.49,0.08,1.51
290,Barcelona,256228,6.44,2.75,0.67,1.49,1.05,0.49,1.92,1.7,55.06,5.4,0.62,2.09,14.18,0.87,1.19,3.53,0.45,0.04,0.07
291,Girona,268879,1.38,1.43,0.36,0.26,0.14,1.58,0.74,0.49,81.24,1.95,0.16,0.83,5.24,0.24,0.94,2.76,0.24,0.01,0.01
292,46 Valencia/València,199856,7.16,3.78,0.76,1.06,0.54,0.51,4.1,7.71,9.09,21.27,0.89,1.48,35.03,2.54,1.14,2.41,0.4,0.07,0.05
293,Madrid,376416,12.41,2.19,3.23,1.55,2.3,1.85,5.18,4.24,10.26,7.84,2.72,5.02,29.78,2.87,1.56,5.73,0.88,0.24,0.15
294,Málaga,252019,63.02,0.64,0.74,0.69,0.72,0.59,2.34,2.99,3.01,2.65,2.09,1.26,13.59,1.12,0.42,2.14,0.3,0.85,0.83
295,Sevilla,113507,44.54,1.63,1.44,0.92,1.51,0.64,3.42,2.88,8.16,4.95,3.88,2.02,18.08,1.73,0.85,2.1,0.42,0.59,0.24
296,Illes Balears,172410,6.77,1.33,1.66,33.91,0.99,3.38,1.72,1.36,14.82,6.71,0.87,2.09,15.12,3.55,0.71,4.15,0.6,0.16,0.12
297,Barcelona,223044,6.28,2.63,0.75,1.52,1.11,0.3,2.16,1.67,54.98,6.35,0.81,2.7,13.19,0.74,0.82,3.53,0.35,0.05,0.06
298,Girona,214970,1.18,0.7,0.16,0.27,0.17,0.14,0.43,0.87,87.32,1.91,0.17,0.7,3.43,0.15,0.32,1.97,0.11,0.01,0.0
299,46 Valencia/València,164909,8.5,3.62,0.65,1.22,0.62,0.54,3.64,6.91,9.09,22.07,0.6,1.18,34.97,2.84,1.06,1.71,0.68,0.06,0.02
300,Madrid,371203,12.04,2.67,2.71,1.34,2.0,1.45,5.7,4.06,11.53,8.03,2.47,4.64,30.99,2.42,1.68,5.02,0.9,0.22,0.12
301,Málaga,124090,66.05,0.47,0.56,0.66,0.62,0.38,1.43,3.48,3.27,2.22,1.97,0.97,12.43,1.48,0.37,1.44,0.29,1.05,0.88
302,Sevilla,93758,53.98,0.94,0.87,0.57,0.85,0.35,3.21,2.92,5.7,4.14,4.91,1.24,16.47,1.24,0.44,1.28,0.19,0.53,0.17
303,Illes Balears,59370,2.89,0.41,0.64,44.14,1.27,0.61,0.9,1.08,18.64,4.5,0.29,3.04,16.7,0.84,1.58,2.06,0.31,0.04,0.06
304,Barcelona,170728,7.36,2.06,0.51,1.52,0.97,0.44,1.39,1.18,58.51,6.41,0.63,2.29,11.96,0.83,0.71,2.77,0.35,0.12,0.01
305,Girona,121192,0.7,0.65,0.15,0.8,0.24,0.07,0.36,0.35,91.18,1.16,0.11,0.56,2.85,0.19,0.22,0.33,0.05,0.01,0.02
306,46 Valencia/València,119752,7.16,2.92,0.72,1.33,0.59,0.62,2.75,7.44,12.12,31.91,0.53,1.32,25.21,2.73,0.57,1.7,0.34,0.04,0.01
307,Madrid,316121,11.14,2.26,2.33,1.59,1.85,1.28,5.01,4.08,11.47,7.67,2.18,4.47,33.8,2.49,1.28,5.92,0.8,0.22,0.15
308,Málaga,54893,66.95,0.73,0.57,0.77,0.55,0.44,1.38,1.61,3.91,2.96,1.37,0.86,12.3,1.22,0.37,1.23,0.2,0.89,1.69
309,Sevilla,65594,66.53,0.64,0.39,0.47,0.84,0.18,1.67,1.73,4.56,3.89,2.57,0.86,12.3,1.19,0.35,1.26,0.15,0.38,0.03
310,Illes Balears,26370,5.31,0.46,0.59,50.26,0.82,0.25,1.05,0.89,12.31,4.74,0.13,1.07,20.5,0.46,0.18,0.77,0.22,0.0,0.0
311,Barcelona,121877,6.13,1.78,0.41,1.18,0.79,0.39,1.1,1.16,64.82,4.85,0.55,2.02,10.59,0.71,0.59,2.48,0.28,0.1,0.06
312,Girona,52793,1.58,1.06,0.2,0.44,0.32,0.11,0.53,0.53,87.17,1.84,0.31,0.64,4.07,0.21,0.22,0.68,0.07,0.01,0.0
313,46 Valencia/València,74992,5.5,1.36,0.46,1.57,0.54,0.6,2.31,2.26,10.36,53.13,0.56,1.33,15.15,2.35,0.46,1.76,0.27,0.03,0.0
314,Madrid,232440,9.33,1.63,1.89,1.29,1.52,1.07,4.27,3.34,9.22,6.18,2.08,4.31,46.94,1.69,0.99,3.43,0.58,0.15,0.09
315,Málaga,54084,64.1,0.78,0.85,0.43,0.9,0.42,1.09,1.49,4.85,3.08,1.08,1.1,11.71,1.17,0.18,1.33,0.26,1.71,3.46
316,Sevilla,60181,69.92,0.88,0.45,0.48,0.75,0.21,1.78,1.65,3.46,3.74,2.24,0.93,11.11,1.11,0.18,0.5,0.14,0.35,0.12
317,Illes Balears,15381,4.17,0.47,0.11,48.32,0.28,0.2,0.36,0.47,14.38,5.85,0.77,0.89,20.87,0.98,0.13,1.23,0.04,0.03,0.45
318,Barcelona,128268,4.83,1.76,0.39,1.39,0.6,1.07,1.23,1.1,65.62,5.1,0.61,1.43,10.34,0.8,0.48,2.9,0.3,0.03,0.02
319,Girona,54216,1.02,0.51,0.07,0.42,0.2,0.11,0.43,0.39,91.75,1.47,0.1,0.47,2.37,0.13,0.14,0.3,0.1,0.02,0.0
320,46 Valencia/València,64460,9.27,2.12,0.62,1.06,0.85,0.29,2.08,3.28,10.57,46.78,0.59,1.09,15.69,2.88,0.82,1.67,0.25,0.03,0.07
