,provincia_simp,viajeros_esp,viajeros_andalucia,viajeros_aragon,viajeros_asturias,viajeros_balears,viajeros_canarias,viajeros_cantabria,viajeros_castilla_leon,viajeros_castilla_mancha,viajeros_cataluña,viajeros_valencia,viajeros_extremadura,viajeros_galicia,viajeros_madrid,viajeros_murcia,viajeros_navarra,viajeros_pais_vasco,viajeros_rioja,viajeros_ceuta,viajeros_melilla
526,Sevilla,118627,41.33,1.41,1.61,1.01,2.55,0.86,2.85,2.64,8.28,4.96,3.61,2.46,20.89,1.34,0.52,2.59,0.54,0.37,0.17
527,Illes Balears,151240,6.52,1.65,2.28,28.66,1.12,1.05,2.05,1.06,16.99,7.04,0.61,2.32,21.98,1.03,0.96,3.54,0.49,0.08,0.58
528,Barcelona,267880,6.81,2.59,1.03,2.0,1.95,0.88,2.43,1.51,43.57,7.16,0.71,2.44,18.37,1.03,1.04,5.67,0.49,0.12,0.19
529,Girona,183844,1.55,1.39,0.65,0.38,0.15,0.37,0.59,0.38,85.06,2.13,0.46,0.66,3.68,0.26,0.51,1.56,0.19,0.03,0.0
530,46 Valencia/València,166285,9.99,3.13,0.95,1.77,0.89,0.81,4.81,6.62,11.0,21.99,1.33,1.94,25.62,3.35,0.67,4.38,0.61,0.07,0.08
531,Madrid,554765,15.7,2.5,3.58,2.36,3.17,2.06,5.15,3.63,11.21,8.79,2.85,5.27,21.44,3.14,1.78,5.61,1.1,0.33,0.33
532,Málaga,284784,53.42,0.84,0.86,0.64,0.82,0.62,2.41,3.32,4.98,2.79,4.04,1.58,16.96,1.91,0.51,2.62,0.35,0.83,0.49
533,Sevilla,115225,43.29,1.13,1.68,0.65,2.04,0.78,2.75,2.1,10.0,4.75,3.64,2.08,17.99,1.43,0.86,4.22,0.26,0.29,0.06
534,Illes Balears,188843,8.41,2.09,1.98,20.74,1.48,1.15,2.22,1.51,19.02,7.95,0.9,2.98,22.12,1.27,0.83,4.21,0.48,0.16,0.51
535,Barcelona,258625,6.62,2.65,1.07,1.56,2.03,0.71,1.95,1.59,49.57,6.56,0.88,1.99,13.48,1.01,1.22,6.19,0.58,0.16,0.18
536,Girona,269553,2.14,1.4,0.38,0.4,0.25,0.5,0.93,0.61,79.36,3.52,0.34,0.53,5.11,0.45,0.58,3.24,0.24,0.02,0.01
537,46 Valencia/València,190038,8.16,3.84,0.77,1.1,0.79,0.46,4.5,8.01,11.06,18.44,1.2,1.22,33.05,2.38,0.97,3.24,0.52,0.22,0.06
538,Madrid,481301,16.19,2.44,3.05,2.23,2.81,1.77,4.56,3.38,11.64,10.68,2.71,5.06,20.73,3.69,1.67,5.98,0.97,0.29,0.14
539,Málaga,238218,56.81,0.86,1.22,0.55,0.92,0.45,2.88,3.5,3.33,2.4,4.45,1.65,14.52,1.5,0.65,2.16,0.24,1.18,0.73
540,Sevilla,113274,44.0,1.53,2.36,0.65,2.81,0.55,2.85,2.03,7.67,4.15,3.69,2.3,19.17,1.45,0.72,2.98,0.51,0.46,0.14
541,Illes Balears,176438,7.98,1.39,1.55,25.94,0.72,1.0,1.89,1.54,17.49,7.98,2.95,1.98,19.47,1.31,0.99,4.2,0.46,0.45,0.7
542,Barcelona,304812,7.52,3.1,0.84,1.84,1.78,0.73,1.7,1.48,45.97,7.11,0.76,2.03,16.74,1.26,1.41,4.99,0.55,0.11,0.08
543,Girona,212065,2.54,1.45,0.35,0.32,0.42,0.4,0.69,0.45,81.33,1.73,0.18,1.41,4.9,0.26,0.92,2.28,0.25,0.03,0.07
544,46 Valencia/València,183869,8.08,3.49,1.21,0.96,0.71,0.54,5.02,7.95,9.37,18.96,1.21,1.45,32.8,2.74,1.24,3.52,0.61,0.06,0.07
545,Madrid,516910,15.13,2.63,3.74,2.28,3.25,2.0,5.72,3.45,11.15,8.89,2.65,5.01,21.26,3.3,1.97,5.86,1.11,0.29,0.29
546,Málaga,191045,55.59,1.03,1.27,0.82,1.53,0.69,3.04,3.23,4.11,2.95,2.37,1.67,15.45,1.28,0.7,2.38,0.17,1.03,0.66
547,Sevilla,136459,45.45,1.81,1.81,0.57,1.83,0.74,3.17,2.23,7.49,3.73,3.42,2.51,20.14,1.04,0.59,2.36,0.32,0.63,0.14
548,Illes Balears,172865,6.95,1.87,1.73,25.49,0.63,1.09,1.28,1.01,16.03,14.58,0.4,1.7,17.78,1.2,0.85,6.48,0.22,0.23,0.48
549,Barcelona,305445,7.35,4.56,0.95,1.98,2.13,0.77,1.96,1.26,43.67,7.11,0.58,2.34,17.26,1.13,1.34,4.98,0.47,0.07,0.09
550,Girona,189588,1.9,1.05,0.18,0.41,0.23,0.32,0.74,0.37,80.52,3.08,0.21,1.27,6.17,0.23,0.54,2.59,0.16,0.02,0.04
551,46 Valencia/València,191110,8.11,6.01,0.75,1.2,0.76,0.63,4.53,6.43,10.51,21.87,1.32,1.61,28.97,3.18,0.95,2.14,0.89,0.07,0.07
552,Madrid,575242,16.36,2.58,3.33,1.98,3.41,1.93,5.2,3.35,11.76,8.99,2.57,4.73,21.51,3.6,1.81,5.47,0.97,0.32,0.14
553,Málaga,157499,59.35,1.16,0.74,1.25,1.08,0.67,1.59,2.46,4.74,3.64,1.38,1.37,14.21,1.44,0.8,2.36,0.14,0.93,0.69
554,Sevilla,139364,44.85,1.23,1.35,1.07,1.85,0.51,2.53,2.12,8.28,4.71,2.84,1.97,20.93,1.23,0.44,2.68,0.33,0.48,0.59
555,Illes Balears,159954,6.76,0.9,1.36,35.37,1.2,0.95,1.41,0.94,17.66,6.15,3.81,2.08,15.61,0.77,0.59,3.69,0.21,0.04,0.51
556,Barcelona,281616,7.3,4.59,1.33,1.76,1.57,0.76,2.6,1.86,43.13,6.84,0.66,2.68,16.75,0.97,1.3,4.74,0.56,0.17,0.43
557,Girona,153373,2.17,0.68,0.41,0.33,0.19,0.26,2.25,0.56,82.19,2.51,0.22,2.68,3.85,0.25,0.35,0.83,0.24,0.02,0.01
558,46 Valencia/València,162052,9.64,4.75,1.14,1.29,1.1,0.53,3.03,5.83,12.66,24.19,0.78,1.66,26.17,3.36,0.62,2.3,0.65,0.11,0.2
559,Madrid,562675,15.82,2.89,3.06,2.02,2.91,1.87,5.52,3.87,11.73,9.28,2.72,5.42,20.06,3.3,2.01,5.26,1.13,0.26,0.85
560,Málaga,164400,50.25,1.44,0.95,1.18,1.93,1.13,2.89,2.8,6.59,3.53,1.93,2.21,15.47,1.76,0.43,2.84,0.74,0.87,1.07
561,Sevilla,140144,34.84,1.65,1.72,1.36,1.69,0.73,4.14,3.12,8.11,5.72,3.09,1.71,23.52,2.11,1.04,3.31,0.42,0.46,1.27
562,Illes Balears,94236,4.96,0.63,1.72,31.89,2.47,0.85,2.7,1.55,19.55,4.62,0.31,3.34,19.35,0.77,0.18,3.67,0.33,0.24,0.87
563,Barcelona,279387,7.81,4.98,1.1,2.53,1.68,1.06,2.86,1.61,39.09,7.46,0.69,2.37,17.65,1.31,1.36,4.99,0.63,0.12,0.69
564,Girona,133797,2.16,1.01,0.29,0.71,0.79,0.21,1.73,0.92,76.9,2.39,0.45,1.73,6.27,0.34,0.9,2.55,0.43,0.03,0.18
565,46 Valencia/València,164020,9.56,5.55,1.01,1.85,0.8,0.79,3.43,4.15,13.94,21.82,1.17,1.97,24.98,3.41,1.01,3.06,0.67,0.13,0.69
566,Madrid,520285,15.26,2.85,3.17,2.06,3.01,1.92,5.28,3.2,13.36,9.1,2.44,4.71,19.8,3.33,1.79,6.05,1.1,0.32,1.26
567,Málaga,170075,55.45,0.75,1.59,0.76,1.07,0.59,2.22,3.04,6.1,3.41,1.73,1.64,15.75,1.66,0.36,2.26,0.41,0.54,0.67
568,Sevilla,136839,41.04,1.46,1.41,0.75,1.86,0.84,2.57,3.05,7.66,5.87,3.27,1.97,20.43,2.02,0.58,2.91,0.38,0.87,1.06
569,Illes Balears,89468,10.66,1.19,0.53,28.9,2.28,0.72,2.6,2.38,15.8,6.23,0.48,5.16,16.9,0.74,0.7,2.87,1.76,0.09,0.01
570,Barcelona,271688,7.24,3.46,1.29,2.56,1.93,0.73,2.3,1.59,42.26,7.95,0.76,2.7,16.1,1.29,1.12,5.42,0.6,0.3,0.39
571,Girona,145530,1.98,0.63,0.31,1.16,0.44,0.17,1.41,0.39,81.91,2.94,0.32,1.24,3.9,0.52,0.73,1.46,0.49,0.0,0.0
572,46 Valencia/València,172764,10.48,4.17,1.15,2.27,0.97,0.74,3.74,4.37,15.5,22.57,0.76,1.85,21.69,3.73,1.46,2.69,0.45,0.07,1.34
573,Madrid,564073,15.19,2.84,2.79,2.2,3.13,1.56,4.98,3.79,13.16,9.35,2.81,5.21,19.65,3.19,1.8,5.87,1.04,0.86,0.58
574,Málaga,131998,58.12,1.24,1.32,0.95,1.22,0.51,1.85,2.66,5.02,2.79,1.17,1.32,15.85,1.15,0.4,2.64,0.17,0.8,0.81
575,Sevilla,126248,41.21,1.47,1.41,1.47,1.74,0.48,3.65,3.15,6.55,4.41,4.25,1.69,21.53,1.5,0.63,2.95,0.25,1.61,0.05
576,Illes Balears,64600,3.1,0.91,2.54,33.12,1.08,4.0,1.5,2.17,14.03,7.06,0.61,1.62,15.61,0.46,1.03,9.7,1.14,0.31,0.01
577,Barcelona,237784,6.39,4.11,1.07,2.68,2.42,0.93,2.31,1.66,42.54,6.55,0.81,2.51,17.42,0.87,1.03,4.87,0.61,0.89,0.35
578,Girona,81907,2.28,0.44,0.43,0.99,1.24,0.27,0.46,0.48,80.71,3.69,0.21,1.73,4.36,1.38,0.28,0.82,0.08,0.17,0.0
579,46 Valencia/València,127512,8.88,4.75,1.44,2.01,1.38,0.76,3.74,3.96,13.02,26.24,1.29,2.32,18.92,4.78,0.98,2.25,1.91,1.16,0.23
580,Madrid,530705,14.68,2.62,2.87,2.62,3.21,2.0,5.34,3.56,11.96,9.34,2.99,4.33,20.99,3.18,1.59,5.71,1.0,1.26,0.77
581,Málaga,98656,51.4,1.99,2.06,1.24,1.69,0.57,1.17,2.29,7.04,4.31,1.09,1.53,15.28,1.86,0.3,3.03,0.83,0.98,1.34
582,Sevilla,110493,44.29,1.33,1.5,1.22,1.73,0.5,2.82,2.49,8.47,4.54,4.29,1.97,19.07,1.53,0.47,2.09,0.17,1.24,0.26
583,Illes Balears,27144,6.64,0.81,0.83,30.53,0.71,0.82,1.4,1.44,25.12,8.33,0.59,2.37,14.44,1.73,0.35,3.2,0.42,0.23,0.05
584,Barcelona,227550,7.8,4.61,0.88,2.89,1.59,0.67,2.41,1.48,39.24,7.16,0.82,2.51,18.87,1.41,1.33,5.23,0.49,0.54,0.08
585,Girona,64875,2.23,0.56,0.21,1.07,0.71,0.15,0.72,0.56,82.1,5.32,0.14,0.44,4.77,0.39,0.24,0.3,0.06,0.02,0.0
586,46 Valencia/València,91056,10.3,4.89,1.03,2.18,0.84,0.71,2.79,3.76,15.02,26.74,0.8,2.1,18.82,4.98,0.71,2.1,0.35,1.82,0.07
587,Madrid,514887,15.0,2.9,2.73,2.69,3.51,1.76,5.3,3.44,11.86,8.61,2.77,4.25,21.44,3.21,1.77,5.38,1.05,1.55,0.79
588,Málaga,132491,58.2,1.37,1.32,0.87,1.42,0.37,1.5,2.47,4.88,3.53,1.39,1.97,13.82,1.76,0.45,2.37,0.36,0.79,1.15
589,Sevilla,136418,42.88,1.28,1.41,1.55,1.61,0.4,2.74,3.03,5.89,6.09,3.36,1.82,20.5,2.11,0.71,2.53,0.29,1.6,0.19
590,Illes Balears,33277,4.62,0.7,0.59,44.95,0.55,0.21,1.24,1.06,16.11,8.04,0.42,2.22,15.11,0.75,0.2,2.71,0.49,0.01,0.03
591,Barcelona,254121,7.2,3.1,0.92,3.11,2.04,0.81,2.06,1.56,45.38,6.98,0.74,2.23,15.5,0.99,1.32,4.97,0.57,0.38,0.13
592,Girona,86266,1.84,0.88,0.14,1.0,0.2,0.13,0.49,0.39,86.16,3.25,0.2,0.65,3.46,0.25,0.21,0.68,0.05,0.04,0.0
593,46 Valencia/València,116578,9.1,5.23,0.52,2.52,1.09,0.49,2.46,3.74,13.93,31.88,0.78,1.82,17.6,3.55,0.91,2.54,0.47,1.28,0.09
594,Madrid,602508,15.82,2.94,2.59,2.13,2.73,1.82,5.19,4.06,11.24,10.08,2.76,4.45,20.15,3.55,2.08,5.51,0.93,1.43,0.53
595,Málaga,122339,53.22,3.34,1.61,1.01,2.08,0.79,1.52,2.13,6.28,2.91,1.02,2.53,14.23,1.52,0.43,3.2,0.29,0.91,0.97
596,Sevilla,134054,42.72,1.35,1.64,1.58,1.87,0.63,3.09,2.71,7.87,4.82,2.9,2.11,20.64,1.74,0.56,2.52,0.42,0.73,0.1
597,Illes Balears,46724,6.37,0.77,0.45,33.83,0.97,0.36,1.73,1.13,17.22,11.08,0.95,1.73,14.3,0.92,1.73,6.29,0.14,0.02,0.0
598,Barcelona,260061,6.56,3.94,1.01,2.99,1.47,0.64,2.0,1.56,42.14,7.67,0.69,2.63,18.38,1.11,0.86,4.99,0.45,0.35,0.56
599,Girona,69412,3.52,0.79,0.3,1.42,0.53,0.11,0.66,0.73,80.77,3.17,0.29,1.18,4.12,0.41,0.16,1.72,0.1,0.01,0.0
600,46 Valencia/València,132318,11.9,5.64,1.05,2.61,0.98,0.67,3.02,4.28,14.0,23.78,0.8,2.04,20.76,4.15,0.87,2.82,0.42,0.13,0.06
601,Madrid,541722,16.8,2.78,3.24,2.28,3.44,1.74,5.36,3.79,12.38,8.52,2.6,5.02,18.37,3.16,1.74,5.45,1.03,1.61,0.68
602,Málaga,158966,58.2,0.88,1.32,1.27,1.51,0.62,1.81,2.12,4.73,3.68,1.48,1.27,13.97,1.73,0.42,3.25,0.22,0.65,0.88
603,Sevilla,128858,37.18,1.35,1.82,1.04,2.36,0.79,2.67,2.53,9.21,6.24,2.38,2.07,23.11,1.93,0.78,3.25,0.39,0.64,0.24
604,Illes Balears,134237,5.8,1.89,1.34,41.47,0.45,1.35,2.74,2.12,16.24,5.76,0.28,1.6,13.87,0.65,0.51,3.26,0.63,0.04,0.0
605,Barcelona,290202,6.29,3.73,0.83,2.46,1.36,0.71,1.79,1.46,47.42,6.52,0.62,2.21,17.08,0.81,0.94,4.55,0.4,0.37,0.44
606,Girona,114987,2.82,0.91,0.88,0.74,0.78,0.31,0.44,0.46,80.68,4.0,0.3,0.86,3.24,0.47,0.34,2.62,0.14,0.02,0.0
607,46 Valencia/València,143188,10.28,5.81,0.61,1.46,1.06,0.96,3.28,4.86,12.7,25.31,0.74,2.57,22.37,3.97,0.78,2.8,0.32,0.1,0.02
608,Madrid,532131,16.84,2.51,2.72,1.79,3.12,1.9,4.69,3.81,11.87,8.88,2.62,4.66,20.29,3.57,1.78,5.38,0.88,2.17,0.54
609,Málaga,164335,60.14,1.04,0.99,0.82,1.23,0.75,2.14,2.7,4.63,2.73,2.32,1.6,13.1,1.12,0.41,2.39,0.48,0.66,0.77
610,Sevilla,116989,40.88,1.74,2.03,1.01,2.0,0.84,2.82,1.71,8.23,4.09,2.9,2.31,22.28,1.25,0.64,4.15,0.36,0.52,0.23
611,Illes Balears,151182,9.87,1.35,2.51,28.39,1.12,1.12,2.3,1.18,17.41,5.89,0.77,2.03,20.07,1.6,0.86,2.84,0.54,0.1,0.06
612,Barcelona,284372,7.18,4.16,1.14,2.11,1.72,0.82,2.38,1.4,42.2,6.64,0.76,2.51,17.76,1.08,1.11,5.78,0.53,0.3,0.41
613,Girona,165839,1.37,1.24,0.68,0.28,0.47,0.36,0.93,0.68,81.81,2.93,0.23,0.97,4.72,0.54,0.7,1.82,0.22,0.04,0.01
614,46 Valencia/València,157052,8.6,4.71,0.76,1.58,0.85,0.64,5.07,6.19,10.73,23.19,1.03,1.9,27.82,2.87,0.87,2.3,0.71,0.15,0.04
615,Madrid,518868,16.9,2.55,3.01,2.07,2.92,2.01,4.8,3.48,11.33,8.08,2.47,5.59,20.28,3.01,1.52,8.57,0.97,0.26,0.17
616,Málaga,247717,52.1,1.0,0.9,0.56,0.77,0.5,2.97,3.26,5.22,2.91,4.0,1.26,17.41,1.94,0.47,3.24,0.38,0.42,0.69
617,Sevilla,106002,44.99,1.42,1.9,0.75,1.78,0.82,2.88,2.1,9.62,4.67,2.86,2.6,17.37,1.64,0.45,3.43,0.32,0.3,0.09
618,Illes Balears,201011,11.91,1.09,1.09,30.07,0.88,0.79,1.84,1.0,17.97,7.06,0.66,1.52,18.56,0.86,0.77,3.47,0.34,0.06,0.08
619,Barcelona,264482,6.6,4.9,1.13,2.13,1.69,0.69,2.21,1.61,44.09,5.49,0.98,2.12,15.82,1.3,1.68,6.45,0.72,0.22,0.17
620,Girona,242893,2.13,1.54,0.33,0.33,0.39,0.33,1.03,0.65,77.57,3.41,0.38,0.83,5.95,0.54,0.89,3.27,0.31,0.09,0.01
621,46 Valencia/València,192748,7.93,5.89,0.81,1.28,0.93,0.36,4.8,7.04,11.26,16.35,1.29,1.33,33.64,2.57,1.0,2.81,0.55,0.11,0.07
622,Madrid,478174,16.23,2.32,2.59,2.53,2.79,2.07,4.14,3.19,11.4,10.59,2.53,4.49,20.31,3.59,1.27,8.7,0.9,0.28,0.1
623,Málaga,232613,57.67,1.03,0.73,0.55,1.0,0.37,2.44,3.6,4.09,2.01,4.27,1.11,14.82,1.28,0.58,2.43,0.26,0.82,0.94
624,Sevilla,106433,46.22,1.4,1.93,0.59,2.05,0.82,3.4,1.99,6.26,4.2,3.84,2.16,19.27,1.16,0.6,3.14,0.46,0.37,0.15
625,Illes Balears,190036,9.55,1.29,1.61,29.47,1.33,1.02,2.21,1.3,17.49,6.67,0.81,2.04,17.11,1.04,0.94,5.55,0.36,0.04,0.16
626,Barcelona,331122,8.34,4.72,0.94,1.89,1.93,0.83,2.36,1.52,40.25,6.17,0.85,2.21,18.15,1.4,1.34,6.28,0.6,0.1,0.12
627,Girona,205349,2.1,1.78,0.4,0.58,0.4,0.28,1.14,0.59,77.74,2.76,0.25,0.92,6.03,0.35,1.2,2.81,0.55,0.09,0.03
628,46 Valencia/València,194681,9.34,5.94,1.13,0.97,0.68,0.58,5.02,8.46,9.31,17.4,1.39,1.72,31.39,2.78,0.99,2.08,0.62,0.13,0.06
629,Madrid,511157,16.63,2.4,3.16,2.07,2.88,2.11,4.89,3.39,11.69,8.21,2.54,4.65,21.24,2.87,1.43,8.4,0.77,0.5,0.16
630,Málaga,186214,57.57,1.18,0.99,0.61,1.02,0.43,2.85,2.45,4.02,2.27,1.54,1.54,16.55,1.5,0.64,2.77,0.23,1.15,0.68
631,Sevilla,135232,43.81,2.7,1.86,0.82,2.16,0.87,2.35,2.2,7.27,4.0,3.98,1.96,20.14,1.51,0.49,3.05,0.39,0.35,0.1
632,Illes Balears,178385,7.35,0.98,1.34,26.66,0.6,0.41,1.78,0.75,15.24,15.53,0.5,1.25,23.05,0.95,0.55,2.68,0.22,0.05,0.11
633,Barcelona,316551,7.23,5.1,1.16,2.04,1.38,0.72,1.75,1.72,43.41,6.22,1.04,1.86,17.09,1.18,1.51,5.65,0.55,0.23,0.18
634,Girona,198063,1.66,1.25,0.57,0.35,0.36,0.27,1.0,0.41,82.36,2.09,0.16,0.75,4.98,0.23,0.58,2.66,0.2,0.11,0.0
635,46 Valencia/València,178121,8.34,6.79,1.12,2.33,0.79,0.66,4.6,6.96,10.73,17.98,0.71,1.61,30.83,3.11,0.8,2.08,0.48,0.07,0.01
636,Madrid,536784,16.25,2.6,3.26,2.13,3.22,1.82,5.17,3.24,13.06,8.4,2.48,4.97,21.12,3.78,1.62,5.77,0.72,0.27,0.14
637,Málaga,156748,56.77,0.75,0.75,0.9,1.26,0.75,3.07,1.95,6.49,3.31,1.68,1.28,14.21,1.38,0.56,3.23,0.16,0.88,0.61
638,Sevilla,127760,40.68,1.31,0.98,0.94,1.81,0.5,2.7,2.02,8.31,4.93,2.38,1.73,25.43,1.41,0.82,3.27,0.31,0.32,0.14
639,Illes Balears,143630,8.65,0.76,1.39,42.78,0.68,0.78,1.39,1.05,13.38,7.95,0.54,2.33,14.68,0.72,0.36,2.33,0.18,0.03,0.02
640,Barcelona,293849,6.97,4.74,1.69,2.1,1.57,0.81,2.24,1.51,40.53,6.59,0.72,2.44,18.18,1.42,0.85,4.89,0.59,1.36,0.82
641,Girona,139153,2.83,1.18,0.33,0.72,0.53,0.11,0.69,0.47,80.51,3.79,0.42,0.82,4.31,0.55,0.25,2.19,0.23,0.05,0.0
642,46 Valencia/València,159837,8.7,4.31,0.84,1.35,0.77,0.89,3.33,5.91,12.68,22.42,0.45,2.46,27.71,3.68,0.91,3.03,0.37,0.12,0.07
643,Madrid,553773,16.49,2.41,2.85,2.0,2.97,1.8,5.39,3.24,13.41,7.96,2.59,4.95,21.72,2.94,1.53,6.27,0.8,0.29,0.42
644,Málaga,191239,49.42,1.15,1.0,0.66,1.71,0.8,2.83,2.91,7.07,3.51,1.72,1.9,16.74,1.93,0.84,3.64,0.43,0.87,0.87
645,Sevilla,133406,36.16,1.29,0.97,0.98,1.36,0.61,4.09,3.11,9.03,6.75,2.4,2.76,23.09,2.28,0.72,3.26,0.57,0.41,0.17
646,Illes Balears,107073,4.47,1.07,0.46,38.78,0.85,0.28,2.33,7.88,12.83,8.46,0.6,1.72,15.36,0.39,0.18,3.22,0.17,0.01,0.93
647,Barcelona,305778,5.97,3.21,0.84,2.29,1.74,0.8,2.28,1.51,39.89,7.12,0.61,2.3,19.59,1.36,1.65,7.54,0.64,0.51,0.14
648,Girona,160376,2.76,1.15,0.24,1.11,1.15,0.12,0.77,0.89,76.02,4.13,0.24,1.45,5.15,0.89,0.47,3.16,0.28,0.01,0.0
649,46 Valencia/València,168033,8.39,3.2,0.99,1.85,0.65,0.54,3.41,4.25,14.23,20.22,0.82,2.27,30.31,3.06,0.89,4.16,0.64,0.07,0.04
650,Madrid,536729,15.52,2.38,3.49,2.71,3.13,2.0,5.3,3.02,12.96,9.25,2.35,5.52,20.45,2.93,1.5,6.1,0.8,0.4,0.18
651,Málaga,136572,51.82,1.01,0.58,1.57,1.24,0.64,1.88,1.81,6.4,3.68,1.26,1.29,19.23,1.71,0.49,3.03,0.27,1.33,0.78
652,Sevilla,137742,41.3,1.48,1.0,0.94,1.44,0.65,2.68,2.69,7.81,5.32,3.85,2.06,23.28,1.53,0.44,2.74,0.24,0.34,0.22
653,Illes Balears,81237,12.67,3.74,1.63,24.27,0.54,0.51,2.59,1.45,15.68,7.49,1.4,3.46,17.37,0.85,3.46,2.28,0.5,0.09,0.03
654,Barcelona,296450,6.79,3.0,1.13,2.39,1.95,0.81,2.45,1.59,39.64,7.4,0.87,3.25,18.15,1.03,1.03,6.83,0.56,0.28,0.84
655,Girona,111232,3.88,0.57,0.77,0.69,0.72,0.09,0.9,0.91,80.25,2.98,0.15,1.38,4.14,0.57,0.12,1.71,0.15,0.03,0.0
656,46 Valencia/València,154701,11.52,2.58,1.01,1.68,1.02,0.62,3.21,3.94,14.59,19.66,0.68,2.78,27.31,4.07,0.79,3.9,0.4,0.14,0.1
657,Madrid,527856,15.21,2.67,2.8,2.38,3.19,1.7,5.21,3.56,12.97,7.93,3.14,4.82,22.47,2.86,1.54,5.55,1.28,0.53,0.17
658,Málaga,122933,67.63,0.74,0.39,0.78,1.09,0.41,1.17,1.55,4.4,2.74,1.23,0.85,10.49,1.36,0.22,3.3,0.23,0.67,0.75
659,Sevilla,123524,45.47,1.29,0.82,1.27,1.63,0.55,3.09,2.74,7.0,4.96,4.12,1.41,20.48,1.19,0.55,1.96,0.22,0.91,0.34
660,Illes Balears,54662,5.6,1.03,2.25,38.29,0.6,0.54,2.68,1.51,17.93,7.36,0.31,1.82,13.16,0.5,0.48,5.4,0.35,0.03,0.16
661,Barcelona,244330,6.52,2.92,0.9,3.07,1.82,1.16,2.23,1.29,42.01,6.86,1.06,2.44,18.38,0.99,0.92,6.38,0.63,0.29,0.13
662,Girona,76325,1.61,0.77,0.4,1.28,0.46,0.1,0.45,0.4,83.7,3.96,0.12,0.73,3.34,0.73,0.18,1.22,0.5,0.04,0.0
663,46 Valencia/València,119494,9.93,2.11,0.67,1.91,0.99,0.47,2.68,5.45,13.22,30.24,1.17,1.83,18.15,4.91,0.66,5.06,0.38,0.13,0.04
664,Madrid,512811,16.1,2.37,3.01,2.29,3.78,1.82,5.1,3.73,12.18,8.17,2.62,4.82,22.76,2.99,1.47,5.45,0.95,0.21,0.19
665,Málaga,90312,55.16,0.9,0.36,1.32,1.46,0.27,2.06,2.02,5.49,4.92,0.93,1.24,14.24,1.7,0.33,4.41,0.37,0.96,1.88
666,Sevilla,108185,41.75,1.18,1.14,1.07,1.37,0.5,4.01,3.83,6.76,4.22,4.2,1.65,23.53,1.65,0.39,1.6,0.33,0.59,0.23
667,Illes Balears,23268,4.9,0.63,0.7,32.99,0.98,0.71,1.78,1.74,21.27,11.45,0.57,1.62,12.41,0.98,0.36,6.69,0.15,0.03,0.04
668,Barcelona,229810,6.73,3.02,0.87,2.71,2.12,0.75,2.11,1.73,39.48,7.93,0.98,2.63,19.8,1.58,1.05,5.98,0.36,0.08,0.08
669,Girona,61070,2.3,0.73,0.37,1.57,0.27,0.07,0.63,0.54,80.45,5.28,0.21,0.73,5.31,0.5,0.24,0.75,0.03,0.02,0.0
670,46 Valencia/València,92346,8.06,2.29,0.74,2.47,0.79,0.56,2.52,3.89,14.75,31.03,0.76,3.18,19.76,4.17,0.78,3.19,0.89,0.09,0.07
671,Madrid,485984,14.43,2.61,2.83,2.61,3.18,1.73,5.19,3.9,12.02,8.08,2.64,4.67,24.46,2.97,1.54,5.68,0.88,0.23,0.34
