Total Nacional;Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
Total Nacional;01 Andalucía;No residentes en España;Diciembre;464.561
Total Nacional;01 Andalucía;Unión Europea 27 (sin España);Total;4.892.863
Total Nacional;01 Andalucía;Unión Europea 27 (sin España);Enero;224.092
Total Nacional;01 Andalucía;Unión Europea 27 (sin España);Febrero;270.480
Total Nacional;01 Andalucía;Unión Europea 27 (sin España);Marzo;373.865
Total Nacional;01 Andalucía;Unión Europea 27 (sin España);Abril;519.516
Total Nacional;01 Andalucía;Unión Europea 27 (sin España);Mayo;544.974
Total Nacional;01 Andalucía;Unión Europea 27 (sin España);Junio;441.843
Total Nacional;01 Andalucía;Unión Europea 27 (sin España);Julio;446.069
Total Nacional;01 Andalucía;Unión Europea 27 (sin España);Agosto;539.685
Total Nacional;01 Andalucía;Unión Europea 27 (sin España);Septiembre;519.133
Total Nacional;01 Andalucía;Unión Europea 27 (sin España);Octubre;517.574
Total Nacional;01 Andalucía;Unión Europea 27 (sin España);Noviembre;280.289
Total Nacional;01 Andalucía;Unión Europea 27 (sin España);Diciembre;215.342
Total Nacional;01 Andalucía;Alemania;Total;796.963
Total Nacional;01 Andalucía;Alemania;Enero;26.041
Total Nacional;01 Andalucía;Alemania;Febrero;38.004
Total Nacional;01 Andalucía;Alemania;Marzo;74.427
Total Nacional;01 Andalucía;Alemania;Abril;83.392
Total Nacional;01 Andalucía;Alemania;Mayo;110.740
Total Nacional;01 Andalucía;Alemania;Junio;74.090
Total Nacional;01 Andalucía;Alemania;Julio;52.629
Total Nacional;01 Andalucía;Alemania;Agosto;56.549
Total Nacional;01 Andalucía;Alemania;Septiembre;104.896
Total Nacional;01 Andalucía;Alemania;Octubre;106.705
Total Nacional;01 Andalucía;Alemania;Noviembre;42.014
Total Nacional;01 Andalucía;Alemania;Diciembre;27.476
Total Nacional;01 Andalucía;Austria;Total;81.919
Total Nacional;01 Andalucía;Austria;Enero;3.260
Total Nacional;01 Andalucía;Austria;Febrero;5.198
Total Nacional;01 Andalucía;Austria;Marzo;8.698
Total Nacional;01 Andalucía;Austria;Abril;10.769
Total Nacional;01 Andalucía;Austria;Mayo;9.350
Total Nacional;01 Andalucía;Austria;Junio;7.023
Total Nacional;01 Andalucía;Austria;Julio;5.273
Total Nacional;01 Andalucía;Austria;Agosto;5.128
Total Nacional;01 Andalucía;Austria;Septiembre;7.383
Total Nacional;01 Andalucía;Austria;Octubre;10.903
Total Nacional;01 Andalucía;Austria;Noviembre;5.159
Total Nacional;01 Andalucía;Austria;Diciembre;3.775
Total Nacional;01 Andalucía;Bélgica;Total;274.534
Total Nacional;01 Andalucía;Bélgica;Enero;11.522
Total Nacional;01 Andalucía;Bélgica;Febrero;15.868
Total Nacional;01 Andalucía;Bélgica;Marzo;19.293
Total Nacional;01 Andalucía;Bélgica;Abril;27.016
Total Nacional;01 Andalucía;Bélgica;Mayo;28.195
Total Nacional;01 Andalucía;Bélgica;Junio;22.240
Total Nacional;01 Andalucía;Bélgica;Julio;33.258
Total Nacional;01 Andalucía;Bélgica;Agosto;29.816
Total Nacional;01 Andalucía;Bélgica;Septiembre;28.689
Total Nacional;01 Andalucía;Bélgica;Octubre;27.235
Total Nacional;01 Andalucía;Bélgica;Noviembre;17.270
Total Nacional;01 Andalucía;Bélgica;Diciembre;14.132
Total Nacional;01 Andalucía;Dinamarca;Total;113.035
Total Nacional;01 Andalucía;Dinamarca;Enero;5.764
Total Nacional;01 Andalucía;Dinamarca;Febrero;8.277
Total Nacional;01 Andalucía;Dinamarca;Marzo;11.951
Total Nacional;01 Andalucía;Dinamarca;Abril;10.748
Total Nacional;01 Andalucía;Dinamarca;Mayo;10.113
Total Nacional;01 Andalucía;Dinamarca;Junio;6.978
Total Nacional;01 Andalucía;Dinamarca;Julio;15.150
Total Nacional;01 Andalucía;Dinamarca;Agosto;8.277
Total Nacional;01 Andalucía;Dinamarca;Septiembre;11.106
Total Nacional;01 Andalucía;Dinamarca;Octubre;12.250
Total Nacional;01 Andalucía;Dinamarca;Noviembre;8.436
Total Nacional;01 Andalucía;Dinamarca;Diciembre;3.983
Total Nacional;01 Andalucía;Finlandia;Total;87.399
Total Nacional;01 Andalucía;Finlandia;Enero;6.367
Total Nacional;01 Andalucía;Finlandia;Febrero;7.055
Total Nacional;01 Andalucía;Finlandia;Marzo;10.097
Total Nacional;01 Andalucía;Finlandia;Abril;9.452
Total Nacional;01 Andalucía;Finlandia;Mayo;7.249
Total Nacional;01 Andalucía;Finlandia;Junio;5.238
Total Nacional;01 Andalucía;Finlandia;Julio;4.968
Total Nacional;01 Andalucía;Finlandia;Agosto;3.476
Total Nacional;01 Andalucía;Finlandia;Septiembre;6.958
Total Nacional;01 Andalucía;Finlandia;Octubre;10.937
Total Nacional;01 Andalucía;Finlandia;Noviembre;10.031
Total Nacional;01 Andalucía;Finlandia;Diciembre;5.573
Total Nacional;01 Andalucía;Francia;Total;892.398
Total Nacional;01 Andalucía;Francia;Enero;33.353
Total Nacional;01 Andalucía;Francia;Febrero;48.798
Total Nacional;01 Andalucía;Francia;Marzo;58.756
Total Nacional;01 Andalucía;Francia;Abril;105.929
Total Nacional;01 Andalucía;Francia;Mayo;113.719
Total Nacional;01 Andalucía;Francia;Junio;69.146
Total Nacional;01 Andalucía;Francia;Julio;80.286
Total Nacional;01 Andalucía;Francia;Agosto;116.806
Total Nacional;01 Andalucía;Francia;Septiembre;86.377
Total Nacional;01 Andalucía;Francia;Octubre;99.857
Total Nacional;01 Andalucía;Francia;Noviembre;43.603
Total Nacional;01 Andalucía;Francia;Diciembre;35.767
Total Nacional;01 Andalucía;Grecia;Total;25.472
Total Nacional;01 Andalucía;Grecia;Enero;1.753
Total Nacional;01 Andalucía;Grecia;Febrero;1.124
Total Nacional;01 Andalucía;Grecia;Marzo;1.658
Total Nacional;01 Andalucía;Grecia;Abril;2.127
Total Nacional;01 Andalucía;Grecia;Mayo;3.236
Total Nacional;01 Andalucía;Grecia;Junio;2.577
Total Nacional;01 Andalucía;Grecia;Julio;2.283
Total Nacional;01 Andalucía;Grecia;Agosto;2.862
Total Nacional;01 Andalucía;Grecia;Septiembre;2.347
Total Nacional;01 Andalucía;Grecia;Octubre;2.110
Total Nacional;01 Andalucía;Grecia;Noviembre;2.023
Total Nacional;01 Andalucía;Grecia;Diciembre;1.374
Total Nacional;01 Andalucía;Irlanda;Total;326.146
Total Nacional;01 Andalucía;Irlanda;Enero;13.410
Total Nacional;01 Andalucía;Irlanda;Febrero;16.339
Total Nacional;01 Andalucía;Irlanda;Marzo;23.229
Total Nacional;01 Andalucía;Irlanda;Abril;35.062
Total Nacional;01 Andalucía;Irlanda;Mayo;40.223
Total Nacional;01 Andalucía;Irlanda;Junio;33.608
Total Nacional;01 Andalucía;Irlanda;Julio;31.271
Total Nacional;01 Andalucía;Irlanda;Agosto;31.104
Total Nacional;01 Andalucía;Irlanda;Septiembre;39.814
Total Nacional;01 Andalucía;Irlanda;Octubre;34.290
Total Nacional;01 Andalucía;Irlanda;Noviembre;15.973
Total Nacional;01 Andalucía;Irlanda;Diciembre;11.823
Total Nacional;01 Andalucía;Italia;Total;625.729
Total Nacional;01 Andalucía;Italia;Enero;40.301
Total Nacional;01 Andalucía;Italia;Febrero;31.243
Total Nacional;01 Andalucía;Italia;Marzo;45.572
Total Nacional;01 Andalucía;Italia;Abril;69.122
Total Nacional;01 Andalucía;Italia;Mayo;61.837
Total Nacional;01 Andalucía;Italia;Junio;53.622
Total Nacional;01 Andalucía;Italia;Julio;48.325
Total Nacional;01 Andalucía;Italia;Agosto;78.716
Total Nacional;01 Andalucía;Italia;Septiembre;53.671
Total Nacional;01 Andalucía;Italia;Octubre;63.090
Total Nacional;01 Andalucía;Italia;Noviembre;40.673
Total Nacional;01 Andalucía;Italia;Diciembre;39.557
Total Nacional;01 Andalucía;Luxemburgo;Total;18.546
Total Nacional;01 Andalucía;Luxemburgo;Enero;704
Total Nacional;01 Andalucía;Luxemburgo;Febrero;766
Total Nacional;01 Andalucía;Luxemburgo;Marzo;1.487
Total Nacional;01 Andalucía;Luxemburgo;Abril;2.148
Total Nacional;01 Andalucía;Luxemburgo;Mayo;2.005
Total Nacional;01 Andalucía;Luxemburgo;Junio;1.526
Total Nacional;01 Andalucía;Luxemburgo;Julio;1.319
Total Nacional;01 Andalucía;Luxemburgo;Agosto;2.403
Total Nacional;01 Andalucía;Luxemburgo;Septiembre;2.231
Total Nacional;01 Andalucía;Luxemburgo;Octubre;2.081
Total Nacional;01 Andalucía;Luxemburgo;Noviembre;914
Total Nacional;01 Andalucía;Luxemburgo;Diciembre;964
Total Nacional;01 Andalucía;Países Bajos;Total;476.125
Total Nacional;01 Andalucía;Países Bajos;Enero;26.784
Total Nacional;01 Andalucía;Países Bajos;Febrero;29.532
Total Nacional;01 Andalucía;Países Bajos;Marzo;35.373
Total Nacional;01 Andalucía;Países Bajos;Abril;47.688
Total Nacional;01 Andalucía;Países Bajos;Mayo;53.301
Total Nacional;01 Andalucía;Países Bajos;Junio;43.224
Total Nacional;01 Andalucía;Países Bajos;Julio;45.051
Total Nacional;01 Andalucía;Países Bajos;Agosto;49.561
Total Nacional;01 Andalucía;Países Bajos;Septiembre;50.085
Total Nacional;01 Andalucía;Países Bajos;Octubre;47.350
Total Nacional;01 Andalucía;Países Bajos;Noviembre;27.509
Total Nacional;01 Andalucía;Países Bajos;Diciembre;20.666
Total Nacional;01 Andalucía;Polonia;Total;220.431
Total Nacional;01 Andalucía;Polonia;Enero;11.341
Total Nacional;01 Andalucía;Polonia;Febrero;13.871
Total Nacional;01 Andalucía;Polonia;Marzo;17.524
Total Nacional;01 Andalucía;Polonia;Abril;19.362
Total Nacional;01 Andalucía;Polonia;Mayo;24.225
Total Nacional;01 Andalucía;Polonia;Junio;21.933
Total Nacional;01 Andalucía;Polonia;Julio;22.682
Total Nacional;01 Andalucía;Polonia;Agosto;21.705
Total Nacional;01 Andalucía;Polonia;Septiembre;24.649
Total Nacional;01 Andalucía;Polonia;Octubre;21.391
Total Nacional;01 Andalucía;Polonia;Noviembre;12.981
Total Nacional;01 Andalucía;Polonia;Diciembre;8.766
Total Nacional;01 Andalucía;Portugal;Total;443.699
Total Nacional;01 Andalucía;Portugal;Enero;15.570
Total Nacional;01 Andalucía;Portugal;Febrero;20.731
Total Nacional;01 Andalucía;Portugal;Marzo;20.883
Total Nacional;01 Andalucía;Portugal;Abril;41.287
Total Nacional;01 Andalucía;Portugal;Mayo;28.955
Total Nacional;01 Andalucía;Portugal;Junio;52.703
Total Nacional;01 Andalucía;Portugal;Julio;58.302
Total Nacional;01 Andalucía;Portugal;Agosto;95.398
Total Nacional;01 Andalucía;Portugal;Septiembre;52.001
Total Nacional;01 Andalucía;Portugal;Octubre;24.335
Total Nacional;01 Andalucía;Portugal;Noviembre;15.738
Total Nacional;01 Andalucía;Portugal;Diciembre;17.795
Total Nacional;01 Andalucía;República Checa;Total;67.991
Total Nacional;01 Andalucía;República Checa;Enero;2.639
Total Nacional;01 Andalucía;República Checa;Febrero;5.165
Total Nacional;01 Andalucía;República Checa;Marzo;5.766
Total Nacional;01 Andalucía;República Checa;Abril;6.859
Total Nacional;01 Andalucía;República Checa;Mayo;6.541
Total Nacional;01 Andalucía;República Checa;Junio;7.884
Total Nacional;01 Andalucía;República Checa;Julio;7.273
Total Nacional;01 Andalucía;República Checa;Agosto;6.305
Total Nacional;01 Andalucía;República Checa;Septiembre;7.109
Total Nacional;01 Andalucía;República Checa;Octubre;6.556
Total Nacional;01 Andalucía;República Checa;Noviembre;3.697
Total Nacional;01 Andalucía;República Checa;Diciembre;2.196
Total Nacional;01 Andalucía;Suecia;Total;148.529
Total Nacional;01 Andalucía;Suecia;Enero;9.887
Total Nacional;01 Andalucía;Suecia;Febrero;11.885
Total Nacional;01 Andalucía;Suecia;Marzo;15.150
Total Nacional;01 Andalucía;Suecia;Abril;15.526
Total Nacional;01 Andalucía;Suecia;Mayo;12.872
Total Nacional;01 Andalucía;Suecia;Junio;10.310
Total Nacional;01 Andalucía;Suecia;Julio;13.274
Total Nacional;01 Andalucía;Suecia;Agosto;8.318
Total Nacional;01 Andalucía;Suecia;Septiembre;13.178
Total Nacional;01 Andalucía;Suecia;Octubre;17.629
Total Nacional;01 Andalucía;Suecia;Noviembre;13.259
Total Nacional;01 Andalucía;Suecia;Diciembre;7.244
Total Nacional;01 Andalucía;Noruega;Total;77.873
Total Nacional;01 Andalucía;Noruega;Enero;4.293
Total Nacional;01 Andalucía;Noruega;Febrero;5.716
Total Nacional;01 Andalucía;Noruega;Marzo;7.663
Total Nacional;01 Andalucía;Noruega;Abril;8.192
Total Nacional;01 Andalucía;Noruega;Mayo;7.341
Total Nacional;01 Andalucía;Noruega;Junio;6.464
Total Nacional;01 Andalucía;Noruega;Julio;8.415
Total Nacional;01 Andalucía;Noruega;Agosto;4.529
Total Nacional;01 Andalucía;Noruega;Septiembre;7.818
Total Nacional;01 Andalucía;Noruega;Octubre;9.183
Total Nacional;01 Andalucía;Noruega;Noviembre;5.351
Total Nacional;01 Andalucía;Noruega;Diciembre;2.908
Total Nacional;01 Andalucía;Reino Unido;Total;1.541.264
Total Nacional;01 Andalucía;Reino Unido;Enero;55.381
Total Nacional;01 Andalucía;Reino Unido;Febrero;88.108
Total Nacional;01 Andalucía;Reino Unido;Marzo;118.941
Total Nacional;01 Andalucía;Reino Unido;Abril;152.197
Total Nacional;01 Andalucía;Reino Unido;Mayo;190.925
Total Nacional;01 Andalucía;Reino Unido;Junio;163.548
Total Nacional;01 Andalucía;Reino Unido;Julio;139.070
Total Nacional;01 Andalucía;Reino Unido;Agosto;141.978
Total Nacional;01 Andalucía;Reino Unido;Septiembre;188.034
Total Nacional;01 Andalucía;Reino Unido;Octubre;163.117
Total Nacional;01 Andalucía;Reino Unido;Noviembre;82.408
Total Nacional;01 Andalucía;Reino Unido;Diciembre;57.557
Total Nacional;01 Andalucía;Suiza;Total;165.875
Total Nacional;01 Andalucía;Suiza;Enero;5.856
Total Nacional;01 Andalucía;Suiza;Febrero;8.857
Total Nacional;01 Andalucía;Suiza;Marzo;14.462
Total Nacional;01 Andalucía;Suiza;Abril;22.653
Total Nacional;01 Andalucía;Suiza;Mayo;18.700
Total Nacional;01 Andalucía;Suiza;Junio;14.776
Total Nacional;01 Andalucía;Suiza;Julio;12.669
Total Nacional;01 Andalucía;Suiza;Agosto;9.385
Total Nacional;01 Andalucía;Suiza;Septiembre;18.146
Total Nacional;01 Andalucía;Suiza;Octubre;24.849
Total Nacional;01 Andalucía;Suiza;Noviembre;8.593
Total Nacional;01 Andalucía;Suiza;Diciembre;6.930
Total Nacional;01 Andalucía;Resto de Europa sin U.E.;Total;283.398
Total Nacional;01 Andalucía;Resto de Europa sin U.E.;Enero;16.111
Total Nacional;01 Andalucía;Resto de Europa sin U.E.;Febrero;15.394
Total Nacional;01 Andalucía;Resto de Europa sin U.E.;Marzo;19.367
Total Nacional;01 Andalucía;Resto de Europa sin U.E.;Abril;29.689
Total Nacional;01 Andalucía;Resto de Europa sin U.E.;Mayo;26.204
Total Nacional;01 Andalucía;Resto de Europa sin U.E.;Junio;24.319
Total Nacional;01 Andalucía;Resto de Europa sin U.E.;Julio;32.365
Total Nacional;01 Andalucía;Resto de Europa sin U.E.;Agosto;24.600
Total Nacional;01 Andalucía;Resto de Europa sin U.E.;Septiembre;27.159
Total Nacional;01 Andalucía;Resto de Europa sin U.E.;Octubre;30.684
Total Nacional;01 Andalucía;Resto de Europa sin U.E.;Noviembre;21.576
Total Nacional;01 Andalucía;Resto de Europa sin U.E.;Diciembre;15.930
Total Nacional;01 Andalucía;Japón;Total;85.224
Total Nacional;01 Andalucía;Japón;Enero;5.747
Total Nacional;01 Andalucía;Japón;Febrero;7.269
Total Nacional;01 Andalucía;Japón;Marzo;7.301
Total Nacional;01 Andalucía;Japón;Abril;8.142
Total Nacional;01 Andalucía;Japón;Mayo;7.906
Total Nacional;01 Andalucía;Japón;Junio;8.730
Total Nacional;01 Andalucía;Japón;Julio;4.718
Total Nacional;01 Andalucía;Japón;Agosto;6.788
Total Nacional;01 Andalucía;Japón;Septiembre;6.995
Total Nacional;01 Andalucía;Japón;Octubre;7.646
Total Nacional;01 Andalucía;Japón;Noviembre;7.585
Total Nacional;01 Andalucía;Japón;Diciembre;6.396
Total Nacional;01 Andalucía;República China;Total;266.898
Total Nacional;01 Andalucía;República China;Enero;12.365
Total Nacional;01 Andalucía;República China;Febrero;23.918
Total Nacional;01 Andalucía;República China;Marzo;17.731
Total Nacional;01 Andalucía;República China;Abril;21.862
Total Nacional;01 Andalucía;República China;Mayo;27.173
Total Nacional;01 Andalucía;República China;Junio;25.284
Total Nacional;01 Andalucía;República China;Julio;21.311
Total Nacional;01 Andalucía;República China;Agosto;17.495
Total Nacional;01 Andalucía;República China;Septiembre;25.183
Total Nacional;01 Andalucía;República China;Octubre;34.809
Total Nacional;01 Andalucía;República China;Noviembre;23.088
Total Nacional;01 Andalucía;República China;Diciembre;16.678
Total Nacional;01 Andalucía;Estados Unidos;Total;749.658
Total Nacional;01 Andalucía;Estados Unidos;Enero;31.470
Total Nacional;01 Andalucía;Estados Unidos;Febrero;33.403
Total Nacional;01 Andalucía;Estados Unidos;Marzo;63.986
Total Nacional;01 Andalucía;Estados Unidos;Abril;79.989
Total Nacional;01 Andalucía;Estados Unidos;Mayo;88.909
Total Nacional;01 Andalucía;Estados Unidos;Junio;82.143
Total Nacional;01 Andalucía;Estados Unidos;Julio;64.411
Total Nacional;01 Andalucía;Estados Unidos;Agosto;46.541
Total Nacional;01 Andalucía;Estados Unidos;Septiembre;74.214
Total Nacional;01 Andalucía;Estados Unidos;Octubre;89.371
Total Nacional;01 Andalucía;Estados Unidos;Noviembre;54.508
Total Nacional;01 Andalucía;Estados Unidos;Diciembre;40.712
Total Nacional;01 Andalucía;Resto de América;Total;669.025
Total Nacional;01 Andalucía;Resto de América;Enero;39.687
Total Nacional;01 Andalucía;Resto de América;Febrero;38.958
Total Nacional;01 Andalucía;Resto de América;Marzo;49.704
Total Nacional;01 Andalucía;Resto de América;Abril;58.265
Total Nacional;01 Andalucía;Resto de América;Mayo;75.031
Total Nacional;01 Andalucía;Resto de América;Junio;61.894
Total Nacional;01 Andalucía;Resto de América;Julio;57.521
Total Nacional;01 Andalucía;Resto de América;Agosto;54.392
Total Nacional;01 Andalucía;Resto de América;Septiembre;73.963
Total Nacional;01 Andalucía;Resto de América;Octubre;77.814
Total Nacional;01 Andalucía;Resto de América;Noviembre;44.710
Total Nacional;01 Andalucía;Resto de América;Diciembre;37.086
Total Nacional;01 Andalucía;Países africanos;Total;250.517
Total Nacional;01 Andalucía;Países africanos;Enero;19.680
Total Nacional;01 Andalucía;Países africanos;Febrero;14.064
Total Nacional;01 Andalucía;Países africanos;Marzo;9.587
Total Nacional;01 Andalucía;Países africanos;Abril;18.195
Total Nacional;01 Andalucía;Países africanos;Mayo;18.630
Total Nacional;01 Andalucía;Países africanos;Junio;19.583
Total Nacional;01 Andalucía;Países africanos;Julio;33.281
Total Nacional;01 Andalucía;Países africanos;Agosto;47.216
Total Nacional;01 Andalucía;Países africanos;Septiembre;21.356
Total Nacional;01 Andalucía;Países africanos;Octubre;16.459
Total Nacional;01 Andalucía;Países africanos;Noviembre;13.423
Total Nacional;01 Andalucía;Países africanos;Diciembre;19.041
Total Nacional;04 Balears, Illes;Total;Total;12.404.346
Total Nacional;04 Balears, Illes;Total;Enero;69.271
Total Nacional;04 Balears, Illes;Total;Febrero;148.843
Total Nacional;04 Balears, Illes;Total;Marzo;375.281
Total Nacional;04 Balears, Illes;Total;Abril;761.737
Total Nacional;04 Balears, Illes;Total;Mayo;1.747.086
Total Nacional;04 Balears, Illes;Total;Junio;1.859.985
Total Nacional;04 Balears, Illes;Total;Julio;2.022.788
Total Nacional;04 Balears, Illes;Total;Agosto;2.093.220
Total Nacional;04 Balears, Illes;Total;Septiembre;1.741.692
Total Nacional;04 Balears, Illes;Total;Octubre;1.360.646
Total Nacional;04 Balears, Illes;Total;Noviembre;121.271
Total Nacional;04 Balears, Illes;Total;Diciembre;102.526
Total Nacional;04 Balears, Illes;Residentes en España;Total;1.609.420
Total Nacional;04 Balears, Illes;Residentes en España;Enero;30.560
Total Nacional;04 Balears, Illes;Residentes en España;Febrero;57.019
Total Nacional;04 Balears, Illes;Residentes en España;Marzo;104.550
Total Nacional;04 Balears, Illes;Residentes en España;Abril;111.851
Total Nacional;04 Balears, Illes;Residentes en España;Mayo;189.989
Total Nacional;04 Balears, Illes;Residentes en España;Junio;241.084
Total Nacional;04 Balears, Illes;Residentes en España;Julio;213.425
Total Nacional;04 Balears, Illes;Residentes en España;Agosto;241.846
Total Nacional;04 Balears, Illes;Residentes en España;Septiembre;177.047
Total Nacional;04 Balears, Illes;Residentes en España;Octubre;162.615
Total Nacional;04 Balears, Illes;Residentes en España;Noviembre;39.934
Total Nacional;04 Balears, Illes;Residentes en España;Diciembre;39.500
Total Nacional;04 Balears, Illes;No residentes en España;Total;10.794.926
Total Nacional;04 Balears, Illes;No residentes en España;Enero;38.711
Total Nacional;04 Balears, Illes;No residentes en España;Febrero;91.824
Total Nacional;04 Balears, Illes;No residentes en España;Marzo;270.731
Total Nacional;04 Balears, Illes;No residentes en España;Abril;649.886
Total Nacional;04 Balears, Illes;No residentes en España;Mayo;1.557.097
Total Nacional;04 Balears, Illes;No residentes en España;Junio;1.618.901
Total Nacional;04 Balears, Illes;No residentes en España;Julio;1.809.362
Total Nacional;04 Balears, Illes;No residentes en España;Agosto;1.851.374
Total Nacional;04 Balears, Illes;No residentes en España;Septiembre;1.564.645
Total Nacional;04 Balears, Illes;No residentes en España;Octubre;1.198.031
Total Nacional;04 Balears, Illes;No residentes en España;Noviembre;81.337
Total Nacional;04 Balears, Illes;No residentes en España;Diciembre;63.026
Total Nacional;04 Balears, Illes;Unión Europea 27 (sin España);Total;6.667.198
Total Nacional;04 Balears, Illes;Unión Europea 27 (sin España);Enero;28.427
Total Nacional;04 Balears, Illes;Unión Europea 27 (sin España);Febrero;70.892
Total Nacional;04 Balears, Illes;Unión Europea 27 (sin España);Marzo;203.647
Total Nacional;04 Balears, Illes;Unión Europea 27 (sin España);Abril;461.859
Total Nacional;04 Balears, Illes;Unión Europea 27 (sin España);Mayo;950.135
Total Nacional;04 Balears, Illes;Unión Europea 27 (sin España);Junio;949.560
Total Nacional;04 Balears, Illes;Unión Europea 27 (sin España);Julio;1.065.034
Total Nacional;04 Balears, Illes;Unión Europea 27 (sin España);Agosto;1.131.160
Total Nacional;04 Balears, Illes;Unión Europea 27 (sin España);Septiembre;941.737
Total Nacional;04 Balears, Illes;Unión Europea 27 (sin España);Octubre;760.317
Total Nacional;04 Balears, Illes;Unión Europea 27 (sin España);Noviembre;59.635
Total Nacional;04 Balears, Illes;Unión Europea 27 (sin España);Diciembre;44.795
Total Nacional;04 Balears, Illes;Alemania;Total;3.285.031
Total Nacional;04 Balears, Illes;Alemania;Enero;18.454
Total Nacional;04 Balears, Illes;Alemania;Febrero;50.286
Total Nacional;04 Balears, Illes;Alemania;Marzo;144.897
Total Nacional;04 Balears, Illes;Alemania;Abril;254.102
Total Nacional;04 Balears, Illes;Alemania;Mayo;478.993
Total Nacional;04 Balears, Illes;Alemania;Junio;457.802
Total Nacional;04 Balears, Illes;Alemania;Julio;450.048
Total Nacional;04 Balears, Illes;Alemania;Agosto;460.578
Total Nacional;04 Balears, Illes;Alemania;Septiembre;466.880
Total Nacional;04 Balears, Illes;Alemania;Octubre;435.684
Total Nacional;04 Balears, Illes;Alemania;Noviembre;38.068
Total Nacional;04 Balears, Illes;Alemania;Diciembre;29.240
Total Nacional;04 Balears, Illes;Austria;Total;200.352
Total Nacional;04 Balears, Illes;Austria;Enero;797
Total Nacional;04 Balears, Illes;Austria;Febrero;2.664
Total Nacional;04 Balears, Illes;Austria;Marzo;7.862
Total Nacional;04 Balears, Illes;Austria;Abril;13.939
Total Nacional;04 Balears, Illes;Austria;Mayo;34.186
Total Nacional;04 Balears, Illes;Austria;Junio;25.993
Total Nacional;04 Balears, Illes;Austria;Julio;32.724
Total Nacional;04 Balears, Illes;Austria;Agosto;32.956
Total Nacional;04 Balears, Illes;Austria;Septiembre;25.499
Total Nacional;04 Balears, Illes;Austria;Octubre;19.773
Total Nacional;04 Balears, Illes;Austria;Noviembre;2.278
Total Nacional;04 Balears, Illes;Austria;Diciembre;1.683
Total Nacional;04 Balears, Illes;Bélgica;Total;161.562
Total Nacional;04 Balears, Illes;Bélgica;Enero;513
Total Nacional;04 Balears, Illes;Bélgica;Febrero;1.099
Total Nacional;04 Balears, Illes;Bélgica;Marzo;3.522
Total Nacional;04 Balears, Illes;Bélgica;Abril;12.067
Total Nacional;04 Balears, Illes;Bélgica;Mayo;24.230
Total Nacional;04 Balears, Illes;Bélgica;Junio;20.675
Total Nacional;04 Balears, Illes;Bélgica;Julio;31.584
Total Nacional;04 Balears, Illes;Bélgica;Agosto;26.283
Total Nacional;04 Balears, Illes;Bélgica;Septiembre;25.109
Total Nacional;04 Balears, Illes;Bélgica;Octubre;14.357
Total Nacional;04 Balears, Illes;Bélgica;Noviembre;1.189
Total Nacional;04 Balears, Illes;Bélgica;Diciembre;934
Total Nacional;04 Balears, Illes;Dinamarca;Total;126.562
