apartment_id,room_type,price,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,number_of_reviews,reviews_per_month,city,insert_date,reviews 80+
6899113,Private room,200.0,True,0,0,0,0,,0,,Madrid,2019-12-10,
6902570,Private room,150.0,True,13,43,63,63,83,51,15,Barcelona,2018-04-12,True
6906944,Private room,250.0,True,30,60,90,365,,0,,Barcelona,2018-09-11,
6910639,Entire home/apt,1500.0,True,27,47,71,338,90,66,231,Malaga,2017-11-25,True
6914078,Entire home/apt,1500.0,False,28,58,73,271,100,2,1,Mallorca,2017-03-15,True
6921005,Private room,250.0,True,0,0,0,259,92,19,31,Madrid,2020-07-17,True
6928805,Private room,800.0,True,30,60,90,365,98,21,103,Barcelona,2018-11-07,True
6936123,Entire home/apt,2600.0,True,23,28,28,237,95,4,12,Mallorca,2018-04-18,True
6936346,Entire home/apt,780.0,True,28,58,59,116,,0,,Girona,2020-02-29,
6945630,Entire home/apt,390.0,True,0,0,0,0,83,6,21,Malaga,2017-11-25,True
6948407,Private room,350.0,True,29,59,89,179,94,44,161,Barcelona,2017-11-13,True
6957564,Private room,380.0,True,1,1,19,19,99,16,43,Girona,2020-06-29,True
6961891,Entire home/apt,950.0,False,0,0,0,0,80,3,42,Barcelona,2017-02-09,True
6962517,Entire home/apt,780.0,True,30,60,90,365,91,102,154,Mallorca,2021-01-16,True
6980777,Entire home/apt,590.0,True,0,0,7,7,98,103,259,Madrid,2018-10-10,True
6982716,Private room,290.0,True,0,0,0,37,,0,,Madrid,2020-07-17,
6985350,Entire home/apt,900.0,True,29,52,76,152,98,51,132,Girona,2018-11-26,True
6986979,Private room,220.0,True,0,15,45,320,87,20,4,Barcelona,2019-09-17,True
7003233,Entire home/apt,1200.0,False,28,58,88,88,84,22,125,Barcelona,2017-01-04,True
7008175,Private room,500.0,True,22,45,70,333,95,244,441,Barcelona,2020-06-13,True
7018330,Private room,990.0,False,30,60,90,358,100,4,23,Mallorca,2017-03-15,True
7019190,Entire home/apt,2040.0,True,0,0,22,290,100,1,6,Menorca,2018-10-25,True
7029540,Private room,270.0,True,30,50,50,272,94,19,79,Madrid,2018-09-11,True
