apartment_id,room_type,price,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,first_review_date,last_review_date,number_of_reviews,reviews_per_month,city,insert_date,price_missing,reviews 80+
19083329,Entire home/apt,2000.0,True,30,60,90,365,95,2017-07-20,2018-10-09,4,0.14,Mallorca,2019-11-28,False,True
19083566,Entire home/apt,1290.0,True,0,22,41,274,90,2017-07-08,2019-12-31,43,1.35,Mallorca,2020-02-29,False,True
19090168,Private room,550.0,True,16,16,16,16,86,2017-06-26,2019-07-22,22,0.86,Madrid,2019-08-12,False,True
19100186,Private room,600.0,True,30,60,90,90,,,,0,,Madrid,2018-01-17,False,
19109336,Entire home/apt,600.0,True,0,0,0,0,95,2017-06-13,2020-03-24,247,7.04,Madrid,2020-05-14,False,True
19109480,Entire home/apt,4000.0,True,0,0,0,0,,,,0,,Madrid,2020-03-17,False,
19110573,Entire home/apt,3450.0,True,30,60,90,365,100,2018-08-21,2019-04-23,2,0.08,Mallorca,2020-10-21,False,True
19111232,Entire home/apt,1650.0,True,2,4,14,240,,,,0,,Mallorca,2018-07-29,False,
19111395,Entire home/apt,830.0,True,0,2,29,61,92,2017-09-15,2019-04-09,27,1.39,Sevilla,2019-04-27,False,True
19112401,Entire home/apt,800.0,True,1,1,5,5,86,2017-06-25,2018-07-07,20,1.52,Girona,2018-07-31,False,True
19115782,Private room,600.0,True,12,17,47,53,92,2017-06-19,2018-06-16,21,1.65,Barcelona,2018-07-10,False,True
19118780,Private room,390.0,True,19,41,71,71,91,2017-08-19,2018-10-29,15,0.81,Barcelona,2019-03-08,False,True
19118872,Private room,420.0,True,2,3,10,254,98,2017-06-13,2019-03-03,106,5.09,Barcelona,2019-03-08,False,True
19127026,Entire home/apt,630.0,True,0,0,0,0,100,2017-07-03,2017-08-31,4,0.17,Girona,2019-05-29,False,True
19127901,Entire home/apt,2000.0,True,0,0,0,0,100,2017-07-12,2017-07-27,2,0.16,Malaga,2018-07-31,False,True
19129261,Entire home/apt,570.0,True,9,25,50,325,100,2017-11-12,2019-01-28,4,0.25,Madrid,2019-03-08,False,True
19133192,Entire home/apt,2200.0,True,28,58,88,179,,,,0,,Mallorca,2018-04-18,False,
19134244,Entire home/apt,1400.0,True,29,59,89,319,93,2017-06-27,2019-06-29,4,0.12,Girona,2020-02-29,False,True
19135262,Private room,600.0,True,28,58,88,88,100,2017-07-01,2017-07-07,2,0.05,Madrid,2020-10-17,False,True
19138115,Private room,300.0,True,0,0,0,0,90,2017-06-18,2017-07-03,2,0.55,Barcelona,2017-10-07,False,True
19150818,Private room,400.0,True,29,59,89,361,100,2017-08-20,2019-08-22,2,0.07,Malaga,2020-01-31,False,True
