Totales Territoriales;Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
Total Nacional;01 Andalucía;Luxemburgo;Febrero;605
Total Nacional;01 Andalucía;Luxemburgo;Marzo;328
Total Nacional;01 Andalucía;Luxemburgo;Abril;816
Total Nacional;01 Andalucía;Luxemburgo;Mayo;751
Total Nacional;01 Andalucía;Luxemburgo;Junio;442
Total Nacional;01 Andalucía;Luxemburgo;Julio;464
Total Nacional;01 Andalucía;Luxemburgo;Agosto;1.372
Total Nacional;01 Andalucía;Luxemburgo;Septiembre;433
Total Nacional;01 Andalucía;Luxemburgo;Octubre;488
Total Nacional;01 Andalucía;Luxemburgo;Noviembre;1.186
Total Nacional;01 Andalucía;Luxemburgo;Diciembre;1.379
Total Nacional;01 Andalucía;Países Bajos;Total;689.214
Total Nacional;01 Andalucía;Países Bajos;Enero;50.865
Total Nacional;01 Andalucía;Países Bajos;Febrero;47.871
Total Nacional;01 Andalucía;Países Bajos;Marzo;41.452
Total Nacional;01 Andalucía;Países Bajos;Abril;59.014
Total Nacional;01 Andalucía;Países Bajos;Mayo;84.009
Total Nacional;01 Andalucía;Países Bajos;Junio;51.119
Total Nacional;01 Andalucía;Países Bajos;Julio;81.011
Total Nacional;01 Andalucía;Países Bajos;Agosto;83.514
Total Nacional;01 Andalucía;Países Bajos;Septiembre;59.263
Total Nacional;01 Andalucía;Países Bajos;Octubre;58.127
Total Nacional;01 Andalucía;Países Bajos;Noviembre;38.406
Total Nacional;01 Andalucía;Países Bajos;Diciembre;34.564
Total Nacional;01 Andalucía;Polonia;Total;181.531
Total Nacional;01 Andalucía;Polonia;Enero;29.167
Total Nacional;01 Andalucía;Polonia;Febrero;18.780
Total Nacional;01 Andalucía;Polonia;Marzo;12.172
Total Nacional;01 Andalucía;Polonia;Abril;13.561
Total Nacional;01 Andalucía;Polonia;Mayo;16.311
Total Nacional;01 Andalucía;Polonia;Junio;13.428
Total Nacional;01 Andalucía;Polonia;Julio;12.423
Total Nacional;01 Andalucía;Polonia;Agosto;16.324
Total Nacional;01 Andalucía;Polonia;Septiembre;11.740
Total Nacional;01 Andalucía;Polonia;Octubre;15.472
Total Nacional;01 Andalucía;Polonia;Noviembre;14.353
Total Nacional;01 Andalucía;Polonia;Diciembre;7.799
Total Nacional;01 Andalucía;Portugal;Total;194.600
Total Nacional;01 Andalucía;Portugal;Enero;7.661
Total Nacional;01 Andalucía;Portugal;Febrero;7.429
Total Nacional;01 Andalucía;Portugal;Marzo;8.112
Total Nacional;01 Andalucía;Portugal;Abril;15.705
Total Nacional;01 Andalucía;Portugal;Mayo;9.374
Total Nacional;01 Andalucía;Portugal;Junio;18.973
Total Nacional;01 Andalucía;Portugal;Julio;25.555
Total Nacional;01 Andalucía;Portugal;Agosto;58.674
Total Nacional;01 Andalucía;Portugal;Septiembre;24.381
Total Nacional;01 Andalucía;Portugal;Octubre;6.516
Total Nacional;01 Andalucía;Portugal;Noviembre;5.026
Total Nacional;01 Andalucía;Portugal;Diciembre;7.194
Total Nacional;01 Andalucía;Republica Checa;Total;68.037
Total Nacional;01 Andalucía;Republica Checa;Enero;3.369
Total Nacional;01 Andalucía;Republica Checa;Febrero;4.166
Total Nacional;01 Andalucía;Republica Checa;Marzo;3.871
Total Nacional;01 Andalucía;Republica Checa;Abril;6.765
Total Nacional;01 Andalucía;Republica Checa;Mayo;5.751
Total Nacional;01 Andalucía;Republica Checa;Junio;4.688
Total Nacional;01 Andalucía;Republica Checa;Julio;11.875
Total Nacional;01 Andalucía;Republica Checa;Agosto;8.888
Total Nacional;01 Andalucía;Republica Checa;Septiembre;6.704
Total Nacional;01 Andalucía;Republica Checa;Octubre;6.890
Total Nacional;01 Andalucía;Republica Checa;Noviembre;2.699
Total Nacional;01 Andalucía;Republica Checa;Diciembre;2.371
Total Nacional;01 Andalucía;Suecia;Total;182.120
Total Nacional;01 Andalucía;Suecia;Enero;14.755
Total Nacional;01 Andalucía;Suecia;Febrero;17.476
Total Nacional;01 Andalucía;Suecia;Marzo;27.506
Total Nacional;01 Andalucía;Suecia;Abril;21.529
Total Nacional;01 Andalucía;Suecia;Mayo;8.999
Total Nacional;01 Andalucía;Suecia;Junio;10.869
Total Nacional;01 Andalucía;Suecia;Julio;13.335
Total Nacional;01 Andalucía;Suecia;Agosto;10.435
Total Nacional;01 Andalucía;Suecia;Septiembre;6.502
Total Nacional;01 Andalucía;Suecia;Octubre;16.004
Total Nacional;01 Andalucía;Suecia;Noviembre;21.071
Total Nacional;01 Andalucía;Suecia;Diciembre;13.640
Total Nacional;01 Andalucía;Resto de la UE;Total;168.894
Total Nacional;01 Andalucía;Resto de la UE;Enero;12.589
Total Nacional;01 Andalucía;Resto de la UE;Febrero;15.986
Total Nacional;01 Andalucía;Resto de la UE;Marzo;12.797
Total Nacional;01 Andalucía;Resto de la UE;Abril;11.692
Total Nacional;01 Andalucía;Resto de la UE;Mayo;16.695
Total Nacional;01 Andalucía;Resto de la UE;Junio;15.050
Total Nacional;01 Andalucía;Resto de la UE;Julio;16.511
Total Nacional;01 Andalucía;Resto de la UE;Agosto;13.878
Total Nacional;01 Andalucía;Resto de la UE;Septiembre;9.827
Total Nacional;01 Andalucía;Resto de la UE;Octubre;19.327
Total Nacional;01 Andalucía;Resto de la UE;Noviembre;13.147
Total Nacional;01 Andalucía;Resto de la UE;Diciembre;11.393
Total Nacional;01 Andalucía;Noruega;Total;153.317
Total Nacional;01 Andalucía;Noruega;Enero;12.047
Total Nacional;01 Andalucía;Noruega;Febrero;26.592
Total Nacional;01 Andalucía;Noruega;Marzo;27.692
Total Nacional;01 Andalucía;Noruega;Abril;12.888
Total Nacional;01 Andalucía;Noruega;Mayo;12.081
Total Nacional;01 Andalucía;Noruega;Junio;6.712
Total Nacional;01 Andalucía;Noruega;Julio;8.417
Total Nacional;01 Andalucía;Noruega;Agosto;5.636
Total Nacional;01 Andalucía;Noruega;Septiembre;5.957
Total Nacional;01 Andalucía;Noruega;Octubre;19.183
Total Nacional;01 Andalucía;Noruega;Noviembre;13.191
Total Nacional;01 Andalucía;Noruega;Diciembre;2.922
Total Nacional;01 Andalucía;Reino Unido;Total;1.405.674
Total Nacional;01 Andalucía;Reino Unido;Enero;66.745
Total Nacional;01 Andalucía;Reino Unido;Febrero;85.932
Total Nacional;01 Andalucía;Reino Unido;Marzo;99.345
Total Nacional;01 Andalucía;Reino Unido;Abril;127.065
