Totales Territoriales;Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
Total nacional;;Luxemburgo;Total;463.027
Total nacional;;Luxemburgo;Enero;23.543
Total nacional;;Luxemburgo;Febrero;20.118
Total nacional;;Luxemburgo;Marzo;21.886
Total nacional;;Luxemburgo;Abril;40.666
Total nacional;;Luxemburgo;Mayo;44.824
Total nacional;;Luxemburgo;Junio;48.254
Total nacional;;Luxemburgo;Julio;49.713
Total nacional;;Luxemburgo;Agosto;69.077
Total nacional;;Luxemburgo;Septiembre;60.722
Total nacional;;Luxemburgo;Octubre;34.298
Total nacional;;Luxemburgo;Noviembre;20.081
Total nacional;;Luxemburgo;Diciembre;29.844
Total nacional;;Países Bajos;Total;9.613.613
Total nacional;;Países Bajos;Enero;357.489
Total nacional;;Países Bajos;Febrero;388.913
Total nacional;;Países Bajos;Marzo;446.086
Total nacional;;Países Bajos;Abril;735.394
Total nacional;;Países Bajos;Mayo;1.064.094
Total nacional;;Países Bajos;Junio;969.202
Total nacional;;Países Bajos;Julio;1.323.352
Total nacional;;Países Bajos;Agosto;1.460.336
Total nacional;;Países Bajos;Septiembre;1.148.044
Total nacional;;Países Bajos;Octubre;969.142
Total nacional;;Países Bajos;Noviembre;394.892
Total nacional;;Países Bajos;Diciembre;356.670
Total nacional;;Polonia;Total;4.456.054
Total nacional;;Polonia;Enero;184.442
Total nacional;;Polonia;Febrero;179.215
Total nacional;;Polonia;Marzo;194.948
Total nacional;;Polonia;Abril;225.298
Total nacional;;Polonia;Mayo;403.943
Total nacional;;Polonia;Junio;571.035
Total nacional;;Polonia;Julio;689.983
Total nacional;;Polonia;Agosto;688.016
Total nacional;;Polonia;Septiembre;632.968
Total nacional;;Polonia;Octubre;332.334
Total nacional;;Polonia;Noviembre;185.749
Total nacional;;Polonia;Diciembre;168.124
Total nacional;;Portugal;Total;3.740.820
Total nacional;;Portugal;Enero;116.773
Total nacional;;Portugal;Febrero;153.682
Total nacional;;Portugal;Marzo;153.055
Total nacional;;Portugal;Abril;380.299
Total nacional;;Portugal;Mayo;222.506
Total nacional;;Portugal;Junio;431.372
Total nacional;;Portugal;Julio;565.301
Total nacional;;Portugal;Agosto;742.214
Total nacional;;Portugal;Septiembre;464.807
Total nacional;;Portugal;Octubre;223.358
Total nacional;;Portugal;Noviembre;137.157
Total nacional;;Portugal;Diciembre;150.296
Total nacional;;Reino Unido;Total;57.153.097
Total nacional;;Reino Unido;Enero;2.324.896
Total nacional;;Reino Unido;Febrero;2.385.277
Total nacional;;Reino Unido;Marzo;3.012.149
Total nacional;;Reino Unido;Abril;3.818.432
Total nacional;;Reino Unido;Mayo;6.320.342
Total nacional;;Reino Unido;Junio;7.192.967
Total nacional;;Reino Unido;Julio;7.292.237
Total nacional;;Reino Unido;Agosto;7.635.304
Total nacional;;Reino Unido;Septiembre;7.174.952
Total nacional;;Reino Unido;Octubre;5.420.205
Total nacional;;Reino Unido;Noviembre;2.414.843
Total nacional;;Reino Unido;Diciembre;2.161.492
Total nacional;;República Checa;Total;1.300.797
Total nacional;;República Checa;Enero;25.469
Total nacional;;República Checa;Febrero;34.303
Total nacional;;República Checa;Marzo;39.735
Total nacional;;República Checa;Abril;48.160
Total nacional;;República Checa;Mayo;81.851
Total nacional;;República Checa;Junio;199.771
Total nacional;;República Checa;Julio;242.829
Total nacional;;República Checa;Agosto;223.791
Total nacional;;República Checa;Septiembre;266.405
Total nacional;;República Checa;Octubre;78.103
Total nacional;;República Checa;Noviembre;35.730
Total nacional;;República Checa;Diciembre;24.650
Total nacional;;Suecia;Total;6.253.063
Total nacional;;Suecia;Enero;492.939
Total nacional;;Suecia;Febrero;472.699
Total nacional;;Suecia;Marzo;551.168
Total nacional;;Suecia;Abril;476.969
Total nacional;;Suecia;Mayo;520.303
Total nacional;;Suecia;Junio;591.103
Total nacional;;Suecia;Julio;538.332
Total nacional;;Suecia;Agosto;553.405
Total nacional;;Suecia;Septiembre;511.310
Total nacional;;Suecia;Octubre;520.850
Total nacional;;Suecia;Noviembre;558.572
Total nacional;;Suecia;Diciembre;465.415
Total nacional;;Noruega;Total;3.364.264
Total nacional;;Noruega;Enero;222.456
Total nacional;;Noruega;Febrero;281.491
Total nacional;;Noruega;Marzo;284.342
Total nacional;;Noruega;Abril;289.377
Total nacional;;Noruega;Mayo;213.813
Total nacional;;Noruega;Junio;302.801
Total nacional;;Noruega;Julio;428.606
Total nacional;;Noruega;Agosto;224.293
Total nacional;;Noruega;Septiembre;288.897
Total nacional;;Noruega;Octubre;330.891
Total nacional;;Noruega;Noviembre;285.970
Total nacional;;Noruega;Diciembre;211.326
Total nacional;;Rusia;Total;4.833.374
Total nacional;;Rusia;Enero;162.142
Total nacional;;Rusia;Febrero;97.281
Total nacional;;Rusia;Marzo;138.954
Total nacional;;Rusia;Abril;175.621
Total nacional;;Rusia;Mayo;326.138
Total nacional;;Rusia;Junio;780.333
Total nacional;;Rusia;Julio;953.227
Total nacional;;Rusia;Agosto;909.782
Total nacional;;Rusia;Septiembre;799.557
Total nacional;;Rusia;Octubre;261.343
Total nacional;;Rusia;Noviembre;128.129
Total nacional;;Rusia;Diciembre;100.867
Total nacional;;Suiza;Total;4.412.500
Total nacional;;Suiza;Enero;144.997
Total nacional;;Suiza;Febrero;163.553
Total nacional;;Suiza;Marzo;230.273
Total nacional;;Suiza;Abril;399.239
Total nacional;;Suiza;Mayo;412.064
Total nacional;;Suiza;Junio;466.448
Total nacional;;Suiza;Julio;718.783
Total nacional;;Suiza;Agosto;475.242
Total nacional;;Suiza;Septiembre;509.502
Total nacional;;Suiza;Octubre;567.058
Total nacional;;Suiza;Noviembre;186.998
Total nacional;;Suiza;Diciembre;138.343
Total nacional;;Resto de Europa sin U.E.;Total;3.631.550
Total nacional;;Resto de Europa sin U.E.;Enero;164.694
Total nacional;;Resto de Europa sin U.E.;Febrero;163.399
Total nacional;;Resto de Europa sin U.E.;Marzo;200.034
Total nacional;;Resto de Europa sin U.E.;Abril;266.805
Total nacional;;Resto de Europa sin U.E.;Mayo;281.774
Total nacional;;Resto de Europa sin U.E.;Junio;423.967
Total nacional;;Resto de Europa sin U.E.;Julio;533.574
Total nacional;;Resto de Europa sin U.E.;Agosto;472.325
Total nacional;;Resto de Europa sin U.E.;Septiembre;478.929
Total nacional;;Resto de Europa sin U.E.;Octubre;281.275
Total nacional;;Resto de Europa sin U.E.;Noviembre;196.041
Total nacional;;Resto de Europa sin U.E.;Diciembre;168.733
Total nacional;;Japón;Total;1.101.396
Total nacional;;Japón;Enero;80.773
Total nacional;;Japón;Febrero;89.267
Total nacional;;Japón;Marzo;113.091
Total nacional;;Japón;Abril;81.505
Total nacional;;Japón;Mayo;101.324
Total nacional;;Japón;Junio;109.361
Total nacional;;Japón;Julio;85.997
Total nacional;;Japón;Agosto;98.427
Total nacional;;Japón;Septiembre;106.685
Total nacional;;Japón;Octubre;100.356
Total nacional;;Japón;Noviembre;71.929
Total nacional;;Japón;Diciembre;62.683
Total nacional;;Estados Unidos;Total;6.510.010
Total nacional;;Estados Unidos;Enero;214.771
Total nacional;;Estados Unidos;Febrero;243.072
Total nacional;;Estados Unidos;Marzo;431.259
Total nacional;;Estados Unidos;Abril;567.009
Total nacional;;Estados Unidos;Mayo;747.113
Total nacional;;Estados Unidos;Junio;825.257
Total nacional;;Estados Unidos;Julio;821.776
Total nacional;;Estados Unidos;Agosto;592.516
Total nacional;;Estados Unidos;Septiembre;768.161
Total nacional;;Estados Unidos;Octubre;652.739
Total nacional;;Estados Unidos;Noviembre;366.038
Total nacional;;Estados Unidos;Diciembre;280.299
Total nacional;;Resto de América;Total;7.900.740
Total nacional;;Resto de América;Enero;449.603
Total nacional;;Resto de América;Febrero;417.615
Total nacional;;Resto de América;Marzo;487.196
Total nacional;;Resto de América;Abril;634.039
Total nacional;;Resto de América;Mayo;835.075
Total nacional;;Resto de América;Junio;835.799
Total nacional;;Resto de América;Julio;901.399
Total nacional;;Resto de América;Agosto;779.970
Total nacional;;Resto de América;Septiembre;860.590
Total nacional;;Resto de América;Octubre;792.297
Total nacional;;Resto de América;Noviembre;491.269
Total nacional;;Resto de América;Diciembre;415.888
Total nacional;;Países africanos;Total;1.902.355
Total nacional;;Países africanos;Enero;138.273
Total nacional;;Países africanos;Febrero;109.128
Total nacional;;Países africanos;Marzo;111.205
Total nacional;;Países africanos;Abril;134.567
Total nacional;;Países africanos;Mayo;130.038
Total nacional;;Países africanos;Junio;131.600
Total nacional;;Países africanos;Julio;265.796
Total nacional;;Países africanos;Agosto;356.267
Total nacional;;Países africanos;Septiembre;163.552
Total nacional;;Países africanos;Octubre;129.992
Total nacional;;Países africanos;Noviembre;116.200
Total nacional;;Países africanos;Diciembre;115.738
Total nacional;Andalucía;Total;Total;52.561.186
Total nacional;Andalucía;Total;Enero;2.042.959
Total nacional;Andalucía;Total;Febrero;2.491.926
Total nacional;Andalucía;Total;Marzo;3.380.964
Total nacional;Andalucía;Total;Abril;4.787.905
Total nacional;Andalucía;Total;Mayo;4.880.292
Total nacional;Andalucía;Total;Junio;5.547.936
Total nacional;Andalucía;Total;Julio;6.567.798
Total nacional;Andalucía;Total;Agosto;7.106.106
Total nacional;Andalucía;Total;Septiembre;5.938.714
Total nacional;Andalucía;Total;Octubre;4.923.433
Total nacional;Andalucía;Total;Noviembre;2.578.730
Total nacional;Andalucía;Total;Diciembre;2.314.425
Total nacional;Andalucía;Residentes en España;Total;23.338.294
Total nacional;Andalucía;Residentes en España;Enero;960.332
Total nacional;Andalucía;Residentes en España;Febrero;1.261.758
Total nacional;Andalucía;Residentes en España;Marzo;1.641.704
Total nacional;Andalucía;Residentes en España;Abril;2.122.056
Total nacional;Andalucía;Residentes en España;Mayo;1.747.488
Total nacional;Andalucía;Residentes en España;Junio;2.191.504
Total nacional;Andalucía;Residentes en España;Julio;3.241.594
Total nacional;Andalucía;Residentes en España;Agosto;3.679.226
Total nacional;Andalucía;Residentes en España;Septiembre;2.263.297
Total nacional;Andalucía;Residentes en España;Octubre;1.688.147
Total nacional;Andalucía;Residentes en España;Noviembre;1.207.567
Total nacional;Andalucía;Residentes en España;Diciembre;1.333.621
Total nacional;Andalucía;No residentes en España;Total;29.222.892
Total nacional;Andalucía;No residentes en España;Enero;1.082.626
Total nacional;Andalucía;No residentes en España;Febrero;1.230.168
Total nacional;Andalucía;No residentes en España;Marzo;1.739.260
Total nacional;Andalucía;No residentes en España;Abril;2.665.849
Total nacional;Andalucía;No residentes en España;Mayo;3.132.804
Total nacional;Andalucía;No residentes en España;Junio;3.356.432
Total nacional;Andalucía;No residentes en España;Julio;3.326.203
Total nacional;Andalucía;No residentes en España;Agosto;3.426.880
Total nacional;Andalucía;No residentes en España;Septiembre;3.675.417
Total nacional;Andalucía;No residentes en España;Octubre;3.235.286
Total nacional;Andalucía;No residentes en España;Noviembre;1.371.163
Total nacional;Andalucía;No residentes en España;Diciembre;980.803
Total nacional;Andalucía;Unión Europea (sin España);Total;22.921.118
Total nacional;Andalucía;Unión Europea (sin España);Enero;718.372
Total nacional;Andalucía;Unión Europea (sin España);Febrero;893.107
Total nacional;Andalucía;Unión Europea (sin España);Marzo;1.298.140
Total nacional;Andalucía;Unión Europea (sin España);Abril;2.110.807
Total nacional;Andalucía;Unión Europea (sin España);Mayo;2.509.281
Total nacional;Andalucía;Unión Europea (sin España);Junio;2.743.685
Total nacional;Andalucía;Unión Europea (sin España);Julio;2.631.714
Total nacional;Andalucía;Unión Europea (sin España);Agosto;2.771.494
Total nacional;Andalucía;Unión Europea (sin España);Septiembre;2.963.928
Total nacional;Andalucía;Unión Europea (sin España);Octubre;2.594.729
Total nacional;Andalucía;Unión Europea (sin España);Noviembre;1.004.793
Total nacional;Andalucía;Unión Europea (sin España);Diciembre;681.068
Total nacional;Andalucía;Alemania;Total;4.496.401
Total nacional;Andalucía;Alemania;Enero;99.972
Total nacional;Andalucía;Alemania;Febrero;135.387
Total nacional;Andalucía;Alemania;Marzo;254.322
Total nacional;Andalucía;Alemania;Abril;422.995
Total nacional;Andalucía;Alemania;Mayo;514.839
Total nacional;Andalucía;Alemania;Junio;599.523
Total nacional;Andalucía;Alemania;Julio;483.431
Total nacional;Andalucía;Alemania;Agosto;432.927
Total nacional;Andalucía;Alemania;Septiembre;641.444
Total nacional;Andalucía;Alemania;Octubre;650.931
Total nacional;Andalucía;Alemania;Noviembre;175.582
Total nacional;Andalucía;Alemania;Diciembre;85.048
Total nacional;Andalucía;Austria;Total;220.592
Total nacional;Andalucía;Austria;Enero;5.914
Total nacional;Andalucía;Austria;Febrero;10.829
Total nacional;Andalucía;Austria;Marzo;16.182
Total nacional;Andalucía;Austria;Abril;22.541
Total nacional;Andalucía;Austria;Mayo;23.868
Total nacional;Andalucía;Austria;Junio;21.027
Total nacional;Andalucía;Austria;Julio;24.139
Total nacional;Andalucía;Austria;Agosto;26.850
Total nacional;Andalucía;Austria;Septiembre;27.207
Total nacional;Andalucía;Austria;Octubre;24.796
Total nacional;Andalucía;Austria;Noviembre;12.778
Total nacional;Andalucía;Austria;Diciembre;4.461
Total nacional;Andalucía;Bélgica;Total;1.208.647
Total nacional;Andalucía;Bélgica;Enero;46.152
Total nacional;Andalucía;Bélgica;Febrero;54.258
Total nacional;Andalucía;Bélgica;Marzo;73.941
Total nacional;Andalucía;Bélgica;Abril;107.569
Total nacional;Andalucía;Bélgica;Mayo;124.962
Total nacional;Andalucía;Bélgica;Junio;119.427
Total nacional;Andalucía;Bélgica;Julio;160.050
Total nacional;Andalucía;Bélgica;Agosto;134.970
Total nacional;Andalucía;Bélgica;Septiembre;150.461
Total nacional;Andalucía;Bélgica;Octubre;131.268
Total nacional;Andalucía;Bélgica;Noviembre;65.182
Total nacional;Andalucía;Bélgica;Diciembre;40.407
Total nacional;Andalucía;Dinamarca;Total;552.376
Total nacional;Andalucía;Dinamarca;Enero;28.274
Total nacional;Andalucía;Dinamarca;Febrero;37.586
Total nacional;Andalucía;Dinamarca;Marzo;54.720
Total nacional;Andalucía;Dinamarca;Abril;43.840
Total nacional;Andalucía;Dinamarca;Mayo;49.348
Total nacional;Andalucía;Dinamarca;Junio;43.662
Total nacional;Andalucía;Dinamarca;Julio;72.768
Total nacional;Andalucía;Dinamarca;Agosto;39.501
Total nacional;Andalucía;Dinamarca;Septiembre;62.699
Total nacional;Andalucía;Dinamarca;Octubre;66.954
Total nacional;Andalucía;Dinamarca;Noviembre;36.837
Total nacional;Andalucía;Dinamarca;Diciembre;16.187
Total nacional;Andalucía;Finlandia;Total;322.756
Total nacional;Andalucía;Finlandia;Enero;15.833
Total nacional;Andalucía;Finlandia;Febrero;20.205
Total nacional;Andalucía;Finlandia;Marzo;32.180
Total nacional;Andalucía;Finlandia;Abril;35.261
Total nacional;Andalucía;Finlandia;Mayo;31.500
Total nacional;Andalucía;Finlandia;Junio;25.443
Total nacional;Andalucía;Finlandia;Julio;19.740
Total nacional;Andalucía;Finlandia;Agosto;10.994
Total nacional;Andalucía;Finlandia;Septiembre;22.979
Total nacional;Andalucía;Finlandia;Octubre;42.338
Total nacional;Andalucía;Finlandia;Noviembre;41.456
Total nacional;Andalucía;Finlandia;Diciembre;24.828
Total nacional;Andalucía;Francia;Total;2.536.491
Total nacional;Andalucía;Francia;Enero;56.073
Total nacional;Andalucía;Francia;Febrero;86.639
Total nacional;Andalucía;Francia;Marzo;109.445
Total nacional;Andalucía;Francia;Abril;258.798
Total nacional;Andalucía;Francia;Mayo;321.666
Total nacional;Andalucía;Francia;Junio;248.706
Total nacional;Andalucía;Francia;Julio;284.796
Total nacional;Andalucía;Francia;Agosto;430.762
Total nacional;Andalucía;Francia;Septiembre;304.039
Total nacional;Andalucía;Francia;Octubre;281.147
Total nacional;Andalucía;Francia;Noviembre;85.597
Total nacional;Andalucía;Francia;Diciembre;68.821
Total nacional;Andalucía;Grecia;Total;37.382
Total nacional;Andalucía;Grecia;Enero;1.739
Total nacional;Andalucía;Grecia;Febrero;2.855
Total nacional;Andalucía;Grecia;Marzo;1.967
Total nacional;Andalucía;Grecia;Abril;3.593
Total nacional;Andalucía;Grecia;Mayo;4.525
Total nacional;Andalucía;Grecia;Junio;3.354
Total nacional;Andalucía;Grecia;Julio;4.316
Total nacional;Andalucía;Grecia;Agosto;4.774
Total nacional;Andalucía;Grecia;Septiembre;3.259
Total nacional;Andalucía;Grecia;Octubre;2.584
Total nacional;Andalucía;Grecia;Noviembre;2.617
Total nacional;Andalucía;Grecia;Diciembre;1.799
Total nacional;Andalucía;Irlanda;Total;903.546
Total nacional;Andalucía;Irlanda;Enero;21.242
Total nacional;Andalucía;Irlanda;Febrero;23.903
Total nacional;Andalucía;Irlanda;Marzo;42.304
Total nacional;Andalucía;Irlanda;Abril;74.197
Total nacional;Andalucía;Irlanda;Mayo;107.033
Total nacional;Andalucía;Irlanda;Junio;128.350
Total nacional;Andalucía;Irlanda;Julio;120.233
Total nacional;Andalucía;Irlanda;Agosto;95.082
Total nacional;Andalucía;Irlanda;Septiembre;125.158
Total nacional;Andalucía;Irlanda;Octubre;115.697
Total nacional;Andalucía;Irlanda;Noviembre;31.361
Total nacional;Andalucía;Irlanda;Diciembre;18.986
Total nacional;Andalucía;Italia;Total;1.121.286
Total nacional;Andalucía;Italia;Enero;58.502
Total nacional;Andalucía;Italia;Febrero;57.505
Total nacional;Andalucía;Italia;Marzo;60.996
Total nacional;Andalucía;Italia;Abril;102.415
Total nacional;Andalucía;Italia;Mayo;103.969
Total nacional;Andalucía;Italia;Junio;109.476
Total nacional;Andalucía;Italia;Julio;103.750
Total nacional;Andalucía;Italia;Agosto;189.326
Total nacional;Andalucía;Italia;Septiembre;110.438
Total nacional;Andalucía;Italia;Octubre;91.787
Total nacional;Andalucía;Italia;Noviembre;64.090
Total nacional;Andalucía;Italia;Diciembre;69.033
Total nacional;Andalucía;Luxemburgo;Total;78.033
Total nacional;Andalucía;Luxemburgo;Enero;5.833
Total nacional;Andalucía;Luxemburgo;Febrero;2.512
Total nacional;Andalucía;Luxemburgo;Marzo;3.159
Total nacional;Andalucía;Luxemburgo;Abril;8.717
Total nacional;Andalucía;Luxemburgo;Mayo;7.888
Total nacional;Andalucía;Luxemburgo;Junio;6.286
Total nacional;Andalucía;Luxemburgo;Julio;7.637
Total nacional;Andalucía;Luxemburgo;Agosto;10.889
Total nacional;Andalucía;Luxemburgo;Septiembre;10.593
Total nacional;Andalucía;Luxemburgo;Octubre;7.043
Total nacional;Andalucía;Luxemburgo;Noviembre;3.903
Total nacional;Andalucía;Luxemburgo;Diciembre;3.573
Total nacional;Andalucía;Países Bajos;Total;1.605.166
Total nacional;Andalucía;Países Bajos;Enero;57.861
Total nacional;Andalucía;Países Bajos;Febrero;62.144
Total nacional;Andalucía;Países Bajos;Marzo;85.636
Total nacional;Andalucía;Países Bajos;Abril;143.733
Total nacional;Andalucía;Países Bajos;Mayo;197.049
Total nacional;Andalucía;Países Bajos;Junio;185.572
Total nacional;Andalucía;Países Bajos;Julio;161.690
Total nacional;Andalucía;Países Bajos;Agosto;205.829
Total nacional;Andalucía;Países Bajos;Septiembre;205.218
Total nacional;Andalucía;Países Bajos;Octubre;185.947
Total nacional;Andalucía;Países Bajos;Noviembre;67.066
Total nacional;Andalucía;Países Bajos;Diciembre;47.419
Total nacional;Andalucía;Polonia;Total;570.928
Total nacional;Andalucía;Polonia;Enero;12.867
Total nacional;Andalucía;Polonia;Febrero;17.360
Total nacional;Andalucía;Polonia;Marzo;19.592
Total nacional;Andalucía;Polonia;Abril;26.170
Total nacional;Andalucía;Polonia;Mayo;49.619
Total nacional;Andalucía;Polonia;Junio;91.413
Total nacional;Andalucía;Polonia;Julio;99.474
Total nacional;Andalucía;Polonia;Agosto;94.821
Total nacional;Andalucía;Polonia;Septiembre;90.370
Total nacional;Andalucía;Polonia;Octubre;42.361
Total nacional;Andalucía;Polonia;Noviembre;16.411
Total nacional;Andalucía;Polonia;Diciembre;10.470
Total nacional;Andalucía;Portugal;Total;696.810
Total nacional;Andalucía;Portugal;Enero;15.064
Total nacional;Andalucía;Portugal;Febrero;25.538
