Totales Territoriales	Comunidades y Ciudades Autónomas	País de residencia	Meses	Total
Total Nacional	01 Andalucía	Polonia	Febrero	5.024
Total Nacional	01 Andalucía	Polonia	Marzo	6.755
Total Nacional	01 Andalucía	Polonia	Abril	12.712
Total Nacional	01 Andalucía	Polonia	Mayo	15.963
Total Nacional	01 Andalucía	Polonia	Junio	18.543
Total Nacional	01 Andalucía	Polonia	Julio	17.222
Total Nacional	01 Andalucía	Polonia	Agosto	19.108
Total Nacional	01 Andalucía	Polonia	Septiembre	20.330
Total Nacional	01 Andalucía	Polonia	Octubre	12.399
Total Nacional	01 Andalucía	Polonia	Noviembre	5.962
Total Nacional	01 Andalucía	Polonia	Diciembre	4.223
Total Nacional	01 Andalucía	Portugal	Enero	8.528
Total Nacional	01 Andalucía	Portugal	Febrero	14.231
Total Nacional	01 Andalucía	Portugal	Marzo	15.209
Total Nacional	01 Andalucía	Portugal	Abril	25.334
Total Nacional	01 Andalucía	Portugal	Mayo	17.450
Total Nacional	01 Andalucía	Portugal	Junio	27.444
Total Nacional	01 Andalucía	Portugal	Julio	29.959
Total Nacional	01 Andalucía	Portugal	Agosto	51.003
Total Nacional	01 Andalucía	Portugal	Septiembre	26.562
Total Nacional	01 Andalucía	Portugal	Octubre	21.014
Total Nacional	01 Andalucía	Portugal	Noviembre	11.699
Total Nacional	01 Andalucía	Portugal	Diciembre	13.791
Total Nacional	01 Andalucía	Reino Unido	Enero	55.414
Total Nacional	01 Andalucía	Reino Unido	Febrero	70.810
Total Nacional	01 Andalucía	Reino Unido	Marzo	101.933
Total Nacional	01 Andalucía	Reino Unido	Abril	134.501
Total Nacional	01 Andalucía	Reino Unido	Mayo	184.074
Total Nacional	01 Andalucía	Reino Unido	Junio	186.636
Total Nacional	01 Andalucía	Reino Unido	Julio	157.420
Total Nacional	01 Andalucía	Reino Unido	Agosto	140.388
Total Nacional	01 Andalucía	Reino Unido	Septiembre	191.701
Total Nacional	01 Andalucía	Reino Unido	Octubre	153.804
Total Nacional	01 Andalucía	Reino Unido	Noviembre	71.877
Total Nacional	01 Andalucía	Reino Unido	Diciembre	56.985
Total Nacional	01 Andalucía	República Checa	Enero	924
Total Nacional	01 Andalucía	República Checa	Febrero	1.369
Total Nacional	01 Andalucía	República Checa	Marzo	2.032
Total Nacional	01 Andalucía	República Checa	Abril	2.309
Total Nacional	01 Andalucía	República Checa	Mayo	3.652
Total Nacional	01 Andalucía	República Checa	Junio	7.166
Total Nacional	01 Andalucía	República Checa	Julio	7.796
Total Nacional	01 Andalucía	República Checa	Agosto	6.216
Total Nacional	01 Andalucía	República Checa	Septiembre	6.637
Total Nacional	01 Andalucía	República Checa	Octubre	3.718
Total Nacional	01 Andalucía	República Checa	Noviembre	2.040
Total Nacional	01 Andalucía	República Checa	Diciembre	1.483
Total Nacional	01 Andalucía	Suecia	Enero	8.897
Total Nacional	01 Andalucía	Suecia	Febrero	10.386
Total Nacional	01 Andalucía	Suecia	Marzo	16.566
Total Nacional	01 Andalucía	Suecia	Abril	19.264
Total Nacional	01 Andalucía	Suecia	Mayo	15.421
Total Nacional	01 Andalucía	Suecia	Junio	15.751
Total Nacional	01 Andalucía	Suecia	Julio	15.604
Total Nacional	01 Andalucía	Suecia	Agosto	9.948
Total Nacional	01 Andalucía	Suecia	Septiembre	15.515
Total Nacional	01 Andalucía	Suecia	Octubre	21.052
Total Nacional	01 Andalucía	Suecia	Noviembre	12.694
Total Nacional	01 Andalucía	Suecia	Diciembre	8.355
Total Nacional	01 Andalucía	Noruega	Enero	3.918
Total Nacional	01 Andalucía	Noruega	Febrero	7.249
Total Nacional	01 Andalucía	Noruega	Marzo	7.371
Total Nacional	01 Andalucía	Noruega	Abril	9.716
Total Nacional	01 Andalucía	Noruega	Mayo	8.545
Total Nacional	01 Andalucía	Noruega	Junio	7.714
Total Nacional	01 Andalucía	Noruega	Julio	12.464
Total Nacional	01 Andalucía	Noruega	Agosto	5.540
Total Nacional	01 Andalucía	Noruega	Septiembre	11.371
Total Nacional	01 Andalucía	Noruega	Octubre	10.076
Total Nacional	01 Andalucía	Noruega	Noviembre	5.744
Total Nacional	01 Andalucía	Noruega	Diciembre	3.623
Total Nacional	01 Andalucía	Rusia	Enero	7.878
Total Nacional	01 Andalucía	Rusia	Febrero	4.304
Total Nacional	01 Andalucía	Rusia	Marzo	6.611
Total Nacional	01 Andalucía	Rusia	Abril	8.052
Total Nacional	01 Andalucía	Rusia	Mayo	9.071
Total Nacional	01 Andalucía	Rusia	Junio	8.435
Total Nacional	01 Andalucía	Rusia	Julio	8.247
Total Nacional	01 Andalucía	Rusia	Agosto	8.554
Total Nacional	01 Andalucía	Rusia	Septiembre	8.841
Total Nacional	01 Andalucía	Rusia	Octubre	7.670
Total Nacional	01 Andalucía	Rusia	Noviembre	5.102
Total Nacional	01 Andalucía	Rusia	Diciembre	5.289
Total Nacional	01 Andalucía	Suiza	Enero	4.772
Total Nacional	01 Andalucía	Suiza	Febrero	7.407
Total Nacional	01 Andalucía	Suiza	Marzo	10.487
Total Nacional	01 Andalucía	Suiza	Abril	18.450
Total Nacional	01 Andalucía	Suiza	Mayo	18.080
Total Nacional	01 Andalucía	Suiza	Junio	12.506
Total Nacional	01 Andalucía	Suiza	Julio	13.457
Total Nacional	01 Andalucía	Suiza	Agosto	9.538
Total Nacional	01 Andalucía	Suiza	Septiembre	18.277
Total Nacional	01 Andalucía	Suiza	Octubre	20.871
Total Nacional	01 Andalucía	Suiza	Noviembre	7.062
Total Nacional	01 Andalucía	Suiza	Diciembre	5.654
Total Nacional	01 Andalucía	Resto de Europa sin U.E.	Enero	7.728
Total Nacional	01 Andalucía	Resto de Europa sin U.E.	Febrero	9.816
Total Nacional	01 Andalucía	Resto de Europa sin U.E.	Marzo	9.634
Total Nacional	01 Andalucía	Resto de Europa sin U.E.	Abril	16.056
Total Nacional	01 Andalucía	Resto de Europa sin U.E.	Mayo	15.671
Total Nacional	01 Andalucía	Resto de Europa sin U.E.	Junio	14.525
Total Nacional	01 Andalucía	Resto de Europa sin U.E.	Julio	19.359
Total Nacional	01 Andalucía	Resto de Europa sin U.E.	Agosto	14.649
Total Nacional	01 Andalucía	Resto de Europa sin U.E.	Septiembre	14.536
Total Nacional	01 Andalucía	Resto de Europa sin U.E.	Octubre	14.668
Total Nacional	01 Andalucía	Resto de Europa sin U.E.	Noviembre	8.733
Total Nacional	01 Andalucía	Resto de Europa sin U.E.	Diciembre	7.743
Total Nacional	01 Andalucía	Japón	Enero	9.506
Total Nacional	01 Andalucía	Japón	Febrero	10.212
Total Nacional	01 Andalucía	Japón	Marzo	10.536
Total Nacional	01 Andalucía	Japón	Abril	10.375
Total Nacional	01 Andalucía	Japón	Mayo	12.281
Total Nacional	01 Andalucía	Japón	Junio	12.200
Total Nacional	01 Andalucía	Japón	Julio	8.652
Total Nacional	01 Andalucía	Japón	Agosto	11.158
Total Nacional	01 Andalucía	Japón	Septiembre	12.061
Total Nacional	01 Andalucía	Japón	Octubre	13.825
Total Nacional	01 Andalucía	Japón	Noviembre	12.494
Total Nacional	01 Andalucía	Japón	Diciembre	10.644
