Sexo;Provincias;Periodo;Total
Total;29 Málaga;2027;44,022459
Total;29 Málaga;2026;43,760031
Total;29 Málaga;2025;43,501273
Total;29 Málaga;2024;43,242352
Total;30 Murcia;2039;44,463742
Total;30 Murcia;2038;44,309558
Total;30 Murcia;2037;44,144254
Total;30 Murcia;2036;43,968031
Total;30 Murcia;2035;43,781566
Total;30 Murcia;2034;43,586204
Total;30 Murcia;2033;43,383624
Total;30 Murcia;2032;43,175982
Total;30 Murcia;2031;42,96572
Total;30 Murcia;2030;42,755274
Total;30 Murcia;2029;42,547041
Total;30 Murcia;2028;42,343067
Total;30 Murcia;2027;42,144816
Total;30 Murcia;2026;41,952192
Total;30 Murcia;2025;41,763093
Total;30 Murcia;2024;41,572379
Total;31 Navarra;2039;46,570898
Total;31 Navarra;2038;46,425074
Total;31 Navarra;2037;46,268506
Total;31 Navarra;2036;46,102005
Total;31 Navarra;2035;45,9266
Total;31 Navarra;2034;45,7441
Total;31 Navarra;2033;45,556933
Total;31 Navarra;2032;45,367765
Total;31 Navarra;2031;45,179452
Total;31 Navarra;2030;44,995244
Total;31 Navarra;2029;44,81794
Total;31 Navarra;2028;44,65014
Total;31 Navarra;2027;44,493366
Total;31 Navarra;2026;44,347559
Total;31 Navarra;2025;44,209497
Total;31 Navarra;2024;44,072009
Total;32 Ourense;2039;53,476421
Total;32 Ourense;2038;53,317284
Total;32 Ourense;2037;53,152343
Total;32 Ourense;2036;52,982439
Total;32 Ourense;2035;52,808647
Total;32 Ourense;2034;52,633274
Total;32 Ourense;2033;52,458883
Total;32 Ourense;2032;52,288215
Total;32 Ourense;2031;52,124138
Total;32 Ourense;2030;51,970267
Total;32 Ourense;2029;51,829464
Total;32 Ourense;2028;51,704069
Total;32 Ourense;2027;51,594916
Total;32 Ourense;2026;51,501619
Total;32 Ourense;2025;51,42033
Total;32 Ourense;2024;51,342639
Total;34 Palencia;2039;52,721152
Total;34 Palencia;2038;52,502866
Total;34 Palencia;2037;52,269668
Total;34 Palencia;2036;52,023088
Total;34 Palencia;2035;51,764952
Total;34 Palencia;2034;51,497709
Total;34 Palencia;2033;51,224231
Total;34 Palencia;2032;50,947879
Total;34 Palencia;2031;50,672261
Total;34 Palencia;2030;50,401018
Total;34 Palencia;2029;50,137209
Total;34 Palencia;2028;49,884342
Total;34 Palencia;2027;49,644483
Total;34 Palencia;2026;49,417876
Total;34 Palencia;2025;49,202381
Total;34 Palencia;2024;48,993619
Total;35 Palmas, Las;2039;48,174304
Total;35 Palmas, Las;2038;47,928458
Total;35 Palmas, Las;2037;47,671495
Total;35 Palmas, Las;2036;47,40357
Total;35 Palmas, Las;2035;47,125095
Total;35 Palmas, Las;2034;46,836964
