Sexo;Provincias;Periodo;Total
Hombres;34 Palencia;2034;50,245219
Hombres;34 Palencia;2033;49,987024
Hombres;34 Palencia;2032;49,721525
Hombres;34 Palencia;2031;49,451703
Hombres;34 Palencia;2030;49,180612
Hombres;34 Palencia;2029;48,911299
Hombres;34 Palencia;2028;48,646117
Hombres;34 Palencia;2027;48,387093
Hombres;34 Palencia;2026;48,134189
Hombres;34 Palencia;2025;47,884382
Hombres;34 Palencia;2024;47,633305
Hombres;35 Palmas, Las;2039;47,279626
Hombres;35 Palmas, Las;2038;47,049574
Hombres;35 Palmas, Las;2037;46,80747
Hombres;35 Palmas, Las;2036;46,553457
Hombres;35 Palmas, Las;2035;46,287929
Hombres;35 Palmas, Las;2034;46,011718
Hombres;35 Palmas, Las;2033;45,725967
Hombres;35 Palmas, Las;2032;45,432127
Hombres;35 Palmas, Las;2031;45,131846
Hombres;35 Palmas, Las;2030;44,826888
Hombres;35 Palmas, Las;2029;44,518836
Hombres;35 Palmas, Las;2028;44,20894
Hombres;35 Palmas, Las;2027;43,897793
Hombres;35 Palmas, Las;2026;43,584793
Hombres;35 Palmas, Las;2025;43,267655
Hombres;35 Palmas, Las;2024;42,942077
Hombres;36 Pontevedra;2039;49,409551
Hombres;36 Pontevedra;2038;49,196766
Hombres;36 Pontevedra;2037;48,97177
Hombres;36 Pontevedra;2036;48,734845
Hombres;36 Pontevedra;2035;48,486777
Hombres;36 Pontevedra;2034;48,228793
Hombres;36 Pontevedra;2033;47,962363
Hombres;36 Pontevedra;2032;47,689477
Hombres;36 Pontevedra;2031;47,412192
Hombres;36 Pontevedra;2030;47,132761
Hombres;36 Pontevedra;2029;46,853069
Hombres;36 Pontevedra;2028;46,574917
Hombres;36 Pontevedra;2027;46,299515
Hombres;36 Pontevedra;2026;46,02677
Hombres;36 Pontevedra;2025;45,755431
Hombres;36 Pontevedra;2024;45,482118
Hombres;26 Rioja, La;2039;46,971144
Hombres;26 Rioja, La;2038;46,805958
Hombres;26 Rioja, La;2037;46,628711
Hombres;26 Rioja, La;2036;46,440327
Hombres;26 Rioja, La;2035;46,242034
Hombres;26 Rioja, La;2034;46,035986
Hombres;26 Rioja, La;2033;45,82459
Hombres;26 Rioja, La;2032;45,610785
Hombres;26 Rioja, La;2031;45,397693
Hombres;26 Rioja, La;2030;45,188533
Hombres;26 Rioja, La;2029;44,986408
Hombres;26 Rioja, La;2028;44,79373
Hombres;26 Rioja, La;2027;44,612101
Hombres;26 Rioja, La;2026;44,441008
Hombres;26 Rioja, La;2025;44,276835
Hombres;26 Rioja, La;2024;44,112201
Hombres;37 Salamanca;2039;50,410174
Hombres;37 Salamanca;2038;50,230291
Hombres;37 Salamanca;2037;50,038698
Hombres;37 Salamanca;2036;49,836613
Hombres;37 Salamanca;2035;49,625489
Hombres;37 Salamanca;2034;49,407854
Hombres;37 Salamanca;2033;49,186938
Hombres;37 Salamanca;2032;48,966226
Hombres;37 Salamanca;2031;48,749538
Hombres;37 Salamanca;2030;48,540813
Hombres;37 Salamanca;2029;48,344179
Hombres;37 Salamanca;2028;48,162971
Hombres;37 Salamanca;2027;47,9999
Hombres;37 Salamanca;2026;47,856049
Hombres;37 Salamanca;2025;47,728233
Hombres;37 Salamanca;2024;47,611208
Hombres;38 Santa Cruz de Tenerife;2039;47,645517
Hombres;38 Santa Cruz de Tenerife;2038;47,412889
Hombres;38 Santa Cruz de Tenerife;2037;47,170288
Hombres;38 Santa Cruz de Tenerife;2036;46,918033
Hombres;38 Santa Cruz de Tenerife;2035;46,656735
Hombres;38 Santa Cruz de Tenerife;2034;46,387389
Hombres;38 Santa Cruz de Tenerife;2033;46,111266
Hombres;38 Santa Cruz de Tenerife;2032;45,82991
Hombres;38 Santa Cruz de Tenerife;2031;45,545081
Hombres;38 Santa Cruz de Tenerife;2030;45,258525
Hombres;38 Santa Cruz de Tenerife;2029;44,971861
Hombres;38 Santa Cruz de Tenerife;2028;44,686207
Hombres;38 Santa Cruz de Tenerife;2027;44,402138
Hombres;38 Santa Cruz de Tenerife;2026;44,118972
Hombres;38 Santa Cruz de Tenerife;2025;43,834465
Hombres;38 Santa Cruz de Tenerife;2024;43,543929
Hombres;40 Segovia;2039;48,701466
Hombres;40 Segovia;2038;48,509502
Hombres;40 Segovia;2037;48,304323
Hombres;40 Segovia;2036;48,087149
Hombres;40 Segovia;2035;47,85962
Hombres;40 Segovia;2034;47,624333
Hombres;40 Segovia;2033;47,384026
Hombres;40 Segovia;2032;47,142134
Hombres;40 Segovia;2031;46,902327
Hombres;40 Segovia;2030;46,668145
Hombres;40 Segovia;2029;46,442942
Hombres;40 Segovia;2028;46,229352
Hombres;40 Segovia;2027;46,028852
Hombres;40 Segovia;2026;45,842055
Hombres;40 Segovia;2025;45,665774
Hombres;40 Segovia;2024;45,4915
Hombres;41 Sevilla;2039;44,698221
Hombres;41 Sevilla;2038;44,541047
Hombres;41 Sevilla;2037;44,370253
Hombres;41 Sevilla;2036;44,185749
Hombres;41 Sevilla;2035;43,987823
Hombres;41 Sevilla;2034;43,777313
Hombres;41 Sevilla;2033;43,555367
Hombres;41 Sevilla;2032;43,323403
Hombres;41 Sevilla;2031;43,08308
Hombres;41 Sevilla;2030;42,836171
Hombres;41 Sevilla;2029;42,584248
Hombres;41 Sevilla;2028;42,328531
Hombres;41 Sevilla;2027;42,070028
Hombres;41 Sevilla;2026;41,808561
Hombres;41 Sevilla;2025;41,542869
Hombres;41 Sevilla;2024;41,269888
Hombres;42 Soria;2039;48,350304
Hombres;42 Soria;2038;48,229925
Hombres;42 Soria;2037;48,09748
Hombres;42 Soria;2036;47,954535
Hombres;42 Soria;2035;47,803136
Hombres;42 Soria;2034;47,645988
Hombres;42 Soria;2033;47,487021
Hombres;42 Soria;2032;47,330506
Hombres;42 Soria;2031;47,18116
Hombres;42 Soria;2030;47,044391
Hombres;42 Soria;2029;46,925349
Hombres;42 Soria;2028;46,828353
Hombres;42 Soria;2027;46,756474
Hombres;42 Soria;2026;46,710614
Hombres;42 Soria;2025;46,687533
Hombres;42 Soria;2024;46,676738
Hombres;43 Tarragona;2039;45,196738
Hombres;43 Tarragona;2038;45,041122
Hombres;43 Tarragona;2037;44,87534
Hombres;43 Tarragona;2036;44,699605
Hombres;43 Tarragona;2035;44,514792
Hombres;43 Tarragona;2034;44,322543
Hombres;43 Tarragona;2033;44,124888
Hombres;43 Tarragona;2032;43,924507
Hombres;43 Tarragona;2031;43,724522
Hombres;43 Tarragona;2030;43,528262
Hombres;43 Tarragona;2029;43,339176
Hombres;43 Tarragona;2028;43,160218
Hombres;43 Tarragona;2027;42,993787
Hombres;43 Tarragona;2026;42,840559
Hombres;43 Tarragona;2025;42,697979
Hombres;43 Tarragona;2024;42,559264
Hombres;44 Teruel;2039;47,576324
Hombres;44 Teruel;2038;47,452784
Hombres;44 Teruel;2037;47,317517
Hombres;44 Teruel;2036;47,171988
Hombres;44 Teruel;2035;47,018342
Hombres;44 Teruel;2034;46,859603
Hombres;44 Teruel;2033;46,6993
Hombres;44 Teruel;2032;46,541536
Hombres;44 Teruel;2031;46,390672
Hombres;44 Teruel;2030;46,25127
Hombres;44 Teruel;2029;46,127531
Hombres;44 Teruel;2028;46,022999
Hombres;44 Teruel;2027;45,940925
Hombres;44 Teruel;2026;45,880691
Hombres;44 Teruel;2025;45,839469
Hombres;44 Teruel;2024;45,809953
Hombres;45 Toledo;2039;44,947839
Hombres;45 Toledo;2038;44,789788
Hombres;45 Toledo;2037;44,619736
Hombres;45 Toledo;2036;44,437965
Hombres;45 Toledo;2035;44,245353
Hombres;45 Toledo;2034;44,043629
Hombres;45 Toledo;2033;43,83477
Hombres;45 Toledo;2032;43,621339
Hombres;45 Toledo;2031;43,406372
Hombres;45 Toledo;2030;43,193138
Hombres;45 Toledo;2029;42,984939
Hombres;45 Toledo;2028;42,784721
Hombres;45 Toledo;2027;42,594981
Hombres;45 Toledo;2026;42,416525
Hombres;45 Toledo;2025;42,247874
Hombres;45 Toledo;2024;42,083927
Hombres;46 Valencia/València;2039;44,975062
Hombres;46 Valencia/València;2038;44,837127
Hombres;46 Valencia/València;2037;44,689595
Hombres;46 Valencia/València;2036;44,53292
Hombres;46 Valencia/València;2035;44,368131
Hombres;46 Valencia/València;2034;44,196894
Hombres;46 Valencia/València;2033;44,021228
Hombres;46 Valencia/València;2032;43,843699
Hombres;46 Valencia/València;2031;43,667375
Hombres;46 Valencia/València;2030;43,495414
Hombres;46 Valencia/València;2029;43,330976
Hombres;46 Valencia/València;2028;43,176828
Hombres;46 Valencia/València;2027;43,035095
Hombres;46 Valencia/València;2026;42,905947
Hombres;46 Valencia/València;2025;42,786577
Hombres;46 Valencia/València;2024;42,669775
Hombres;47 Valladolid;2039;48,334351
Hombres;47 Valladolid;2038;48,206212
Hombres;47 Valladolid;2037;48,064617
Hombres;47 Valladolid;2036;47,910089
Hombres;47 Valladolid;2035;47,743379
Hombres;47 Valladolid;2034;47,566213
Hombres;47 Valladolid;2033;47,380333
Hombres;47 Valladolid;2032;47,187923
Hombres;47 Valladolid;2031;46,991608
Hombres;47 Valladolid;2030;46,794051
Hombres;47 Valladolid;2029;46,597662
Hombres;47 Valladolid;2028;46,404683
Hombres;47 Valladolid;2027;46,21697
Hombres;47 Valladolid;2026;46,034466
Hombres;47 Valladolid;2025;45,855033
Hombres;47 Valladolid;2024;45,673761
Hombres;49 Zamora;2039;53,802963
Hombres;49 Zamora;2038;53,599532
Hombres;49 Zamora;2037;53,384386
Hombres;49 Zamora;2036;53,158563
Hombres;49 Zamora;2035;52,923414
Hombres;49 Zamora;2034;52,681639
Hombres;49 Zamora;2033;52,435404
Hombres;49 Zamora;2032;52,187526
Hombres;49 Zamora;2031;51,940714
Hombres;49 Zamora;2030;51,698017
Hombres;49 Zamora;2029;51,462281
Hombres;49 Zamora;2028;51,236073
Hombres;49 Zamora;2027;51,020571
Hombres;49 Zamora;2026;50,814645
Hombres;49 Zamora;2025;50,616466
Hombres;49 Zamora;2024;50,421179
Hombres;50 Zaragoza;2039;45,999324
Hombres;50 Zaragoza;2038;45,867309
Hombres;50 Zaragoza;2037;45,724546
Hombres;50 Zaragoza;2036;45,571798
Hombres;50 Zaragoza;2035;45,410152
Hombres;50 Zaragoza;2034;45,241561
Hombres;50 Zaragoza;2033;45,068338
Hombres;50 Zaragoza;2032;44,893241
Hombres;50 Zaragoza;2031;44,719478
Hombres;50 Zaragoza;2030;44,55037
Hombres;50 Zaragoza;2029;44,389326
Hombres;50 Zaragoza;2028;44,238966
Hombres;50 Zaragoza;2027;44,10142
Hombres;50 Zaragoza;2026;43,976335
Hombres;50 Zaragoza;2025;43,860739
Hombres;50 Zaragoza;2024;43,746865
Hombres;51 Ceuta;2039;42,628844
Hombres;51 Ceuta;2038;42,410724
Hombres;51 Ceuta;2037;42,185059
Hombres;51 Ceuta;2036;41,951365
Hombres;51 Ceuta;2035;41,70946
Hombres;51 Ceuta;2034;41,459153
Hombres;51 Ceuta;2033;41,200071
Hombres;51 Ceuta;2032;40,93203
Hombres;51 Ceuta;2031;40,654896
Hombres;51 Ceuta;2030;40,368017
Hombres;51 Ceuta;2029;40,070867
Hombres;51 Ceuta;2028;39,76275
Hombres;51 Ceuta;2027;39,442655
Hombres;51 Ceuta;2026;39,109373
Hombres;51 Ceuta;2025;38,762023
Hombres;51 Ceuta;2024;38,400543
Hombres;52 Melilla;2039;41,870143
Hombres;52 Melilla;2038;41,583182
Hombres;52 Melilla;2037;41,287582
Hombres;52 Melilla;2036;40,983242
Hombres;52 Melilla;2035;40,670299
Hombres;52 Melilla;2034;40,348877
Hombres;52 Melilla;2033;40,019184
Hombres;52 Melilla;2032;39,681229
Hombres;52 Melilla;2031;39,335406
Hombres;52 Melilla;2030;38,98164
Hombres;52 Melilla;2029;38,61982
Hombres;52 Melilla;2028;38,249865
Hombres;52 Melilla;2027;37,871546
Hombres;52 Melilla;2026;37,484032
Hombres;52 Melilla;2025;37,087552
Hombres;52 Melilla;2024;36,6833
Mujeres;Total Nacional;2039;48,641007
Mujeres;Total Nacional;2038;48,458615
Mujeres;Total Nacional;2037;48,266312
Mujeres;Total Nacional;2036;48,064648
Mujeres;Total Nacional;2035;47,854668
Mujeres;Total Nacional;2034;47,638232
Mujeres;Total Nacional;2033;47,417568
Mujeres;Total Nacional;2032;47,195275
Mujeres;Total Nacional;2031;46,974256
Mujeres;Total Nacional;2030;46,757567
Mujeres;Total Nacional;2029;46,548075
Mujeres;Total Nacional;2028;46,348326
Mujeres;Total Nacional;2027;46,159925
Mujeres;Total Nacional;2026;45,982736
Mujeres;Total Nacional;2025;45,813961
Mujeres;Total Nacional;2024;45,64666
Mujeres;02 Albacete;2039;49,612223
Mujeres;02 Albacete;2038;49,395908
Mujeres;02 Albacete;2037;49,167724
Mujeres;02 Albacete;2036;48,928451
Mujeres;02 Albacete;2035;48,679206
Mujeres;02 Albacete;2034;48,421692
Mujeres;02 Albacete;2033;48,157943
Mujeres;02 Albacete;2032;47,889784
Mujeres;02 Albacete;2031;47,619434
Mujeres;02 Albacete;2030;47,348866
Mujeres;02 Albacete;2029;47,079671
Mujeres;02 Albacete;2028;46,813198
Mujeres;02 Albacete;2027;46,550202
Mujeres;02 Albacete;2026;46,289602
Mujeres;02 Albacete;2025;46,028558
Mujeres;02 Albacete;2024;45,762047
Mujeres;03 Alicante/Alacant;2039;49,007044
Mujeres;03 Alicante/Alacant;2038;48,805414
Mujeres;03 Alicante/Alacant;2037;48,592086
Mujeres;03 Alicante/Alacant;2036;48,367414
Mujeres;03 Alicante/Alacant;2035;48,132402
Mujeres;03 Alicante/Alacant;2034;47,888518
Mujeres;03 Alicante/Alacant;2033;47,637625
Mujeres;03 Alicante/Alacant;2032;47,381988
Mujeres;03 Alicante/Alacant;2031;47,124256
Mujeres;03 Alicante/Alacant;2030;46,866962
Mujeres;03 Alicante/Alacant;2029;46,61259
Mujeres;03 Alicante/Alacant;2028;46,363265
Mujeres;03 Alicante/Alacant;2027;46,120324
Mujeres;03 Alicante/Alacant;2026;45,883924
Mujeres;03 Alicante/Alacant;2025;45,652101
Mujeres;03 Alicante/Alacant;2024;45,419965
Mujeres;04 Almería;2039;45,048286
Mujeres;04 Almería;2038;44,898813
Mujeres;04 Almería;2037;44,738486
Mujeres;04 Almería;2036;44,567392
Mujeres;04 Almería;2035;44,386179
Mujeres;04 Almería;2034;44,195938
Mujeres;04 Almería;2033;43,998216
Mujeres;04 Almería;2032;43,794934
Mujeres;04 Almería;2031;43,588169
Mujeres;04 Almería;2030;43,379938
Mujeres;04 Almería;2029;43,172142
Mujeres;04 Almería;2028;42,966252
Mujeres;04 Almería;2027;42,762983
Mujeres;04 Almería;2026;42,561658
Mujeres;04 Almería;2025;42,35976
Mujeres;04 Almería;2024;42,151988
Mujeres;01 Araba/Álava;2039;50,178823
Mujeres;01 Araba/Álava;2038;49,987186
Mujeres;01 Araba/Álava;2037;49,784387
Mujeres;01 Araba/Álava;2036;49,571194
Mujeres;01 Araba/Álava;2035;49,348194
Mujeres;01 Araba/Álava;2034;49,11757
Mujeres;01 Araba/Álava;2033;48,881235
Mujeres;01 Araba/Álava;2032;48,641437
Mujeres;01 Araba/Álava;2031;48,40055
Mujeres;01 Araba/Álava;2030;48,161075
Mujeres;01 Araba/Álava;2029;47,924703
Mujeres;01 Araba/Álava;2028;47,693553
Mujeres;01 Araba/Álava;2027;47,46875
Mujeres;01 Araba/Álava;2026;47,249154
Mujeres;01 Araba/Álava;2025;47,031865
Mujeres;01 Araba/Álava;2024;46,810325
Mujeres;33 Asturias;2039;54,280448
Mujeres;33 Asturias;2038;54,097653
Mujeres;33 Asturias;2037;53,900987
Mujeres;33 Asturias;2036;53,691642
Mujeres;33 Asturias;2035;53,471196
Mujeres;33 Asturias;2034;53,242209
Mujeres;33 Asturias;2033;53,007432
Mujeres;33 Asturias;2032;52,770045
Mujeres;33 Asturias;2031;52,533193
Mujeres;33 Asturias;2030;52,300124
Mujeres;33 Asturias;2029;52,07357
Mujeres;33 Asturias;2028;51,855973
Mujeres;33 Asturias;2027;51,648422
Mujeres;33 Asturias;2026;51,450714
Mujeres;33 Asturias;2025;51,260642
Mujeres;33 Asturias;2024;51,071793
Mujeres;05 Ávila;2039;52,884545
Mujeres;05 Ávila;2038;52,674377
Mujeres;05 Ávila;2037;52,45359
Mujeres;05 Ávila;2036;52,223306
Mujeres;05 Ávila;2035;51,984301
Mujeres;05 Ávila;2034;51,740143
Mujeres;05 Ávila;2033;51,493242
Mujeres;05 Ávila;2032;51,247788
Mujeres;05 Ávila;2031;51,007684
Mujeres;05 Ávila;2030;50,776932
Mujeres;05 Ávila;2029;50,559778
Mujeres;05 Ávila;2028;50,359389
Mujeres;05 Ávila;2027;50,179704
Mujeres;05 Ávila;2026;50,020823
Mujeres;05 Ávila;2025;49,879317
Mujeres;05 Ávila;2024;49,748374
Mujeres;06 Badajoz;2039;50,135506
Mujeres;06 Badajoz;2038;49,891698
Mujeres;06 Badajoz;2037;49,63679
Mujeres;06 Badajoz;2036;49,371613
Mujeres;06 Badajoz;2035;49,097103
Mujeres;06 Badajoz;2034;48,814865
Mujeres;06 Badajoz;2033;48,526718
Mujeres;06 Badajoz;2032;48,234565
Mujeres;06 Badajoz;2031;47,940392
Mujeres;06 Badajoz;2030;47,646185
Mujeres;06 Badajoz;2029;47,353755
Mujeres;06 Badajoz;2028;47,064299
Mujeres;06 Badajoz;2027;46,77892
Mujeres;06 Badajoz;2026;46,497501
Mujeres;06 Badajoz;2025;46,218675
Mujeres;06 Badajoz;2024;45,939428
Mujeres;07 Balears, Illes;2039;46,615507
Mujeres;07 Balears, Illes;2038;46,4143
Mujeres;07 Balears, Illes;2037;46,204967
Mujeres;07 Balears, Illes;2036;45,987847
Mujeres;07 Balears, Illes;2035;45,763716
Mujeres;07 Balears, Illes;2034;45,53381
Mujeres;07 Balears, Illes;2033;45,299857
Mujeres;07 Balears, Illes;2032;45,063733
Mujeres;07 Balears, Illes;2031;44,827726
Mujeres;07 Balears, Illes;2030;44,594316
Mujeres;07 Balears, Illes;2029;44,365819
Mujeres;07 Balears, Illes;2028;44,144243
Mujeres;07 Balears, Illes;2027;43,930878
Mujeres;07 Balears, Illes;2026;43,725251
Mujeres;07 Balears, Illes;2025;43,524721
Mujeres;07 Balears, Illes;2024;43,322789
Mujeres;08 Barcelona;2039;47,263424
Mujeres;08 Barcelona;2038;47,10525
Mujeres;08 Barcelona;2037;46,939103
Mujeres;08 Barcelona;2036;46,765398
Mujeres;08 Barcelona;2035;46,585333
Mujeres;08 Barcelona;2034;46,401028
Mujeres;08 Barcelona;2033;46,215099
Mujeres;08 Barcelona;2032;46,030646
Mujeres;08 Barcelona;2031;45,851236
Mujeres;08 Barcelona;2030;45,680641
Mujeres;08 Barcelona;2029;45,522631
Mujeres;08 Barcelona;2028;45,380751
Mujeres;08 Barcelona;2027;45,257368
Mujeres;08 Barcelona;2026;45,152456
Mujeres;08 Barcelona;2025;45,062288
Mujeres;08 Barcelona;2024;44,976964
Mujeres;48 Bizkaia;2039;51,022337
Mujeres;48 Bizkaia;2038;50,868256
Mujeres;48 Bizkaia;2037;50,703356
Mujeres;48 Bizkaia;2036;50,528739
Mujeres;48 Bizkaia;2035;50,345669
Mujeres;48 Bizkaia;2034;50,156552
Mujeres;48 Bizkaia;2033;49,963729
Mujeres;48 Bizkaia;2032;49,769912
Mujeres;48 Bizkaia;2031;49,577824
Mujeres;48 Bizkaia;2030;49,390511
Mujeres;48 Bizkaia;2029;49,210574
Mujeres;48 Bizkaia;2028;49,040356
Mujeres;48 Bizkaia;2027;48,88122
Mujeres;48 Bizkaia;2026;48,732432
Mujeres;48 Bizkaia;2025;48,591208
Mujeres;48 Bizkaia;2024;48,450312
Mujeres;09 Burgos;2039;51,907451
Mujeres;09 Burgos;2038;51,703637
Mujeres;09 Burgos;2037;51,488503
Mujeres;09 Burgos;2036;51,263691
Mujeres;09 Burgos;2035;51,030792
Mujeres;09 Burgos;2034;50,793254
Mujeres;09 Burgos;2033;50,554419
Mujeres;09 Burgos;2032;50,317762
Mujeres;09 Burgos;2031;50,086973
Mujeres;09 Burgos;2030;49,86632
Mujeres;09 Burgos;2029;49,659156
Mujeres;09 Burgos;2028;49,468914
Mujeres;09 Burgos;2027;49,297619
Mujeres;09 Burgos;2026;49,145292
Mujeres;09 Burgos;2025;49,009313
Mujeres;09 Burgos;2024;48,881969
Mujeres;10 Cáceres;2039;52,385966
Mujeres;10 Cáceres;2038;52,155512
Mujeres;10 Cáceres;2037;51,915516
Mujeres;10 Cáceres;2036;51,667136
Mujeres;10 Cáceres;2035;51,411301
Mujeres;10 Cáceres;2034;51,149837
Mujeres;10 Cáceres;2033;50,88495
Mujeres;10 Cáceres;2032;50,618732
Mujeres;10 Cáceres;2031;50,353454
Mujeres;10 Cáceres;2030;50,09153
Mujeres;10 Cáceres;2029;49,834992
Mujeres;10 Cáceres;2028;49,585173
Mujeres;10 Cáceres;2027;49,342447
Mujeres;10 Cáceres;2026;49,106233
Mujeres;10 Cáceres;2025;48,874333
Mujeres;10 Cáceres;2024;48,641215
Mujeres;11 Cádiz;2039;49,101552
Mujeres;11 Cádiz;2038;48,858898
Mujeres;11 Cádiz;2037;48,602622
Mujeres;11 Cádiz;2036;48,332615
Mujeres;11 Cádiz;2035;48,049166
Mujeres;11 Cádiz;2034;47,75316
Mujeres;11 Cádiz;2033;47,445908
Mujeres;11 Cádiz;2032;47,129115
Mujeres;11 Cádiz;2031;46,804685
Mujeres;11 Cádiz;2030;46,474834
Mujeres;11 Cádiz;2029;46,141635
Mujeres;11 Cádiz;2028;45,806958
Mujeres;11 Cádiz;2027;45,472191
Mujeres;11 Cádiz;2026;45,137818
Mujeres;11 Cádiz;2025;44,803268
Mujeres;11 Cádiz;2024;44,466048
Mujeres;39 Cantabria;2039;51,917149
Mujeres;39 Cantabria;2038;51,702065
Mujeres;39 Cantabria;2037;51,472845
Mujeres;39 Cantabria;2036;51,230389
Mujeres;39 Cantabria;2035;50,976288
Mujeres;39 Cantabria;2034;50,71295
Mujeres;39 Cantabria;2033;50,443131
Mujeres;39 Cantabria;2032;50,170082
Mujeres;39 Cantabria;2031;49,897136
Mujeres;39 Cantabria;2030;49,628058
Mujeres;39 Cantabria;2029;49,366225
Mujeres;39 Cantabria;2028;49,114705
Mujeres;39 Cantabria;2027;48,875329
Mujeres;39 Cantabria;2026;48,648645
Mujeres;39 Cantabria;2025;48,432593
Mujeres;39 Cantabria;2024;48,221944
Mujeres;12 Castellón/Castelló;2039;47,843815
Mujeres;12 Castellón/Castelló;2038;47,690312
Mujeres;12 Castellón/Castelló;2037;47,527783
Mujeres;12 Castellón/Castelló;2036;47,356255
Mujeres;12 Castellón/Castelló;2035;47,176753
Mujeres;12 Castellón/Castelló;2034;46,990882
Mujeres;12 Castellón/Castelló;2033;46,8006
Mujeres;12 Castellón/Castelló;2032;46,608217
Mujeres;12 Castellón/Castelló;2031;46,416596
Mujeres;12 Castellón/Castelló;2030;46,228762
Mujeres;12 Castellón/Castelló;2029;46,047218
Mujeres;12 Castellón/Castelló;2028;45,874485
Mujeres;12 Castellón/Castelló;2027;45,712296
Mujeres;12 Castellón/Castelló;2026;45,560784
Mujeres;12 Castellón/Castelló;2025;45,417365
Mujeres;12 Castellón/Castelló;2024;45,275642
Mujeres;13 Ciudad Real;2039;50,181401
Mujeres;13 Ciudad Real;2038;49,959134
Mujeres;13 Ciudad Real;2037;49,724209
Mujeres;13 Ciudad Real;2036;49,47769
Mujeres;13 Ciudad Real;2035;49,221102
Mujeres;13 Ciudad Real;2034;48,956599
Mujeres;13 Ciudad Real;2033;48,686452
Mujeres;13 Ciudad Real;2032;48,412987
Mujeres;13 Ciudad Real;2031;48,138915
Mujeres;13 Ciudad Real;2030;47,866478
Mujeres;13 Ciudad Real;2029;47,59774
Mujeres;13 Ciudad Real;2028;47,334216
Mujeres;13 Ciudad Real;2027;47,076475
Mujeres;13 Ciudad Real;2026;46,82327
Mujeres;13 Ciudad Real;2025;46,572022
Mujeres;13 Ciudad Real;2024;46,316648
Mujeres;14 Córdoba;2039;49,811756
Mujeres;14 Córdoba;2038;49,601012
Mujeres;14 Córdoba;2037;49,378451
Mujeres;14 Córdoba;2036;49,144799
Mujeres;14 Córdoba;2035;48,900938
Mujeres;14 Córdoba;2034;48,648299
Mujeres;14 Córdoba;2033;48,388623
Mujeres;14 Córdoba;2032;48,123734
Mujeres;14 Córdoba;2031;47,855748
Mujeres;14 Córdoba;2030;47,586664
Mujeres;14 Córdoba;2029;47,318343
Mujeres;14 Córdoba;2028;47,052091
Mujeres;14 Córdoba;2027;46,788591
Mujeres;14 Córdoba;2026;46,527806
Mujeres;14 Córdoba;2025;46,268335
Mujeres;14 Córdoba;2024;46,007247
Mujeres;15 Coruña, A;2039;52,381206
Mujeres;15 Coruña, A;2038;52,213413
Mujeres;15 Coruña, A;2037;52,035939
Mujeres;15 Coruña, A;2036;51,849413
Mujeres;15 Coruña, A;2035;51,654682
Mujeres;15 Coruña, A;2034;51,453674
Mujeres;15 Coruña, A;2033;51,248338
Mujeres;15 Coruña, A;2032;51,041088
Mujeres;15 Coruña, A;2031;50,834343
Mujeres;15 Coruña, A;2030;50,630908
Mujeres;15 Coruña, A;2029;50,433039
Mujeres;15 Coruña, A;2028;50,242514
Mujeres;15 Coruña, A;2027;50,060445
Mujeres;15 Coruña, A;2026;49,886517
Mujeres;15 Coruña, A;2025;49,718209
Mujeres;15 Coruña, A;2024;49,549872
Mujeres;16 Cuenca;2039;49,881494
Mujeres;16 Cuenca;2038;49,716226
Mujeres;16 Cuenca;2037;49,543136
Mujeres;16 Cuenca;2036;49,362913
Mujeres;16 Cuenca;2035;49,1776
Mujeres;16 Cuenca;2034;48,989852
Mujeres;16 Cuenca;2033;48,802458
Mujeres;16 Cuenca;2032;48,618495
Mujeres;16 Cuenca;2031;48,441701
Mujeres;16 Cuenca;2030;48,275839
Mujeres;16 Cuenca;2029;48,123916
Mujeres;16 Cuenca;2028;47,988835
Mujeres;16 Cuenca;2027;47,872625
Mujeres;16 Cuenca;2026;47,774433
Mujeres;16 Cuenca;2025;47,690181
Mujeres;16 Cuenca;2024;47,61082
Mujeres;20 Gipuzkoa;2039;49,827937
Mujeres;20 Gipuzkoa;2038;49,697727
Mujeres;20 Gipuzkoa;2037;49,55563
Mujeres;20 Gipuzkoa;2036;49,402164
Mujeres;20 Gipuzkoa;2035;49,238268
Mujeres;20 Gipuzkoa;2034;49,065686
Mujeres;20 Gipuzkoa;2033;48,886474
Mujeres;20 Gipuzkoa;2032;48,703259
Mujeres;20 Gipuzkoa;2031;48,518589
Mujeres;20 Gipuzkoa;2030;48,335342
Mujeres;20 Gipuzkoa;2029;48,156008
Mujeres;20 Gipuzkoa;2028;47,982993
Mujeres;20 Gipuzkoa;2027;47,817385
Mujeres;20 Gipuzkoa;2026;47,658921
Mujeres;20 Gipuzkoa;2025;47,504274
Mujeres;20 Gipuzkoa;2024;47,347337
Mujeres;17 Girona;2039;47,101768
Mujeres;17 Girona;2038;46,912018
Mujeres;17 Girona;2037;46,712758
Mujeres;17 Girona;2036;46,50426
Mujeres;17 Girona;2035;46,287684
Mujeres;17 Girona;2034;46,064862
Mujeres;17 Girona;2033;45,838085
Mujeres;17 Girona;2032;45,610041
Mujeres;17 Girona;2031;45,383629
Mujeres;17 Girona;2030;45,161791
Mujeres;17 Girona;2029;44,947296
Mujeres;17 Girona;2028;44,742894
Mujeres;17 Girona;2027;44,550233
Mujeres;17 Girona;2026;44,368986
Mujeres;17 Girona;2025;44,196317
Mujeres;17 Girona;2024;44,025135
Mujeres;18 Granada;2039;48,336558
