apartment_id,room_type,price,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,number_of_reviews,reviews_per_month,city,insert_date,reviews 80+,fully_booked,occ_month,occ_2month,occ_3month,occ_year
9385154,Entire home/apt,640.0,True,4,12,34,306,97.0,299,619.0,Madrid,2019-11-09,True,False,0.8666666666666667,0.8,0.6222222222222222,0.16164383561643836
9385786,Entire home/apt,1500.0,True,30,31,31,31,100.0,1,3.0,Girona,2019-08-31,True,False,0.0,0.48333333333333334,0.6555555555555556,0.915068493150685
9398921,Entire home/apt,690.0,True,3,11,19,116,91.0,102,481.0,Barcelona,2017-09-12,True,False,0.9,0.8166666666666667,0.7888888888888889,0.6821917808219178
9419502,Entire home/apt,800.0,True,0,0,0,0,80.0,1,4.0,Barcelona,2018-08-14,True,True,1.0,1.0,1.0,1.0
9419850,Entire home/apt,1350.0,True,30,60,90,332,97.0,7,13.0,Mallorca,2021-02-11,True,False,0.0,0.0,0.0,0.09041095890410959
9421482,Entire home/apt,990.0,True,17,41,69,340,87.0,14,38.0,Barcelona,2019-03-08,True,False,0.43333333333333335,0.31666666666666665,0.23333333333333334,0.0684931506849315
9421526,Entire home/apt,700.0,True,9,12,12,107,94.0,93,317.0,Madrid,2018-04-12,True,False,0.7,0.8,0.8666666666666667,0.7068493150684931
9422043,Entire home/apt,1290.0,True,23,46,75,183,94.0,14,44.0,Barcelona,2019-01-14,True,False,0.23333333333333334,0.23333333333333334,0.16666666666666666,0.4986301369863014
9446046,Entire home/apt,600.0,True,3,14,29,301,89.0,151,358.0,Malaga,2019-06-30,True,False,0.9,0.7666666666666667,0.6777777777777778,0.17534246575342466
9454217,Private room,350.0,False,15,45,75,75,96.0,14,83.0,Madrid,2017-04-08,True,False,0.5,0.25,0.16666666666666666,0.7945205479452054
9469358,Private room,1300.0,True,30,58,74,275,98.0,8,18.0,Barcelona,2020-03-16,True,False,0.0,0.03333333333333333,0.17777777777777778,0.2465753424657534
9469885,Entire home/apt,440.0,True,0,0,0,0,87.0,169,356.0,Valencia,2019-11-30,True,True,1.0,1.0,1.0,1.0
9475572,Private room,250.0,True,21,51,81,356,92.0,10,52.0,Barcelona,2018-01-17,True,False,0.3,0.15,0.1,0.024657534246575342
9483720,Entire home/apt,4200.0,True,9,25,41,302,91.0,35,82.0,Barcelona,2019-08-12,True,False,0.7,0.5833333333333334,0.5444444444444444,0.1726027397260274
9485319,Entire home/apt,550.0,True,0,17,47,322,96.0,65,248.0,Madrid,2018-01-17,True,False,1.0,0.7166666666666667,0.4777777777777778,0.1178082191780822
9487962,Entire home/apt,3110.0,True,15,25,39,295,94.0,18,66.0,Barcelona,2018-05-14,True,False,0.5,0.5833333333333334,0.5666666666666667,0.1917808219178082
9501190,Entire home/apt,1640.0,True,30,60,90,310,86.0,7,43.0,Mallorca,2019-12-31,True,False,0.0,0.0,0.0,0.1506849315068493
9501577,Private room,290.0,True,23,53,83,358,,0,,Barcelona,2018-08-14,,False,0.23333333333333334,0.11666666666666667,0.07777777777777778,0.019178082191780823
9507426,Private room,320.0,True,0,0,7,282,93.0,24,84.0,Barcelona,2018-10-10,True,False,1.0,1.0,0.9222222222222223,0.2273972602739726
9538667,Entire home/apt,2000.0,True,0,0,0,0,95.0,110,281.0,Barcelona,2019-05-14,True,True,1.0,1.0,1.0,1.0
9539049,Private room,180.0,True,0,0,0,0,,1,2.0,Madrid,2019-09-19,,True,1.0,1.0,1.0,1.0
9553410,Entire home/apt,1770.0,True,0,0,1,117,,0,,Mallorca,2019-01-28,,False,1.0,1.0,0.9888888888888889,0.6794520547945205
9557814,Private room,220.0,False,15,20,50,292,98.0,13,95.0,Barcelona,2017-02-09,True,False,0.5,0.6666666666666666,0.4444444444444444,0.2
9590507,Private room,390.0,True,16,36,66,66,85.0,68,203.0,Mallorca,2018-11-20,True,False,0.4666666666666667,0.4,0.26666666666666666,0.8191780821917808
9600495,Entire home/apt,800.0,True,24,50,77,333,99.0,72,137.0,Malaga,2020-03-26,True,False,0.2,0.16666666666666666,0.14444444444444443,0.08767123287671233
9600924,Entire home/apt,590.0,True,11,25,38,304,97.0,102,284.0,Madrid,2018-12-10,True,False,0.6333333333333333,0.5833333333333334,0.5777777777777777,0.16712328767123288
9602130,Private room,400.0,True,29,59,89,364,98.0,9,28.0,Sevilla,2018-07-31,True,False,0.03333333333333333,0.016666666666666666,0.011111111111111112,0.0027397260273972603
9602745,Entire home/apt,630.0,True,0,0,0,0,78.0,58,142.0,Madrid,2019-05-14,False,True,1.0,1.0,1.0,1.0
9606267,Private room,110.0,True,13,43,73,348,91.0,257,423.0,Valencia,2020-12-21,True,False,0.5666666666666667,0.2833333333333333,0.18888888888888888,0.04657534246575343
9608116,Private room,360.0,True,13,18,18,53,94.0,33,111.0,Barcelona,2018-11-07,True,False,0.5666666666666667,0.7,0.8,0.8547945205479452
9609003,Entire home/apt,600.0,True,0,0,0,0,96.0,55,88.0,Madrid,2021-01-12,True,True,1.0,1.0,1.0,1.0
9619438,Entire home/apt,1320.0,True,28,29,29,288,100.0,1,4.0,Mallorca,2018-10-17,True,False,0.06666666666666667,0.5166666666666667,0.6777777777777778,0.21095890410958903
9623767,Entire home/apt,500.0,True,25,55,85,354,96.0,72,127.0,Madrid,2020-08-25,True,False,0.16666666666666666,0.08333333333333333,0.05555555555555555,0.030136986301369864
9629805,Entire home/apt,900.0,True,28,58,88,360,96.0,298,598.0,Girona,2019-12-31,True,False,0.06666666666666667,0.03333333333333333,0.022222222222222223,0.0136986301369863
9638801,Entire home/apt,850.0,True,0,0,0,197,89.0,20,58.0,Malaga,2019-05-01,True,False,1.0,1.0,1.0,0.4602739726027397
9639522,Private room,690.0,True,6,8,17,136,97.0,155,45.0,Barcelona,2019-03-08,True,False,0.8,0.8666666666666667,0.8111111111111111,0.6273972602739726
9639977,Entire home/apt,1200.0,True,6,18,25,264,99.0,29,101.0,Madrid,2018-04-12,True,False,0.8,0.7,0.7222222222222222,0.27671232876712326
9649549,Entire home/apt,480.0,True,0,0,0,0,96.0,61,165.0,Madrid,2019-03-08,True,True,1.0,1.0,1.0,1.0
9657097,Entire home/apt,1550.0,True,0,18,21,194,,0,,Mallorca,2021-02-11,,False,1.0,0.7,0.7666666666666667,0.4684931506849315
9659396,Entire home/apt,2080.0,True,4,23,46,321,,0,,Mallorca,2018-07-29,,False,0.8666666666666667,0.6166666666666667,0.4888888888888889,0.12054794520547946
9664064,Private room,360.0,True,29,47,67,156,96.0,318,611.0,Madrid,2020-03-17,True,False,0.03333333333333333,0.21666666666666667,0.25555555555555554,0.5726027397260274
9665896,Private room,270.0,True,0,0,0,0,100.0,1,7.0,Barcelona,2017-12-09,True,True,1.0,1.0,1.0,1.0
9675384,Entire home/apt,1270.0,True,3,3,3,3,89.0,79,176.0,Barcelona,2019-10-16,True,False,0.9,0.95,0.9666666666666667,0.9917808219178083
9676463,Private room,700.0,True,0,0,0,0,,0,,Madrid,2018-05-14,,True,1.0,1.0,1.0,1.0
