Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2019M05;637.040
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2019M06;810.104
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2019M07;824.209
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2019M08;893.325
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2019M09;657.336
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2019M10;564.919
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2019M11;443.718
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2019M12;490.219
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2015M01;226.483
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2015M02;304.513
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2015M03;373.328
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2015M04;441.015
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2015M05;414.423
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2015M06;497.150
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2015M07;581.642
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2015M08;664.041
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2015M09;437.450
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2015M10;374.877
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2015M11;281.600
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2015M12;303.775
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2016M01;248.428
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2016M02;317.758
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2016M03;443.985
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2016M04;383.157
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2016M05;414.346
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2016M06;497.722
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2016M07;629.772
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2016M08;648.129
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2016M09;480.936
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2016M10;399.748
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2016M11;317.886
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2016M12;284.713
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2017M01;238.814
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2017M02;318.443
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2017M03;384.076
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2017M04;495.566
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2017M05;419.905
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2017M06;520.257
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2017M07;613.352
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2017M08;635.255
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2017M09;478.428
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2017M10;407.178
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2017M11;339.724
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2017M12;320.535
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2018M01;242.785
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2018M02;324.151
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2018M03;452.982
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2018M04;453.863
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2018M05;420.104
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2018M06;536.877
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2018M07;606.185
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2018M08;660.233
Viajero;Total;Residentes en España;Total Nacional;10 Comunitat Valenciana;;2018M09;478.064
