Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
04 Balears, Illes;Francia;Diciembre;2.465
04 Balears, Illes;Grecia;Enero;29
04 Balears, Illes;Grecia;Febrero;128
04 Balears, Illes;Grecia;Marzo;65
04 Balears, Illes;Grecia;Abril;457
04 Balears, Illes;Grecia;Mayo;656
04 Balears, Illes;Grecia;Junio;1.111
04 Balears, Illes;Grecia;Julio;1.500
04 Balears, Illes;Grecia;Agosto;1.031
04 Balears, Illes;Grecia;Septiembre;1.028
04 Balears, Illes;Grecia;Octubre;571
04 Balears, Illes;Grecia;Noviembre;132
04 Balears, Illes;Grecia;Diciembre;86
04 Balears, Illes;Irlanda;Enero;172
04 Balears, Illes;Irlanda;Febrero;210
04 Balears, Illes;Irlanda;Marzo;846
04 Balears, Illes;Irlanda;Abril;5.367
04 Balears, Illes;Irlanda;Mayo;15.063
04 Balears, Illes;Irlanda;Junio;15.705
04 Balears, Illes;Irlanda;Julio;17.927
04 Balears, Illes;Irlanda;Agosto;15.268
04 Balears, Illes;Irlanda;Septiembre;13.323
04 Balears, Illes;Irlanda;Octubre;8.443
04 Balears, Illes;Irlanda;Noviembre;212
04 Balears, Illes;Irlanda;Diciembre;160
04 Balears, Illes;Italia;Enero;1.131
04 Balears, Illes;Italia;Febrero;1.385
04 Balears, Illes;Italia;Marzo;3.584
04 Balears, Illes;Italia;Abril;11.593
04 Balears, Illes;Italia;Mayo;32.082
04 Balears, Illes;Italia;Junio;70.618
04 Balears, Illes;Italia;Julio;91.251
04 Balears, Illes;Italia;Agosto;118.059
04 Balears, Illes;Italia;Septiembre;59.867
04 Balears, Illes;Italia;Octubre;19.166
04 Balears, Illes;Italia;Noviembre;1.711
04 Balears, Illes;Italia;Diciembre;1.453
04 Balears, Illes;Luxemburgo;Enero;86
04 Balears, Illes;Luxemburgo;Febrero;304
04 Balears, Illes;Luxemburgo;Marzo;348
04 Balears, Illes;Luxemburgo;Abril;1.629
04 Balears, Illes;Luxemburgo;Mayo;3.441
04 Balears, Illes;Luxemburgo;Junio;2.180
