cat_educacion,estado_laboral,familia,riq_inmob,ahorro,deuda,adq_ahorro2,adq_deuda2,adq_otro,ahorra_12m,consumo_ahorros,cred_inf,cred_form,cred_add,impago,ayudas,rechazo,semirechazo,nopiden,age,ID,year,inflacion_ok,interes_comp_ok,diversificacion_ok,weight
Educación Primaria,Jubilado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65,45,2022,1.0,0.0,1.0,4491.1855
Educación Primaria,Jubilado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,66,46,2022,1.0,,,5128.6436
Educación Secundaria,Otros inactivos,Otros adultos,Residencia principal y otras,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,19,47,2022,0.0,1.0,0.0,4315.9229
Educación Secundaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,29,48,2021,0.0,0.0,0.0,4798.5249
Educación Secundaria,Desempleado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,35,49,2022,1.0,0.0,1.0,1598.6246
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,47,50,2021,1.0,0.0,0.0,3492.3325
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,64,51,2022,1.0,1.0,1.0,10168.982
Universidad,Otros inactivos,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,56,52,2022,1.0,1.0,1.0,2387.012
Universidad,Asalariado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,24,53,2021,1.0,0.0,0.0,6572.4419
Educación Primaria,Jubilado,Vive solo,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,75,54,2022,,,,5128.6436
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,0,0,1,1,1,0,0,0,0,0,42,55,2021,1.0,,1.0,3577.6797
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,39,56,2022,1.0,1.0,1.0,2400.3083
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,49,57,2022,1.0,,1.0,10709.874
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,53,58,2021,1.0,0.0,1.0,8549.8076
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,54,59,2022,1.0,1.0,0.0,1028.299
Educación Secundaria,Asalariado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,22,60,2022,1.0,1.0,0.0,1227.5958
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,53,61,2022,1.0,1.0,0.0,652.36523
Educación Primaria,Jubilado,Vive solo,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,77,62,2022,1.0,1.0,1.0,2446.7585
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,45,63,2021,1.0,1.0,0.0,4688.5356
Educación Secundaria,Otros inactivos,Vive con pareja,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,57,64,2022,1.0,1.0,,6523.1816
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,49,65,2022,1.0,0.0,1.0,1915.903
Educación Secundaria,Jubilado,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,68,66,2021,0.0,1.0,1.0,2322.7913
Educación Primaria,Autónomo,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,44,67,2021,,1.0,0.0,9876.0625
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,37,68,2021,1.0,1.0,0.0,2135.7239
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,28,69,2022,0.0,0.0,1.0,3605.3088
Educación Primaria,Jubilado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,72,70,2022,1.0,1.0,0.0,4439.7515
Universidad,Asalariado,Vive con pareja,No posee residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,27,71,2021,1.0,0.0,1.0,4064.5845
Educación Primaria,Desempleado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,22,72,2022,0.0,0.0,1.0,2230.6831
Universidad,Autónomo,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,50,73,2022,1.0,1.0,1.0,5731.002
Universidad,Asalariado,Vive con pareja,No posee residencia principal,1.0,1.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0,1,0,33,74,2022,1.0,1.0,,7648.2568
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,40,75,2022,0.0,,,3446.0994
Educación Primaria,Otros inactivos,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,66,76,2022,0.0,0.0,,5782.7886
Universidad,Jubilado,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,77,77,2021,1.0,1.0,1.0,7929.9287
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,25,78,2022,1.0,,1.0,2585.3027
Educación Primaria,Desempleado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,25,79,2022,0.0,,,1972.7659
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,47,80,2022,1.0,1.0,,5023.0854
Educación Primaria,Asalariado,Vive solo,No posee residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,41,81,2022,1.0,0.0,0.0,13028.378
Universidad,Otros inactivos,Vive con pareja,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,28,82,2021,1.0,0.0,1.0,2980.0684
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,26,83,2022,0.0,0.0,,5085.6245
Educación Secundaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,60,84,2022,1.0,0.0,,1686.4076
Educación Primaria,Autónomo,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,50,85,2022,1.0,1.0,,2116.9226
Educación Primaria,Asalariado,Otros adultos,No posee residencia principal,1.0,0.0,1.0,0.0,1.0,0,0,0,0,1,0,0,0,0,1,23,86,2021,0.0,0.0,0.0,3652.3787
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,51,87,2022,1.0,,,9625.9834
Universidad,Jubilado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,67,88,2022,1.0,0.0,1.0,1237.3723
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,1.0,1.0,1,1,0,0,0,0,1,0,0,0,29,89,2022,1.0,0.0,0.0,12095.448
Universidad,Asalariado,Otros adultos,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,31,90,2021,1.0,1.0,1.0,6103.4019
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,54,91,2021,1.0,0.0,1.0,7181.5464
Educación Secundaria,Jubilado,Vive solo,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,69,92,2022,1.0,0.0,,3165.0059
Educación Primaria,Jubilado,Vive con pareja,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,73,93,2022,1.0,0.0,0.0,5125.2207
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,57,94,2021,1.0,0.0,1.0,8813.5166
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,1,0,47,95,2022,1.0,0.0,1.0,10029.988
Universidad,Autónomo,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,49,96,2022,0.0,1.0,,767.6048
Universidad,Desempleado,Vive solo,No posee residencia principal,0.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,31,97,2022,1.0,1.0,0.0,5170.7319
Universidad,Autónomo,Otros adultos,Residencia principal y otras,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,50,98,2022,1.0,1.0,1.0,1641.8354
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,,1.0,,1.0,1,0,0,0,0,0,0,0,0,0,48,99,2021,1.0,0.0,0.0,5443.0859
