SEX,AGE,2036,2035,2034,2033,2032,2031,2030,2029,2028,2027,2026,age_cat
F,44,339860.368828,340192.455162,341249.064008,342061.817996,341655.585087,344453.353441,348197.02766,353875.422681,357673.803559,368371.967479,374975.454066,35-44
F,45,342117.333193,343262.697854,344222.680126,344042.045517,347122.09847,351220.389808,357303.880868,361589.522522,372723.174943,379785.956953,389916.316433,45-54
F,46,345017.458632,346069.636052,346044.277326,349324.387777,353686.731862,360086.083749,364780.702774,376311.456025,383853.996431,394376.541181,398356.554577,45-54
F,47,347654.190198,347730.103367,351143.295998,355690.752389,362320.318578,367336.191919,379193.537188,387172.921401,398110.492563,402537.734419,412056.134679,45-54
F,48,349171.712717,352667.602464,357337.165609,364123.72569,369378.620992,381484.174656,389829.978945,401146.511029,406039.323325,415968.903513,414251.539781,45-54
F,49,353959.410077,358703.200149,365587.702604,371010.554517,383289.405481,391923.0543,403554.278276,408874.034267,419233.882036,417956.701108,420820.488634,45-54
F,50,359852.309834,366790.489095,372324.498845,384712.407582,393559.761002,405433.691173,411115.702169,421870.721147,421051.905774,424329.359347,415461.028357,45-54
F,51,367759.153092,373359.448216,385802.181225,394796.616902,406841.405286,412810.463218,423896.199415,423498.298171,427205.163083,418777.410161,412515.397667,45-54
F,52,374171.339261,386628.17372,395716.221659,407869.917004,414054.581331,425399.231403,425359.5132,429460.050715,421487.864317,415613.335601,401382.073547,45-54
F,53,387241.545018,396383.40817,408596.864188,414935.836754,426471.576803,426720.106567,431154.339926,423602.448718,418132.750194,404343.987813,399292.996132,45-54
F,54,396807.259775,409040.482678,415481.641451,427146.178272,427613.428693,432310.482515,425117.155227,420017.568916,406682.260371,401971.811641,392357.817371,45-54
F,55,409261.516955,415767.183738,427512.465633,428140.04883,433034.618179,426132.697191,421346.69524,408429.577512,404075.491309,394846.778254,386693.48897,55-64
F,56,415805.107976,427593.42571,428333.595554,433368.015071,426693.159395,422156.565535,409599.971789,405570.935343,396738.719403,388919.883234,382083.047208,55-64
F,57,427407.690127,428223.720745,433350.577913,426846.783403,422497.804269,410237.506637,406479.381601,398010.034057,390537.498594,384068.851412,378658.263818,55-64
F,58,427885.657261,433072.336072,426697.142417,422485.121302,410462.247122,406917.364754,398758.856354,391603.906274,385513.221647,380396.807403,380583.979718,55-64
F,59,432529.429197,426250.256276,422133.541798,410297.066928,406909.040611,399002.439158,392114.823387,386369.568775,381558.211937,382049.312393,370178.282453,55-64
F,60,425556.175623,421505.336885,409816.205348,406538.317022,398829.584029,392155.070043,386705.503466,382172.023129,382975.646675,371469.945913,367301.393079,55-64
F,61,420601.169638,409030.121701,405823.966776,398265.896823,391751.969134,386541.748335,382238.562781,383322.716094,372188.323478,368293.472924,370771.310947,55-64
F,62,408005.55559,404845.726411,397403.83385,391008.676968,385987.992182,381865.877344,383185.066786,372394.179708,368782.883405,371516.798922,351558.074392,55-64
F,63,403600.849482,396249.831913,389940.350078,385066.16184,381077.916588,382580.254012,372087.723573,368732.966265,371727.386913,352143.155829,339924.57777,55-64
F,64,394878.822864,388633.995919,383875.414558,379984.249194,381624.785139,371383.387359,368245.011563,371474.43032,352271.949216,340389.776091,331223.777819,55-64
F,65,387096.369797,382430.817206,378608.123018,380347.682913,370312.990604,367345.625714,370766.875848,351920.742113,340378.694154,331585.119884,330954.57367,65-79
F,66,380734.485956,376959.969423,378767.043271,368901.935999,366062.984669,369627.917225,351098.854731,339869.280561,331443.164389,331019.757895,320408.665022,65-79
F,67,375074.591667,376927.057095,367204.015824,364459.075233,368124.211156,349870.790002,338913.133332,330820.814889,330605.67368,320316.816568,312309.151887,65-79
F,68,374851.07516,365251.347921,362574.666635,366303.833987,348289.263493,337561.107397,329757.028832,329723.434634,319751.832954,311991.966813,303877.139357,65-79
F,69,363072.933106,360448.385665,364215.571389,346412.196401,335877.319135,328316.756553,328428.851197,318746.239835,311233.715508,303383.433622,282007.990943,65-79
F,70,358004.657229,361786.903801,344176.886011,333806.116756,326448.459846,326665.579484,317234.076438,309943.976808,302352.630642,281333.197614,272884.980143,65-79
F,71,359080.031059,341655.573312,331430.95136,324246.98834,324537.537065,315322.669556,308225.059485,300869.754011,280209.100695,271983.671375,259606.959342,65-79
