categoria,TOTAL (2),Cursos de formación  diseñados y gestionados por su empresa,Cursos de formación diseñados y gestionados por otra organización,"Formación planificada en el puesto de trabajo, utilizando los medios habituales de trabajo","Aprendizaje planificado a partir de rotación de puestos de trabajo, intercambios, etc.","Participación en conferencias, seminarios, grupos de trabajo, talleres o ferias de muestras",TOTAL
Asturias (Principado de),74.89065284302607,30.737616266493617,71.62016006921912,51.71966255678131,18.689162881245945,30.607830413151632,
Balears (Illes),67.0305873860868,36.236370978597385,65.2039305424687,63.494413783820164,31.57894736842105,34.688383362498314,
Canarias ,62.5140757423102,35.80773606370876,77.13310580204778,56.95866514979143,26.241941600303374,28.98179749715586,
Cantabria ,76.7316572601334,31.795386158475427,75.45971247074557,58.609160815780676,19.859578736208626,26.84720829154129,
Castilla-La Mancha,69.83435725950696,32.30512249443207,73.61915367483296,59.922048997772826,22.67260579064588,28.11804008908686,
Castilla y León,74.8539176626826,31.77503770070079,71.78213430320234,56.99458884059256,27.17998758094562,27.650137496673466,
Cataluña ,74.47854268423801,35.726954011136314,71.75293875025778,59.729841204372036,26.98494534955661,40.83109919571046,
Comunitat Valenciana ,72.76079548344438,29.908077312921602,67.69074831358569,60.55712837719758,28.964384327706128,32.15546468141624,
Extremadura ,68.83937479215165,29.71014492753623,74.61352657004831,52.608695652173914,23.502415458937197,30.797101449275363,
Galicia ,75.98068151328145,30.263436683381595,74.33434564587894,52.906278691998025,27.82682392824352,36.93057419309273,
Madrid (Comunidad de),72.84042532882806,41.93049585910473,71.06614949156096,63.00188699025055,28.928608868854177,38.814341125904186,
Murcia (Región de),73.76392757660167,30.5640783573283,68.65706868067029,60.054283691291005,27.96790181732358,30.068444654236487,
Navarra (Comunidad Foral de),72.32386961093586,34.98109915673161,74.09130561209653,55.394009886594944,34.66123873218959,40.854899680139575,
País Vasco ,73.79941789958768,37.06351162599622,78.48985292909374,54.33407279599047,23.54777750390272,33.1443595431764,
"Rioja, La",74.42505947660587,32.81832711774108,67.44805540756526,60.628662759722964,25.785828449653703,30.90037293553543,
TOTAL,,34.26932926076762,73.70996853017401,56.005491793163024,27.37527767493521,35.08654202147353,73.46827753473718
TAMAÑO DE LA EMPRESA,,,,,,,
De 5 a 9 trabajadores,,27.217847995377596,65.98911665531189,51.141371370421794,22.937813154876377,32.18865613977595,65.3194233986582
De 10 a 49 trabajadores,,35.02863746834583,79.00287224459967,57.33102194122946,29.277350056935028,33.99870833970666,79.22790528576526
De 50 a 249 trabajadores,,58.77797310780634,84.13550624792131,70.50886112034969,36.475507198175514,51.39924929918753,94.75935347350412
De 250 a 499 trabajadores,,76.16256350136773,85.38491598280578,76.86596326690113,46.697928878468154,57.79601406799531,98.38523644752019
Más de 499 trabajadores,,85.45012165450122,84.96350364963503,80.04866180048661,51.53284671532847,65.59610705596107,99.27536231884058
ACTIVIDAD ECONÓMICA,,,,,,,
Industria,,34.29357661700176,76.12117906636587,61.91090066192329,36.08101742816769,33.867169100329725,76.22260015117158
Construcción,,22.42065195615466,84.76860994247446,57.771672247502934,21.27300306230503,23.03025099453364,77.71229037854188
Comercio y reparación de vehículos,,38.68061514091479,71.44577915649133,54.40069962378721,29.94026796911095,41.624315226717705,73.95872740807634
Transporte y almacenamiento,,30.568828958565163,79.66878313805067,52.05210447077306,24.25868953328533,20.416312103161616,77.4067693554925
Hostelería,,25.970788214555526,68.13648954923192,54.371694787207254,21.5311004784689,13.127675648451271,60.73537059129424
"Información, comunicaciones, actividades financieras, de seguros e inmobiliarias",,48.577127659574465,73.39760638297872,52.972074468085104,31.788563829787233,63.62367021276596,80.54410110855245
"Actividades profesionales, científicas y técnicas",,42.449776043283514,68.30458113441838,51.03108785311987,25.282717637145772,59.22213845403344,81.78817555313746
Actividades administrativas y servicios auxiliares,,36.37482058642608,74.83425603171348,60.2009432027886,28.28241405235459,39.51882988175791,74.26149629479241
"Actividades artísticas, recreativas y de entretenimiento y otros servicios",,40.519528598753624,67.16233726167705,57.17282655642624,24.52026901955945,43.228234713395445,73.50780116110305
